make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Honda Civic SE,2015,None,excellent,None,None,gas,None,23000,None,salvage,automatic,None,9000
Ford F-150,2005,None,None,8 cylinders,None,gas,black,97000,None,clean,automatic,None,12000
Dodge Ram 2500 SLT,2003,None,good,8 cylinders,rwd,gas,white,127250,full-size,clean,automatic,pickup,8800
buick lesabre,1994,None,good,6 cylinders,fwd,gas,white,200,mid-size,clean,automatic,sedan,2500
Bakersfield,1971,None,good,8 cylinders,rwd,gas,custom,1000,full-size,clean,automatic,coupe,9000
dodge challenger,2012,None,None,None,None,gas,None,123000,None,rebuilt,automatic,None,9700
Audi A4 Cabriolet Convertible,2008,None,like new,4 cylinders,None,gas,None,109000,None,clean,automatic,None,7900
59 AMC Rambler Wagon,1959,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
chev,2006,None,excellent,8 cylinders,None,gas,grey,242234,None,clean,automatic,None,4500
Ford bronco,1985,None,None,None,None,gas,None,None,None,parts only,manual,None,600
3100,1954,None,good,8 cylinders,rwd,gas,blue,None,compact,clean,automatic,None,1
Peugeot Silver Edition,1983,VF3BA11610S336271,fair,4 cylinders,rwd,gas,silver,183000,mid-size,clean,manual,sedan,325
Ford F-350,2001,None,None,None,None,diesel,red,None,None,clean,manual,None,17000
Ford F-350,2001,None,None,None,None,diesel,red,None,None,clean,manual,None,17000
nissan hardbody,1991,None,good,None,None,gas,None,200000,None,clean,manual,None,1
chevrolet astro,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,900
chevrolet trailblazer,2004,None,good,6 cylinders,4wd,gas,white,178906,full-size,clean,automatic,SUV,2800
Silverado,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,9500
Ford F-350,2004,None,fair,8 cylinders,4wd,diesel,None,108000,None,lien,automatic,None,9000
Infiniti G37,2013,None,good,None,None,gas,black,43000,compact,salvage,automatic,coupe,7900
GMC High Sierra,1978,None,good,8 cylinders,rwd,gas,grey,55550,full-size,clean,automatic,pickup,4500
GMC High Sierra,1978,None,good,8 cylinders,rwd,gas,grey,55550,full-size,clean,automatic,pickup,4500
Chevy camaro,1969,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
bmw 528i,2008,None,excellent,6 cylinders,rwd,gas,black,145,full-size,salvage,automatic,sedan,4900
chevy silverado 1500,2002,None,None,None,None,gas,None,121,None,clean,automatic,None,6300
