make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevy silverado 2500hd 4x4,2002,None,good,8 cylinders,4wd,gas,white,230000,full-size,salvage,automatic,truck,5000
Lexus,2000,None,excellent,None,None,gas,None,None,None,clean,automatic,None,3400
nissan 350z,2006,None,excellent,6 cylinders,rwd,gas,red,70000,None,clean,manual,coupe,12500
mazda rx7,1987,None,None,None,None,gas,None,None,None,salvage,manual,None,3200
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,14500
ford expedition,1999,None,None,None,None,gas,None,None,compact,salvage,automatic,None,2000
mazda miata,2001,JM1NB353910204074,good,4 cylinders,rwd,gas,silver,141513,compact,clean,manual,convertible,5500
Mercedez ml320,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1400
PONTIAC BONNEVILLE,1964,None,good,8 cylinders,rwd,gas,grey,None,full-size,clean,automatic,coupe,7000
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,13300
ford mustang gt,2000,None,like new,8 cylinders,rwd,gas,red,144068,full-size,clean,automatic,convertible,3600
300 D Turbo Diesel,1985,None,good,5 cylinders,rwd,diesel,brown,210000,full-size,clean,automatic,sedan,25000
ford expedition,1999,None,good,8 cylinders,rwd,gas,red,180000,full-size,clean,automatic,SUV,2500
chevy s10 pickup,1994,None,good,6 cylinders,rwd,gas,white,220000,None,clean,automatic,None,2000
chevrolet monte carlo,2000,None,None,None,None,gas,None,247000,None,clean,automatic,None,1000
toyota matrix,2003,None,fair,4 cylinders,fwd,gas,silver,None,compact,salvage,manual,None,1
Chevy Monte Carlo,1972,None,good,8 cylinders,None,gas,None,None,None,missing,automatic,None,1500
Oldsmobile starfire,1962,None,None,None,None,gas,None,None,None,clean,automatic,None,9800
Pontiac firebird formula,1974,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
Pontiac,1964,None,None,None,None,gas,None,None,None,missing,automatic,None,2500
Acura TSX 2.4 tech package,2009,None,like new,4 cylinders,fwd,gas,white,144000,full-size,clean,automatic,sedan,14000
Jaguar Mark 7,1954,None,like new,6 cylinders,rwd,gas,black,None,None,clean,automatic,None,22500
Studebaker Hawk,1959,None,fair,None,None,gas,None,None,None,clean,manual,None,950
chevrolet silverado,2007,None,excellent,None,None,gas,None,139000,None,clean,automatic,None,13500
Golf cart,1975,None,good,None,None,electric,yellow,None,None,clean,automatic,None,1300
Saturn L300,2004,None,good,6 cylinders,fwd,gas,blue,None,None,lien,automatic,sedan,550
Ford Mercury convertible,1946,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,36000
Pontiac Sunfire,2005,None,salvage,4 cylinders,fwd,gas,silver,None,None,lien,automatic,None,450
Jaguar xj6,1981,None,salvage,6 cylinders,rwd,gas,black,None,None,lien,automatic,None,600
Chevy Suburban,2004,None,salvage,8 cylinders,rwd,gas,black,None,None,salvage,automatic,None,25
Gmc Yukon,2000,None,excellent,8 cylinders,4wd,gas,red,None,None,clean,automatic,None,4450
Chevy Chevelle two door HT,1966,None,fair,8 cylinders,rwd,gas,blue,None,None,clean,automatic,None,3500
Dodge Ram 5500,2008,None,like new,None,None,diesel,None,339000,None,clean,automatic,None,26000
Acura  TSX,2009,None,good,4 cylinders,fwd,gas,white,92500,compact,salvage,automatic,sedan,8000
mercedes-benz gl450 4matic,2007,None,excellent,8 cylinders,fwd,gas,custom,150,full-size,clean,automatic,SUV,17
gmc 1500 sierra,2003,None,good,8 cylinders,rwd,gas,None,199,full-size,salvage,automatic,truck,63
hyundai santa fe,2003,None,good,6 cylinders,fwd,gas,black,198000,None,clean,automatic,SUV,1900
F250 f350 f450 F550,2001,None,excellent,8 cylinders,rwd,diesel,white,None,full-size,clean,automatic,truck,10995
GMC 2500 3500,2001,None,excellent,8 cylinders,rwd,gas,white,None,full-size,clean,manual,pickup,5995
infiniti g35 coupe,2005,None,excellent,None,None,gas,None,147000,None,clean,automatic,coupe,7
Bmw 740il,1998,None,None,None,None,gas,None,None,None,salvage,automatic,None,2300
Chevy Malibu,2010,None,None,4 cylinders,None,gas,None,107000,None,clean,automatic,None,5500
dodge ram cummins 3500,2005,None,None,None,None,diesel,None,None,None,clean,manual,None,12000
F250 F350 f450 f550,2001,None,excellent,8 cylinders,rwd,diesel,white,None,full-size,clean,automatic,truck,10995
chevy silverado 2500hd,2004,None,excellent,8 cylinders,fwd,gas,white,141000,full-size,clean,automatic,pickup,14500
AMC Rambler Wagon,1959,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
toyota camry le,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2950
kia optima,2011,None,excellent,4 cylinders,fwd,gas,brown,None,full-size,salvage,automatic,sedan,5800
