make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford mustang convertible gt,1998,None,good,8 cylinders,rwd,gas,green,78444,compact,clean,automatic,convertible,3800
ford mustang,1967,None,None,None,None,gas,None,None,None,clean,other,None,1000
ford expedition,2000,None,excellent,None,None,gas,None,200000,None,clean,automatic,None,2000
Dodge,1993,None,None,None,None,diesel,None,None,None,clean,automatic,None,9000
eagle talon esi,1995,None,None,None,None,gas,None,None,None,salvage,manual,None,3500
Honda Accord,2002,None,None,None,None,gas,None,134000,None,salvage,automatic,None,3800
Toyota Tundra,2006,None,None,None,None,gas,None,159000,None,salvage,automatic,None,4800
Honda Accord,2001,None,good,6 cylinders,fwd,gas,silver,200,mid-size,clean,automatic,coupe,2100
cadillac seville,1995,None,good,8 cylinders,fwd,gas,white,150000,full-size,clean,automatic,sedan,1800
chevy tahoe,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
ford bronco,1989,None,good,8 cylinders,4wd,gas,blue,191000,full-size,clean,automatic,truck,4200
Chevrolet Equinox,2014,None,excellent,4 cylinders,None,gas,None,70000,None,clean,automatic,None,14000
ford escort Lx,1997,None,excellent,4 cylinders,fwd,gas,white,136000,compact,clean,automatic,wagon,2000
Dodge grand caravan sxt,2013,None,good,None,None,gas,None,None,None,lien,automatic,mini-van,11500
volkswagen jetta,2002,None,None,None,None,diesel,None,None,None,clean,automatic,None,3000
Honda Accord,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1044
toyota tercel,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,325
Chevy Cruz,2014,None,good,4 cylinders,None,gas,white,52999,mid-size,clean,automatic,sedan,9300
ford f250 super duty,2003,None,excellent,8 cylinders,4wd,diesel,silver,None,full-size,salvage,automatic,truck,15000
DODGE DURANGO LIMITED RWD,2015,None,excellent,6 cylinders,rwd,gas,white,7500,None,clean,automatic,SUV,27995
cadillac coupe de ville,1969,None,good,8 cylinders,rwd,gas,white,49000,full-size,clean,automatic,coupe,7700
chevrolet truck,1984,None,good,None,None,gas,None,None,None,clean,automatic,None,2400
toyota sienna xle,1999,None,excellent,6 cylinders,None,gas,white,140,None,clean,automatic,mini-van,3000
Dodge stratus,2006,None,good,None,None,gas,grey,None,None,clean,automatic,None,3200
acura cl s- type,2001,None,excellent,6 cylinders,fwd,gas,white,180000,compact,clean,automatic,coupe,2500
ford pickup,1996,None,good,8 cylinders,4wd,gas,white,None,mid-size,clean,automatic,pickup,1500
ford crown victoria police,2000,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,1200
