make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford expedition xlt,2004,None,excellent,None,None,gas,None,127000,None,clean,automatic,None,2900
Infiniti g37,2008,None,None,None,None,gas,None,None,None,clean,manual,None,12000
honda odessy,2005,None,excellent,6 cylinders,None,gas,green,159000,full-size,clean,automatic,mini-van,4500
toyota camry,1998,JT2BG22K0W0201512,excellent,4 cylinders,fwd,gas,black,144000,full-size,clean,automatic,sedan,1700
Lexus gs350,2007,None,like new,6 cylinders,rwd,gas,white,125500,None,salvage,automatic,None,13999
dodge ram 5500 hd,2012,None,excellent,6 cylinders,rwd,diesel,white,90000,full-size,clean,automatic,None,14000
ford fusion,2007,None,excellent,6 cylinders,None,gas,red,167000,mid-size,clean,automatic,sedan,3300
ford fusion,2007,None,excellent,6 cylinders,None,gas,red,168000,mid-size,clean,automatic,sedan,3300
honda accord,2003,None,excellent,None,None,gas,white,None,full-size,clean,automatic,None,700
Honda,2005,None,None,6 cylinders,None,gas,None,120000,None,clean,automatic,None,4800
lexus rx 330,2005,None,excellent,6 cylinders,fwd,gas,silver,110000,mid-size,clean,automatic,SUV,8000
nissan armada,2004,None,good,8 cylinders,None,gas,None,165000,None,clean,automatic,truck,8500
Jeep cj5,1966,None,None,None,None,gas,blue,None,mid-size,clean,manual,None,6500
chrysler 200,2015,None,like new,4 cylinders,fwd,gas,grey,8900,mid-size,clean,automatic,sedan,10800
honda civic si,2006,None,None,None,None,gas,None,None,None,clean,manual,None,10
Ford Mustang Convertible,1966,None,None,None,None,gas,None,None,None,clean,automatic,None,3990
chevrolet 1500 silverado,1998,None,None,8 cylinders,None,gas,blue,150,None,salvage,automatic,truck,1
INFINITI FX35,2005,None,good,6 cylinders,rwd,gas,grey,183000,mid-size,clean,automatic,hatchback,7000
nissan rogue,2016,5N1AT2MVXGC746473,like new,4 cylinders,4wd,gas,grey,38756,mid-size,clean,automatic,SUV,14950
honda accord,2004,None,None,6 cylinders,fwd,gas,None,None,None,salvage,automatic,None,4000
dodge charger sxt 4dr sedan,2007,None,excellent,6 cylinders,fwd,gas,None,None,full-size,clean,automatic,sedan,4900
lexus ls400,1995,None,like new,8 cylinders,rwd,gas,white,206000,full-size,clean,automatic,sedan,1800
Mercedes C230 Coupe,2002,None,excellent,4 cylinders,rwd,gas,red,155000,compact,clean,manual,coupe,3700
Mazda Miata,1990,None,None,None,None,gas,None,None,None,salvage,manual,None,1900
chrysler pt cruiser,2008,None,like new,4 cylinders,fwd,gas,None,100600,mid-size,clean,automatic,sedan,3100
ANY,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,350
hummer h2 luxury 4x4,2004,5GRGN23U64H10287,excellent,8 cylinders,4wd,gas,red,34100,full-size,clean,automatic,SUV,37500
chrysler pt cruiser,2005,None,excellent,None,None,gas,custom,None,None,clean,automatic,None,2500
Honda civic,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1997
ford fiesta,2014,None,like new,4 cylinders,None,gas,silver,None,compact,salvage,manual,sedan,4000
Lexus IS350 Convertible,2010,None,excellent,6 cylinders,fwd,gas,blue,55000,None,clean,automatic,convertible,21500
harley davidson,2011,None,None,None,None,gas,None,None,None,clean,manual,None,1
gmc 3500,1996,000000000000000,good,8 cylinders,rwd,diesel,blue,80000,full-size,clean,automatic,pickup,8900
nissan 240sx,1996,None,excellent,4 cylinders,rwd,gas,white,188,None,clean,automatic,None,7
honda civic,2007,None,None,None,None,gas,None,150,None,clean,manual,None,65
GMC,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,65
ford mustang,2000,None,None,None,None,gas,None,199000,None,clean,manual,None,1400
toyota corolla s,2006,None,good,4 cylinders,4wd,gas,custom,152000,compact,clean,automatic,sedan,3500
toyota scion ia,2016,None,None,None,None,gas,None,None,None,salvage,automatic,None,8700
