make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Kia sportage,2001,None,excellent,4 cylinders,fwd,gas,white,145000,compact,clean,automatic,sedan,1950
toyota camry le,2005,None,good,4 cylinders,None,gas,None,88500,None,clean,automatic,None,4990
Chevrolet el camino,1980,None,excellent,8 cylinders,rwd,gas,brown,None,mid-size,clean,manual,pickup,13000
Honda Accord SE,2007,None,good,None,None,gas,grey,93600,None,clean,automatic,sedan,5990
dodge charger,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
dodge grand caravan passenger,2007,None,good,6 cylinders,None,gas,silver,136000,mid-size,clean,automatic,mini-van,1700
Chevrolet Nova,1963,304370126998,fair,8 cylinders,rwd,gas,blue,42000,mid-size,clean,automatic,coupe,18900
chevy s10 pickup,1997,None,None,None,None,gas,None,159300,None,clean,automatic,None,2200
kia sportage ex,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
volvo s80,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Mini cooper s,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5800
Fiat 500,2012,None,good,4 cylinders,None,gas,None,128000,None,clean,automatic,None,4000
Chevy Tahoe Ltz,2016,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,35000
Hyundai Sonata,2015,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,8000
Chevy Malibu,2013,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,8000
Dodge Ram Promaster City,2016,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,12000
Nissan Maxima,2014,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,13000
Nissan Murano,2014,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,13999
Toyota Camry,2014,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,9500
Nissan Altima,2012,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,7500
Mini Cooper,2011,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,6000
Nissan Altima,2012,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,9999
Ford Mustang GT,2006,None,good,8 cylinders,rwd,gas,silver,130000,mid-size,clean,manual,coupe,8900
Corvette,2015,None,like new,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,44500
jeep wrangler sport,2003,None,excellent,6 cylinders,4wd,gas,red,132000,mid-size,salvage,automatic,offroad,15500
bmw 335d,2009,None,None,None,None,diesel,None,None,None,clean,automatic,None,9000
pontaic grand am,1993,None,excellent,6 cylinders,fwd,gas,green,None,compact,clean,automatic,None,1450
Chevy shorty van,1979,None,good,6 cylinders,rwd,gas,blue,None,full-size,clean,automatic,van,2000
Chevy shorty van,1979,None,good,6 cylinders,rwd,gas,blue,None,full-size,clean,automatic,van,2000
Chevy shorty van,1979,None,good,6 cylinders,rwd,gas,blue,None,full-size,clean,automatic,van,2000
Chevy shorty van,1979,None,good,6 cylinders,rwd,gas,blue,None,full-size,clean,automatic,van,2000
Amc rambler american,1964,None,good,6 cylinders,rwd,gas,white,None,mid-size,clean,manual,wagon,2450
Chevy nova,1977,None,good,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,coupe,1995
Amc rambler american,1964,None,good,6 cylinders,rwd,gas,white,None,mid-size,clean,manual,wagon,2450
Chevy nova,1977,None,good,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,coupe,1995
acura 3.2 Tl,2005,None,good,6 cylinders,fwd,gas,None,None,full-size,clean,automatic,sedan,3150
chevrolet cruze ls,2013,None,excellent,None,None,gas,None,80000,None,clean,automatic,None,7500
chevy cruze ls,2013,None,excellent,4 cylinders,None,gas,None,80000,None,clean,automatic,sedan,7500
dodge ram 2500,2016,None,None,None,None,diesel,None,None,None,clean,automatic,None,39995
scion frs,2016,None,excellent,4 cylinders,rwd,gas,black,10300,compact,clean,automatic,coupe,19600
bmw,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Toyota drift,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
gmc yukon denali,2008,1wnbdlsd39876!,like new,8 cylinders,fwd,gas,red,None,full-size,rebuilt,automatic,SUV,13499
Mercedes Benz E500,2004,None,None,None,None,gas,None,117000,None,clean,automatic,wagon,6999
Motorcycle helments,2004,None,fair,None,None,other,None,None,None,missing,other,None,20
Chevrolet,2010,KL1TD5DE2AB093170,like new,4 cylinders,fwd,gas,None,114253,None,clean,automatic,sedan,3295
Hyundai,2006,13689,good,4 cylinders,rwd,gas,silver,156,compact,clean,automatic,sedan,1500
hyundai accent,2002,None,None,None,None,gas,None,None,None,clean,manual,None,1000
Victory,2017,20017,like new,other,4wd,other,black,10,full-size,clean,manual,other,35
jeep cherokee xj,1995,None,excellent,6 cylinders,4wd,gas,white,None,None,clean,automatic,SUV,5000
Mercury Monterey,1951,None,good,8 cylinders,rwd,gas,black,None,full-size,clean,manual,coupe,25995
Honda Civic EX,2002,None,good,4 cylinders,fwd,gas,silver,152000,None,clean,manual,sedan,1800
mazda miata mx-5,2003,None,good,4 cylinders,rwd,gas,None,105100,None,clean,manual,convertible,4250
gmc acadia,2008,None,None,None,None,gas,None,211000,None,clean,automatic,None,9500
ford mustang convertible gt,1996,1FALP45X8TF160821,good,8 cylinders,rwd,gas,purple,133000,full-size,rebuilt,automatic,convertible,2200
mazda 3,2004,None,good,None,None,gas,red,154000,None,clean,manual,None,2500
Toyota Sienna,2003,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,mini-van,2985
mercedes-benz s550,2008,WDDUG8CB7FA102106,excellent,8 cylinders,None,gas,black,79418,full-size,clean,automatic,sedan,22000
toyota camry se,2007,None,like new,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,1800
Vw beetle,1967,None,None,None,None,gas,None,None,None,rebuilt,manual,None,4000
Mercedes 280,1975,None,fair,6 cylinders,rwd,gas,blue,None,mid-size,clean,automatic,sedan,2500
honda accord,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Honda,2005,111111222222,None,4 cylinders,fwd,gas,black,None,compact,clean,manual,sedan,65
Chevrolet Corvette,2005,None,good,8 cylinders,rwd,gas,red,123000,full-size,clean,manual,coupe,9000
oldsmobile 88 royale,1994,1G3HY52L2RH322086,good,6 cylinders,rwd,gas,custom,129597,full-size,clean,automatic,sedan,1000
jeep wrangler unlimited,2007,None,like new,6 cylinders,4wd,gas,orange,110000,full-size,clean,manual,offroad,15900
pontiac grand prix gt,2004,None,excellent,4 cylinders,None,gas,None,126000,None,clean,automatic,sedan,2800
Merecury,1946,None,good,8 cylinders,None,gas,None,None,None,clean,manual,coupe,23000
INFINITI QX56,2010,None,excellent,8 cylinders,4wd,gas,red,126876,full-size,clean,automatic,SUV,16900
nissan altima,2017,None,None,None,None,gas,None,60000,None,rebuilt,automatic,None,7950
ford taurus se,2003,None,good,6 cylinders,fwd,gas,None,101857,mid-size,clean,automatic,sedan,1950
bmw m3,2008,wbswd93538py4036,like new,8 cylinders,rwd,gas,grey,46000,compact,clean,manual,coupe,32000
lincoln Roadster,1929,None,like new,8 cylinders,rwd,gas,yellow,None,None,clean,manual,convertible,135000
ford mustang gt,2007,1ZVHT82H175255424,excellent,8 cylinders,rwd,gas,grey,151000,full-size,rebuilt,automatic,coupe,6000
Lincoln L,1930,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,75000
chrysler prowler,2001,None,like new,6 cylinders,rwd,gas,blue,5600,None,clean,automatic,convertible,32500
audi a3,2016,None,like new,None,None,gas,black,None,None,rebuilt,automatic,None,18900
Toyota Camry le,2007,None,excellent,4 cylinders,fwd,gas,silver,None,full-size,clean,automatic,sedan,5900
Mercury sable,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
Bmw 545i,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,8950
VW ROUTAN,2009,None,good,6 cylinders,None,gas,None,117000,None,clean,automatic,van,5500
Chevy Corvette Stingray,1980,None,good,6 cylinders,rwd,gas,red,70000,None,clean,automatic,coupe,7000
toyota sequoia limited,2005,None,good,8 cylinders,rwd,gas,silver,140000,full-size,clean,automatic,SUV,6500
Chrysler Town and Country,2006,1A4GP45R86B706536,excellent,6 cylinders,fwd,gas,white,101536,None,clean,automatic,mini-van,3295
Lexus GS 400,1998,None,good,8 cylinders,rwd,gas,black,147000,mid-size,salvage,automatic,sedan,3500
Chevy Impala,1963,None,None,None,None,gas,None,None,None,clean,automatic,None,15000
CADILLAC CTSV,2005,None,excellent,8 cylinders,rwd,gas,black,12000,None,clean,automatic,sedan,35000
Pontiac Firebird,1988,None,None,None,None,gas,None,None,None,missing,automatic,None,2200
chrysler 200 lx 4dr sedan,2014,None,like new,4 cylinders,None,gas,None,108000,None,clean,automatic,sedan,6000
nissan rogue sl,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
mercedes benz CLK     430,2003,None,like new,8 cylinders,rwd,gas,black,133000,full-size,clean,automatic,None,5600
buick rainier cxl,2004,5GADS13S942155446,excellent,6 cylinders,rwd,gas,silver,132672,None,clean,automatic,SUV,3285
bmw 328iAND VOLVO  80S,1999,None,good,5 cylinders,rwd,gas,black,142000,mid-size,clean,automatic,sedan,3500
Honda Civic Lx,2005,2HGES16505H517148,excellent,4 cylinders,None,gas,None,112763,None,clean,automatic,sedan,4250
Mercedes benz r350,2006,None,excellent,6 cylinders,4wd,gas,blue,71000,full-size,clean,automatic,wagon,7000
3100,1954,None,None,8 cylinders,rwd,gas,blue,None,None,clean,automatic,None,1
Chevrolet C10,1972,None,None,8 cylinders,rwd,gas,green,None,None,clean,automatic,None,13700
2009 Scion XB,2009,None,excellent,4 cylinders,fwd,gas,white,117000,compact,clean,automatic,None,7000
ford mustang 5.0 Vert,1989,None,good,8 cylinders,None,gas,white,87000,None,clean,automatic,convertible,3000
mercedes benz c240,2001,None,good,6 cylinders,rwd,gas,silver,149000,mid-size,clean,automatic,sedan,3500
Ford,2006,2FMDA51636BA39392,excellent,6 cylinders,fwd,gas,None,115247,None,clean,automatic,mini-van,3295
ford ranger,2002,None,excellent,6 cylinders,rwd,gas,brown,124505,None,clean,automatic,pickup,5000
bmw 3 series 325i,2006,None,good,6 cylinders,rwd,gas,blue,164122,compact,clean,automatic,sedan,3200
Honda Civic,1992,None,None,None,None,gas,None,None,None,clean,manual,None,3200
fleetwood,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Toyota Camry Le,2002,4T1BF32K92U033660,excellent,6 cylinders,fwd,gas,white,119863,None,clean,automatic,sedan,3585
honda crx,1991,None,None,None,None,gas,None,207000,None,clean,manual,None,500
chevrolet 1500 silverado,1990,None,fair,None,None,diesel,None,None,None,clean,automatic,None,3000
buick lucerne cx,2007,1G4HP57297U162128,excellent,6 cylinders,fwd,gas,silver,50000,full-size,clean,automatic,sedan,9500
chevrolet 1500 silverado,2003,None,good,8 cylinders,rwd,gas,black,172600,None,clean,automatic,None,4500
Ford Mustang GT/CS Convertible,2007,1ZVHT85H775198545,excellent,8 cylinders,rwd,gas,black,62500,mid-size,clean,automatic,convertible,19900
toyota 4runner,1994,None,fair,6 cylinders,rwd,gas,red,166000,mid-size,clean,automatic,SUV,1000
RANGE ROVER,2006,None,good,None,None,gas,None,None,None,clean,automatic,None,8500
lincoln aviator,2005,None,excellent,8 cylinders,4wd,gas,None,132522,None,clean,automatic,SUV,5200
2006 NISSAN XTERRA,2006,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,3700
pontiac bonneville,2002,None,new,6 cylinders,4wd,gas,None,190,None,clean,automatic,None,2000
dodge neon,2003,1B3ES56C43D250998,None,4 cylinders,None,gas,None,184890,None,clean,automatic,None,1000
Toyota Tundra,2005,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,7500
Mercedes clk 350,2008,None,like new,6 cylinders,rwd,gas,white,42000,None,clean,automatic,None,16950
"Ford Mustang Fastback, 302 4V V8",1968,8F02J140219,excellent,8 cylinders,fwd,gas,black,None,None,clean,manual,None,49000
Hyndai Accent,2007,None,good,4 cylinders,fwd,gas,white,86542,compact,clean,manual,hatchback,2000
porsche 911 carrera,1999,None,excellent,None,rwd,gas,blue,109000,None,clean,automatic,None,13800
bmw x5 4.4i,2004,None,excellent,8 cylinders,None,gas,None,160000,None,clean,automatic,None,4200
audi a4,2002,None,good,4 cylinders,fwd,gas,grey,167000,compact,clean,automatic,sedan,2400
subaru impreza wagon wrx,2011,None,None,None,None,gas,None,50400,None,rebuilt,manual,None,17500
Nissan,1991,None,None,None,None,gas,None,None,None,clean,manual,None,9500
Chevy Camaro,2017,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,18000
Nissan Versa,2015,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,7500
Nissan Altima,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,17500
Honda CR-V,2015,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,12999
dodge neon,2001,None,None,None,None,gas,None,189000,None,clean,automatic,None,1500
ford flex,2014,None,excellent,6 cylinders,fwd,gas,white,30000,full-size,salvage,automatic,SUV,11500
Toyota RAV4,2010,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,9000
Dodge Ram ProCity,2016,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,11999
Toyota Camry,2014,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,9500
ford ranchero,1968,123456,like new,8 cylinders,None,gas,None,32000,None,clean,automatic,None,16500
TOYOTA COROLLA S,2005,None,None,4 cylinders,None,gas,silver,None,None,clean,automatic,None,2999
Bmw 530I,2001,None,fair,6 cylinders,rwd,gas,purple,None,mid-size,clean,automatic,sedan,1800
Chevrolet Corvette,1994,1G1YY22P05R503168,excellent,8 cylinders,rwd,gas,red,56456,full-size,clean,manual,coupe,10950
chevrolet corvette,1985,None,good,8 cylinders,rwd,gas,grey,145550,mid-size,clean,automatic,coupe,4850
pontiac g6,2006,None,fair,4 cylinders,None,gas,grey,168628,mid-size,clean,automatic,sedan,1500
duramax,2004,None,None,None,None,gas,None,300,None,clean,automatic,None,12500
ford f-250 diesel 4x4 long bed,2007,None,None,None,None,diesel,None,180000,None,clean,automatic,None,10900
Ford F-150,2010,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,automatic,truck,25089
mazda 6,2004,None,fair,4 cylinders,None,gas,custom,110000,None,clean,automatic,sedan,1750
Buick regal,1984,None,like new,6 cylinders,rwd,gas,white,None,full-size,clean,automatic,coupe,8500
hyundai santa fe,2003,None,fair,4 cylinders,fwd,gas,custom,159000,mid-size,clean,automatic,sedan,2300
dodge ram cummins 3500 laramie,2005,None,None,6 cylinders,4wd,diesel,None,None,None,clean,automatic,truck,20000
Lexus GS 300,2002,None,None,None,None,gas,silver,None,None,clean,automatic,None,4200
Lincoln ls v6,2000,None,fair,6 cylinders,rwd,gas,brown,772066,None,clean,automatic,None,1500
gmc yukon denali,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
scion,2005,None,good,4 cylinders,None,gas,blue,None,mid-size,rebuilt,automatic,sedan,2500
Ford Mustang,1965,None,None,None,None,gas,None,None,None,clean,automatic,None,13900
Mercedes,2005,None,excellent,8 cylinders,rwd,gas,grey,116000,None,salvage,automatic,convertible,11000
toyata camry,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
cheverolet corvette,1995,None,excellent,8 cylinders,rwd,gas,green,118000,compact,clean,automatic,coupe,7550
Cadillac Escalade,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,13900
cheverolet corvette,1995,None,excellent,8 cylinders,rwd,gas,green,118000,compact,clean,automatic,coupe,7550
Chevrolet-Sebring 2006,2006,1C3EL45R36N177573,good,6 cylinders,None,gas,silver,111000,compact,clean,automatic,coupe,2700
Chevy c20,1966,None,good,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,2500
Chevrolet Corvette,1978,None,excellent,8 cylinders,fwd,gas,black,20245,None,clean,automatic,None,11111
Corvette,2014,1g1yb2d76e5107217,None,None,None,gas,None,14000,None,clean,automatic,None,44900
Mercedes s550,2014,None,excellent,None,None,gas,None,54000,None,clean,automatic,None,53000
ford f-250,2005,None,like new,8 cylinders,rwd,diesel,green,None,None,clean,automatic,truck,7200
pontiac bonneville se 4dr sedan,2003,1g2hx54k234114235,excellent,6 cylinders,fwd,gas,blue,150000,mid-size,clean,automatic,sedan,1750
volkswagen,1981,None,None,None,None,diesel,None,None,None,clean,manual,None,11000
mercedes benz s550,2007,None,excellent,8 cylinders,rwd,gas,grey,95000,full-size,clean,automatic,None,18200
Dodge 880,1963,None,good,8 cylinders,rwd,gas,blue,68194,full-size,missing,automatic,sedan,3600
chevrolet corvette,2003,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,12900
chevy silverado,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,35000
pontiac bonneville,2003,1g2hx54k234114235,excellent,6 cylinders,fwd,gas,green,151000,mid-size,clean,automatic,sedan,1750
ford f150 xlt lariat,1986,None,excellent,8 cylinders,4wd,gas,brown,176000,mid-size,clean,manual,None,3300
Mercedes Benz CLS55 AMG,2006,None,like new,8 cylinders,None,gas,silver,113000,full-size,clean,automatic,sedan,20500
suzuki forenza,2006,None,good,4 cylinders,rwd,gas,silver,141756,mid-size,clean,manual,sedan,1600
mercedes-benz e350,2010,WDDHF5GB1AA098902,excellent,6 cylinders,rwd,gas,black,50500,None,clean,automatic,sedan,19500
bmw 745li,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,3800
volkswagen beetle,1967,None,excellent,4 cylinders,rwd,gas,white,None,None,clean,manual,None,11300
chrysler 300,2001,None,good,4 cylinders,4wd,gas,white,None,full-size,clean,automatic,sedan,1000
toyota sienna,2005,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
audi a4 2.0t quattro premium,2009,None,good,4 cylinders,None,gas,grey,98032,None,clean,automatic,sedan,7000
Hyundai Genesis,2015,None,good,6 cylinders,None,gas,white,37000,None,clean,automatic,None,14000
hyundai sonata gl,2000,None,good,6 cylinders,fwd,gas,white,126000,mid-size,clean,automatic,sedan,1200
3VWDP7AJ2CM308329,2012,3VWDP7AJ2CM308329,excellent,4 cylinders,fwd,gas,black,69100,mid-size,clean,automatic,coupe,8900
lincoln town car,2005,None,like new,8 cylinders,None,gas,black,130000,None,clean,automatic,None,4500
ford focus se 4dr sedan,2006,None,good,4 cylinders,fwd,gas,silver,123410,None,clean,automatic,sedan,3300
Dodge ram,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Ford F100,1966,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
chevrolet aveo,2008,None,good,4 cylinders,None,gas,None,110000,None,rebuilt,automatic,None,2500
No engine problems at all,2005,None,excellent,None,fwd,gas,white,None,None,clean,automatic,sedan,1500
Nissan,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,950
Cadillac CTS,2003,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,None,4500
jeep grand cherokee srt8,2015,None,salvage,8 cylinders,4wd,gas,white,36000,None,rebuilt,automatic,SUV,41000
Kia Optima,2007,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,None,2900
scion,2005,None,good,4 cylinders,None,gas,blue,None,mid-size,rebuilt,automatic,sedan,2500
