make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
porsche cayman s,2007,None,excellent,6 cylinders,rwd,gas,white,74000,None,clean,manual,coupe,29000
Honda Civic SE,2015,None,excellent,None,None,gas,None,23000,None,salvage,automatic,None,9000
Scion TC,2014,None,excellent,None,None,gas,None,50000,None,salvage,automatic,None,8300
bmw 645ci,2005,WBAEH73425B193993,excellent,8 cylinders,rwd,gas,silver,74793,full-size,clean,automatic,coupe,12599
gmc,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,65
bmw 750li,2007,None,like new,None,None,gas,white,96000,full-size,clean,automatic,sedan,6000
FORD FLEX,2009,2FMDK51C89BA12129,fair,6 cylinders,None,gas,None,194129,None,clean,automatic,None,5450
FIAT 500L EASY 1.4LITER 4CY,2014,ZFBCFABH1EZ003354,fair,4 cylinders,None,gas,None,87617,None,clean,automatic,None,6950
2015 CHEVROLET MALIBU LT,2015,1G11D5SL7FF163210,good,4 cylinders,None,gas,None,36518,None,clean,automatic,None,11200
Ford Focus,2012,None,like new,4 cylinders,fwd,gas,None,24000,None,clean,automatic,None,8950
Ford Focus,2012,None,like new,4 cylinders,fwd,gas,None,24000,None,clean,automatic,None,8950
Tesla Model S P85,2014,None,good,other,rwd,electric,grey,54430,full-size,clean,automatic,sedan,60900
Ford Focus,2012,None,None,None,None,gas,None,33000,None,clean,automatic,None,8959
Tesla Model S,2015,None,good,other,rwd,electric,silver,4555,full-size,clean,automatic,sedan,68950
land rover discovery,1996,None,excellent,8 cylinders,4wd,gas,black,123000,mid-size,clean,automatic,SUV,7500
Porsche 911 Black Edition,2012,None,good,6 cylinders,rwd,gas,black,64435,full-size,clean,automatic,coupe,44900
TOYOTA COROLA  S,2005,None,good,4 cylinders,fwd,gas,grey,171000,compact,salvage,automatic,sedan,3500
Chevrolet Malibu Hybrid,2009,1g1zf57539f219767,excellent,4 cylinders,None,hybrid,grey,51000,mid-size,clean,automatic,sedan,6750
land rover discovery,1996,None,excellent,8 cylinders,4wd,gas,black,123000,mid-size,clean,automatic,SUV,7500
land rover discovery,1996,None,excellent,8 cylinders,4wd,gas,black,123000,mid-size,clean,automatic,SUV,7500
land rover discovery,1996,None,excellent,8 cylinders,4wd,gas,black,123000,mid-size,clean,automatic,SUV,7500
nissan 240sx,1996,None,excellent,4 cylinders,None,gas,None,1888,None,clean,automatic,None,7
GMC Yukon,2002,None,None,None,None,gas,None,150000,None,clean,automatic,None,1200
Volkswagen Tiguan,2013,None,good,None,None,gas,white,54000,compact,clean,automatic,SUV,14999
pontiac g6,2006,None,excellent,4 cylinders,fwd,gas,red,103000,full-size,clean,automatic,sedan,3491
Lexus GX 470,2003,None,good,8 cylinders,4wd,gas,silver,200300,None,clean,automatic,None,9300
ford f-150,2006,None,excellent,8 cylinders,rwd,gas,grey,103500,None,clean,automatic,pickup,6300
Ford,1991,None,good,4 cylinders,fwd,gas,blue,116000,compact,clean,automatic,hatchback,1600
mercedes benz c300,2015,None,None,None,None,gas,None,None,full-size,clean,automatic,None,24500
Lexus IS250,2010,JTHBF5C25A5127766,excellent,6 cylinders,rwd,gas,white,59700,mid-size,clean,automatic,sedan,16000
chevrolet astro passenger,2001,None,good,6 cylinders,rwd,gas,white,185000,compact,clean,automatic,mini-van,700
ford ranger super cab xlt,2005,None,like new,6 cylinders,rwd,gas,grey,72721,None,clean,automatic,pickup,8500
lexus ls 400,1997,None,good,8 cylinders,rwd,gas,orange,242214,full-size,clean,automatic,sedan,500
dodge ram cargo van,1996,None,excellent,8 cylinders,rwd,gas,silver,262001,None,clean,automatic,van,1100
acura 3.5 rl,1996,None,excellent,6 cylinders,fwd,gas,green,190289,None,clean,automatic,sedan,1500
mercedes-benz s430,2000,None,excellent,8 cylinders,rwd,gas,silver,224129,None,clean,automatic,sedan,1900
toyota corolla ce,2008,None,excellent,4 cylinders,fwd,gas,white,165214,None,clean,automatic,sedan,3700
toyota camry,1995,None,excellent,6 cylinders,fwd,gas,black,200000,compact,clean,automatic,sedan,900
Chevy express,2005,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,6399
bmw 328i,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4200
Volkswagen Jetta,1986,None,excellent,None,None,diesel,None,None,None,clean,manual,None,4250
honda odyssey,2006,None,None,None,None,gas,None,None,None,clean,automatic,mini-van,5999
Ford F350,1987,None,fair,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,None,4500
Convertible Toyota Solara,2006,None,good,6 cylinders,None,gas,black,150200,compact,clean,automatic,convertible,4200
Huyndai Sonata,2008,None,like new,None,None,gas,None,22110,None,clean,automatic,None,7500
acura cl type s,2001,None,good,6 cylinders,None,gas,None,134520,None,clean,automatic,None,2800
Huyndai Sonata,2008,None,like new,None,None,gas,None,22110,None,clean,automatic,None,7650
mustang,2000,None,excellent,6 cylinders,rwd,gas,grey,None,full-size,clean,automatic,coupe,2900
audi a6 avant quattro,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Toyota Corola,2015,5yfbprhe2fp183263,excellent,4 cylinders,fwd,gas,white,13000,compact,clean,automatic,sedan,15500
toyota solara convertible,2006,Clean Title,good,6 cylinders,None,gas,black,150200,compact,clean,automatic,convertible,4200
audi s4,2011,None,excellent,6 cylinders,4wd,gas,black,101150,None,clean,manual,None,22000
mercedes benz CLK350,2009,None,good,6 cylinders,rwd,gas,red,110000,compact,clean,automatic,coupe,8600
audi a6,2007,WAUAH74F37N170268,excellent,6 cylinders,fwd,gas,custom,96000,full-size,clean,automatic,sedan,6400
Convertible Toyota Solara,2006,None,good,6 cylinders,None,gas,black,None,compact,clean,automatic,convertible,4200
honda civic,2002,None,fair,None,None,gas,black,None,None,rebuilt,automatic,other,800
dodge dakota,1988,None,fair,6 cylinders,None,gas,None,None,None,salvage,automatic,None,1000
kia spectra ex,2006,None,excellent,4 cylinders,fwd,gas,grey,122000,mid-size,clean,automatic,sedan,2500
honda accord,2013,1HGCR2F31DA249313,excellent,4 cylinders,fwd,gas,custom,28000,full-size,clean,automatic,sedan,14500
toyota camry solara convertible,2006,None,good,6 cylinders,None,gas,black,150200,compact,clean,automatic,convertible,4200
nissan altima 2.5 sr,2017,None,like new,4 cylinders,fwd,gas,blue,18000,mid-size,salvage,automatic,sedan,13500
nissan altima 2.5 SR,2017,None,like new,4 cylinders,fwd,gas,blue,18000,mid-size,salvage,automatic,sedan,13500
Toyota,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2300
NISSAN ALTIMA 2.5 SR,2017,None,like new,4 cylinders,fwd,gas,blue,18000,mid-size,salvage,automatic,sedan,13500
NISSAN ALTIMA 2.5 SR,2017,None,like new,4 cylinders,fwd,gas,blue,18000,compact,salvage,automatic,sedan,13500
NISSAN ALTIMA 2.5 SR,2017,None,like new,4 cylinders,fwd,gas,blue,18000,compact,salvage,automatic,sedan,13500
NISSAN ALTIMA 2.5 SR,2017,None,like new,4 cylinders,fwd,gas,blue,18000,compact,salvage,automatic,sedan,13500
GEN E825,2002,None,None,None,None,electric,None,None,None,clean,automatic,None,4500
honda s2000,2007,None,excellent,4 cylinders,rwd,gas,silver,81000,compact,clean,manual,convertible,15000
dodge journey,2011,None,None,None,None,gas,None,None,None,salvage,automatic,None,7900
NISSAN ALTIMA SV,2016,None,like new,4 cylinders,fwd,gas,blue,12000,compact,salvage,automatic,sedan,11000
nissan maxima,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4200
Honda CR-V,2014,None,like new,4 cylinders,fwd,gas,silver,13890,mid-size,clean,automatic,SUV,22500
Chevy tahoe,2005,None,None,None,None,gas,None,None,None,salvage,automatic,None,4500
Acura tsx,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
dodge dart sxt,2015,None,like new,4 cylinders,fwd,gas,black,2000,compact,clean,automatic,sedan,11500
Infiniti,2005,None,good,6 cylinders,rwd,gas,None,104051,None,salvage,automatic,sedan,3550
dodge dart sxt,2015,None,like new,4 cylinders,fwd,gas,black,2000,compact,clean,automatic,sedan,11500
dodge dart sxt,2015,None,like new,4 cylinders,fwd,gas,black,2000,compact,clean,automatic,sedan,11500
dodge dart sxt,2015,None,like new,4 cylinders,fwd,gas,black,2000,compact,clean,automatic,sedan,11500
dodge dart sxt,2015,None,like new,4 cylinders,fwd,gas,black,2000,compact,clean,automatic,sedan,11500
dodge dart sxt 4dr sedan,2015,None,like new,4 cylinders,fwd,gas,black,None,compact,clean,automatic,sedan,11500
maz,2014,None,excellent,4 cylinders,fwd,gas,black,49500,compact,salvage,manual,sedan,8500
mazda 3,2014,None,excellent,4 cylinders,fwd,gas,black,49500,compact,salvage,manual,sedan,8500
mazda 3,2014,None,excellent,4 cylinders,fwd,gas,black,49500,compact,salvage,manual,sedan,8500
mazda 3,2014,None,excellent,4 cylinders,fwd,gas,black,49500,compact,salvage,manual,sedan,8500
