make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Chevy S-10,1999,None,excellent,6 cylinders,rwd,gas,custom,160000,None,clean,automatic,pickup,4500
gmc yukon xl,2008,1gkfc16j48j201689,good,6 cylinders,fwd,gas,silver,98000,full-size,clean,manual,SUV,15000
nissan sentra,2013,None,None,None,None,gas,None,40000,None,clean,automatic,None,7600
acura legend,1993,JH4KA7678PC005375,good,6 cylinders,rwd,gas,white,186000,mid-size,clean,automatic,sedan,1000
honda accord wagon,1995,None,good,4 cylinders,fwd,gas,custom,None,None,clean,automatic,wagon,3
Toyota Sienna,2005,None,salvage,6 cylinders,None,gas,white,135000,None,salvage,automatic,mini-van,6400
honda civic si,2006,None,None,None,None,gas,None,None,None,clean,manual,None,10
bmw 320i,2014,None,excellent,None,None,gas,grey,86000,None,clean,automatic,None,14999
chrysler 200,2015,None,like new,4 cylinders,fwd,gas,grey,8700,mid-size,clean,automatic,sedan,10800
nissan rogue,2016,5N1AT2MVXGC746473,like new,4 cylinders,4wd,gas,grey,38756,mid-size,clean,automatic,SUV,14950
LEXUS IS250 IS350 IS 250 350,2012,None,excellent,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,11596
Mazda Miata,1990,Miata,None,4 cylinders,rwd,gas,red,None,compact,salvage,manual,convertible,1700
Audi A6,2016,None,good,4 cylinders,4wd,gas,silver,25000,full-size,lien,automatic,sedan,329
toyota sienna,2010,None,good,4 cylinders,rwd,gas,white,89863,mid-size,clean,automatic,mini-van,9200
2007 Dodge Charger,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4999
toyota camry le 4dr sedan,2003,None,good,None,None,gas,None,87000,None,clean,automatic,None,3500
hummer h2 luxury 4x4,2004,5GRGN23U64H10287,excellent,8 cylinders,4wd,gas,red,34100,full-size,clean,automatic,SUV,37500
honda civic ex,2003,None,None,None,None,gas,grey,150000,None,clean,manual,None,600
subaru outback,2012,None,excellent,4 cylinders,4wd,gas,white,89000,None,clean,automatic,None,13300
honda civic ex,2003,None,None,None,None,gas,grey,150000,None,clean,manual,None,600
audi a6,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Honda Civic,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Chevy Camaro,1998,None,None,6 cylinders,rwd,gas,red,None,compact,clean,manual,coupe,800
Ford Focus,2012,None,like new,None,fwd,gas,None,33000,None,clean,automatic,None,8950
harley davidson,2011,None,None,None,None,gas,None,None,None,clean,manual,None,1
Lexus IS250,2010,JTHBF5C25A5127766,excellent,6 cylinders,rwd,gas,white,59700,mid-size,clean,automatic,sedan,16000
Nissan Sentra,2002,None,good,4 cylinders,fwd,gas,blue,128267,compact,clean,automatic,sedan,2300
ford explorer,2002,None,fair,8 cylinders,None,gas,None,256,None,clean,automatic,SUV,999
hummer h2,2007,None,excellent,None,None,gas,None,120,None,clean,automatic,truck,21999
bmw 530xi,2007,None,like new,6 cylinders,4wd,gas,white,123000,None,clean,manual,None,8200
mercedes-benz sl500,2003,None,excellent,None,None,gas,None,119125,None,clean,automatic,None,8999
chevy elcamino,1971,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
acura tsx 2.4,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
dodge ram 2500 van,1986,None,good,6 cylinders,fwd,gas,white,169000,full-size,clean,automatic,van,2500
chevrolet impala,2008,None,excellent,6 cylinders,fwd,gas,silver,114000,full-size,clean,automatic,sedan,4000
Toyota Tacoma,2005,None,good,4 cylinders,rwd,gas,black,100000,full-size,clean,manual,pickup,5500
toyota 4runner,1992,Jt3vn29v6n9000769,fair,6 cylinders,rwd,gas,white,218866,None,clean,automatic,SUV,2000
mitsubishi eclipse gs,1999,None,excellent,4 cylinders,fwd,gas,custom,79000,None,clean,automatic,coupe,3800
toyota camry,2014,s6340957,like new,4 cylinders,fwd,gas,red,None,full-size,clean,automatic,sedan,12500
Forrd Broncco,1978,None,None,None,4wd,gas,None,None,None,clean,automatic,None,3268
mazda mpv,2000,None,excellent,6 cylinders,None,gas,grey,None,None,clean,automatic,mini-van,3250
mazda miata mx-5,2000,818003,good,4 cylinders,rwd,gas,green,122323,sub-compact,clean,manual,convertible,300
isuzu rodeo,1999,774200,good,6 cylinders,4wd,gas,white,122433,compact,clean,automatic,SUV,300
toyota prius,2007,None,excellent,other,fwd,gas,green,165376,None,clean,automatic,other,5150
suzuki forenza,2007,None,good,4 cylinders,fwd,gas,red,96000,mid-size,clean,automatic,sedan,3200
SKYLINE,1992,None,None,None,None,gas,None,None,None,clean,manual,None,16000
bmw 318ti,1997,WBACG8320VAU39816,good,4 cylinders,rwd,gas,silver,223900,compact,clean,automatic,hatchback,2500
bmw 328i,2012,None,excellent,6 cylinders,fwd,gas,black,54500,compact,clean,automatic,convertible,16500
honda cr-v ex-l,2010,See photo,like new,4 cylinders,None,gas,None,49000,None,clean,automatic,None,15500
ford ranger,2003,None,excellent,6 cylinders,rwd,gas,black,147000,mid-size,clean,manual,truck,4800
toyota prius,2010,JTDKN3DU7A0009515,excellent,4 cylinders,fwd,hybrid,None,102000,None,clean,manual,None,8250
bmw 528i,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
BMW M5,2008,None,None,10 cylinders,rwd,gas,None,90000,None,clean,other,sedan,17200
gmc denali,2005,None,None,8 cylinders,4wd,gas,None,144000,None,clean,automatic,None,9000
Mazda,2000,None,excellent,4 cylinders,None,gas,grey,None,mid-size,clean,automatic,None,2000
pontiac grand prix gt,2000,None,fair,6 cylinders,None,gas,black,None,full-size,clean,automatic,sedan,1200
jaguar xj6l,1997,None,good,6 cylinders,rwd,gas,None,164000,full-size,clean,automatic,None,1200
mercedes benz,1997,None,excellent,6 cylinders,None,gas,white,None,compact,clean,automatic,None,1650
1993 Honda Accord EX 5spd,1993,None,good,4 cylinders,fwd,gas,None,None,mid-size,clean,manual,sedan,3000
