make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Saturn SC1,1997,None,good,4 cylinders,fwd,gas,green,155000,compact,salvage,automatic,coupe,1200
toyota prius,2011,None,excellent,4 cylinders,fwd,hybrid,white,137000,None,clean,automatic,hatchback,7200
bmw 325ci,2003,None,good,6 cylinders,4wd,gas,blue,150000,compact,clean,automatic,coupe,2500
Cadillac Sedan Deville,1956,None,good,8 cylinders,rwd,gas,None,None,None,clean,automatic,sedan,16000
Mercedes Benz C230 Kompressor,2006,WDBRF52HX6F748443,good,4 cylinders,rwd,gas,black,132656,compact,clean,automatic,sedan,3900
Lincoln Navigator Ultimate,2003,5LMFU27R33LJ18330,good,8 cylinders,rwd,gas,black,98365,full-size,clean,automatic,SUV,4900
Cadillac 60 Special,1994,None,fair,8 cylinders,fwd,gas,black,155000,full-size,clean,automatic,sedan,1278
F150,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Chevy Silverado,2010,None,good,8 cylinders,fwd,gas,white,94000,None,salvage,automatic,truck,10500
jeep wrangler,1989,None,good,6 cylinders,4wd,gas,white,189000,mid-size,clean,manual,None,6000
audi a4,2005,None,excellent,None,None,gas,None,None,None,salvage,automatic,None,4000
ford mustang,1998,None,excellent,6 cylinders,None,gas,grey,None,None,clean,automatic,None,1000
toyota highlander,2004,None,None,None,4wd,gas,blue,180780,None,clean,automatic,None,3500
sand rail,1995,None,None,None,None,gas,None,None,None,clean,manual,None,7000
Mercedes benz cl500,2002,None,good,8 cylinders,rwd,gas,None,120000,full-size,clean,automatic,coupe,6500
2006 BMW 530xi,2006,None,good,6 cylinders,4wd,gas,silver,185000,None,clean,manual,None,4000
pontiac grand prix gt,2005,None,good,6 cylinders,fwd,gas,black,None,None,clean,automatic,None,2000
Chevrolet Silverado 3500,2005,None,good,8 cylinders,rwd,gas,white,209000,None,clean,automatic,truck,5250
ford excursion,2001,None,good,8 cylinders,rwd,diesel,white,285000,full-size,clean,automatic,truck,1
1999 GT Ford Mustang,1999,1FAFP45X1XF173994,good,8 cylinders,fwd,gas,white,90907,mid-size,clean,manual,convertible,4995
mitsubishi eclipse gs,2007,None,good,4 cylinders,fwd,gas,red,None,compact,clean,automatic,coupe,3500
Ford Bronco,1978,upon sale,excellent,8 cylinders,4wd,gas,brown,38165,full-size,clean,automatic,SUV,25000
alfa romeo Spyder GRADUATE,1987,upon sale,good,4 cylinders,None,gas,red,145560,compact,salvage,manual,convertible,10000
TOYOTA COROLLA S PLUS,2014,None,like new,4 cylinders,fwd,gas,None,15562,mid-size,clean,automatic,sedan,10900
chevy silverado,2002,None,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,None,3800
Chevy 150,1957,None,None,None,None,gas,None,None,None,clean,manual,sedan,5500
Jeep,2004,None,None,None,4wd,gas,None,None,None,clean,automatic,None,4500
chevrolet k5 blazer,1972,None,good,8 cylinders,4wd,gas,yellow,89000,full-size,clean,manual,offroad,17000
Dodge 880,1963,None,None,8 cylinders,rwd,gas,None,68194,None,missing,automatic,sedan,3600
nissan quest 3.5 s,2005,None,good,6 cylinders,None,gas,green,None,None,salvage,automatic,None,2500
Ford Explorer advance trac,2006,None,excellent,6 cylinders,None,gas,red,160000,None,clean,automatic,None,4500
Mercury Comet,1964,None,good,6 cylinders,rwd,gas,blue,20000,mid-size,clean,automatic,sedan,3900
TESLA ROADSTER,2008,5YJRE11B081000136,excellent,other,rwd,electric,red,22833,mid-size,clean,automatic,convertible,68000
Sebring,2017,None,None,None,None,other,None,None,None,clean,other,None,149
