make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet camaro,2015,None,None,None,None,gas,None,None,None,salvage,manual,None,9500
Nissan Rogue SL,2010,JN8AS5MT6AW009899,excellent,4 cylinders,fwd,gas,grey,118000,None,clean,automatic,SUV,6500
mitsubishi eclipse gst,1997,None,good,None,fwd,gas,grey,180000,compact,clean,manual,coupe,4000
dexis otl,2011,None,None,None,None,gas,None,None,None,clean,other,None,9569
ford ranger sport,2011,1FTKR1EE1BPA59612,good,6 cylinders,rwd,gas,black,129620,mid-size,clean,automatic,truck,8500
ford f-150,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
xl imfc,2015,None,None,None,None,diesel,None,None,None,clean,other,None,11369
nissan murano le,2009,None,excellent,6 cylinders,4wd,gas,white,123142,None,clean,automatic,SUV,2100
bmw 525i,2004,None,excellent,None,None,gas,None,90000,None,clean,automatic,None,6800
TOYOTA CAMRY HYBRID XLE,2007,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,4950
hyundai santa fe,2007,None,good,None,None,gas,None,119000,None,clean,automatic,None,5600
Nissan cube,2010,None,None,4 cylinders,None,gas,None,None,None,clean,manual,None,4000
ford expedition,2009,None,good,None,None,gas,None,None,None,clean,automatic,None,6800
bmw,2004,None,None,8 cylinders,None,gas,blue,132000,full-size,clean,automatic,None,4000
ford fusion,2012,None,excellent,4 cylinders,None,gas,None,58000,None,clean,automatic,sedan,7800
infiniti Q56,2007,None,good,8 cylinders,fwd,gas,white,None,mid-size,clean,automatic,SUV,8500
honda fit sport,2011,None,new,4 cylinders,None,gas,None,89000,None,clean,automatic,None,8000
TOYOTA CAMRY HYBRID XLE,2007,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,4950
Acura TL,2007,None,good,6 cylinders,None,gas,white,154450,None,clean,automatic,None,8000
MGB,1978,None,fair,4 cylinders,rwd,gas,blue,None,compact,clean,manual,None,1300
HONDA ACCORD EX,2007,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,4950
HONDA ACCORD EX,2007,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,4950
toyota tacoma,2016,None,like new,6 cylinders,rwd,gas,grey,12300,mid-size,clean,automatic,truck,26900
toyota corolla ce,2008,None,good,4 cylinders,fwd,gas,red,150000,None,clean,automatic,sedan,3900
chrysler 200,2015,None,like new,4 cylinders,fwd,gas,grey,8900,mid-size,clean,automatic,sedan,10800
chrysler 200,2015,None,like new,4 cylinders,fwd,gas,grey,8900,mid-size,clean,automatic,sedan,10800
HONDA ACCORD EX,2007,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,4950
TOYOTA CAMRY HYBRID XLE,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,4999
TOYOTA CAMRY HYBRID XLE,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,4999
TOYOTA CAMRY HYBRID XLE,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,4999
Mitsubishi lancer,2003,None,good,4 cylinders,4wd,gas,red,100,mid-size,clean,manual,sedan,16000
toyota avalon,2006,None,good,6 cylinders,fwd,gas,custom,161000,full-size,clean,automatic,sedan,4000
Honda Fit,2015,None,like new,4 cylinders,fwd,gas,black,59123,full-size,clean,automatic,sedan,9800
nissan rogue,2016,5N1AT2MVXGC746473,like new,4 cylinders,4wd,gas,grey,38756,mid-size,clean,automatic,SUV,14950
Corvette hood,1976,None,None,None,None,other,None,None,None,parts only,other,None,500
Toyota Camry SE,2006,None,excellent,None,None,gas,None,180,None,clean,automatic,None,3000
Toyota Corolla LE,2010,None,excellent,None,None,gas,None,120,None,clean,automatic,None,6500
Nissan Altima 2.5 SL,2013,None,excellent,None,None,gas,None,108000,None,clean,automatic,None,8900
