make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Bmw 530i,2005,None,excellent,6 cylinders,None,gas,white,None,None,clean,automatic,None,6500
Ford Mustang,1966,None,good,8 cylinders,rwd,gas,black,None,None,clean,automatic,None,12000
vw bug,1970,None,good,None,None,gas,None,None,None,clean,manual,None,4200
Nissan Xterra se,2000,None,excellent,6 cylinders,4wd,gas,black,None,sub-compact,clean,automatic,SUV,3800
bmw 325,1987,None,excellent,6 cylinders,rwd,gas,red,178000,sub-compact,salvage,manual,coupe,6200
suzuki forenza,2008,None,good,4 cylinders,fwd,gas,silver,117000,mid-size,clean,automatic,sedan,2894
Mercede-Benz C280,2007,None,excellent,6 cylinders,4wd,gas,silver,47000,mid-size,clean,automatic,sedan,7500
Prius,2015,JTDKN3DU9F1983742,like new,4 cylinders,fwd,hybrid,white,35000,mid-size,clean,automatic,hatchback,13500
Tow Dolly tow smart trialers,2018,None,new,other,fwd,other,blue,00000,compact,clean,other,other,1310
1959 TRIUMPH TR3A ROADSTER,1959,TS38709 L,good,4 cylinders,rwd,gas,yellow,39762,compact,clean,manual,convertible,25000
chevy corvette C5 model,2002,1G1YY22G025115973,excellent,8 cylinders,None,gas,red,79000,compact,clean,manual,coupe,14999
GMC Sierra 1500 slt,2014,None,excellent,8 cylinders,rwd,gas,white,37500,full-size,clean,automatic,truck,33000
Lexus,2014,None,excellent,6 cylinders,fwd,hybrid,silver,22000,mid-size,clean,automatic,coupe,30000
Airstream,2000,None,excellent,None,None,other,None,None,None,clean,other,other,5000
LEXUS ES 300,2003,None,None,None,None,gas,None,137200,None,clean,automatic,sedan,4499
toyota tacoma,2017,None,excellent,6 cylinders,None,gas,None,None,None,clean,automatic,None,26500
CHEVY,1969,None,like new,8 cylinders,fwd,gas,green,27000,full-size,clean,automatic,pickup,12500
hyundai elentra,2013,5npdh4ae5dh384443,fair,4 cylinders,fwd,gas,blue,103000,compact,clean,automatic,sedan,6600
dodge neon,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Toyota Tacoma,2001,None,good,4 cylinders,rwd,gas,black,233000,mid-size,clean,automatic,pickup,6400
toyota camry se,2017,None,like new,None,None,gas,None,None,None,clean,automatic,None,18800
ford f-150 lariat,2002,None,None,8 cylinders,rwd,gas,green,146000,full-size,clean,automatic,pickup,6900
2012 Corvette Grand Sport,2012,None,like new,8 cylinders,rwd,gas,white,55000,None,clean,manual,coupe,34500
jaguar xj8,1998,SAJHX124XWC819126,excellent,8 cylinders,None,gas,green,148445,full-size,clean,automatic,sedan,2099
Acura TL,2004,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1000
jeep grand cherokee,1998,None,fair,6 cylinders,None,gas,green,None,None,clean,automatic,None,650
Honda Prelude,1999,None,excellent,4 cylinders,None,gas,None,175793,None,clean,manual,None,3500
bmw 530i,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,4499
mitsubishi eclipse,1999,None,None,None,None,gas,None,194000,None,clean,manual,None,1350
plymouth barracuda,1967,None,None,None,None,gas,None,None,None,clean,automatic,None,6400
Range Rover,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Ford E 250 Handicap van,2006,None,like new,8 cylinders,rwd,gas,white,121000,full-size,clean,automatic,van,8995
Volvo s40 t,2003,None,good,4 cylinders,fwd,gas,grey,87500,mid-size,clean,automatic,sedan,6500
honda accord,2001,None,good,4 cylinders,None,gas,black,230000,None,clean,automatic,None,1200
Ford Focus,2012,None,None,None,None,gas,None,33000,None,clean,automatic,None,8950
Dodge Polara,1964,None,good,8 cylinders,None,gas,blue,88000,full-size,clean,automatic,sedan,5000
honda civic,1999,None,excellent,4 cylinders,None,gas,None,180,None,clean,automatic,None,2900
Mercedes benz c250 sport,2012,WDDGF4HB5CR209637,like new,4 cylinders,rwd,gas,grey,630000,full-size,clean,automatic,sedan,16500
toyota tacoma prerunner,2005,None,excellent,6 cylinders,fwd,gas,silver,141000,None,clean,automatic,truck,14500
chevrolet malibu,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
ford mustang,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
Mitsubishi Eclipse,2004,None,None,None,None,gas,None,None,None,clean,manual,None,2400
mercedes-benz clk-class,2004,None,good,6 cylinders,fwd,gas,white,234000,mid-size,clean,automatic,coupe,3495
Ford,2002,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,None,2250
Bmw 325i,2005,None,None,None,None,gas,None,151000,None,clean,automatic,None,4000
chevy,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
Mercedes E500,2003,WDBUF70J83A083904,excellent,8 cylinders,rwd,gas,None,64800,full-size,clean,automatic,sedan,8900
Mercedes E500,2003,WDBUF70J83A083904,excellent,8 cylinders,rwd,gas,None,64800,full-size,clean,automatic,sedan,8900
Mercedes E500,2003,WDBUF70J83A083904,excellent,8 cylinders,rwd,gas,None,64800,full-size,clean,automatic,sedan,8900
Chevy Suburban,2000,None,good,8 cylinders,rwd,gas,blue,170,full-size,clean,automatic,SUV,3500
chevrolet silverado,2001,1gcec19v71z211615,good,8 cylinders,rwd,gas,grey,172636,full-size,clean,automatic,truck,4000
DODGE DAKOTA,2002,None,good,4 cylinders,fwd,gas,white,None,mid-size,missing,manual,SUV,1500
dodge dakota,2002,None,good,6 cylinders,rwd,gas,white,None,mid-size,missing,manual,truck,1500
HONDA CRV,2000,None,good,4 cylinders,fwd,gas,grey,None,mid-size,clean,automatic,SUV,3150
mercedes s430,2006,wdbng70j36a481950,excellent,8 cylinders,rwd,gas,silver,92530,None,clean,automatic,sedan,8200
HODA CRV,2000,None,good,4 cylinders,rwd,gas,white,None,mid-size,missing,manual,SUV,3300
nissan xterra,2000,None,good,None,None,gas,blue,165823,None,clean,automatic,truck,2900
mercury cougar,1970,None,None,None,None,gas,None,None,None,clean,automatic,None,12500
bmw x5 xdrive35i,2017,5UXKR0C35H0V81137,like new,6 cylinders,None,gas,white,4000,full-size,clean,automatic,SUV,885
Audi S4,2001,None,good,6 cylinders,4wd,gas,silver,None,mid-size,clean,manual,None,4200
Ford,2002,None,good,6 cylinders,None,gas,None,None,None,clean,manual,None,2250
