make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Chevrolet Malibu Hybrid,2009,None,like new,None,None,hybrid,None,67000,None,clean,automatic,None,7950
dodge journey,2012,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,7800
bmw 325i,1994,WBACB4329RFL18055,fair,6 cylinders,rwd,gas,green,312000,mid-size,clean,automatic,sedan,1950
buick lacrosse,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3100
Trailer,1978,None,None,None,None,other,None,None,None,clean,other,None,1000
BMW 528E,1987,None,excellent,None,None,gas,None,213,None,clean,automatic,None,1850
Honda crv,2002,JHLRD78892C084533,excellent,4 cylinders,4wd,gas,black,141,None,clean,automatic,None,4000
mercury sable,2001,None,fair,6 cylinders,fwd,gas,silver,177000,mid-size,clean,automatic,sedan,800
ford focus,2001,None,good,4 cylinders,fwd,gas,silver,204000,compact,clean,automatic,sedan,2100
Toyota  odessy,1991,Clean,good,6 cylinders,rwd,gas,white,72000,full-size,clean,automatic,bus,3500
saturn vue,2008,None,None,6 cylinders,None,gas,None,132200,None,clean,automatic,None,6500
nissan pathfinder,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1850
chevrolet,1946,None,good,6 cylinders,None,gas,None,None,None,clean,manual,None,11500
Ford Mustang,1967,7R01C121382,excellent,8 cylinders,rwd,gas,grey,37870,mid-size,clean,manual,coupe,28000
Kia Optima Lx,2013,None,excellent,4 cylinders,fwd,gas,silver,44000,full-size,salvage,automatic,sedan,7999
Honda Civic,1993,None,good,4 cylinders,fwd,gas,blue,None,compact,clean,automatic,None,1950
CHEVY CORVETTE CONVERTIBLE,2007,None,None,None,None,gas,red,None,None,clean,automatic,None,29500
CHEVROLET NOVA,1970,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
ford mustang 5.0,1989,None,fair,8 cylinders,rwd,gas,blue,None,None,clean,automatic,None,8000
volkswagen jetta,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
ford f-150 lariat,2002,None,None,8 cylinders,rwd,gas,green,146000,full-size,clean,automatic,pickup,6900
Toyota Tacoma,2001,None,good,4 cylinders,rwd,gas,black,233000,mid-size,clean,automatic,pickup,6400
Honda Civic wagon,1981,None,None,None,None,gas,None,None,None,clean,manual,None,5200
gmc 1500 sierra,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Honda Accord EXL,2005,None,excellent,6 cylinders,fwd,gas,grey,112000,full-size,clean,automatic,sedan,6950
GMC,1998,None,good,None,None,gas,None,None,None,clean,automatic,None,5000
Dodge Ram,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
GMC TERRAIN,2015,None,good,4 cylinders,fwd,gas,grey,None,mid-size,salvage,automatic,SUV,14900
infiniti g35 sedan,2003,None,None,6 cylinders,rwd,gas,None,None,None,clean,automatic,None,5000
chevy elcamino,1968,None,fair,8 cylinders,rwd,gas,grey,None,full-size,clean,automatic,other,3300
Ford explorer.,2002,None,new,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,1200
gmc sierra 1500,1999,None,good,8 cylinders,rwd,gas,red,311000,None,clean,automatic,None,4450
ford mustang v6 auto,2004,None,salvage,6 cylinders,None,gas,red,None,compact,salvage,automatic,coupe,2900
volvo xc70,2004,None,good,5 cylinders,4wd,gas,white,281000,full-size,clean,automatic,wagon,3500
honda civic lx,2007,None,good,4 cylinders,None,gas,blue,147500,None,clean,manual,coupe,3000
lexus es 330,2004,None,good,6 cylinders,None,gas,None,147333,None,clean,automatic,None,4800
Chevrolet Malibu Hybrid,2009,None,like new,None,None,hybrid,None,67000,None,clean,automatic,None,7950
Chevrolet Malibu Hybrid,2009,None,like new,None,None,hybrid,None,67000,None,clean,automatic,None,7950
Chevrolet Malibu Hybrid,2009,None,like new,None,None,hybrid,None,67000,None,clean,automatic,None,7950
Chevrolet Malibu Hybrid,2009,None,like new,None,None,hybrid,None,67000,None,clean,automatic,None,7950
ford mustang,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
Bmw 325i,2004,None,None,6 cylinders,None,gas,None,135000,None,clean,automatic,None,4800
Ford F-250 HD 4X4,1997,1fTHw26f9vec46760,excellent,8 cylinders,4wd,diesel,white,127600,full-size,clean,automatic,truck,17000
honda odyssey,2007,None,like new,6 cylinders,None,gas,None,92079,None,clean,automatic,None,6800
ford expedition eddie bauer,2003,None,excellent,8 cylinders,None,gas,None,120580,None,clean,automatic,None,4400
nissan altima,2014,None,like new,4 cylinders,fwd,gas,grey,44000,None,clean,automatic,sedan,15500
Pontiac GTO,1964,None,like new,8 cylinders,rwd,gas,red,97000,compact,clean,manual,None,70000
gmc 1500 yukon denali,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
honda civic hatchback DX,2000,2HGEJ6441YH106601,good,None,None,gas,silver,190547,compact,clean,automatic,hatchback,2800
ford windstar,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1700
Honda Accord EX,1998,1HGCG1659WA056671,good,6 cylinders,None,gas,None,225306,full-size,clean,automatic,None,2800
toyota tacoma,2001,None,None,4 cylinders,None,gas,None,None,None,clean,manual,None,5000
chevrolet 1500 silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
Porsche 911 Twin Turbo,2008,None,like new,6 cylinders,4wd,gas,silver,54300,compact,clean,automatic,None,59999
Ford Mustang,1972,None,good,6 cylinders,rwd,gas,black,50000,compact,clean,automatic,hatchback,7500
chevrolet 1500 silverado,2009,None,None,None,None,gas,None,97000,None,salvage,automatic,None,12500
Nissan Xterra,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
MAZDA CX5,2016,None,excellent,4 cylinders,fwd,gas,white,7700,mid-size,clean,automatic,SUV,25995
DODGE DAKOTA,2002,None,good,6 cylinders,rwd,gas,white,None,mid-size,missing,automatic,truck,1500
DODGE DAKOTA,2002,None,good,4 cylinders,rwd,gas,white,None,mid-size,missing,automatic,truck,1500
X3,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
vw jetta,1997,None,None,None,None,gas,None,None,None,clean,manual,None,900
Nissan Altima,2008,None,good,4 cylinders,fwd,gas,brown,105000,full-size,clean,automatic,sedan,4900
toyota corolla,1993,None,fair,None,None,gas,None,237955,None,clean,automatic,None,400
Jeep,2015,None,None,None,None,gas,None,13600,None,clean,automatic,None,17500
Ford,2002,None,good,6 cylinders,None,gas,None,None,None,clean,manual,None,2250
