make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford mustang gt,2006,None,None,8 cylinders,None,gas,None,120000,None,clean,automatic,None,6500
toyota corolla ce,2002,None,good,4 cylinders,fwd,gas,yellow,101322,compact,clean,automatic,sedan,3900
or newer,1987,None,None,None,None,gas,None,None,None,clean,automatic,van,5000
Trailblazer,2006,None,excellent,6 cylinders,rwd,gas,white,None,full-size,clean,automatic,sedan,8000
Toyota,2009,None,excellent,6 cylinders,None,gas,None,84000,None,clean,automatic,mini-van,4300
honda accord lx,2005,1HGCM56465A136645,excellent,4 cylinders,fwd,gas,silver,60428,full-size,clean,automatic,sedan,6500
ford mustang convertible,1966,6R08T206675,excellent,6 cylinders,rwd,gas,custom,97896,full-size,clean,manual,convertible,24500
bmw 328i C,2007,WBAWB33537PV72742,excellent,6 cylinders,rwd,gas,white,80800,mid-size,clean,automatic,coupe,13200
toyota tundra,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,300
BMW X5,2005,None,excellent,8 cylinders,4wd,gas,black,119000,full-size,clean,automatic,SUV,5900
Cadillac Escalade EXT,2003,None,excellent,8 cylinders,4wd,gas,blue,95000,None,clean,automatic,pickup,11000
gmc sierra,2005,None,good,6 cylinders,None,gas,white,None,None,clean,automatic,None,4300
ACURA TL,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1504
honda odyssey,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
Gmc yukon denali,2001,None,None,8 cylinders,None,gas,None,152000,None,clean,automatic,None,3500
gmc sierra 1500,1999,None,None,None,None,gas,None,311000,None,clean,automatic,None,3500
Honda Accord EX,2001,JHMCG65891C012849,good,4 cylinders,None,gas,black,298597,mid-size,clean,manual,None,1500
toyota land cruiser,2000,JT3HT05J1Y0090223,good,8 cylinders,4wd,gas,white,109525,full-size,clean,automatic,SUV,14500
ford freestyle,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3400
BMW 325I,2002,None,excellent,6 cylinders,rwd,gas,None,217083,None,clean,automatic,sedan,2750
