make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Mitsubishi eclipse,1999,None,None,None,None,gas,None,None,None,clean,manual,None,600
toyota tundra limited,2003,None,good,8 cylinders,None,gas,black,200,None,clean,automatic,truck,6500
Willys Knight,1921,None,None,None,None,gas,None,None,None,clean,automatic,None,10500
Chevrolet 3/4 Ton,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,9500
2016 Eliminator,2016,None,like new,None,None,other,None,None,None,clean,other,None,7300
Ford F100,1972,None,None,None,None,gas,None,None,None,clean,automatic,None,4750
Kia Optima,2013,None,None,None,None,gas,None,78000,None,clean,automatic,None,1
honda accord,2000,None,None,None,None,gas,None,None,None,salvage,automatic,None,1500
JEEP WRANGLER TJ,1998,None,good,4 cylinders,fwd,gas,white,111000,mid-size,clean,manual,other,9000
acura rsx type-s,2004,None,excellent,4 cylinders,fwd,gas,black,165000,compact,clean,manual,None,4500
volvo c70,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2100
vw beetle,1974,None,None,None,None,other,None,None,None,parts only,other,None,175
acura integra gs,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,1700
toyota camry,2004,None,excellent,None,None,gas,None,200000,None,clean,automatic,None,2000
Honda accord,2000,None,None,4 cylinders,None,gas,None,None,None,clean,automatic,None,2500
chevy silverado k1500,1994,None,None,None,4wd,gas,white,None,None,clean,automatic,None,700
ford f-150,2000,None,fair,None,None,gas,white,260000,full-size,clean,automatic,pickup,1000
ford f-150,2000,None,excellent,None,None,gas,None,130000,None,clean,automatic,None,2800
Mercedes-Benz S500,2000,None,excellent,8 cylinders,rwd,gas,blue,227000,full-size,clean,automatic,sedan,3995
Mercedes Benz s320,1997,None,excellent,6 cylinders,rwd,gas,silver,None,None,clean,automatic,None,2995
Other,2014,None,None,None,None,other,black,None,None,clean,other,None,6565
Dodge Ram 1500,2011,None,None,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,truck,8500
Ford Mustang,2008,None,excellent,6 cylinders,None,gas,white,92700,None,clean,automatic,None,7500
FORD EXPEDITION,2005,1FMPU15565LA36399,excellent,8 cylinders,rwd,gas,brown,None,None,clean,automatic,None,900
acura rsx,2003,None,new,4 cylinders,fwd,gas,blue,195068,compact,clean,manual,convertible,2800
Saturn ion,2007,None,good,4 cylinders,fwd,gas,white,175000,compact,clean,manual,coupe,2100
nissan maxima,2000,None,good,6 cylinders,fwd,gas,blue,None,mid-size,clean,automatic,sedan,2000
volkswagen golf,2001,None,None,None,None,diesel,None,None,None,clean,automatic,None,3800
Ford Econoline,1999,None,good,6 cylinders,rwd,gas,black,None,full-size,clean,automatic,van,1200
Ford F-150,2005,None,good,8 cylinders,rwd,gas,black,97000,full-size,clean,automatic,truck,12000
ford expedition,1999,None,good,8 cylinders,rwd,gas,custom,180000,None,clean,automatic,None,2600
ford expedition,1999,None,good,8 cylinders,rwd,gas,red,180000,full-size,clean,automatic,SUV,2500
ford expedition,1999,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,2600
lexus es350 premium,2008,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,8500
Toyota,2008,None,like new,4 cylinders,fwd,hybrid,grey,81000,full-size,salvage,automatic,sedan,8600
cadillac escalade,1999,None,excellent,8 cylinders,4wd,gas,None,139,full-size,clean,manual,SUV,4700
dodge ram 2500,2011,None,excellent,6 cylinders,4wd,diesel,black,80000,full-size,clean,automatic,truck,38000
toyota camry le 4dr sedan,1998,None,None,None,None,gas,None,None,None,salvage,automatic,None,3000
Kia spectra,2006,None,None,None,None,gas,None,None,None,salvage,automatic,None,2300
dodge ram,2002,None,excellent,8 cylinders,None,gas,black,None,None,clean,automatic,None,10900
Jeep Cherokee,2005,None,good,6 cylinders,None,gas,blue,None,None,clean,automatic,None,5800
honda pilot ex,2006,None,fair,6 cylinders,fwd,gas,grey,160,mid-size,clean,manual,SUV,3000
GMC blazer,1971,None,None,None,None,gas,None,None,None,clean,automatic,None,12500
ford expedition,2000,None,excellent,None,None,gas,None,200,None,clean,automatic,None,2000
Buick Park Avenue,2002,None,excellent,6 cylinders,fwd,gas,white,80350,full-size,clean,automatic,sedan,5750
Gmc sierra,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,17500
Nissan Maxima,2007,None,excellent,6 cylinders,None,gas,None,140000,None,salvage,automatic,None,4500
toyota yaris,2007,None,None,None,None,gas,None,None,None,clean,manual,None,3950
chevy tahoe lt,2004,None,good,8 cylinders,rwd,gas,custom,205000,full-size,clean,automatic,SUV,4800
honda civic hatchback,1993,None,None,4 cylinders,fwd,gas,None,None,None,clean,automatic,hatchback,1800
VW Thing,1973,None,None,None,None,gas,None,None,None,rebuilt,manual,None,7900
toyota tacoma 4x4,2010,None,good,6 cylinders,4wd,gas,silver,155500,compact,clean,manual,None,13500
ford f250,2001,None,good,10 cylinders,4wd,gas,None,None,None,clean,automatic,pickup,9000
Chevy truck,1963,None,None,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,pickup,10500
ford mustang gt convertible,2006,None,good,8 cylinders,rwd,gas,black,None,None,salvage,automatic,convertible,6900
chevrolet colorado,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
escape,2005,None,None,None,None,gas,None,150000,None,clean,automatic,None,3800
X3,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
mercedes-benz c300,2009,WDDGF54X79R076543,like new,6 cylinders,rwd,gas,grey,112000,full-size,clean,automatic,sedan,9300
Chevy,1967,None,excellent,8 cylinders,rwd,gas,white,None,full-size,clean,other,pickup,3000
chevrolet impala,2006,None,good,6 cylinders,None,gas,grey,None,None,clean,automatic,sedan,2000
honda accord,2002,None,None,None,None,gas,None,134000,None,salvage,automatic,None,3800
Silverado,1998,None,None,None,None,gas,None,250000,None,clean,automatic,None,1
TOYOTA TUNDRA,2006,None,None,None,None,gas,None,159000,None,salvage,automatic,None,4800
ford escape,2008,None,good,4 cylinders,None,gas,None,250,None,clean,automatic,None,2800
Mitsubishi Eclipse,1997,None,None,None,None,gas,None,None,None,lien,automatic,None,1000
BMW 325i,1995,None,None,None,None,gas,None,None,None,lien,automatic,None,500
Toyota Matrix,2009,None,None,None,None,gas,None,None,None,salvage,manual,None,3000
Honda Civic LX,1994,None,None,None,None,gas,None,None,None,lien,manual,None,1000
Nissan Sentra,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,500
Honda Accord EX,2002,None,None,None,None,gas,None,None,None,lien,automatic,None,700
Honda Accord EX,2000,None,None,None,None,gas,None,None,None,salvage,automatic,None,700
Honda Accord,1998,None,None,None,None,gas,None,None,None,lien,automatic,None,1000
Lexus LS 400,1997,None,None,None,None,gas,None,None,None,lien,automatic,None,1000
Chevrolet S-10,1992,None,None,None,None,gas,None,None,None,lien,manual,None,1000
pontiac solstice,2007,None,excellent,4 cylinders,rwd,gas,black,103000,compact,clean,automatic,convertible,6000
jeep cherokee limited,1991,None,fair,4 cylinders,4wd,gas,purple,165000,None,clean,automatic,None,2200
Audi A4 2.0 turbo,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,5475
chevy trailblazer,2003,None,excellent,6 cylinders,rwd,gas,blue,163,mid-size,clean,automatic,SUV,3200
Jeep wrangler,2002,None,None,None,None,gas,None,None,None,salvage,automatic,None,7950
toyota camry le 4dr sedan,2007,None,excellent,4 cylinders,None,gas,None,147000,None,clean,automatic,None,5995
toyota tacoma sr5,2004,None,excellent,4 cylinders,rwd,gas,white,174500,mid-size,clean,manual,pickup,7500
suzuki samurai,1990,None,excellent,4 cylinders,4wd,gas,red,90000,None,clean,manual,SUV,4950
Honda Accord,2006,None,None,None,None,gas,None,117000,None,salvage,automatic,None,4500
Chevy Suburban Z71,2002,None,None,None,None,gas,None,128000,None,salvage,automatic,None,3900
Chevrolet Silverado,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
chrysler 300,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
lincoln ls,2003,1LNHM87A23Y665732,fair,6 cylinders,fwd,gas,black,195602,mid-size,clean,automatic,sedan,2800
toyota tacoma,2003,None,good,4 cylinders,4wd,gas,silver,127684,None,clean,manual,truck,14000
honda cr-v ex,2012,None,None,None,None,gas,None,52000,None,clean,automatic,None,15000
toyota camry,2006,None,like new,None,None,gas,None,180000,None,clean,automatic,None,5300
Fleetwood southwind,1996,None,good,None,None,gas,None,50000,None,clean,automatic,other,12000
toyota tundra 2wd truck,2006,None,like new,8 cylinders,fwd,gas,grey,116000,None,clean,automatic,None,9900
ford e250 econoline,2010,None,good,8 cylinders,rwd,gas,white,169437,full-size,clean,automatic,van,8499
toyota camry,1994,None,excellent,None,None,gas,None,189000,None,clean,automatic,None,2500
izusu rodeo,2003,None,None,4 cylinders,None,gas,None,None,None,clean,automatic,None,2800
jeep cherokee,1995,None,None,6 cylinders,None,gas,red,None,None,clean,automatic,None,7000
mitsubishi mighty max,1988,JA7FL24D5JP067547,fair,4 cylinders,rwd,gas,white,280248,compact,lien,manual,pickup,1450
Bmw 323ci,2000,None,None,None,fwd,gas,silver,None,None,clean,manual,coupe,4000
nissan murano le,2009,None,excellent,6 cylinders,4wd,gas,white,123142,None,clean,automatic,SUV,2100
vw jetta 2.0 turbo,2006,None,None,None,None,gas,None,None,None,salvage,automatic,None,1100
toyota tacoma 4x4,2010,None,good,6 cylinders,4wd,gas,silver,155500,compact,clean,manual,None,13500
Transvan,1977,None,good,8 cylinders,rwd,gas,white,8600000,full-size,clean,automatic,van,5000
chevy silverado 4x4,2013,None,None,None,None,gas,None,70000,None,clean,automatic,None,24995
