make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
accord,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,500
FORD FOCUS,2013,None,excellent,4 cylinders,fwd,gas,white,100000,full-size,clean,automatic,sedan,7500
ford taurus,2001,None,excellent,4 cylinders,rwd,gas,blue,142000,compact,clean,automatic,sedan,2900
Yamaha,2004,None,None,None,None,gas,None,5000,None,clean,manual,None,3500
Ford,2001,None,None,6 cylinders,rwd,gas,None,152000,None,clean,automatic,None,2800
Jeep CJ 5,1980,None,fair,6 cylinders,4wd,gas,black,None,None,clean,manual,None,3000
ford taurus se,2002,None,like new,6 cylinders,rwd,gas,silver,148345,compact,clean,automatic,sedan,4000
Toyota Tacoma,2010,None,excellent,6 cylinders,4wd,gas,blue,135000,mid-size,clean,automatic,truck,13500
chevy corvette,1979,None,good,8 cylinders,None,gas,None,79000,None,clean,automatic,None,16000
honda accord lx,2006,None,salvage,4 cylinders,fwd,gas,None,None,compact,salvage,automatic,coupe,3600
ford ranger,1992,None,None,None,None,gas,white,None,None,clean,automatic,pickup,450
Chevrolet Malibu,2010,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,4800
mazda miata mx-5,1997,None,None,None,None,gas,black,None,None,clean,manual,None,4750
honda civic coupe,2008,None,like new,4 cylinders,fwd,gas,black,149000,compact,clean,manual,coupe,4700
ford f250 powerstroke lariat,2004,None,excellent,8 cylinders,4wd,diesel,grey,163000,full-size,clean,automatic,truck,16000
ford f-250,1976,None,None,None,None,gas,None,None,None,clean,automatic,None,800
1975 sierra,1975,None,fair,8 cylinders,rwd,gas,green,None,full-size,clean,automatic,truck,2500
Chevy Cobalt,2006,None,excellent,4 cylinders,None,gas,None,None,None,rebuilt,automatic,None,3300
jeep wagoneer,1990,None,None,None,None,gas,brown,77000,None,clean,automatic,None,3500
eagle talon,1997,None,fair,None,None,gas,white,None,None,clean,automatic,None,1200
5th wheel,2003,None,None,None,None,other,None,None,None,clean,other,None,22750
subaru wrx,2002,None,good,None,4wd,gas,blue,None,None,clean,manual,None,8400
dodge ram 2500,2006,None,excellent,None,None,diesel,None,None,None,clean,automatic,truck,7000
pontiac firebird,2002,2G2FS22K522107890,like new,6 cylinders,rwd,gas,white,49000,compact,clean,automatic,hatchback,10900
pontiac firebird,2002,2G2FS22K522107890,like new,6 cylinders,rwd,gas,white,49000,compact,clean,automatic,hatchback,10900
pontiac firebird,2002,2G2FS22K522107890,like new,6 cylinders,rwd,gas,white,49000,compact,clean,automatic,hatchback,10900
oldsmobile delta 88 royale,1994,None,like new,6 cylinders,None,gas,custom,None,None,clean,automatic,sedan,2500
Ford model A,1929,None,excellent,None,None,gas,None,None,None,clean,automatic,None,25000
honda civic ex,1999,None,good,4 cylinders,fwd,gas,white,None,None,clean,automatic,None,2400
Chevrolet,1998,None,excellent,None,4wd,gas,None,86827,full-size,clean,automatic,truck,5
honda accord lx,2004,None,good,4 cylinders,fwd,gas,brown,None,mid-size,rebuilt,automatic,sedan,2800
FORD Custom,1950,None,None,None,None,gas,None,None,None,clean,automatic,None,22000
Ford f250,1999,None,good,8 cylinders,4wd,diesel,None,245550,full-size,clean,manual,pickup,9800
toyota corolla s,2007,None,excellent,4 cylinders,None,gas,white,None,None,clean,automatic,None,5500
nissan altima 2.5 s,2008,None,excellent,4 cylinders,None,gas,white,None,None,clean,automatic,None,5500
nissan altima,2016,None,excellent,4 cylinders,None,gas,white,41000,None,clean,automatic,None,17000
Ford,1951,None,None,None,None,gas,None,None,None,clean,automatic,None,20000
Kenworth T660,2008,None,None,None,None,diesel,None,None,None,clean,automatic,None,22750
jeep cherokee,1996,None,good,8 cylinders,4wd,gas,white,None,None,clean,automatic,None,1300
VW,1967,None,good,4 cylinders,rwd,gas,blue,None,compact,clean,manual,convertible,1250
land rover range rover,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,4990
ford windstar van,1998,None,None,None,None,gas,None,140,None,clean,automatic,None,65
chrysler pt cruiser base,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
lincoln continental,1995,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,990
Mercedes Benz 500sl,1998,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,101
honda civic lx,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,999999
buick lesabre,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
CHEVROLET COVERTIBLE,1987,None,None,None,None,gas,None,156666,None,clean,automatic,None,6990
lincoln town car,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
jeep wrangler 4x4 sport,2000,None,None,None,None,gas,None,None,None,clean,manual,None,9499
chevrolet astro,1989,None,good,6 cylinders,rwd,gas,None,None,mid-size,clean,automatic,mini-van,2500
chevrolet astro,1989,None,good,6 cylinders,rwd,gas,None,None,mid-size,clean,automatic,mini-van,2500
Honda Pilot,2005,None,good,6 cylinders,None,gas,blue,None,None,salvage,automatic,None,4200
3100,1954,None,good,8 cylinders,rwd,gas,blue,None,compact,clean,automatic,None,1
Dodge Challenger,2010,None,excellent,6 cylinders,None,gas,None,83500,None,clean,automatic,None,9900
jeep commander,2007,None,fair,6 cylinders,4wd,gas,white,130000,full-size,clean,automatic,other,2000
ford f-150,2000,None,fair,8 cylinders,rwd,gas,white,None,full-size,salvage,automatic,None,4500
Chevrolet Nomad,1957,None,None,None,None,other,None,None,None,clean,other,None,20000
Nissan,1991,None,None,None,None,gas,None,None,None,clean,manual,None,9500
nissan maxima,1993,None,None,None,None,gas,None,75000,None,salvage,automatic,None,2500
