make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
dodge stratus 4-door,2006,None,None,None,None,gas,None,11900,None,clean,automatic,None,3500
Toyota Previa,1991,None,fair,4 cylinders,rwd,gas,None,240000,None,clean,automatic,None,800
ford explorer,2002,1fmzu62e52ua37690,fair,6 cylinders,fwd,gas,red,202000,full-size,clean,automatic,SUV,1250
bmw 650i convertible AWD,2012,None,excellent,8 cylinders,4wd,gas,white,None,None,clean,automatic,None,36999
honda accord,2005,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,None,1050
hyundai santa fe gls,2001,None,None,6 cylinders,fwd,gas,white,190000,None,clean,automatic,None,2400
Subaru Outback,2001,None,good,4 cylinders,4wd,gas,blue,174022,full-size,clean,manual,wagon,3900
Ford F250,1978,None,None,None,None,gas,None,None,None,clean,manual,None,1
2015 BMW i3 Bev Mega,2015,WBY1Z2C58FV555446,like new,None,rwd,electric,grey,9622,compact,clean,automatic,hatchback,17995
mazda 2,2014,JM1DE1KZXE0178817,excellent,4 cylinders,fwd,gas,white,51872,compact,clean,automatic,hatchback,7995
Jeep Patriot,2015,None,like new,4 cylinders,fwd,gas,white,137000,mid-size,clean,manual,SUV,10000
mitsubishi 3000gt,1996,None,None,6 cylinders,fwd,gas,None,190000,None,clean,manual,None,4000
acura tl 3.2,2004,1900A66224AO49471,good,6 cylinders,fwd,gas,red,163316,full-size,clean,automatic,sedan,4950
Ford Escort,1998,None,good,4 cylinders,fwd,gas,white,147000,None,clean,automatic,wagon,1500
toyota sienna,2010,None,excellent,6 cylinders,fwd,gas,blue,72000,None,clean,automatic,van,12500
mercury grand marquis ls,1997,None,None,None,None,gas,None,139000,None,clean,automatic,None,1200
jeep cherokee,1999,None,good,6 cylinders,4wd,gas,purple,189900,None,clean,automatic,None,2900
Jeep Grand Cherokee Limited 4x4,2014,1C4RJFBG3EC112220,like new,6 cylinders,4wd,gas,red,69434,None,clean,automatic,SUV,26500
Lincoln MKZ,2007,3LNHM26T87R610206,excellent,6 cylinders,fwd,gas,brown,62000,full-size,clean,automatic,sedan,6900
2015 Subaru 2.5i Premium,2015,4S4BSBCC9F3235150,like new,4 cylinders,4wd,gas,grey,None,mid-size,clean,automatic,wagon,20600
saturn,2002,None,fair,4 cylinders,fwd,gas,silver,275000,compact,clean,automatic,None,650
oldsmobile bravada,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
subaru legacy outback,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
dodge durango slt,2003,None,good,8 cylinders,None,gas,blue,200,full-size,clean,automatic,None,3500
land rover discovery,1998,None,good,8 cylinders,4wd,gas,green,167000,full-size,clean,automatic,SUV,3500
Chevy Astro Van,2001,None,good,6 cylinders,4wd,gas,white,163000,None,clean,automatic,van,2800
dodge stratus,2003,None,None,4 cylinders,None,gas,None,208000,None,clean,automatic,None,1000
jeep cherokee,2001,None,good,6 cylinders,4wd,gas,black,190000,mid-size,clean,automatic,SUV,2200
Jeep Wrangler,1993,None,fair,4 cylinders,4wd,gas,blue,197000,None,clean,manual,SUV,3700
Jeep Wrangler YJ,1992,None,None,None,None,gas,None,None,None,clean,manual,None,10000
Toyota Yaris,2007,None,excellent,4 cylinders,None,gas,None,132000,None,clean,automatic,None,4000
Subaru Outback Sport,1999,None,None,None,None,gas,None,171682,None,clean,manual,None,1000
chevrolet tahoe,2001,None,like new,8 cylinders,4wd,gas,blue,160000,full-size,clean,automatic,None,5000
jeep cherokee,2000,None,like new,8 cylinders,4wd,gas,green,154000,full-size,clean,automatic,None,4000
Acura RSX Type S,2003,None,fair,4 cylinders,fwd,gas,white,201000,None,clean,manual,hatchback,2000
bmw 328i,2011,None,excellent,None,None,gas,None,75600,None,clean,automatic,None,11000
kia soul + automatic,2011,None,excellent,4 cylinders,fwd,gas,silver,137000,None,clean,automatic,None,6500
subaru outback wagon 4d,2000,4S3BH6754Y7605888,good,4 cylinders,None,gas,green,206127,None,clean,automatic,wagon,2495
ford f150 4wd,1987,None,good,8 cylinders,4wd,gas,blue,None,None,clean,manual,pickup,3500
Subaru Legacy,1997,None,None,None,None,gas,None,160000,None,clean,automatic,None,1900
Subaru Outback,2003,None,None,None,None,gas,None,None,None,clean,manual,None,3200
Chevrolet Camaro,1970,None,None,None,None,gas,None,None,None,clean,manual,None,22000
ford focus,2005,None,fair,None,None,gas,None,170918,None,clean,automatic,None,500
vw passat,2002,Clean,good,None,None,gas,green,140000,full-size,clean,manual,coupe,2500
Davys Coach,2008,None,None,None,None,gas,None,188000,None,clean,automatic,None,11500
Davys,2008,None,None,None,None,gas,None,180000,None,clean,automatic,None,11500
volkswagen gti,2009,None,excellent,4 cylinders,fwd,gas,grey,96000,compact,clean,automatic,hatchback,10000
toyota camry,2002,None,good,4 cylinders,fwd,gas,brown,208,full-size,clean,automatic,sedan,2500
Honda Civic HF,2013,None,excellent,4 cylinders,None,gas,white,42000,mid-size,clean,automatic,None,11517
honda civic ex,2014,None,excellent,4 cylinders,None,gas,grey,None,compact,clean,automatic,sedan,14300
Chev Astro,2001,1GCDM19W81B146218,excellent,6 cylinders,rwd,gas,white,218075,None,clean,automatic,van,3685
