make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
volvo s70,1998,None,fair,5 cylinders,fwd,gas,blue,210000,None,clean,manual,None,550
toyota tacoma 4x4,2006,5TEUU42N06Z211486,excellent,6 cylinders,4wd,gas,black,126,None,clean,automatic,None,13400
f250,1995,None,excellent,8 cylinders,4wd,diesel,black,276000,full-size,clean,manual,truck,9500
dodge ram 1500 slt,2011,None,excellent,8 cylinders,4wd,gas,red,99939,full-size,lien,automatic,pickup,20500
jeep cherokee,2005,None,good,8 cylinders,4wd,gas,silver,157000,full-size,clean,automatic,SUV,4100
volkswagen jetta,1999,None,None,None,None,gas,None,None,None,clean,manual,None,2250
volkswagen jetta  gls,1996,None,good,None,None,gas,green,63000,None,clean,automatic,None,1500
nissan altima,2015,None,like new,6 cylinders,fwd,gas,black,23000,full-size,lien,automatic,sedan,15000
Dodge charger,2016,None,excellent,8 cylinders,rwd,gas,grey,18000,mid-size,lien,automatic,None,58000
Chevy Tahoe LT 4WD,2003,None,good,8 cylinders,4wd,gas,white,237500,None,clean,automatic,SUV,5490
subaru impreza sedan wrx,2015,None,good,4 cylinders,4wd,gas,grey,30500,mid-size,clean,manual,sedan,22222
mercury grand marquis,2004,None,good,8 cylinders,None,gas,white,179,None,clean,automatic,None,1700
Ram 50,1989,None,excellent,None,None,gas,None,None,None,clean,manual,None,5800
BMW 640i,2013,None,like new,6 cylinders,rwd,gas,white,32000,mid-size,clean,automatic,coupe,40000
cadillac dts,2007,None,None,8 cylinders,fwd,gas,None,135000,None,clean,automatic,None,4500
buick regal,1998,None,None,None,None,gas,None,None,None,clean,automatic,bus,1200
Honda Civic,2001,None,good,4 cylinders,fwd,gas,green,111305,compact,clean,automatic,sedan,2500
Ford Focus zx3,2000,None,fair,4 cylinders,fwd,gas,black,164000,None,clean,manual,None,1000
Pontiac gto,2006,None,None,8 cylinders,rwd,gas,red,None,None,missing,manual,None,3500
Ford f150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
cadillac seville sts,1999,None,good,8 cylinders,fwd,gas,grey,None,None,clean,automatic,None,2500
ford f150 4wd,1985,None,good,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,3500
2012 Cadillac srx,2012,None,excellent,6 cylinders,fwd,hybrid,black,141000,None,clean,automatic,None,13800
jeep wrangler,2003,None,None,None,None,gas,None,None,None,clean,manual,None,25000
chevy silverado 3500 HD,2008,None,good,8 cylinders,4wd,diesel,white,185000,None,clean,automatic,truck,21000
chevrolet 1500 silverado,2004,None,fair,8 cylinders,4wd,gas,brown,97275,full-size,clean,automatic,truck,10500
volvo v70,2001,None,good,5 cylinders,None,gas,None,None,mid-size,clean,other,wagon,1000
Toyota Land Cruiser,2002,None,excellent,8 cylinders,4wd,gas,white,196500,full-size,clean,automatic,SUV,11950
Volkswagen,2010,None,like new,6 cylinders,fwd,gas,None,65000,None,clean,automatic,mini-van,11500
jeep wrangler,2008,1J1CA69168L509153,excellent,6 cylinders,4wd,gas,red,103600,mid-size,rebuilt,manual,offroad,18500
jeep wrangler x,2007,None,excellent,6 cylinders,4wd,gas,red,178000,None,clean,manual,None,12000
ford mustang,2015,None,like new,6 cylinders,rwd,gas,white,32126,None,clean,automatic,coupe,19999
Volvo X70 XC,1998,None,fair,None,None,gas,black,None,full-size,clean,automatic,wagon,500
