make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Tahoe,2007,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,SUV,6400
Chevy Nomad,1955,None,good,8 cylinders,rwd,gas,None,None,None,clean,automatic,wagon,25300
audi s4,2008,WUARL48H18K900280,excellent,8 cylinders,4wd,gas,silver,72000,mid-size,clean,automatic,convertible,11000
Jeep J2000,1973,None,None,8 cylinders,4wd,gas,red,66000,None,clean,automatic,pickup,16000
Chevy Silverado,2015,None,None,None,None,gas,None,12000,None,clean,automatic,None,30000
jeep grand cherokee,1999,None,None,None,None,gas,None,157000,None,clean,automatic,None,3799
Nissan Murano SL,2005,None,fair,6 cylinders,4wd,gas,None,240300,None,clean,automatic,None,2300
volkswagen passat,2003,None,None,4 cylinders,None,gas,silver,159200,None,clean,automatic,None,2500
Cadillac DeVille Northstar,2001,None,fair,8 cylinders,fwd,gas,None,143000,None,clean,automatic,None,3000
chevrolet malibu,2001,None,good,6 cylinders,None,gas,white,195000,None,clean,manual,None,500
toyota corolla,2007,None,excellent,4 cylinders,fwd,gas,silver,25000,compact,clean,automatic,sedan,7500
ford f250,1995,None,excellent,8 cylinders,4wd,diesel,black,276000,full-size,clean,manual,truck,9500
Toyota Corolla Sport,2003,None,good,4 cylinders,fwd,gas,black,169000,mid-size,clean,automatic,None,2995
Toyota Corolla sport,2003,None,good,4 cylinders,fwd,gas,black,169000,mid-size,clean,automatic,None,2995
subaru outback 2.5i premium,2014,None,excellent,4 cylinders,4wd,gas,grey,39708,mid-size,clean,automatic,SUV,19500
toyota land cruiser,1997,None,None,6 cylinders,4wd,gas,black,137000,None,clean,automatic,None,20000
Ford 350,1973,None,fair,8 cylinders,rwd,gas,None,None,None,clean,manual,other,4400
ford f350,1973,None,None,8 cylinders,rwd,gas,None,40000,None,clean,manual,truck,4400
Subaru Outback,2000,4S3BH6754Y7601646,good,4 cylinders,4wd,gas,green,157500,None,clean,automatic,wagon,3500
Toyota Sequoia SR5,2004,None,good,8 cylinders,None,gas,white,162,full-size,clean,automatic,SUV,5950
Chyrsler Imperial,1964,None,excellent,8 cylinders,rwd,gas,green,0,full-size,clean,automatic,coupe,14000
ford f-150,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,20000
subaru impreza sedan wrx,2004,None,None,None,None,gas,None,None,None,rebuilt,manual,None,4800
Porsche 914,1975,None,None,6 cylinders,rwd,gas,None,None,None,clean,manual,None,1
Dodge Ram 2500 Cummins,2007,None,good,6 cylinders,4wd,diesel,blue,None,None,clean,automatic,None,17000
subaru outback,2005,None,None,4 cylinders,4wd,gas,None,None,None,clean,automatic,None,3500
Dodge Ram 2500,1994,None,None,None,None,diesel,None,None,None,clean,manual,None,1
honda accord,1996,None,good,4 cylinders,fwd,gas,white,265000,mid-size,clean,automatic,sedan,750
BMW X5,2001,None,excellent,8 cylinders,4wd,gas,white,157000,mid-size,clean,automatic,SUV,5000
chevy c10,1970,None,good,8 cylinders,rwd,gas,orange,None,full-size,clean,automatic,pickup,6500
jeep commander,2006,None,good,8 cylinders,4wd,gas,grey,142000,None,salvage,automatic,SUV,6200
Subaru Outback 2.5XT Limited,2009,None,excellent,4 cylinders,4wd,gas,black,125,mid-size,clean,manual,wagon,9950
ford f150 xlt,1999,None,good,8 cylinders,rwd,gas,green,166000,full-size,clean,automatic,None,2500
ford ranger,1994,None,None,None,None,gas,None,None,None,clean,manual,None,2500
ford ranger,1994,None,None,None,None,gas,None,None,None,clean,manual,None,2500
ford ranger,2004,None,None,None,None,gas,None,None,None,clean,manual,None,2500
ford ranger xlt,1994,None,None,None,None,gas,None,None,None,clean,manual,None,2500
ford ranger,2004,None,None,None,None,gas,None,None,None,clean,manual,None,2500
ford ranger xlt,2004,None,None,None,None,gas,None,None,None,clean,manual,None,2500
honda accord,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
ford ranger,1994,None,None,None,None,gas,None,None,None,clean,manual,None,2500
honda accord,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Honda CR-V LX,2002,None,excellent,4 cylinders,4wd,gas,red,148,mid-size,clean,automatic,SUV,5450
honda accord lx,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
honda element,2003,None,excellent,4 cylinders,4wd,gas,green,None,None,clean,manual,None,6000
oldsmobile achieva,1997,None,good,other,fwd,gas,blue,None,mid-size,clean,automatic,sedan,1999
chevy/ford,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
subaru outback 2.5i premium awd,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
dodge stratus,2005,None,good,6 cylinders,fwd,gas,silver,162000,mid-size,clean,automatic,coupe,2000
chevrolet lumina,1999,None,None,4 cylinders,fwd,gas,None,130000,None,clean,automatic,None,1200
subaru Impreza wrx sti,2002,None,good,4 cylinders,4wd,gas,None,None,compact,clean,manual,sedan,4500
CHEVY MONTE CARLO LANDAU,1976,1H57U6Z402$$$,good,8 cylinders,rwd,gas,white,95614,full-size,clean,automatic,coupe,3900
mercedes-benz,2009,None,excellent,6 cylinders,4wd,gas,red,55200,mid-size,clean,automatic,sedan,120
chevrolet corvette,2001,None,excellent,None,None,gas,None,77111,None,clean,manual,None,11900
jeep liberty limited,2002,None,excellent,6 cylinders,4wd,gas,None,78000,None,clean,automatic,sedan,5500
honda accord,2003,None,good,6 cylinders,fwd,gas,None,250313,compact,rebuilt,automatic,coupe,2600
Nissan Versa,2009,3N1BC13E99L463870,excellent,4 cylinders,fwd,gas,black,93000,compact,clean,automatic,hatchback,5250
chevy impala ltz,2008,None,None,None,None,hybrid,None,None,None,clean,automatic,None,5000
Chevy Tahoe LT,2003,None,good,8 cylinders,None,gas,white,None,None,clean,automatic,SUV,5490
ford,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
volkswagen vanagon,1986,None,None,None,None,gas,None,158000,None,clean,manual,van,4500
ford f250,1999,None,good,None,None,diesel,None,None,None,clean,automatic,None,9500
Infiniti G35,2004,None,good,None,None,gas,green,145000,None,clean,automatic,sedan,4000
acura mdx,2010,None,excellent,6 cylinders,4wd,gas,white,88000,mid-size,clean,automatic,SUV,19999
jeep grand cherokee limited 4wd,2004,None,like new,8 cylinders,4wd,gas,grey,102000,None,clean,automatic,SUV,7900
cadillac eldorado,1980,None,excellent,8 cylinders,fwd,gas,None,50019,full-size,clean,automatic,coupe,3695
lincoln mark lt,2006,None,good,8 cylinders,None,gas,black,143,None,clean,automatic,None,11000
mazda glc,1982,None,None,4 cylinders,None,gas,None,None,None,missing,manual,None,375
Subaru Outback,2009,None,None,4 cylinders,4wd,gas,brown,157700,full-size,clean,automatic,wagon,7500
nissan altima,2008,None,excellent,4 cylinders,None,gas,black,146400,None,clean,automatic,None,3000
nissan stanza wagon,1986,None,None,None,None,gas,None,None,None,missing,manual,None,300
toyota 4runner,1996,None,None,None,None,gas,None,None,None,clean,manual,None,2500
hyundai accent,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
Ford F350,2006,None,good,8 cylinders,rwd,gas,white,132300,None,clean,automatic,None,8000
Honda civic ex,1994,None,None,None,None,gas,None,None,None,clean,manual,None,2800
Mazda 3S,2008,None,good,4 cylinders,fwd,gas,grey,126,compact,clean,manual,hatchback,4200
Subaru WRX,2015,None,good,4 cylinders,4wd,gas,grey,None,None,clean,manual,None,22222
chrysler 300c hemi,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4700
da CRV,2003,None,excellent,4 cylinders,4wd,gas,black,182000,mid-size,clean,manual,SUV,6000
toyota sienna le,2006,None,good,None,None,gas,blue,166000,None,clean,automatic,mini-van,4000
Toyota tacoma,1996,None,None,None,None,gas,white,131000,None,clean,manual,None,5500
toyota matrix,2006,None,good,None,None,gas,None,131,None,clean,automatic,None,4000
mini cooper clubman s,2011,WMWZG3C58BTY36357,excellent,4 cylinders,fwd,gas,grey,50000,sub-compact,clean,other,wagon,11000
ford super duty f-350 drw,2003,None,good,8 cylinders,4wd,diesel,silver,175000,full-size,clean,automatic,truck,20000
honda civic ex,2003,None,excellent,4 cylinders,fwd,gas,white,164070,compact,clean,manual,coupe,4600
chevy blazer,1997,None,fair,6 cylinders,4wd,gas,green,150000,mid-size,clean,automatic,SUV,2500
cadillac dts,2007,None,None,8 cylinders,None,gas,None,135000,None,clean,automatic,None,4500
dodge durango,2000,1B4HS28N0YF285183,good,8 cylinders,fwd,gas,red,None,None,clean,automatic,SUV,3000
International KB5,1945,None,None,None,None,gas,None,None,None,missing,manual,truck,2000
Nissan Sentra SE-R Spec-V,2002,None,good,4 cylinders,fwd,gas,black,180000,compact,clean,manual,sedan,2400
chevy impala ls,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
toyota corolla dx,1993,None,good,None,fwd,gas,None,259000,None,clean,automatic,sedan,1200
Gem e4,2017,None,None,None,None,electric,None,None,None,clean,automatic,None,19500
volkswagen jetta,2015,None,like new,4 cylinders,fwd,gas,white,44000,None,clean,automatic,sedan,12000
mitsubishi eclipse rs,2003,None,good,4 cylinders,None,gas,silver,None,None,clean,automatic,None,1000
Ford Ranger xlt,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,25
Lexus RX,2005,None,excellent,6 cylinders,rwd,gas,grey,None,full-size,clean,automatic,SUV,2000
lexus es 300 Coach Edition,1999,None,excellent,6 cylinders,fwd,gas,white,67000,mid-size,clean,automatic,sedan,5798
chevrolet nova ss,1964,None,excellent,8 cylinders,rwd,gas,silver,None,compact,clean,automatic,coupe,22
jeep cherokee,1996,None,None,6 cylinders,4wd,gas,None,None,None,clean,automatic,SUV,900
Chevy 150,1957,None,None,6 cylinders,rwd,gas,red,None,None,clean,manual,None,5500
dodge ram 1500,1998,None,good,8 cylinders,4wd,gas,black,146716,full-size,clean,automatic,pickup,3500
ford explorer sport trac,2004,None,excellent,6 cylinders,4wd,gas,orange,308,mid-size,clean,automatic,pickup,4200
Wg jetta,2001,1111111111111,fair,4 cylinders,fwd,gas,white,190000,compact,clean,automatic,None,1500
BMW 650i AWD cabriolet,2012,None,excellent,8 cylinders,4wd,gas,white,None,None,clean,automatic,None,36999
chevy silverado 1500,2007,None,excellent,8 cylinders,4wd,gas,brown,129500,full-size,clean,automatic,pickup,18500
Volkswagen Bug Beetle,1972,None,None,None,None,gas,None,None,None,clean,manual,None,3000
Volkswagen GLI,2004,None,good,4 cylinders,fwd,gas,grey,148,None,parts only,manual,sedan,1
Chevrolet Tahoe,2001,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,SUV,5500
ford explorer sport trac,2003,1FMZU77E33UA49594,good,6 cylinders,4wd,gas,blue,150000,full-size,clean,automatic,truck,6500
dodge caliber,2008,None,excellent,4 cylinders,fwd,gas,brown,128928,None,clean,automatic,sedan,3800
ford mustang gt,2005,None,good,8 cylinders,rwd,gas,silver,118000,compact,clean,manual,coupe,7200
hummer h2,2003,None,good,8 cylinders,4wd,gas,white,98000,full-size,clean,automatic,SUV,18
dodge 2500,2011,None,None,None,None,diesel,None,150000,None,clean,automatic,None,30000
jeep liberty sport,2003,None,excellent,6 cylinders,None,gas,black,120000,None,clean,manual,sedan,4200
chevrolet 1500 silverado,2000,None,None,None,None,gas,None,None,None,clean,manual,None,1
land rover range rover sport,2008,None,excellent,8 cylinders,4wd,gas,blue,100234,None,clean,automatic,None,12300
Nissan altima,2000,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1895
scion tc,2006,None,good,4 cylinders,fwd,gas,silver,107000,None,clean,automatic,hatchback,5000
Ford taurus,2010,None,excellent,6 cylinders,fwd,gas,blue,136000,full-size,clean,automatic,sedan,9000
Ford taurus,2010,None,excellent,6 cylinders,fwd,gas,blue,136000,full-size,clean,automatic,sedan,9000
toyota camry le 4dr sedan,1997,None,None,6 cylinders,fwd,gas,None,104909,None,clean,automatic,None,1450
dodge stratus,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
honda accord,2008,None,good,4 cylinders,None,gas,blue,158500,full-size,clean,automatic,sedan,5500
ford f350,1996,None,good,8 cylinders,None,diesel,black,None,None,clean,manual,None,9700
audi a6 2.7t,2003,None,good,6 cylinders,None,gas,green,199000,None,clean,automatic,sedan,3700
Chevy silverado,2003,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,6500
Chevy,1989,None,good,8 cylinders,4wd,gas,None,None,mid-size,clean,manual,pickup,3800
hyundai accent,2011,KMHCN4AC1BU609247,excellent,4 cylinders,fwd,gas,silver,62724,compact,clean,automatic,sedan,6000
gmc,1968,None,None,None,None,gas,None,None,None,clean,manual,None,5500
ford transit connect,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,50
Chevy Tahoe,1995,1gnek18k7sj329343,excellent,8 cylinders,4wd,gas,black,183000,None,clean,automatic,None,10950
nissan titan se,2006,None,good,8 cylinders,rwd,gas,grey,228000,None,clean,automatic,truck,5500
Volvo XC70,2003,None,good,5 cylinders,4wd,gas,None,122280,None,clean,automatic,wagon,3250
Dodge Charger,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
chevrolet malibu,2009,None,good,4 cylinders,fwd,gas,silver,None,None,clean,automatic,sedan,4988
volkswagen golf,1999,None,good,4 cylinders,fwd,gas,grey,195000,compact,clean,automatic,None,1400
nissan sentra,2000,None,good,4 cylinders,fwd,gas,black,None,None,clean,automatic,sedan,1500
Pontiac trans am SLP WS6,2002,None,like new,8 cylinders,rwd,gas,blue,32000,None,clean,automatic,coupe,1
audi a6,2003,None,None,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,700
Mercedes GL 550,2008,None,excellent,8 cylinders,4wd,gas,black,143000,full-size,clean,automatic,SUV,14900
subaru forester,2004,None,good,4 cylinders,4wd,gas,blue,215,None,rebuilt,manual,wagon,3400
cadillac srx,2012,None,excellent,6 cylinders,fwd,hybrid,black,141000,None,clean,automatic,None,13800
Chevy s10,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
ford mustang,2002,None,excellent,8 cylinders,rwd,gas,white,46000,mid-size,clean,automatic,coupe,19000
Honda,1999,None,fair,6 cylinders,fwd,gas,red,145000,mid-size,clean,automatic,None,250
Jeep J2000,1973,None,None,8 cylinders,4wd,gas,red,66000,None,clean,automatic,pickup,16000
toyota prius,2007,JTDKB20U777582844,good,4 cylinders,fwd,hybrid,brown,149354,None,clean,automatic,hatchback,4600
mitsubishi galant se,2010,None,good,4 cylinders,fwd,gas,white,98000,full-size,rebuilt,automatic,sedan,3500
jeep cherokee,1993,None,good,4 cylinders,rwd,gas,green,165000,None,clean,manual,None,1000
ford escape,2012,1FMCU0EG5CKB62069,like new,6 cylinders,fwd,gas,black,88350,mid-size,clean,automatic,SUV,12500
Dodge Challenger Scat Pack,2016,None,like new,8 cylinders,rwd,gas,blue,12850,None,lien,manual,coupe,39500
Mazda 2 Sport,2014,JM1DE1KZXE0178817,excellent,4 cylinders,fwd,gas,white,51872,compact,clean,automatic,hatchback,7995
