make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford ranger xlt,1996,None,good,4 cylinders,4wd,gas,purple,200000,None,clean,manual,pickup,1700
Volvo XC70 AWD,2003,None,good,5 cylinders,4wd,gas,None,122280,None,clean,automatic,wagon,3250
FORD,1986,1FMCU14TXGUC43342,good,6 cylinders,4wd,gas,blue,71477,compact,clean,manual,None,1500
honda accord,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Audi A4 2.0T Quattro,2012,None,None,None,4wd,gas,None,None,None,clean,automatic,None,5475
VW BUG,1972,None,None,None,None,gas,None,None,None,clean,manual,None,2200
Toyota Camry,2000,None,good,None,None,gas,None,None,None,clean,automatic,None,1500
Willys Knight,1926,None,excellent,None,None,gas,None,None,None,clean,manual,None,8000
Ford f250,2000,None,excellent,8 cylinders,4wd,diesel,custom,216000,full-size,clean,automatic,truck,12000
Ford F500,1966,None,None,None,None,gas,custom,91000,None,clean,manual,None,3900
polaris,2005,None,None,None,None,gas,None,None,None,missing,automatic,None,4500
chevy blazer,2003,None,excellent,8 cylinders,4wd,gas,brown,None,None,clean,automatic,None,2000
dodge dakota slt,2003,1D7HL42N43S108324,excellent,8 cylinders,None,gas,red,83500,None,clean,automatic,None,6700
dodge ram 2500 laramie,2003,None,good,8 cylinders,4wd,gas,white,167897,full-size,clean,automatic,pickup,9500
Chevrolet,1966,None,None,None,None,gas,None,None,None,clean,manual,None,28000
BMW beetle,1999,None,good,None,None,gas,None,None,None,clean,manual,None,1
STERLING,2000,None,excellent,None,None,diesel,None,None,None,clean,manual,other,39000
lexus,2007,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,1800
honda civic,2006,None,None,None,None,gas,silver,None,full-size,clean,automatic,coupe,2055
Dodge Intrepid,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
dodge ram 3500,2009,None,excellent,None,4wd,diesel,white,60456,full-size,clean,manual,pickup,37500
Jeep Liberty,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Ford Escape,2015,None,excellent,None,None,gas,None,None,None,clean,automatic,None,4400
Honda Odyssey,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
toyota t100,1997,None,excellent,None,None,gas,None,164000,None,clean,automatic,pickup,6750
Austin Mini,1976,None,None,None,None,gas,None,None,None,clean,manual,None,1
audi a4 1.8t quattro,1998,None,fair,4 cylinders,4wd,gas,blue,222277,mid-size,clean,manual,sedan,450
chevrolet 1500 suburban,2003,None,None,None,None,gas,None,182000,None,clean,automatic,None,3850
oldsmobile super 88,1962,None,good,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,None,3500
mercedes-benz cclass,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
gmc 1500 suburban,1993,None,None,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,SUV,1500
Land Rover,2007,None,None,None,None,gas,None,44900,None,clean,automatic,None,25500
dodge ram 3500,2005,None,excellent,6 cylinders,rwd,diesel,white,110000,full-size,clean,automatic,pickup,17500
plymouth fury,1972,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,wagon,4400
Acura TL,1996,None,fair,6 cylinders,fwd,gas,white,None,None,clean,automatic,None,1200
toyota,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
Dodge Ram 3500,2005,None,good,None,4wd,diesel,black,96344,full-size,lien,manual,pickup,24000
chevy  coupe,1953,None,None,None,None,gas,None,None,None,clean,other,None,7500
toyota corolla le,1995,None,None,None,None,gas,None,162000,None,clean,manual,None,800
Linconl,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1
