make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Dodge ram,1997,None,new,8 cylinders,4wd,gas,red,None,full-size,clean,manual,truck,2700
BEETLE,2004,None,good,4 cylinders,fwd,gas,red,92000,full-size,clean,automatic,sedan,1466
Jeep cherokee,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
ford f-250,1995,None,good,8 cylinders,4wd,gas,grey,100000,full-size,clean,automatic,pickup,6500
Equipment trailer,2009,None,None,None,None,other,None,None,None,clean,other,None,4500
Ford Excursion,2001,None,good,10 cylinders,4wd,gas,white,175000,full-size,clean,automatic,None,8850
nissan titan,2008,None,excellent,None,None,gas,red,None,None,clean,automatic,None,18000
Carson,2015,None,good,None,None,other,None,None,None,clean,other,None,1900
chevy s10 pickup,1995,None,good,None,None,gas,red,None,None,clean,automatic,pickup,3500
Dodge Caravan,2000,None,good,None,None,gas,None,None,None,clean,automatic,None,2500
Ford,2009,None,excellent,8 cylinders,None,gas,None,117000,None,clean,automatic,None,8500
chevy c10,1970,Na,fair,8 cylinders,rwd,gas,black,000,mid-size,missing,automatic,pickup,3500
dodge dakota,1996,1B7GG23Y2TS537694,fair,8 cylinders,4wd,gas,red,177812,mid-size,clean,automatic,pickup,1800
toyota 4runner sr5,1997,None,None,6 cylinders,4wd,gas,silver,329000,None,salvage,automatic,SUV,1000
honda accord ex,2000,None,good,4 cylinders,fwd,gas,silver,196700,mid-size,clean,automatic,sedan,2800
Nissan Xterra,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Saab 9-3 2.0t,1999,None,None,None,None,gas,None,161000,None,clean,manual,None,300
Dodge Ram,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1700
subaru legacy wagon,1996,None,fair,None,4wd,gas,green,202459,full-size,clean,automatic,wagon,550
gmc 1500 suburban,1993,None,salvage,8 cylinders,4wd,gas,grey,None,full-size,clean,other,SUV,400
gmc 1500 suburban,1991,None,good,8 cylinders,4wd,gas,red,None,None,clean,automatic,SUV,5000
chevrolet 1500 tahoe,1995,None,None,None,None,gas,None,257225,None,clean,automatic,None,1700
Triumph,1959,None,None,None,None,gas,None,None,None,clean,manual,None,17000
Triumph TR-6,1973,None,None,None,None,gas,None,None,None,clean,manual,None,25000
Chevy panel,1950,None,None,None,None,gas,None,None,None,clean,other,None,30000
Honda,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
Plymouth,1948,None,None,None,None,gas,None,None,None,clean,other,None,1000
Lincoln Premiere,1957,None,None,None,None,gas,None,None,None,clean,automatic,None,17000
nissan sentra,2004,None,None,None,None,gas,None,None,None,clean,manual,None,1900
dodge durango,2004,None,good,None,4wd,gas,silver,167000,None,clean,automatic,SUV,2000
