make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
dodge 1500,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,8600
ford f-150,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,20000
chevy/ford,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
Volkswagen Jetta,2003,None,good,4 cylinders,None,gas,white,135,mid-size,clean,automatic,sedan,2850
nissan altima,2007,1,good,4 cylinders,fwd,gas,grey,110000,mid-size,clean,automatic,sedan,3500
Ram 50,1989,None,excellent,None,None,gas,None,None,None,clean,manual,None,5800
mitsubishi montero sport,2000,N/A,good,4 cylinders,4wd,gas,red,200000,full-size,clean,automatic,SUV,1000
chevrolet caprice wagon,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Oldsmobile,1977,None,excellent,8 cylinders,None,gas,blue,None,full-size,clean,automatic,sedan,1600
ford f150 4x4,1985,None,good,None,None,gas,None,None,None,clean,automatic,None,3500
c10 chevy,1980,None,excellent,None,None,gas,silver,None,None,clean,automatic,van,4300
volvo v70,2001,None,good,5 cylinders,4wd,gas,None,None,mid-size,clean,other,wagon,1000
ford taurus,1995,None,good,6 cylinders,fwd,gas,white,160000,mid-size,clean,automatic,sedan,1250
gmc   1 1/2 ton,1938,None,salvage,6 cylinders,rwd,gas,None,None,full-size,clean,manual,truck,2500
chevy suburban,1972,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,6000
studabaker pickup,1951,None,None,None,None,gas,None,None,None,clean,automatic,None,17000
chevy sedan delivery,1960,None,excellent,8 cylinders,None,gas,custom,None,None,clean,manual,None,30000
ford f-150,1993,None,good,None,4wd,gas,brown,286000,full-size,clean,manual,pickup,2500
infiniti g35 sedan,2004,None,None,6 cylinders,4wd,gas,red,182000,full-size,clean,automatic,sedan,3000
toyota tacoma,1996,None,None,4 cylinders,rwd,gas,black,None,None,clean,manual,None,3900
GMC Sierra 1500,2016,None,excellent,8 cylinders,4wd,gas,None,27000,None,lien,automatic,None,37000
Ford Expedition Eddie Bauer,1999,1FMPU18LXXLB42853,good,None,4wd,gas,green,None,full-size,clean,automatic,SUV,2000
pontiac grand prix,1995,None,fair,6 cylinders,fwd,gas,blue,None,mid-size,clean,automatic,coupe,500
ford explorer xlt,2002,000000000,fair,6 cylinders,None,gas,None,00000000000,sub-compact,clean,automatic,SUV,1800
Chev Tahoe LS,1995,000000000000,fair,8 cylinders,None,gas,white,000000000000,None,clean,automatic,None,1500
Ford Gran Torino,1974,None,good,None,None,gas,None,139000,None,clean,automatic,None,2500
subaru outback legacy,1997,None,good,4 cylinders,4wd,gas,white,None,None,clean,manual,wagon,1600
1950 Chevy extended cab,1950,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
Chevy,1994,None,good,8 cylinders,4wd,gas,None,220,None,clean,automatic,None,2350
F250,2013,None,None,None,None,diesel,None,None,None,clean,automatic,None,20000
dodge ram 1500,2006,None,good,8 cylinders,rwd,gas,grey,157,None,clean,automatic,pickup,8500
Volkswagen Jetta GLI,2014,None,excellent,4 cylinders,fwd,gas,grey,29787,None,clean,automatic,sedan,16289
Ford Escape Hybrid,2010,1FMCU5K39AKA47101,good,4 cylinders,4wd,hybrid,grey,120000,mid-size,clean,automatic,SUV,11995
volvo xc70,1999,None,excellent,5 cylinders,4wd,gas,None,219000,None,clean,automatic,wagon,2600
Ford F-350,2002,None,excellent,None,4wd,diesel,None,218000,None,clean,automatic,None,12500
inter.    d2,1940,hd21308000,fair,6 cylinders,rwd,gas,red,44000,full-size,clean,manual,pickup,2800
Ford bronco,1990,None,fair,8 cylinders,4wd,gas,white,295000,full-size,clean,manual,None,2000
toyota highlander limited,2012,5TDDK3EH9CS166031,good,6 cylinders,4wd,gas,custom,89647,mid-size,clean,automatic,SUV,21000
chevrolet s10 blazer,1986,1G8CT18R3G8144628,fair,6 cylinders,fwd,gas,blue,142864,mid-size,clean,manual,SUV,3000
