make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
honda element,2004,None,good,4 cylinders,4wd,gas,green,217500,mid-size,clean,automatic,SUV,3000
Subaru Outback XT Limited,2006,None,None,None,None,gas,red,None,full-size,clean,manual,wagon,3900
Chevy Silverado,2007,None,good,8 cylinders,4wd,gas,None,151500,full-size,clean,automatic,None,13900
Ford explorer,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Ford f 350,1996,None,None,8 cylinders,None,gas,None,None,full-size,clean,manual,pickup,4000
vw jetta 1.8t,2003,None,excellent,4 cylinders,fwd,gas,grey,None,mid-size,clean,manual,None,2500
Nissan Murano SL,2005,None,fair,6 cylinders,4wd,gas,None,240200,mid-size,clean,automatic,None,2300
Toyota Tacoma,2003,None,excellent,6 cylinders,None,gas,None,101000,None,clean,automatic,None,13500
toyota pick up,1993,None,good,6 cylinders,4wd,gas,red,None,full-size,clean,manual,pickup,4500
ford f350 lariat,2003,None,excellent,8 cylinders,4wd,diesel,white,205500,full-size,clean,automatic,truck,12000
chevy express passenger,2004,1GAHG39U641124727,good,8 cylinders,rwd,gas,white,148623,full-size,clean,automatic,van,4980
nissan pathfinder,2015,None,like new,None,4wd,gas,black,20800,None,clean,automatic,SUV,23500
Jeep Cherokee,2001,None,good,6 cylinders,4wd,gas,white,200000,None,clean,automatic,SUV,5000
dodge grand caravan,2006,1D4GP24R16B651510,fair,4 cylinders,fwd,gas,white,166800,compact,clean,automatic,van,2500
GMC Sierra 2500HD SLE,2002,None,excellent,8 cylinders,4wd,diesel,grey,186000,None,clean,automatic,truck,15000
jeep cherokee,1996,None,fair,4 cylinders,4wd,gas,black,144000,full-size,clean,automatic,SUV,1500
gmc 1500 sierra,2014,None,excellent,8 cylinders,4wd,gas,blue,33840,None,clean,automatic,None,29000
vw passat,2016,None,like new,4 cylinders,fwd,gas,silver,None,mid-size,clean,automatic,None,17000
land rover defender 110,1991,None,excellent,4 cylinders,4wd,diesel,white,192000,full-size,clean,manual,None,35000
JETTA,2015,None,excellent,4 cylinders,fwd,gas,black,34000,full-size,clean,manual,sedan,9950
Nissan 720,1983,None,good,4 cylinders,4wd,gas,grey,242000,compact,clean,manual,pickup,2100
toyota tundra 4wd truck,2001,5tbbt44101s197009,good,8 cylinders,4wd,gas,custom,163000,full-size,clean,automatic,pickup,8500
Volkswagen Jetta GLI,2006,None,good,4 cylinders,fwd,gas,None,250000,mid-size,clean,manual,None,3200
Chevrolet Blazer,2002,None,good,6 cylinders,None,gas,None,170000,None,clean,automatic,None,1800
Mercedes-Benz ML 320 CDI,2008,None,good,6 cylinders,4wd,diesel,black,167000,full-size,clean,automatic,SUV,8500
Subaru Legacy SUS,1999,None,good,4 cylinders,4wd,gas,None,265829,None,clean,automatic,None,2500
saab 9-5 turbo,2003,None,None,None,fwd,gas,None,None,None,clean,automatic,None,1200
Toyota FJ40,1978,None,excellent,6 cylinders,None,gas,yellow,80250,None,clean,manual,None,12000
accent hyundai,2007,None,good,None,None,gas,None,None,compact,clean,automatic,hatchback,3000
ford focus se 4dr sedan,2001,None,None,None,None,gas,None,149000,None,clean,automatic,None,400
ford windstar,2000,None,fair,None,None,gas,None,None,None,clean,automatic,None,375
Jeep Libert Limited Edition 4x4,2003,1J8GL58K03W615182,good,6 cylinders,4wd,gas,blue,97937,full-size,clean,automatic,SUV,4250
chevrolet 1500 suburban,1999,None,good,8 cylinders,4wd,gas,None,219000,full-size,clean,automatic,SUV,2250
Leer,2004,None,None,None,None,other,white,None,None,clean,other,None,450
honda civic lx,1999,None,excellent,4 cylinders,fwd,gas,blue,None,compact,clean,automatic,sedan,2500
jeep grand cherokee laredo,2002,None,good,6 cylinders,4wd,gas,silver,215000,full-size,clean,automatic,SUV,2800
Mitsubishi Montero Limited,2002,None,good,6 cylinders,4wd,gas,red,175000,full-size,clean,automatic,SUV,7000
jeep Wrangler,1999,None,None,None,None,gas,None,146467,None,clean,automatic,None,11
Oldsmobile Toronado Coupe,1966,None,excellent,None,None,gas,None,None,None,clean,automatic,None,6500
toyota land cruiser,1986,None,good,6 cylinders,None,gas,None,306000,None,clean,manual,None,3000
acura integra ls,2000,None,None,None,None,electric,None,None,None,salvage,manual,None,4000
Cherokee SE.,1994,000-0000-0000,good,6 cylinders,fwd,gas,blue,214000,full-size,clean,automatic,SUV,4900
Audi a6 3.0t quattro,2003,None,None,None,None,gas,blue,None,None,clean,automatic,None,3000
Ford Ranger,1994,None,fair,6 cylinders,4wd,gas,purple,None,None,clean,manual,None,900
toyota land cruiser,1977,None,None,None,None,gas,None,None,None,clean,manual,None,6500
Chevy,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
ford e350 van,1997,None,good,6 cylinders,fwd,gas,None,146000,None,clean,automatic,bus,9000
Mercury Sable,1999,None,good,6 cylinders,fwd,gas,green,137000,full-size,clean,automatic,sedan,750
Chevy K2500,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
Nissan Pathfinder LE,2004,JN8DR09Y84W915332,excellent,6 cylinders,4wd,gas,grey,168000,mid-size,clean,automatic,SUV,5000
subaru impreza wrx sti,2009,None,None,None,None,gas,None,105000,None,clean,manual,None,22000
audi a4 2.0t,2008,WAUAF78E28A135513,good,4 cylinders,fwd,gas,white,133000,full-size,clean,manual,sedan,5700
subaru outback 2.5i,2003,None,salvage,4 cylinders,fwd,gas,blue,175000,mid-size,clean,automatic,wagon,500
Dodge Magnum,2005,None,excellent,6 cylinders,rwd,gas,silver,None,full-size,clean,automatic,wagon,5600
jeep cherokee,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,900
jeep cherokee,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,900
chevrolet trailblazer,2004,upon request,good,6 cylinders,4wd,gas,silver,159000,mid-size,clean,automatic,SUV,3500
ROUSH Stage 3 Mustang,2015,None,like new,8 cylinders,rwd,gas,silver,31000,None,clean,manual,None,55000
ford taurus,1993,None,like new,6 cylinders,fwd,gas,blue,60547,full-size,clean,automatic,wagon,2750
gmc safari,2002,None,None,None,None,gas,None,185678,None,clean,automatic,None,2000
Tow dolly,2016,None,None,None,None,other,None,None,None,clean,other,None,60
toyota corolla,1986,None,None,None,None,diesel,None,230000,None,clean,manual,None,5500
Hummer H3 4wd,2006,None,excellent,5 cylinders,4wd,gas,white,136000,full-size,lien,automatic,SUV,15000
Volvo XC70,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
toyota camry solara,2001,None,None,None,None,gas,None,135,None,clean,automatic,None,900
honda accord sw,1995,None,None,4 cylinders,fwd,gas,None,None,None,clean,automatic,None,300
jeep wrangler,1997,None,None,4 cylinders,4wd,gas,white,232000,None,clean,automatic,None,4500
nissan versa,2012,None,good,4 cylinders,fwd,gas,black,113,mid-size,clean,automatic,hatchback,4900
chevrolet trailblazer,2005,None,excellent,6 cylinders,4wd,gas,white,49000,None,clean,automatic,SUV,7500
international scout 800,1970,None,good,8 cylinders,4wd,gas,green,97871,None,clean,manual,SUV,8000
ford explorer,1994,None,good,6 cylinders,4wd,gas,white,None,full-size,clean,automatic,None,900
Ford Ranger F150,1976,None,None,None,None,gas,None,None,None,clean,automatic,None,500
ford f250,2008,None,None,None,4wd,diesel,None,None,full-size,clean,automatic,None,8978
dodge dakota,2004,None,good,6 cylinders,4wd,gas,grey,101613,mid-size,clean,automatic,truck,2500
toyota prius,2001,None,excellent,None,fwd,hybrid,white,58000,None,clean,automatic,None,5000
infiniti i35 luxury,2003,None,None,6 cylinders,fwd,gas,black,123000,full-size,clean,automatic,sedan,3300
jeep wrangler,1994,None,None,4 cylinders,4wd,gas,None,153000,None,clean,manual,offroad,4000
Trailer from a mobile trailer,1998,None,None,None,None,other,None,None,None,parts only,other,None,450
Honda Accord,1998,None,good,6 cylinders,fwd,gas,white,None,mid-size,clean,automatic,sedan,3000
nissan xterra 4wd,2003,None,good,6 cylinders,4wd,gas,brown,132000,None,clean,automatic,SUV,5500
Chevy trailblazer,2006,None,good,6 cylinders,4wd,gas,None,158000,None,clean,automatic,SUV,3900
a6 audi,1996,None,fair,6 cylinders,4wd,gas,white,None,None,clean,automatic,wagon,300
honda element,2005,None,excellent,4 cylinders,4wd,gas,blue,168000,None,clean,automatic,None,5600
saab 9-3,2007,None,excellent,4 cylinders,fwd,gas,grey,138500,None,clean,manual,wagon,4200
honda element,2006,None,good,4 cylinders,4wd,gas,orange,185000,full-size,clean,manual,other,4500
Dodge Ram,1997,None,excellent,8 cylinders,4wd,gas,red,95700,None,clean,automatic,None,5800
Chevy trailblazer,2006,None,None,None,None,gas,None,150000,None,missing,automatic,None,1500
Chevrolet Colorado,2016,None,excellent,4 cylinders,4wd,diesel,grey,None,None,clean,automatic,truck,37500
Subaru Outback,1997,None,good,None,None,gas,None,None,None,clean,automatic,None,2500
yamaha Cart,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
Subaru legacy,2000,None,fair,None,None,gas,blue,226000,mid-size,clean,manual,None,500
GMC,2001,None,None,None,None,gas,brown,None,full-size,clean,automatic,None,2000
Oddsmoblie,1990,None,salvage,6 cylinders,fwd,gas,None,7500,None,clean,automatic,sedan,600
Dodge Van,1985,None,fair,8 cylinders,rwd,gas,blue,74400,None,missing,automatic,van,250
