make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
great acadia,2008,None,good,6 cylinders,4wd,gas,silver,None,full-size,clean,automatic,SUV,2
cherolet cavalier,2001,None,good,4 cylinders,fwd,gas,white,1500000,mid-size,clean,manual,sedan,1500
vw beetle,1972,None,good,4 cylinders,rwd,gas,white,55072,compact,clean,manual,coupe,3750
hummer h3 sport utility,2006,None,good,5 cylinders,4wd,gas,white,136000,full-size,lien,automatic,SUV,15000
chevrolet tahoe,2005,None,None,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,SUV,1500
chevy uplander,2007,None,good,6 cylinders,fwd,gas,grey,168000,None,clean,automatic,None,700
Ford F-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1547
Toyota Avalon,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1569
Chevrolet Tahoe,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1576
pontiac sunfire,2001,None,None,6 cylinders,fwd,gas,red,159000,None,clean,automatic,other,600
Chevy Gladiator,1998,None,good,None,None,gas,None,164230,None,clean,automatic,None,4000
Volkswagen Passat,2012,None,good,5 cylinders,fwd,gas,None,44680,None,salvage,manual,None,9000
ford f-150,2015,None,like new,8 cylinders,4wd,gas,None,5000,None,clean,automatic,None,37225
Dodge 3500 Quad Cab,2007,None,None,None,None,diesel,None,None,None,clean,automatic,None,20000
GMC k1500,1991,None,good,8 cylinders,4wd,gas,blue,215000,compact,clean,manual,pickup,2500
Chevy Impala,2002,None,fair,6 cylinders,None,gas,None,151000,None,clean,automatic,None,950
Honda Ridgeline,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
mercury capri,1993,xxxxxxxxxx,fair,4 cylinders,fwd,gas,green,127,compact,clean,manual,coupe,1500
chevy silverado 1500,2010,None,good,8 cylinders,4wd,gas,grey,119000,full-size,clean,automatic,pickup,18500
Mitsubishi Eclipse,2006,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1000
mercury sable gs,1998,None,None,None,None,gas,None,None,None,clean,manual,None,1100
Ford Mach 1,1973,None,good,8 cylinders,rwd,gas,None,114000,None,clean,automatic,None,10900
pontiac vibe,2005,None,None,None,None,gas,None,206000,None,clean,automatic,None,2500
Honda Accord,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Jeep Wrangler,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1535
Toyota Corolla,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1507
Scammer ripoff,2015,None,None,None,None,other,None,None,None,clean,other,None,1534
Jeep Liberty,2005,None,excellent,6 cylinders,4wd,gas,black,None,full-size,clean,automatic,truck,30
Ford,1993,None,None,8 cylinders,None,diesel,None,None,None,clean,automatic,None,2500
gmc yukon slt,2007,None,excellent,8 cylinders,rwd,gas,black,142000,full-size,lien,automatic,SUV,12800
Chevy Malibu,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,300
ford f-250,2002,None,None,None,None,diesel,None,None,None,clean,automatic,None,16000
Subaru Impreza Wrx,2004,None,like new,4 cylinders,None,gas,silver,None,full-size,clean,manual,sedan,1500
Corvair Convertible,1964,None,None,6 cylinders,rwd,gas,black,57000,None,clean,automatic,convertible,9250
ford f150 fx4,2000,0000000000000,good,8 cylinders,4wd,gas,grey,148000,full-size,clean,automatic,None,10500
buick regal,2001,None,excellent,6 cylinders,fwd,gas,None,108000,None,clean,automatic,None,3000
Ford f-250,2001,None,good,10 cylinders,4wd,gas,None,186000,None,clean,automatic,pickup,7500
Mazda 6,2016,None,None,None,None,gas,None,None,None,lien,manual,None,13900
Dodge 350 Cummins,1993,None,fair,6 cylinders,rwd,diesel,None,316000,None,clean,automatic,pickup,8000
chevrolet 2500 silverado,2002,Xxxxxxx,good,8 cylinders,4wd,gas,blue,208000,full-size,clean,automatic,pickup,6000
chevy silverado 1500,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
dodge ram 1500,1999,3B7HF12Z2XG127440,good,8 cylinders,4wd,gas,green,144095,full-size,salvage,automatic,truck,3450
ford f-250,1976,None,excellent,None,None,gas,None,None,None,clean,other,None,1200
chevy c10,1986,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Chevy El Camino,1981,None,good,6 cylinders,rwd,gas,brown,92000,full-size,clean,automatic,pickup,3500
Ford F250,1996,None,good,8 cylinders,4wd,gas,white,204000,full-size,clean,automatic,pickup,8000
