make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f-250,2002,None,None,None,None,diesel,None,None,None,clean,automatic,None,6800
ford f250 super duty,2006,None,good,8 cylinders,4wd,gas,white,126500,full-size,clean,automatic,None,7500
Chevy Avalanche Z71 LTZ,2007,None,excellent,8 cylinders,4wd,gas,black,None,None,clean,automatic,None,19500
pontiac grand am,2003,None,None,None,None,gas,None,105000,None,clean,automatic,None,2900
chrysler sebring,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Toyota Yaris,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,9950
dodge ram 2500,2000,None,fair,None,4wd,diesel,white,300000,None,clean,automatic,pickup,6000
vw golf gl,2004,9bwgl61j944007257,good,None,None,gas,grey,130454,compact,clean,automatic,hatchback,3200
2004 chevy express passenger,2004,1GAHG39U641124727,good,8 cylinders,rwd,gas,white,148623,full-size,clean,automatic,None,4980
toyota prius,2007,JTDKB20U777582844,good,4 cylinders,fwd,hybrid,brown,149354,None,clean,automatic,None,4600
jeep wrangler unlimited sahara,2008,None,good,6 cylinders,4wd,gas,green,89146,None,clean,automatic,offroad,20750
Toyota Tacoma,2003,None,excellent,6 cylinders,None,gas,None,101000,None,clean,automatic,None,13500
kia optima lx,2011,KNAGM4A79b5167255,excellent,4 cylinders,fwd,gas,custom,82000,mid-size,clean,automatic,sedan,8600
Ford Ranchero,1965,None,fair,8 cylinders,rwd,gas,white,None,None,clean,automatic,pickup,2500
any and all,1900,None,new,other,None,other,custom,None,None,clean,other,other,1
ford escape,2001,None,good,6 cylinders,4wd,gas,red,164000,mid-size,clean,automatic,SUV,2200
Dodge Durango,1999,None,good,8 cylinders,4wd,gas,None,165000,None,clean,automatic,None,1500
Toyota Solara,2003,None,fair,4 cylinders,fwd,gas,black,228000,mid-size,clean,automatic,sedan,1800
ford f350,2002,None,excellent,8 cylinders,4wd,diesel,blue,161092,full-size,clean,automatic,pickup,20000
ford mustang,2006,None,good,8 cylinders,rwd,gas,white,None,sub-compact,clean,manual,coupe,9000
Ford f100,1966,None,None,None,None,gas,None,None,None,clean,manual,None,6000
Volkswagen Jetta Wagon TDI,2005,None,good,4 cylinders,fwd,diesel,silver,188710,None,clean,automatic,wagon,5400
Ford F250,1991,None,fair,8 cylinders,4wd,diesel,black,None,full-size,clean,manual,pickup,3500
gmc 1500 sierra,1976,None,good,8 cylinders,rwd,gas,green,None,full-size,clean,automatic,truck,1500
Toyota Prius,2009,None,None,None,None,hybrid,None,86000,None,clean,automatic,None,7500
pontiac gran prix,2004,None,excellent,6 cylinders,None,gas,grey,174000,full-size,clean,automatic,sedan,1700
Ford F250,2011,None,None,None,None,diesel,None,None,None,clean,automatic,None,20000
Toyota Pickup,1987,None,None,None,None,gas,None,None,None,clean,manual,None,2500
volkswagen jetta,2006,None,good,4 cylinders,fwd,gas,None,250000,mid-size,clean,manual,None,3200
gmc sierra,1978,None,good,8 cylinders,4wd,gas,None,102000,None,clean,automatic,truck,4500
vw touareg,2006,WVGLG77L96D012430,fair,6 cylinders,4wd,gas,blue,198000,full-size,clean,automatic,SUV,3500
Ford f350,2008,None,excellent,8 cylinders,4wd,diesel,brown,116000,full-size,clean,automatic,pickup,24000
Camaro LT,1977,None,None,None,None,gas,None,None,None,clean,manual,None,2900
chevy s10,2000,None,None,None,None,gas,None,None,None,salvage,automatic,None,2500
nissan pick up,1984,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
Ford F350,1996,None,None,None,4wd,diesel,None,207000,None,clean,manual,None,12000
gmc,1991,None,good,6 cylinders,rwd,gas,white,65000,mid-size,clean,automatic,truck,2000
Mini Cooper,2004,None,good,4 cylinders,None,gas,black,190000,compact,clean,automatic,coupe,3500
Lincoln Town Car,1989,None,excellent,8 cylinders,rwd,gas,grey,104700,full-size,clean,automatic,sedan,3940
Gmc Vandura,1995,None,good,8 cylinders,rwd,gas,white,135000,full-size,clean,automatic,van,4500
volkswagen beetle turbo,2003,None,good,4 cylinders,fwd,gas,None,134170,None,clean,manual,None,3300
isuzu rodeo,1997,4S2CM58V1V4340647,good,6 cylinders,4wd,gas,red,1700779,mid-size,clean,automatic,SUV,2000
Dodge coronet,1967,None,None,None,None,gas,None,None,None,clean,manual,None,8000
FORD,1990,None,good,8 cylinders,rwd,gas,white,71000,full-size,clean,automatic,None,6500
Mazda 6,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3600
Lexus es300,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
Toyota rav4,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,4600
subaru impreza,2013,None,excellent,4 cylinders,4wd,gas,grey,38000,mid-size,clean,automatic,sedan,12900
ford expedition,2000,None,good,8 cylinders,4wd,gas,white,205000,full-size,clean,automatic,SUV,4500
ford f150,1997,None,fair,8 cylinders,4wd,gas,green,204514,full-size,clean,automatic,pickup,1500
lincoln town car,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Cayenne,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,16574
gmc sierra 2500 hd,2006,None,good,None,4wd,diesel,white,196000,full-size,clean,automatic,truck,14000
jeep cherokee,1991,None,good,6 cylinders,4wd,gas,red,198000,mid-size,clean,automatic,SUV,3500
ford f-250,2000,None,good,8 cylinders,rwd,diesel,None,170000,full-size,clean,manual,pickup,7000
Honda Accord EX,1993,JHMCB7578PC032286,fair,4 cylinders,fwd,gas,black,230800,mid-size,clean,manual,sedan,800
subaru impreza wagon wrx,2014,None,excellent,4 cylinders,4wd,gas,grey,53000,None,lien,manual,hatchback,23000
plymouth duster,1974,vs29l4bxxxxxx,excellent,8 cylinders,rwd,gas,brown,93000,compact,clean,automatic,coupe,25000
audi s4,2006,None,None,None,None,gas,None,None,None,clean,manual,None,7400
Leer,2004,None,None,None,None,other,white,None,None,clean,other,truck,450
nissan altima 2.5 sl,2007,None,good,4 cylinders,None,gas,black,137000,full-size,clean,automatic,sedan,2500
subaru legacy 2.5i special editi,2006,None,good,4 cylinders,4wd,gas,black,169000,full-size,clean,manual,sedan,4400
toyota corolla,2003,None,None,None,None,gas,None,179000,None,clean,manual,None,3800
