make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Mazda 5,2006,None,good,4 cylinders,fwd,gas,blue,108750,mid-size,clean,automatic,None,3200
Ford Edge SEL,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,8900
Toyota Sequoia,2004,None,good,8 cylinders,rwd,gas,red,277566,full-size,clean,automatic,SUV,3500
ford mustang convertible gt,1998,None,good,8 cylinders,rwd,gas,black,None,None,clean,automatic,convertible,4000
volkswagen beetle,2004,None,good,4 cylinders,None,gas,red,187000,compact,clean,automatic,coupe,3995
mercury grand marquis,1997,None,excellent,8 cylinders,rwd,gas,silver,150000,None,clean,automatic,other,2300
mercury grand marquis,1997,None,excellent,8 cylinders,rwd,gas,silver,150000,None,clean,automatic,other,2300
ford mustang 5.0,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,399
dodge dart gt,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,339
dodge durango,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,399
dodge challenger srt8,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,329
dodge ram 1500,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,599
jeep wrangler,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,499
chevrolet corvette convertible,1991,None,excellent,8 cylinders,None,gas,red,43000,None,clean,automatic,None,10500
Lexus,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1545
vw jetta 2.5,2009,None,excellent,None,None,gas,white,119255,compact,clean,automatic,sedan,5450
dodge ram 1500 4x4,2007,None,good,8 cylinders,4wd,gas,white,None,None,clean,automatic,truck,10200
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1520
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1564
ford f-150 xlt,2006,None,good,8 cylinders,rwd,gas,red,135400,full-size,clean,automatic,pickup,9000
Ford F-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1540
Ford Mustang,2005,None,None,None,rwd,gas,black,199000,None,clean,manual,None,3500
camaro rs,1978,None,excellent,8 cylinders,rwd,gas,None,107365,full-size,clean,automatic,coupe,16500
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1555
Nissan Murano,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2020
nissan altima 2.5 s,2010,None,good,None,None,gas,None,69200,None,clean,automatic,coupe,7000
hyundai xg350,2005,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
Chev Astro Van,2001,1GCDM19w61B116358,fair,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,van,800
Dodge WC52,1942,81533159,good,6 cylinders,4wd,gas,green,43613,full-size,missing,manual,pickup,6950
Chevrolet Aveo,2005,None,like new,None,None,gas,blue,None,None,clean,automatic,None,2600
chrysler 300,2008,None,like new,None,None,gas,white,None,None,clean,automatic,None,4000
ford ranger,1997,None,None,None,None,gas,None,None,None,clean,other,None,500
silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1539
honda accord lx,1995,1HGCD5648SA097438,good,4 cylinders,fwd,gas,silver,139000,None,clean,automatic,sedan,1200
chevrolet 1500 silverado,2009,None,good,8 cylinders,4wd,gas,white,142000,mid-size,lien,automatic,truck,12000
chevrolet corvette stingray,2014,None,excellent,None,None,gas,None,14000,None,clean,automatic,None,52000
cadillac deville,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1950
cadillac deville,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1950
dodge charger,2008,2B3KA43R88H113114,excellent,6 cylinders,rwd,gas,grey,136170,full-size,clean,automatic,wagon,8500
Chrysler,2008,None,excellent,None,None,gas,white,None,None,clean,automatic,None,4000
VW Beetle,2000,None,good,4 cylinders,fwd,gas,yellow,158000,compact,clean,manual,hatchback,1500
Ford Explorer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1517
Ford Explorer XLT,2004,1fmzu63k74ua63490,excellent,6 cylinders,rwd,gas,blue,67350,full-size,clean,automatic,SUV,5500
infiniti g35 x awd,2003,None,good,6 cylinders,4wd,gas,green,160000,None,clean,automatic,sedan,2500
cadillac srx luxury,2010,None,excellent,6 cylinders,None,gas,black,99129,None,clean,automatic,SUV,12500
HYUNDAI SANTA FE,2005,KM8SC73E65U875837,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,700
Honda Civic EX,2006,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1500
2000 Lincoln town car,2000,None,like new,8 cylinders,fwd,gas,silver,None,full-size,clean,automatic,sedan,1600
chevrolet 1500 tahoe,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,10300
FORD F250 SUPER DUTY,2003,None,fair,8 cylinders,4wd,gas,white,240123,full-size,clean,automatic,pickup,3500
NISSAN FRONTIER NISMO,2006,None,good,6 cylinders,4wd,gas,silver,155123,mid-size,clean,automatic,pickup,7000
Oldsmobile cutlass,1972,None,good,8 cylinders,rwd,gas,green,93000,full-size,clean,automatic,None,12000
chevy corvette,1975,None,None,None,None,gas,None,None,None,clean,automatic,None,9999
toyota 4runner,2002,N/A,good,6 cylinders,rwd,gas,silver,234534,mid-size,clean,automatic,SUV,4995
Chevrolet Silverado,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4800
ford ranger xlt,2000,None,good,6 cylinders,fwd,gas,red,None,mid-size,clean,automatic,None,1600
chevy bel air,1955,None,None,None,None,gas,None,None,None,clean,automatic,None,16500
chevrolet 1500 silverado,2016,None,excellent,8 cylinders,4wd,gas,silver,32000,full-size,lien,automatic,pickup,38000
Lexus ES 350,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,9800
Toyota Camry,1996,None,good,4 cylinders,fwd,gas,None,None,None,clean,automatic,None,1000
Acura TL,2009,None,None,None,None,gas,black,None,None,clean,automatic,None,12500
dodge caravan,2002,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,None,1500
ford f-150,2010,None,excellent,8 cylinders,rwd,gas,grey,14400,full-size,clean,automatic,pickup,14500
Mercedes Benz 320e,2004,None,excellent,6 cylinders,None,gas,None,150000,None,clean,automatic,None,6999
dodge ram 1500,2002,None,good,8 cylinders,None,gas,white,200000,None,clean,automatic,None,3999
Dodge Charger,2008,None,excellent,6 cylinders,None,gas,custom,2000000,None,rebuilt,automatic,None,3999
ford expedition,2001,None,good,8 cylinders,None,gas,green,200000,None,clean,automatic,None,1999
ford focus,2002,None,good,4 cylinders,None,gas,red,200000,None,clean,automatic,None,1999
ford ranger,2000,None,good,4 cylinders,None,gas,green,2000000,None,clean,manual,None,2999
mercedes-benz s320,1997,None,None,None,None,gas,None,174523,None,clean,automatic,None,1500
chevy silverado 3500,1997,None,good,8 cylinders,rwd,diesel,red,None,full-size,clean,automatic,truck,3800
ford f-150 fx4,2004,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,5000
chevrolet corvette convertible,1991,None,excellent,8 cylinders,None,gas,red,43000,None,clean,automatic,None,10500
hyundai tucson,2007,None,excellent,None,None,gas,black,None,None,clean,automatic,None,3400
chevrolet camaro,1987,None,good,8 cylinders,rwd,gas,None,100000,None,clean,manual,None,4200
Ford F250SD,2001,None,good,8 cylinders,None,gas,white,301000,full-size,clean,automatic,None,5995
gmc 1500 sierra,2008,None,like new,8 cylinders,4wd,gas,white,102000,full-size,clean,automatic,pickup,14455
ford explorer limited,2012,1FMHK7F93CGA01128,like new,4 cylinders,fwd,gas,green,132000,full-size,clean,automatic,SUV,15500
Che,2007,None,None,4 cylinders,None,gas,None,None,None,clean,automatic,None,3500
volkswagen beetle,2004,None,excellent,4 cylinders,None,gas,white,174000,None,clean,automatic,None,3999
nissan maxima se,1998,None,None,None,None,gas,None,300000,None,clean,automatic,None,1999
pontiac bonneville ssei,1996,None,excellent,6 cylinders,None,gas,green,90000,full-size,clean,automatic,sedan,3200
dodge dakota sport,2006,None,excellent,6 cylinders,4wd,gas,red,150000,None,clean,automatic,None,7999
hyundai xg300,2005,None,like new,None,None,gas,silver,None,None,clean,automatic,None,2100
chevrolet camaro,1972,None,fair,None,None,gas,None,None,None,clean,automatic,None,5000
Honda Accord,2005,None,None,None,None,gas,None,188000,None,clean,automatic,None,4800
Ford Explorer Escape Expedition,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
buick lesabre,2003,None,excellent,6 cylinders,None,gas,red,98000,None,clean,automatic,None,2980
Pt Cruiser,2003,None,None,None,None,gas,None,89,None,clean,manual,None,1800
Mercedes benz c230,2006,None,like new,None,None,gas,silver,130000,None,clean,automatic,None,7900
Chevy Cobalt,2009,None,fair,None,None,gas,red,None,None,clean,automatic,None,1000
