make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
dodge caravan,2002,None,good,6 cylinders,fwd,gas,blue,200000,mid-size,clean,automatic,mini-van,1
ford escort,1998,None,excellent,4 cylinders,fwd,gas,grey,175000,mid-size,clean,automatic,sedan,1200
dodge charger,2006,None,good,8 cylinders,fwd,gas,black,None,None,salvage,automatic,other,14500
volvo s60,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1506
chevrolet ssr,2003,None,good,8 cylinders,rwd,gas,yellow,49600,full-size,clean,automatic,convertible,18995
ford f-150,2006,None,excellent,8 cylinders,4wd,gas,silver,None,None,clean,automatic,pickup,9500
chrysler town and country,2003,None,good,None,None,gas,None,127000,None,clean,automatic,None,3000
jeep kaiser,1970,None,good,6 cylinders,4wd,gas,green,116000,full-size,clean,manual,other,15000
vw beetle,2005,None,excellent,5 cylinders,fwd,gas,custom,73000,compact,clean,automatic,convertible,5800
toyota camry le,2000,4T1BG28K2YU750893,good,4 cylinders,None,gas,white,140371,mid-size,clean,automatic,sedan,2800
Jeep CJ5,1971,None,excellent,6 cylinders,fwd,gas,custom,87000,None,clean,manual,offroad,6500
Ram 1500 BIG HORN,2012,None,excellent,8 cylinders,4wd,gas,black,62000,full-size,clean,automatic,truck,4000
Ford Super Duty 650,2008,3FRWF65EX8V695917,excellent,6 cylinders,rwd,diesel,white,None,None,clean,automatic,None,43900
honda accord,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
ford ranger,1999,None,good,None,4wd,gas,red,140000,None,clean,automatic,None,3
mercury villager,1995,None,fair,None,4wd,gas,grey,150000,None,clean,automatic,None,1
Kia Optima,2004,None,good,6 cylinders,fwd,gas,red,148000,mid-size,clean,automatic,sedan,2395
Honda Accord,2000,None,good,6 cylinders,fwd,gas,green,207000,mid-size,clean,automatic,sedan,2295
dodge avenger,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,4950
saturn SL - 2,1998,1G8ZK5275WZ203747,excellent,4 cylinders,fwd,gas,white,151792,compact,clean,automatic,sedan,2750
honda odyssey ex,2002,5fnrl18692b016277,like new,6 cylinders,None,gas,red,75300,None,clean,automatic,None,5000
bmw 750li,2007,None,None,None,None,gas,None,150607,None,clean,automatic,None,6900
VW Karmann Ghia,1970,1402955521,like new,4 cylinders,rwd,gas,yellow,None,compact,clean,automatic,coupe,7800
chevrolet corvette convertible,2000,None,excellent,8 cylinders,rwd,gas,blue,98000,full-size,clean,automatic,convertible,11900
lincoln town car signature,1995,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,3990
nissan murano,2010,None,like new,6 cylinders,None,gas,None,None,None,clean,automatic,None,2300
ford f-150 fx4,2010,None,excellent,8 cylinders,None,gas,red,105000,full-size,clean,automatic,truck,25500
Chevy S10,1992,None,None,None,None,gas,None,None,None,clean,manual,None,3500
BMW 328D XDRIVE,2014,None,like new,4 cylinders,None,diesel,black,49500,None,lien,automatic,None,20500
cadillac cts 3.6l v6,2005,None,good,6 cylinders,rwd,gas,black,129000,full-size,clean,automatic,sedan,3500
any,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,600
chevy 2500,2000,None,excellent,None,4wd,gas,black,None,full-size,clean,automatic,truck,1000
Jeep Liberty 4x4,2005,None,None,None,None,gas,None,150,None,clean,automatic,None,4500
Warren,2005,None,None,None,None,other,None,None,None,clean,other,None,24500
Kenworth T800 Daycab,1987,None,None,None,None,diesel,None,None,None,clean,manual,None,28500
Jeep Wrangler 4x4 Sport,2000,1J4FA9S9YP790785,excellent,6 cylinders,4wd,gas,green,121500,None,clean,manual,None,10295
Prius,2010,None,None,None,None,hybrid,None,147000,None,clean,automatic,None,6500
audi a4 2.0t,2009,WAUAF48H49K011425,like new,4 cylinders,None,gas,white,57521,compact,clean,automatic,None,14900
ford mustang convertible,2008,1ZVHT84N985145001,like new,6 cylinders,None,gas,white,92233,mid-size,clean,manual,None,6900
ford mustang convertible,2010,1ZVBP8EN2A5171793,excellent,6 cylinders,None,gas,custom,95057,mid-size,clean,automatic,None,8900
Ford F-150,2007,None,like new,None,None,gas,None,None,None,clean,automatic,None,14900
BMW 330i,2002,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,1500
ford ranger,2011,None,good,4 cylinders,rwd,gas,white,105171,mid-size,clean,automatic,pickup,8500
nissan versa,2012,3N1BC1CP7CK280143,good,4 cylinders,fwd,gas,black,None,compact,clean,automatic,hatchback,7499
chevrolet impala lt,2007,None,excellent,6 cylinders,fwd,gas,white,182000,full-size,clean,automatic,sedan,2800
mercury sable,2008,None,like new,6 cylinders,fwd,gas,black,85700,full-size,clean,automatic,sedan,6995
dodge ram,2001,None,good,None,None,diesel,blue,21158,None,clean,automatic,None,1500
buick rivera,1991,None,excellent,6 cylinders,fwd,gas,blue,115500,mid-size,clean,automatic,coupe,3800
toyta camry,2006,None,good,4 cylinders,None,gas,black,250000,None,clean,automatic,None,2500
jeep wrangler sahara,2004,None,good,6 cylinders,4wd,gas,green,121000,mid-size,clean,automatic,offroad,9800
NISSAN JUKE SL AWD,2011,None,excellent,4 cylinders,4wd,gas,blue,32000,compact,clean,automatic,SUV,10800
chevy cobalt,2010,None,excellent,4 cylinders,fwd,gas,silver,83200,compact,clean,automatic,sedan,6800
dodge ram 2500 cummins,1998,None,good,6 cylinders,rwd,diesel,white,None,full-size,clean,automatic,pickup,9600
ford explorer xlt,2006,None,excellent,6 cylinders,rwd,gas,grey,130000,full-size,clean,automatic,SUV,4500
mazda miata mx-5,1991,None,excellent,None,None,gas,white,185,compact,clean,manual,convertible,2550
chevrolet corvette,2008,Xxx,like new,8 cylinders,rwd,gas,silver,39100,mid-size,clean,automatic,coupe,25500
ford f-150,2001,None,None,8 cylinders,4wd,gas,green,None,None,clean,automatic,None,4800
Chrysler,2000,None,None,None,None,gas,red,None,None,clean,automatic,None,1500
Ford Ranger,2001,NICE TRUCK,excellent,4 cylinders,None,gas,None,101,None,clean,manual,truck,32
mercury grand marquis ls,2003,None,like new,8 cylinders,rwd,gas,blue,107557,full-size,clean,automatic,sedan,4500
peterbilt 359,1979,None,like new,6 cylinders,4wd,diesel,green,250000,full-size,clean,manual,truck,15000
saturn vue xe,2008,None,excellent,6 cylinders,fwd,gas,blue,98300,None,clean,automatic,None,6500
chevy s10 pickup,1985,None,fair,6 cylinders,rwd,gas,black,None,None,clean,manual,pickup,1300
dodge ram 2500 cummins,2008,None,excellent,6 cylinders,rwd,diesel,None,93500,None,clean,automatic,None,22500
Mustang gt,1999,None,fair,8 cylinders,None,gas,None,185000,None,clean,manual,None,4500
ford f150,1999,None,excellent,8 cylinders,rwd,gas,custom,133767,full-size,clean,automatic,pickup,4500
dodge lifted ram cummins 3500,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,21500
gmc jimmy,1996,None,good,6 cylinders,None,gas,None,225000,None,clean,automatic,None,900
bmw x5,2006,None,excellent,6 cylinders,4wd,gas,grey,116000,full-size,rebuilt,automatic,SUV,6700
ford f-350,2005,None,like new,8 cylinders,rwd,diesel,white,109000,None,clean,automatic,truck,13000
dodge ram 1500 slt,2004,None,good,8 cylinders,rwd,gas,blue,162000,full-size,clean,automatic,pickup,4500
Cadillac XLR,2004,1G6YV34A645602356,excellent,8 cylinders,rwd,gas,black,81857,None,clean,automatic,other,14900
f350,1991,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Volkswagen Routan SE,2009,None,good,None,None,gas,None,None,None,clean,automatic,None,5995
mercury sable,1998,None,fair,None,None,gas,None,None,None,clean,automatic,None,700
Buick,1971,None,good,8 cylinders,rwd,gas,blue,None,mid-size,clean,automatic,convertible,6700
nissan altima,2015,None,excellent,4 cylinders,None,gas,None,79000,None,rebuilt,automatic,None,6500
ford ranger xlt,2000,None,excellent,6 cylinders,rwd,gas,black,45000,None,clean,automatic,pickup,6000
Honda Civic,1994,None,fair,4 cylinders,fwd,gas,white,None,None,clean,manual,None,500
chevrolet suburban,1999,None,good,8 cylinders,4wd,gas,None,224000,full-size,clean,automatic,None,3200
chrysler 300,2005,None,good,6 cylinders,rwd,gas,black,123000,full-size,clean,automatic,sedan,3000
