make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
infiniti g35 coupe,2007,JNKCV54E77M901112,excellent,6 cylinders,rwd,gas,grey,189500,compact,clean,automatic,coupe,6900
dodge grand caravan,2012,None,good,6 cylinders,fwd,gas,silver,None,None,rebuilt,automatic,mini-van,9500
Chevrolet 210,1955,None,None,None,None,gas,None,None,None,clean,manual,None,10000
porsche boxster convertible,1999,None,excellent,6 cylinders,fwd,gas,black,106173,sub-compact,clean,manual,convertible,5500
cadillac cts 3.6l v6,2008,None,excellent,6 cylinders,fwd,gas,blue,121000,full-size,clean,automatic,sedan,6500
Kia Spectra,2006,None,excellent,4 cylinders,fwd,gas,brown,189000,mid-size,clean,automatic,sedan,2500
honda civic ex 4dr sedan,1993,None,good,4 cylinders,fwd,gas,white,None,None,salvage,manual,sedan,5500
Honda Element,2003,None,excellent,4 cylinders,fwd,gas,grey,2090000,mid-size,clean,automatic,SUV,3200
Pontiac tempest,1966,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Volkswagen,2012,None,None,None,None,gas,None,63000,None,clean,automatic,None,11500
bmw z3,1997,None,None,6 cylinders,rwd,gas,green,162000,compact,clean,automatic,None,3500
honda accord ex v-6,2002,None,excellent,6 cylinders,fwd,gas,brown,168000,mid-size,clean,automatic,sedan,2500
ford focus sel,2012,None,excellent,4 cylinders,fwd,gas,black,126400,compact,clean,automatic,hatchback,5995
buick rainier cxl,2004,None,excellent,8 cylinders,rwd,gas,silver,122000,mid-size,clean,automatic,SUV,5495
ford focus,2005,None,excellent,4 cylinders,fwd,gas,green,126900,compact,clean,automatic,wagon,3295
toyota camry le 4dr sedan,2011,None,excellent,4 cylinders,fwd,gas,blue,121700,mid-size,clean,manual,sedan,6495
toyota corolla le,2009,None,good,4 cylinders,fwd,gas,blue,131340,None,clean,automatic,None,4900
Expedition,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Dodge neon,2005,None,None,None,None,gas,None,174000,None,clean,automatic,None,1900
PORSCHE BOXSTER,2001,None,None,None,None,gas,None,None,None,parts only,automatic,None,1
FORD-F150 XLT,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,13500
mercury park lane,1964,None,fair,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,None,4000
Pontiac G6 GT Convertible,2007,1G2ZH361074261041,good,6 cylinders,fwd,gas,black,105235,mid-size,clean,automatic,None,6991
mercedes benz,1954,None,None,None,None,other,None,None,None,salvage,other,None,1
infiniti g35 coupe,2005,None,good,6 cylinders,rwd,gas,black,146000,None,clean,automatic,None,5700
jeep wrangler,1998,None,None,6 cylinders,4wd,gas,green,None,None,clean,manual,None,8900
Toyota,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,7200
chevy corvette,1989,None,None,8 cylinders,rwd,gas,black,39000,None,clean,automatic,None,8500
jeep wrangler 4x4 sport,1990,None,None,None,None,gas,None,150000,None,clean,manual,None,6300
Mustang,2006,None,excellent,6 cylinders,None,gas,None,None,None,clean,manual,None,65
saab 9-3 2.0t,2002,None,None,None,None,gas,None,141000,None,clean,manual,None,2500
ford ltd wagon,1981,None,like new,8 cylinders,None,gas,None,86000,None,clean,automatic,None,7950
Chevy Malibu Maxx,2004,None,good,6 cylinders,fwd,gas,silver,None,None,clean,automatic,None,1200
GMC Envoy,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
plymouth duster,1974,None,None,8 cylinders,rwd,gas,red,None,None,clean,manual,None,7500
Ford Model A,1930,None,good,6 cylinders,rwd,gas,red,1000,None,clean,automatic,coupe,15000
Four door Oldsmobile,1989,None,good,6 cylinders,fwd,gas,grey,80000,mid-size,clean,automatic,sedan,800
mazda 3,2010,None,excellent,4 cylinders,None,gas,blue,None,mid-size,clean,automatic,sedan,5900
gmc c8500,2002,None,None,None,None,diesel,None,172000,None,clean,manual,None,69900
honda accord lx,2003,None,good,4 cylinders,None,gas,blue,190500,None,clean,automatic,sedan,3250
gmc c8500,2002,None,None,None,None,diesel,None,172000,None,clean,manual,None,69900
audi a4,2011,None,good,4 cylinders,fwd,gas,black,39,full-size,rebuilt,automatic,sedan,1
Chevrolet Corvette,2005,None,excellent,8 cylinders,rwd,gas,silver,90000,None,clean,automatic,coupe,18900
Mazda 3,2012,None,None,None,None,gas,None,102000,None,clean,manual,None,5900
ford f 350,2000,None,None,None,None,gas,None,202068,None,clean,automatic,None,9800
chevrolet 1500 silverado,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,44000
Vw bug,1960,None,None,None,None,gas,None,None,None,clean,manual,None,8500
International 4400,2010,None,good,None,None,diesel,None,None,None,clean,automatic,None,18000
ford f350 lariat,1990,None,good,8 cylinders,rwd,gas,black,83500,None,clean,automatic,None,4500
MERCEDES BENZ SL,2003,None,excellent,8 cylinders,rwd,gas,silver,34000,None,clean,automatic,convertible,35000
CADILLAC COUPE DEVILLE,1970,None,excellent,8 cylinders,None,gas,white,98000,full-size,clean,automatic,coupe,8900
ford mustang,1990,None,excellent,8 cylinders,rwd,gas,green,71000,mid-size,clean,automatic,None,11000
Ford,1988,None,None,None,None,diesel,None,None,None,clean,manual,None,6500
Corvette,1979,None,excellent,8 cylinders,rwd,gas,brown,77000,full-size,clean,manual,coupe,13500
chevrolet s-10,1985,None,good,6 cylinders,rwd,gas,custom,None,None,clean,manual,pickup,800
Corsair Deluxe,1953,None,None,None,None,gas,None,None,None,clean,automatic,None,35000
toyota 4runner,1998,None,excellent,6 cylinders,fwd,gas,silver,280000,None,clean,automatic,None,4600
chevrolet corvette,1978,None,None,8 cylinders,None,gas,black,None,None,clean,automatic,None,6400
chevy P/U,1949,None,good,8 cylinders,rwd,gas,custom,25000,full-size,clean,automatic,None,28000
jeep cherokee,1994,None,good,6 cylinders,rwd,gas,white,145000,mid-size,clean,automatic,SUV,2495
ford explorer,1996,None,None,6 cylinders,None,gas,None,None,None,clean,manual,None,1300
