make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
honda odyssey ex,2004,None,None,None,None,gas,None,170000,None,clean,automatic,None,3500
HONDA CRV LX,2007,JHLRE38387C033297,excellent,4 cylinders,fwd,gas,green,131702,compact,clean,automatic,SUV,6700
Toyota Tundra,2005,None,excellent,8 cylinders,fwd,gas,None,185564,None,clean,automatic,None,7500
KIA SPORTAGE LX,2009,KNDJF724197563199,excellent,4 cylinders,fwd,gas,grey,103188,compact,clean,automatic,SUV,4950
infiniti m35 sport,2006,None,excellent,6 cylinders,rwd,gas,grey,None,full-size,clean,automatic,sedan,6500
Ford Esort,1997,None,excellent,4 cylinders,None,gas,green,113000,None,clean,automatic,sedan,1950
Fordtrk,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
VW golf,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
Ford Model A,1929,None,excellent,4 cylinders,rwd,gas,green,None,mid-size,clean,manual,coupe,12000
Chevy 3500 HD,1996,None,None,None,None,diesel,None,None,None,clean,automatic,None,2800
volvo s80,2001,None,excellent,6 cylinders,fwd,gas,None,162000,None,clean,automatic,sedan,2000
jeep wrangler unlimited 4wd,2006,None,excellent,6 cylinders,4wd,gas,red,175540,None,clean,manual,None,14500
mercury sable ls,2003,None,good,6 cylinders,fwd,gas,grey,193000,mid-size,clean,automatic,sedan,2000
Infiniti QX70,2015,None,excellent,4 cylinders,fwd,gas,None,30544,None,clean,automatic,SUV,23900
honda odyssey lx,2010,None,good,6 cylinders,None,gas,blue,None,None,clean,automatic,None,9000
ford f-150,1978,None,like new,4 cylinders,fwd,gas,green,None,full-size,clean,automatic,truck,15000
chevy 3500,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
Mercedes Benz c230,2003,None,None,None,None,gas,None,153489,None,clean,automatic,None,2700
honda accord lx,2003,None,good,4 cylinders,None,gas,blue,1905000,None,clean,automatic,sedan,3250
ACURA TSX,2010,JH4CU2F61AC014318,excellent,4 cylinders,fwd,gas,None,117045,mid-size,clean,automatic,sedan,8500
dodge charger,2006,None,good,8 cylinders,None,gas,black,33000,mid-size,salvage,automatic,sedan,14500
TOYOTA HIGHLANDER,2007,JTEGP21A470132598,excellent,6 cylinders,fwd,gas,white,122854,mid-size,clean,automatic,SUV,7000
Nissan Sentra SR,2014,None,excellent,4 cylinders,fwd,gas,blue,37600,mid-size,clean,automatic,sedan,11900
subaru brz,2014,None,excellent,4 cylinders,rwd,gas,grey,45000,None,clean,manual,None,20000
mazda mx-5 miata,1990,None,good,4 cylinders,fwd,gas,red,None,sub-compact,clean,manual,convertible,5000
HYUNDAI ACCENT GLS,2013,KMHCU4AE4DU372244,excellent,4 cylinders,fwd,gas,red,61890,compact,clean,automatic,sedan,7250
nissan altima,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
hundai accent,2002,None,None,None,None,gas,custom,170400,None,clean,automatic,None,1500
chevrolet camaro,1967,None,None,None,None,gas,None,None,None,parts only,automatic,None,18500
honda civic coupe,1995,None,good,4 cylinders,fwd,gas,red,None,None,clean,manual,None,2000
chevrolet impala,2005,None,excellent,6 cylinders,None,gas,white,None,None,clean,automatic,None,2050
ACUA MDX,2011,2HNYD2H22BH538071,like new,6 cylinders,4wd,gas,white,98877,mid-size,clean,automatic,SUV,14200
Lexus RX 350 fwd,2013,None,None,6 cylinders,fwd,gas,white,None,None,lien,automatic,None,27500
ford expedition,2000,None,None,None,None,gas,None,178000,None,clean,automatic,None,2800
GMC CANYON CRE CAB,2005,1GTDS136658189537,excellent,5 cylinders,rwd,gas,white,113518,mid-size,clean,automatic,pickup,8750
ford focus,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2150
toyota corolla,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2450
honda civic lx,2016,19xfc2f55ge027101,excellent,4 cylinders,fwd,gas,black,41800,full-size,clean,manual,sedan,18000
ford f-150,2000,None,good,6 cylinders,None,gas,blue,None,None,clean,automatic,pickup,3000
toyota camry le,1997,None,None,4 cylinders,fwd,gas,green,162000,None,clean,automatic,None,1800
toyota corolla,2007,None,good,4 cylinders,fwd,gas,green,140,compact,clean,manual,None,4500
chrysler pt cruiser,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1499
01 nissan sentra,2001,None,good,4 cylinders,fwd,gas,green,141000,compact,clean,automatic,sedan,2000
ford explorer,2008,None,excellent,6 cylinders,rwd,gas,white,133900,full-size,clean,automatic,SUV,8900
ford f-150,2001,None,None,None,None,diesel,None,None,None,clean,automatic,None,8700
Ford Mustang Convertible GT,2006,None,excellent,8 cylinders,rwd,gas,silver,69741,None,clean,automatic,convertible,11250
Ford Expedition Eddie Bauer,2004,None,excellent,8 cylinders,None,gas,white,215750,None,clean,automatic,SUV,5250
Volks,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1950
JEEP GRAND CHEROKEE LIMITED,2005,1J4HR58285C532009,excellent,8 cylinders,4wd,gas,None,134876,full-size,clean,automatic,SUV,6200
Bentley Continental GT,2004,None,None,None,None,gas,green,39243,None,clean,automatic,None,45000
Chevy Tahoe LT,2007,None,None,None,None,gas,None,150132,None,clean,automatic,None,12950
2500 laramie crew cab 4x4,2013,None,excellent,6 cylinders,None,diesel,None,58000,None,clean,automatic,None,47000
jeep wrangler sahara,1997,None,None,6 cylinders,None,gas,None,None,None,clean,manual,None,9500
BMW 328i,2009,None,None,None,None,gas,None,143000,None,clean,automatic,None,6500
Toyota Camry LE,2006,None,excellent,4 cylinders,None,gas,None,140,None,clean,automatic,None,4900
Honda Accord,2012,None,excellent,None,None,gas,None,93,None,clean,automatic,None,9900
Dodge Ram quad cab SLT,2006,None,excellent,None,rwd,gas,None,99,None,clean,automatic,None,8600
Subaru Legacy sedan,2009,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,5700
Nissan Sentra SV,2014,None,excellent,None,None,gas,None,86,None,clean,automatic,None,7900
Toyota Camry LE,2006,None,like new,4 cylinders,None,gas,None,140,None,clean,automatic,None,4700
Dodge Grand Caravan,2005,None,good,6 cylinders,fwd,gas,silver,159,mid-size,clean,automatic,van,3800
Honda Accord premium,2012,None,excellent,None,None,gas,None,92,None,clean,automatic,None,9900
Honda CRV EX Navigation,2007,None,excellent,None,None,gas,black,149,None,clean,automatic,None,5999
Lexus IS 250,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,7500
lincoln continental town car,1996,None,good,8 cylinders,rwd,gas,silver,50000,full-size,clean,automatic,other,1000
Ford,2006,None,None,6 cylinders,fwd,gas,grey,None,full-size,clean,automatic,mini-van,3500
chevy silverado 2500,2006,None,excellent,8 cylinders,rwd,gas,silver,132000,full-size,clean,automatic,pickup,8750
Buick Century custom,1998,None,excellent,6 cylinders,None,gas,brown,None,mid-size,clean,automatic,sedan,2000
ford mustang 5.0,2011,17VBP8CF2B5147412,like new,8 cylinders,rwd,gas,red,20600,None,clean,manual,coupe,27500
Chevy impala ss,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,17000
gmc sierra 2500 hd,2003,None,good,8 cylinders,None,gas,white,162000,full-size,clean,automatic,pickup,5200
toyota prius three 4dr hatchback,2013,JTDKN3DU7D5568540,excellent,4 cylinders,None,hybrid,silver,41035,compact,lien,automatic,sedan,16500
Honda Civic,2008,None,None,4 cylinders,None,gas,None,None,None,clean,manual,None,4900
ford f-150,2004,None,good,8 cylinders,rwd,gas,white,220000,full-size,clean,automatic,pickup,5900
HONDA ACCORD EX,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
mercury villager,1995,None,None,None,None,gas,None,175000,None,clean,automatic,None,1500
FORD EXPLORER,2004,None,None,None,None,gas,None,175456,None,clean,automatic,None,3000
HONDA ACCORD EX,2003,None,None,None,None,gas,None,156000,None,clean,automatic,None,3500
toyota corolla,2005,None,good,4 cylinders,fwd,gas,silver,120000,compact,clean,automatic,sedan,3900
lexus lx 470,2002,None,None,None,4wd,gas,None,172000,None,clean,automatic,None,22100
honda accord ex,2010,None,excellent,6 cylinders,fwd,gas,grey,None,None,clean,automatic,sedan,7000
ford focus se,2014,1FADP3K24EL180561,excellent,4 cylinders,fwd,gas,None,120000,mid-size,clean,automatic,hatchback,6800
"toyota corolla LE, Premium",2015,2T1BURHE1FC424853,excellent,4 cylinders,fwd,gas,grey,19250,compact,clean,automatic,sedan,16750
volkswagen beetle,1974,None,excellent,4 cylinders,fwd,gas,None,None,compact,clean,manual,convertible,6800
