make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
mazda mazda3 i,2008,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2200
ford edge sel,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,4400
Honda Shadow,2004,None,None,None,None,gas,None,None,None,clean,manual,None,2950
Any,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,800
Ford Focus SE,2010,None,excellent,4 cylinders,fwd,gas,silver,142000,full-size,clean,automatic,sedan,3200
Any,1990,None,None,None,None,other,None,None,None,clean,other,None,800
Ford F100,1973,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
BMW 325i,1989,WBABB1303K8275318,good,6 cylinders,rwd,gas,black,96000,None,salvage,manual,convertible,7500
saab 9-5 aero,2001,ys3eh48g613024450,like new,4 cylinders,fwd,gas,silver,60000,full-size,clean,automatic,sedan,6000
Nissan/Infiniti,2003,None,None,None,None,gas,None,None,None,parts only,manual,None,1700
porsche 944,1984,None,good,4 cylinders,rwd,gas,red,None,None,clean,manual,None,2499
ford f150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2499
toyota yaris,2009,14000,good,4 cylinders,fwd,gas,black,14000,mid-size,clean,automatic,hatchback,2600
honda fit sport,2012,None,excellent,4 cylinders,fwd,gas,black,90000,mid-size,clean,automatic,hatchback,7800
toyota corolla S plus,2015,None,like new,4 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,13600
Honda Accord coupe,2003,None,None,None,None,gas,None,140000,None,clean,automatic,None,1400
Ford E-450 bus,2004,None,None,None,None,gas,None,75000,None,clean,automatic,None,5400
Nissan Altima 2.5s,2006,None,None,None,None,gas,None,150000,None,clean,automatic,None,1950
jaguar xtype,2005,None,None,None,None,gas,None,120000,None,clean,automatic,None,1700
Chevrolet Camaro,2002,None,None,None,None,gas,None,94000,None,clean,automatic,None,2450
Volkswagen vw rabbit golf,2008,None,None,None,None,gas,None,120000,None,rebuilt,automatic,None,1950
toyota corolla le,2016,None,like new,4 cylinders,fwd,gas,white,37000,full-size,clean,automatic,sedan,12900
toyota corolla le,2012,None,like new,4 cylinders,fwd,gas,white,76000,mid-size,clean,automatic,sedan,8790
nissan altima,2004,None,like new,6 cylinders,fwd,gas,black,None,mid-size,clean,automatic,sedan,2295
mercedes-benz,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1
mercedes-benz,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
honda civic,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
Toyota Avalon,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3400
Ford,2002,None,excellent,None,None,gas,None,None,None,clean,automatic,None,220
mercedes-benz,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
mitsubishi lancer,2008,None,good,None,None,gas,black,112000,None,clean,automatic,sedan,3950
Nissan Altima coupe,2009,None,None,None,None,gas,None,90000,None,rebuilt,automatic,None,2200
Nissan Altima,2008,None,None,None,None,gas,None,130000,None,clean,automatic,None,1800
Chevy impala lt,2007,None,None,None,None,gas,None,150000,None,clean,automatic,None,2250
Ford F-250 v8,1999,None,None,None,None,diesel,None,None,None,clean,automatic,None,1800
Lincoln continental mark 3,1969,None,None,None,None,gas,None,None,None,clean,automatic,None,2950
Chevrolet Chevy C5500,2006,None,None,None,None,gas,None,210000,None,clean,automatic,None,19500
mitsubishi eclipse,2003,None,good,None,None,gas,None,144000,None,clean,automatic,None,1500
ford f150,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,7400
Honda Civic EX Coupe,2000,None,excellent,4 cylinders,fwd,gas,white,None,compact,missing,manual,coupe,1200
FERRARI 458 ITALIA,2014,None,like new,8 cylinders,None,gas,red,None,compact,clean,automatic,None,1
LAMBORGINI HURACAN,2017,None,like new,10 cylinders,None,gas,None,1938,compact,clean,automatic,None,219900
PORSCHE PANAMERA,2012,None,like new,6 cylinders,None,gas,grey,None,full-size,clean,automatic,None,38700
nissan maxima gle,2002,None,None,6 cylinders,fwd,gas,silver,172000,full-size,clean,automatic,sedan,3500
MERCEDES G63 AMG,2013,None,like new,8 cylinders,None,gas,white,None,full-size,clean,automatic,SUV,96950
BMW 530i,2007,None,None,6 cylinders,None,gas,white,87000,None,clean,automatic,None,7700
FERRARI CALIFORNIA,2010,None,like new,8 cylinders,None,gas,black,21368,compact,clean,automatic,convertible,112900
bmw 5-series 530i,2007,None,excellent,6 cylinders,None,gas,white,84000,None,clean,automatic,None,7700
freightliner columbia,2005,None,excellent,None,None,diesel,white,400000,None,clean,automatic,truck,35000
freightliner columbia,2005,None,excellent,None,None,diesel,white,400000,None,clean,automatic,truck,35000
Jeep Wrangler Rubicon,2015,None,excellent,6 cylinders,4wd,gas,white,35329,None,clean,automatic,None,28000
toyota corolla s,2004,None,good,4 cylinders,fwd,gas,red,246000,mid-size,clean,automatic,sedan,2650
dodge journey sxt,2009,None,good,6 cylinders,fwd,gas,red,100850,mid-size,salvage,automatic,SUV,4000
honda odyssey,2015,None,excellent,4 cylinders,fwd,gas,blue,None,full-size,rebuilt,automatic,pickup,145000
toyota 4runner,2015,None,excellent,6 cylinders,4wd,gas,blue,60000,full-size,clean,automatic,pickup,26000
chevrolet aveo,2008,None,excellent,4 cylinders,fwd,gas,grey,90000,full-size,clean,automatic,sedan,2900
acura tl 3.2,2001,None,good,6 cylinders,fwd,gas,None,133300,None,clean,automatic,sedan,2700
dodge nitro,2007,None,None,None,None,gas,None,200000,None,clean,automatic,None,2200
honda cr-v lx,2009,None,like new,4 cylinders,rwd,gas,green,72000,full-size,clean,automatic,SUV,8600
Ford Explorer,2003,None,None,None,None,gas,None,140000,None,clean,automatic,None,2250
Mazda 626 es,1999,None,None,None,None,gas,None,106000,None,clean,automatic,None,995
Ford E-250 cargo van,2004,None,None,None,None,gas,None,250000,None,clean,automatic,None,1950
Mercedes Benz 500SEL,1993,None,None,None,None,gas,None,44000,None,clean,automatic,None,8500
Mini Cooper,2010,None,None,None,None,gas,None,80000,None,clean,automatic,None,4250
GMC Yukon XL,2002,None,None,None,None,gas,None,140000,None,clean,automatic,None,2950
jeep wrangler unlimited,2005,None,excellent,6 cylinders,4wd,gas,custom,None,full-size,clean,automatic,SUV,13500
Chevy impala lt,2007,None,None,None,None,gas,None,150000,None,clean,automatic,None,2250
