make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f-150,1997,None,good,8 cylinders,4wd,gas,white,125000,None,clean,automatic,None,2700
ford expedition,2002,None,excellent,8 cylinders,None,gas,None,118000,None,clean,automatic,None,4400
volkswagen beetle,1970,None,None,None,None,gas,None,None,None,missing,manual,None,500
Ford f350,1984,None,excellent,8 cylinders,rwd,diesel,white,183000,full-size,clean,manual,truck,4500
Nissan Pathfinder,2000,None,good,6 cylinders,None,gas,black,135000,mid-size,rebuilt,automatic,SUV,3500
Volkswagen Beetle,2008,None,None,5 cylinders,None,gas,None,86000,None,clean,automatic,None,3600
Honda Odyssey,2004,None,good,6 cylinders,None,gas,None,None,full-size,clean,automatic,mini-van,2700
honda cr-v,2008,None,None,None,None,gas,None,77600,None,clean,automatic,None,1480
nissan altima,2003,None,None,None,None,gas,None,None,None,clean,manual,None,1950
Chrysler Sebring Convertible,2004,None,excellent,6 cylinders,None,gas,silver,105000,full-size,clean,automatic,convertible,3300
Jaguar XJ8,2004,None,excellent,8 cylinders,4wd,gas,silver,124000,full-size,clean,automatic,sedan,5500
Dodge Ram 1500 4x4,1997,None,excellent,8 cylinders,4wd,gas,black,102530,full-size,clean,automatic,pickup,4500
Chevrolet 1500 Avalanche,2003,None,excellent,8 cylinders,rwd,gas,None,130000,full-size,clean,automatic,pickup,5900
Mazda Tribute,2003,None,excellent,6 cylinders,None,gas,white,144000,mid-size,clean,automatic,SUV,3500
chevy tahoe,2002,None,good,8 cylinders,4wd,gas,grey,None,full-size,clean,automatic,SUV,2500
ford f-250 super duty,2006,None,excellent,8 cylinders,rwd,gas,white,143000,full-size,clean,automatic,pickup,8500
ford f-150,1996,None,None,None,None,gas,None,None,None,clean,manual,None,2500
jeep wrangler 4x4 sport,1990,None,None,None,None,gas,None,150000,None,clean,manual,None,6300
huyndai sonata,2004,None,None,None,None,gas,None,87000,None,clean,automatic,None,2
Excelent,2016,None,None,None,None,other,None,None,None,clean,other,None,1000
chevrolet 1500 silverado,2016,None,None,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,None,35000
dodge ram pickup 1500,2005,None,good,8 cylinders,rwd,gas,orange,206000,full-size,clean,automatic,pickup,9000
ford explorer sport trac,2007,None,excellent,6 cylinders,4wd,gas,black,None,None,clean,automatic,None,7900
chevy geo tracker,2002,None,excellent,4 cylinders,4wd,gas,white,160001,compact,clean,automatic,SUV,2500
"nm,.",2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
chevrolet corvette,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,17900
honda accord lx,2003,None,good,4 cylinders,None,gas,grey,167000,None,clean,automatic,None,1500
Honda Accord,2003,None,good,6 cylinders,None,gas,None,122000,None,clean,automatic,None,3600
ford f-350,2004,None,None,None,None,diesel,red,115620,None,clean,automatic,None,13000
ford f 350,1999,None,excellent,10 cylinders,rwd,gas,orange,None,full-size,clean,automatic,truck,3950
acura rdx turbo,2010,None,like new,4 cylinders,None,gas,None,None,None,clean,automatic,None,10500
chrysler pacifica touring,2005,None,excellent,6 cylinders,rwd,gas,silver,None,None,clean,automatic,wagon,3000
pontiac vibe 2.4l 4dr wagon,2003,None,None,None,None,gas,None,None,None,clean,manual,None,1900
nissan altima,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
jeep wrangler sport,1989,None,good,6 cylinders,4wd,gas,blue,None,full-size,clean,automatic,None,2500
suzuki forenza,2005,None,good,4 cylinders,fwd,gas,brown,155455,mid-size,clean,manual,sedan,2000
GMC Yukon,2007,None,excellent,8 cylinders,rwd,gas,white,169000,full-size,clean,automatic,SUV,10500
ford expedition,2000,None,good,8 cylinders,4wd,gas,black,179870,full-size,clean,automatic,SUV,2900
CHEVY,1987,None,None,8 cylinders,rwd,gas,black,88000,full-size,clean,automatic,pickup,4000
Jeep Cherokee,1988,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
jeep cj7,1984,None,like new,8 cylinders,4wd,gas,red,None,None,clean,manual,None,10500
Ford Mustang,2008,1ZVHT80N985136840,good,6 cylinders,rwd,gas,red,100890,mid-size,clean,manual,coupe,5400
toyota tacoma 4x4,1999,None,None,None,None,gas,None,190000,None,clean,manual,None,4000
Chevy Trailblazer,2006,None,excellent,6 cylinders,rwd,gas,blue,181000,mid-size,clean,automatic,SUV,2900
Audi,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
gmc 1500 sierra,2003,None,good,8 cylinders,4wd,gas,white,177796,full-size,clean,automatic,pickup,4000
Mercedes e300d,1995,None,excellent,6 cylinders,rwd,diesel,brown,225064,None,clean,automatic,None,3800
cadillac fleetwood brougham,1993,None,good,8 cylinders,rwd,gas,None,None,full-size,rebuilt,automatic,None,2000
Chevy box truck,2001,None,good,8 cylinders,rwd,gas,white,300000,None,clean,automatic,None,5900
ford f150,1999,None,None,6 cylinders,rwd,gas,red,None,None,clean,manual,truck,3000
Mercedes-Benz 450Sl,1975,None,excellent,8 cylinders,rwd,gas,black,139000,None,clean,automatic,convertible,6013
buick,1989,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2495
Chevrolet Volt,2014,1G1RD6E47EU133292,excellent,4 cylinders,fwd,hybrid,black,38830,compact,clean,automatic,hatchback,15300
CHEVROLET HHR WAGON,2011,None,excellent,4 cylinders,fwd,gas,None,81000,None,clean,automatic,wagon,5450
CHEVROLET CORVETTE,1996,None,excellent,8 cylinders,None,gas,silver,None,None,clean,automatic,coupe,12500
bmw 325i,1989,None,excellent,6 cylinders,rwd,gas,black,171,None,clean,automatic,convertible,2300
Ford Mustang,1965,None,excellent,8 cylinders,rwd,gas,blue,3000,None,clean,automatic,convertible,65500
Ford F1,1951,None,excellent,8 cylinders,rwd,gas,yellow,2000,None,clean,automatic,pickup,89500
chysler town and country,2003,None,good,6 cylinders,fwd,gas,brown,108685,full-size,clean,automatic,van,2600
ford focus,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2150
FORD EXPLORER,2006,1FMEU72E16UB54290,excellent,6 cylinders,4wd,gas,white,93120,full-size,clean,automatic,SUV,5750
Nisssna ALTIMA,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
toyota corolla,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,6999
nissan altima 3.5 Sr,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,6999
toyota corolla,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2450
pontiac grand am,2002,None,good,6 cylinders,fwd,gas,red,125700,mid-size,clean,automatic,sedan,1500
Buick LaCrosse,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Hyundai Sonata,2000,None,good,6 cylinders,fwd,gas,grey,94000,mid-size,clean,automatic,sedan,1850
CHEVY SHORTBED,2005,None,excellent,6 cylinders,rwd,gas,white,156000,full-size,clean,automatic,pickup,7700
chevrolet 1500 silverado,2004,None,good,6 cylinders,rwd,gas,green,177,None,clean,automatic,None,5600
Toyota Corolla,2007,None,good,4 cylinders,fwd,gas,blue,140,compact,clean,manual,sedan,4500
Toyota Paseo,1992,None,fair,4 cylinders,None,gas,None,94195,None,clean,automatic,None,1150
Acura TL,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Ford Mustang GT Convertible,2006,None,excellent,8 cylinders,rwd,gas,silver,69741,None,clean,automatic,None,11250
Chevrolet,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Chevrolet,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4200
Ford Expedition Eddie Bauer,2004,None,excellent,8 cylinders,None,gas,white,215750,None,clean,automatic,SUV,5250
Chevrolet S-10 Extended Cab,1991,None,good,None,None,gas,None,200000,None,clean,automatic,pickup,2000
ford f150,2007,None,None,6 cylinders,None,gas,None,92987,None,clean,manual,None,8900
ford f-150,2008,None,None,8 cylinders,None,gas,None,110652,None,clean,automatic,None,14700
plymouth grand voyager se,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,2600
mercury grand marquis,1978,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
Chevy Short Bed Step Side 1500,1993,None,good,8 cylinders,rwd,gas,black,None,None,clean,automatic,truck,5000
honda odyssey ex,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,500
jeep wrangler,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,100
buick grand national,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,14500
pontiac g6,2010,None,good,None,None,gas,None,76000,None,clean,automatic,None,8500
S series coupe,2001,None,good,4 cylinders,fwd,gas,custom,160000,compact,clean,automatic,coupe,3000
mazda speed6,2007,None,fair,4 cylinders,rwd,gas,grey,133000,mid-size,clean,manual,sedan,1300
toyota camry le,1997,None,good,4 cylinders,fwd,gas,grey,260000,mid-size,clean,automatic,None,2200
Dodge RAM 1500 Quad Cab,2005,None,excellent,6 cylinders,rwd,gas,grey,123000,full-size,clean,automatic,truck,7995
TOYOTA TUNDRA SR5.,2000,None,fair,8 cylinders,rwd,gas,grey,277000,full-size,clean,automatic,pickup,1300
Benz E 500,2006,None,None,6 cylinders,rwd,gas,silver,129000,mid-size,clean,automatic,coupe,4000
gmc savana,2008,None,None,None,None,gas,None,129000,None,clean,automatic,None,8900
mitsubishi lancer es,2002,None,good,4 cylinders,fwd,gas,red,260000,compact,clean,automatic,sedan,2300
ford fusion,2006,None,good,6 cylinders,None,gas,None,226000,None,clean,automatic,None,1500
Toyota Highlander Limited,2004,None,excellent,6 cylinders,4wd,gas,None,142957,None,clean,automatic,None,5400
jeep grand cherokee limited,2000,None,good,6 cylinders,rwd,gas,black,131000,None,clean,automatic,SUV,2400
jeep wrangler,1991,2j4fy19p7mj109617,good,4 cylinders,4wd,gas,white,125000,mid-size,clean,automatic,other,5500
Chevy Cobalt,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
toyota tacoma,1999,None,good,4 cylinders,rwd,gas,white,None,mid-size,clean,automatic,pickup,3800
chevy c10,1998,None,good,4 cylinders,rwd,gas,red,208000,mid-size,clean,manual,pickup,3000
chevy trailblazer,2003,None,salvage,6 cylinders,4wd,gas,white,150000,full-size,clean,automatic,SUV,500
ford mustang,2014,None,like new,6 cylinders,rwd,gas,grey,23500,None,clean,automatic,coupe,14900
Chevrolet Suburban,2014,None,excellent,None,None,other,None,None,None,clean,automatic,None,18500
VW StationWagon,1972,None,fair,4 cylinders,rwd,gas,blue,None,full-size,clean,manual,wagon,3000
pontiac grand am,2005,None,excellent,6 cylinders,rwd,gas,black,159787,None,clean,automatic,coupe,3000
ford excursion,2001,None,good,10 cylinders,4wd,gas,white,213000,full-size,clean,automatic,SUV,5500
Chevrolet Tahoe,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,17849
kia amanti,2004,Knald124945025007,good,4 cylinders,fwd,gas,grey,90311,full-size,clean,automatic,sedan,1350
gmc,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
chrysler sebring convertible,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
chevy camaro,1969,None,fair,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,coupe,5000
chevy,1990,None,excellent,8 cylinders,None,gas,blue,90100,None,clean,automatic,None,2800
ford transit connect xlt,2000,None,excellent,4 cylinders,fwd,gas,red,None,None,clean,automatic,None,7300
Jeep,2004,None,like new,6 cylinders,None,gas,None,136000,None,clean,automatic,None,4900
mitsubishi galant,2005,None,good,6 cylinders,None,gas,None,175173,None,clean,automatic,None,2500
mitsubishi galant es,2005,None,good,6 cylinders,None,gas,None,175173,None,clean,automatic,sedan,2500
