make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Convertible,2010,None,like new,4 cylinders,None,gas,grey,123000,full-size,clean,automatic,convertible,2750
Convertible,2010,None,like new,4 cylinders,None,gas,grey,123000,full-size,clean,automatic,convertible,2400
Ford fusion,2007,None,good,6 cylinders,None,gas,red,156,full-size,clean,automatic,sedan,3600
Ford suv,2004,None,good,6 cylinders,None,gas,None,179,full-size,clean,automatic,None,3700
ford,2018,None,None,None,None,other,None,None,None,parts only,other,None,3000
chevrolet corvette,1975,None,salvage,None,None,gas,None,None,None,missing,automatic,None,7500
bmw 330i,2001,None,good,6 cylinders,rwd,gas,blue,135000,None,clean,automatic,None,2000
Pontiac Grand Am SE,2003,None,excellent,6 cylinders,fwd,gas,None,76809,None,clean,automatic,None,2600
Porsche 356B,1962,None,None,None,None,gas,None,None,None,clean,automatic,None,70000
Chevrolet traverse ltz,2010,None,like new,6 cylinders,None,gas,blue,139,full-size,clean,automatic,SUV,7500
Chevrolet traverse ltz,2010,None,like new,6 cylinders,None,gas,blue,139,full-size,clean,automatic,SUV,7500
Chrysler Prowler,2001,None,excellent,6 cylinders,rwd,gas,blue,5600,None,clean,automatic,None,29500
mazda cx9,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,8999
chevrolet aveo,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,4499
saab 9-3 turbo,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4995
mitsubishi galant,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3700
Chevy Tahoe,2001,None,excellent,8 cylinders,4wd,gas,black,140000,full-size,clean,automatic,SUV,5700
dodge caliber,2008,None,None,None,None,gas,None,None,None,clean,manual,None,3800
saab 9-3 convertible,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4995
dodge caravan,2006,1D4GP24R06B650123,good,6 cylinders,fwd,gas,grey,128000,None,clean,automatic,SUV,2500
chevrolet 1500 silverado,2000,None,good,8 cylinders,None,gas,black,350000,full-size,clean,automatic,pickup,3500
Honda Civic si,2009,2HGFG21509h704995,good,4 cylinders,fwd,gas,blue,100539,compact,clean,manual,coupe,5000
chev camaro,1977,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
jeep liberty limited,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
toyota matrix,2008,None,None,None,None,gas,None,159000,None,clean,manual,None,3500
dodge dakota slt,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2300
dodge dakota slt,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
