make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Tesla Model X,2016,None,None,None,None,electric,None,5200,None,clean,automatic,None,77000
yamaha r6,2003,None,None,None,None,gas,None,None,None,clean,manual,None,1
dodge caravan,1997,None,None,6 cylinders,fwd,gas,blue,126832,full-size,clean,automatic,mini-van,2000
BMW X3 3.0i,2004,None,None,None,None,gas,None,106000,None,clean,automatic,None,6900
dodge grand caravan,2012,None,good,6 cylinders,fwd,gas,silver,None,None,rebuilt,automatic,mini-van,9500
mini cooper S 2dr hatchback,2007,None,good,4 cylinders,fwd,gas,grey,None,None,clean,manual,coupe,2600
ford mustang,2000,None,fair,6 cylinders,rwd,gas,green,133,None,clean,automatic,None,600
Hyundai,2005,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,None,2100
Hyundai Sonata,2005,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,2100
vw rail buggy,1971,None,excellent,4 cylinders,None,gas,None,None,None,clean,manual,None,4000
infiniti g35 coupe,2005,None,good,6 cylinders,rwd,gas,black,146000,None,clean,automatic,None,5700
nissan 350z,2004,None,None,6 cylinders,rwd,gas,blue,124000,None,clean,manual,convertible,4700
V w Cabrio,1999,None,fair,4 cylinders,None,gas,black,None,None,clean,automatic,None,200
Deluxe,1951,None,excellent,None,None,gas,None,None,None,clean,automatic,None,17300
bmw 5-series sport wagon 530xit,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
saab 9-3 2.0t,2002,None,None,None,None,gas,None,141000,None,clean,manual,None,2500
honda odyssey,2002,None,good,6 cylinders,fwd,gas,grey,191000,None,clean,automatic,van,3000
2001 Ford Ranger flareside,2001,None,fair,6 cylinders,rwd,gas,red,None,mid-size,clean,automatic,pickup,800
saturn aura xe,2007,None,None,None,None,gas,silver,None,full-size,parts only,automatic,sedan,600
Chevy Venture,1999,None,good,None,fwd,gas,white,120000,full-size,clean,automatic,mini-van,1000
volvo xc90,2006,None,excellent,6 cylinders,fwd,gas,white,154568,full-size,clean,automatic,SUV,3100
club car,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1400
toyota camry le,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
ford mustang 5.0,1995,None,fair,8 cylinders,rwd,gas,None,108000,None,clean,automatic,None,2500
Hyundai Sonata,2007,None,like new,4 cylinders,rwd,gas,grey,None,mid-size,clean,automatic,mini-van,2400
ford explorer,2003,None,good,6 cylinders,4wd,gas,None,196000,full-size,clean,automatic,SUV,2900
buick lacrosse,2009,None,good,6 cylinders,fwd,gas,silver,100000,full-size,clean,automatic,sedan,4900
chevrolet astro,1997,None,good,6 cylinders,fwd,gas,green,196000,full-size,clean,automatic,van,2500
chevrolet astro,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
honda pilot,2008,None,good,6 cylinders,fwd,gas,silver,148000,full-size,clean,automatic,SUV,6300
honda accord lx,2003,None,good,4 cylinders,fwd,gas,black,None,mid-size,clean,automatic,sedan,3900
ford explorer,2003,None,excellent,8 cylinders,4wd,gas,silver,88653,full-size,clean,automatic,SUV,4500
infiniti g35,2005,None,excellent,6 cylinders,rwd,gas,grey,132000,mid-size,clean,automatic,sedan,5500
toyota,2001,None,None,4 cylinders,fwd,gas,silver,None,None,clean,automatic,coupe,2100
chevrolet tahoe,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
chevy trailblazer,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
mercedes benz sl500,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,13500
Chevy Silverado 1500 4x4,2004,None,good,8 cylinders,4wd,gas,red,242000,full-size,clean,automatic,pickup,6000
Chevy Silverado 1500 4x4,2004,None,good,8 cylinders,4wd,gas,red,242000,full-size,clean,automatic,pickup,6000
Toyota pickup truck,1986,None,excellent,4 cylinders,rwd,gas,white,180000,full-size,clean,manual,pickup,3999
dodge stratus 4-door,2006,None,good,4 cylinders,fwd,gas,silver,143000,mid-size,clean,automatic,sedan,2000
Seadoo,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1
ford mustang gt,1998,None,None,None,None,gas,None,None,None,clean,manual,None,1800
saturn,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
saturn aura,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
Pontiac,2005,None,fair,None,None,gas,silver,182000,None,clean,automatic,mini-van,2000
Toyota Avalon,1995,None,fair,6 cylinders,fwd,gas,None,172000,full-size,clean,automatic,None,1400
volkswagen,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Buick Park Ave,2001,None,fair,6 cylinders,rwd,gas,silver,146000,mid-size,clean,automatic,None,1500
volkswagen gti,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
chevrolet tahoe,2005,None,good,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,SUV,4900
Toyota Camry,2011,None,excellent,4 cylinders,None,gas,grey,149000,None,clean,automatic,None,6300
