make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Nissan Frontier SV,2016,UPON REQUEST,like new,6 cylinders,4wd,gas,silver,22157,mid-size,clean,automatic,pickup,20500
mercedes-benz slk230,2001,None,None,None,None,gas,red,153000,None,clean,automatic,None,4500
ford focus sel,2012,None,excellent,4 cylinders,fwd,gas,black,126400,compact,clean,automatic,hatchback,5995
buick rainier,2004,None,excellent,8 cylinders,rwd,gas,silver,122000,mid-size,clean,automatic,SUV,5495
chevrolet camaro,2002,None,excellent,6 cylinders,rwd,gas,black,70000,mid-size,clean,automatic,coupe,3995
ford focus,2005,None,excellent,4 cylinders,fwd,gas,green,126900,compact,clean,automatic,wagon,3295
toyota camry le 4dr sedan,2011,None,excellent,4 cylinders,fwd,gas,blue,121700,mid-size,clean,manual,sedan,6495
ford escape xlt,2008,None,excellent,4 cylinders,fwd,gas,black,156000,None,clean,automatic,SUV,4400
MERCEDESBENZ ML350,2005,4JGAB57E05A552494,excellent,6 cylinders,4wd,gas,black,164000,full-size,clean,automatic,SUV,4300
MERCEDESBENZ ML350,2005,4JGAB57E05A552494,excellent,6 cylinders,4wd,gas,black,164000,full-size,clean,automatic,SUV,4300
vw passat,2002,WVWPD63B62P131334,excellent,4 cylinders,fwd,gas,silver,88000,full-size,clean,automatic,None,3300
pontiac firebird,1969,None,None,None,None,gas,None,None,mid-size,clean,other,coupe,2500
dodge ram,1997,None,good,8 cylinders,rwd,gas,blue,140000,full-size,clean,automatic,pickup,2500
dodge ramcharger,1979,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
nissan sentra,2005,3N1CB51D65L493976,excellent,4 cylinders,fwd,gas,silver,127000,None,clean,automatic,None,2900
ford f-150,2013,None,excellent,8 cylinders,4wd,gas,black,109000,full-size,clean,automatic,truck,29000
VW p,2004,None,excellent,4 cylinders,None,gas,None,158000,None,clean,automatic,None,2900
Dodge Van,1996,None,good,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,van,1500
chevrolet 1500 silverado,2008,None,None,None,4wd,gas,None,None,None,clean,automatic,None,1
ford taurus sel,2009,None,good,6 cylinders,fwd,gas,brown,119000,full-size,clean,automatic,sedan,2750
toyota camry solara,2002,None,None,None,None,gas,None,181000,None,clean,automatic,None,3600
infinity i30,1999,JNKCA21A2XT755512,fair,6 cylinders,fwd,gas,white,137000,None,clean,automatic,None,1590
Mini Cooper S,2010,None,excellent,None,None,gas,red,36000,None,clean,automatic,None,9000
chevrolet trailblazer ext,2003,None,fair,8 cylinders,fwd,gas,silver,190000,full-size,clean,automatic,SUV,2750
Chrysler Cirrus,1998,None,good,None,None,gas,None,81015,None,clean,automatic,None,2750
chevrolet corvette,1994,None,excellent,8 cylinders,rwd,gas,black,820000,full-size,clean,manual,coupe,6500
Dodge Caravan,1999,None,good,6 cylinders,rwd,gas,white,162000,None,clean,automatic,mini-van,1500
Chevy Cavalier,2002,1G1JF524827383866,fair,4 cylinders,fwd,gas,black,167000,compact,clean,automatic,sedan,1000
Chevy beretta,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
ford f150,2013,1FTMF1EF4DFD63942,excellent,8 cylinders,4wd,gas,black,542443,None,clean,automatic,pickup,23500
Nissan Maxima,1998,JN1CA21D920981,good,6 cylinders,fwd,gas,custom,275111,mid-size,clean,automatic,sedan,1200
dodge grand caravan,2014,None,excellent,6 cylinders,fwd,gas,silver,94000,full-size,clean,automatic,mini-van,10490
jeep wrangler 4x4,1987,None,good,6 cylinders,4wd,gas,None,None,None,clean,manual,None,5300
nissan pathfinder,1993,None,None,None,None,other,None,None,None,clean,other,None,200
jeep wrangler yj,1995,None,fair,4 cylinders,4wd,gas,white,None,mid-size,clean,manual,other,5000
Chevy s 10,1994,None,good,6 cylinders,rwd,gas,black,None,mid-size,clean,automatic,pickup,3250
Chevrolet Tahoe,1995,None,None,None,4wd,gas,None,None,None,clean,automatic,None,6400
