make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Ford Bronco eddie bauer,1996,1FMEU15N3TLA91817,good,8 cylinders,4wd,gas,red,250049,full-size,clean,automatic,SUV,5400
ford taurus sel,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
chevrolet impala,1963,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
ford mustang gt,1988,None,None,None,None,gas,None,None,None,clean,manual,None,2000
pontiac vibe,2010,5Y2SP6E82AZ405425,excellent,4 cylinders,fwd,gas,None,129000,None,clean,automatic,SUV,6900
Volkswagen Passat GLS Wagon,2002,None,excellent,4 cylinders,None,gas,None,65989,full-size,clean,automatic,wagon,3950
Saturn Vue,2005,None,excellent,4 cylinders,None,gas,silver,145,full-size,clean,manual,SUV,2950
infiniti g35 coupe,2005,None,good,6 cylinders,rwd,gas,black,146000,None,clean,automatic,None,5700
Ford Mustang GT premium,2007,None,good,8 cylinders,rwd,gas,black,134000,None,clean,manual,coupe,8500
Camry,2003,None,excellent,4 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1000
Ford ranger,1991,None,fair,4 cylinders,rwd,gas,green,None,mid-size,clean,manual,pickup,1234
Chev Geo 3D,1991,2c1mr246xm6795182,excellent,3 cylinders,fwd,gas,green,82600,compact,clean,manual,hatchback,2000
Infiniti QX56,2006,None,excellent,8 cylinders,4wd,gas,white,182000,full-size,clean,automatic,SUV,7500
Toyota Tercel,1991,None,fair,4 cylinders,fwd,gas,white,213890,sub-compact,clean,manual,coupe,500
toyota prius,2011,None,like new,None,None,hybrid,white,68539,None,clean,automatic,hatchback,11000
honda cr-v,2012,None,excellent,4 cylinders,None,gas,brown,44000,compact,clean,automatic,SUV,16000
gmc sierra 2500hd,2013,None,good,None,None,diesel,None,121000,None,lien,automatic,None,27000
Civic,1996,None,None,4 cylinders,None,gas,None,None,sub-compact,clean,automatic,None,1500
Chevrolet El Camino,1986,None,good,8 cylinders,rwd,gas,silver,156000,full-size,clean,automatic,pickup,4950
cherokee,1987,None,None,6 cylinders,4wd,gas,grey,175000,None,clean,automatic,offroad,2500
Ford,2000,None,None,None,None,diesel,None,None,None,clean,automatic,None,6500
toyota 4runner,2007,None,good,6 cylinders,4wd,gas,silver,83345,full-size,clean,automatic,SUV,10900
Ford F-150,2010,None,good,8 cylinders,None,gas,red,None,None,clean,automatic,None,11900
bmw 335i,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,15700
BMW 528i,2008,None,good,None,None,gas,silver,None,None,clean,automatic,None,13700
ford f-150,2005,None,excellent,8 cylinders,4wd,gas,white,157000,full-size,clean,automatic,truck,7900
mitsubishi eclipse gs,1999,None,good,4 cylinders,fwd,gas,custom,0,compact,clean,automatic,hatchback,450
Jeep Wrangler,1998,1JFY1998WP744396,excellent,6 cylinders,4wd,gas,red,136000,full-size,clean,manual,offroad,10500
dodge ram 1500 4x4,2007,None,good,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,offroad,10300
dodge ram 1500 4x4,2007,None,good,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,offroad,10300
Toyota Prius,2006,None,good,None,None,hybrid,blue,None,None,clean,automatic,None,6900
Camaro,1968,None,None,None,None,gas,None,None,None,clean,manual,None,12900
Porsche Cayenne S,2009,None,good,8 cylinders,None,gas,black,None,None,clean,automatic,None,19900
Razor MX-350,2018,None,new,other,rwd,electric,black,0000,compact,clean,automatic,other,250
subaru legacy outback,2000,None,good,4 cylinders,4wd,gas,green,225000,mid-size,clean,automatic,wagon,2900
dodge viper,1994,None,None,None,None,gas,None,None,None,clean,manual,None,24500
jeep patriot,2009,ask,like new,4 cylinders,None,gas,blue,144000,None,clean,automatic,None,5000
MERCURY COUGAR LS 3.8L,1991,1MEPM604XMH658326,excellent,6 cylinders,rwd,gas,None,121335,None,clean,automatic,sedan,750
toyota tundra,2003,5TBRT34123S389608,good,8 cylinders,rwd,gas,green,113500,full-size,clean,automatic,pickup,8900
Chevrolet Cruze,2011,None,excellent,4 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1585
buick lasabre,1997,None,excellent,6 cylinders,fwd,gas,custom,195000,full-size,clean,automatic,sedan,1800
pontiac g6 gt 2dr coupe,2007,1G2ZH361274261509,excellent,None,None,gas,black,67000,None,clean,automatic,convertible,12900
kia optima,2011,KNAGM4A77B5124677,excellent,4 cylinders,None,gas,white,137390,mid-size,clean,automatic,sedan,6400
Ford Model A Sedan,1929,None,good,None,None,gas,None,None,None,clean,manual,None,8500
buick roadmaster,1948,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
chevrolet camaro,1980,None,None,None,None,gas,None,None,None,clean,automatic,None,9500
FORD,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,4
Ford F-250,2002,None,excellent,8 cylinders,4wd,diesel,black,None,full-size,clean,automatic,truck,6041
Honda Odyssey,2001,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1900
Oldsmobile Cutlass Supreme,1995,None,excellent,4 cylinders,None,gas,blue,65000,compact,clean,automatic,None,1500
volvo xc90 3.2 awd,2007,None,excellent,6 cylinders,fwd,gas,silver,141000,full-size,clean,automatic,SUV,7000
Ford F-150,1993,None,good,6 cylinders,4wd,gas,green,None,None,clean,manual,truck,1600
GMC Sierra,1991,None,None,None,None,gas,None,None,None,clean,automatic,None,7650
Ford F-150,2010,None,good,8 cylinders,None,gas,red,None,None,clean,automatic,None,11900
