make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chrysler 200,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
chrysler 200,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
nissan maxima,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,7999
BMW 740i,1999,None,good,None,None,gas,None,120000,None,clean,automatic,None,3000
chrysler pt cruiser,2008,None,None,None,None,gas,None,103000,None,clean,automatic,None,1950
mercedes benz,1999,None,None,None,None,gas,None,120000,None,clean,automatic,None,1250
lincoln ls,2003,None,None,None,None,gas,None,120000,None,clean,automatic,None,1350
explorer,2003,None,None,None,None,gas,None,145000,None,clean,automatic,None,950
focus ford,2005,None,None,None,None,gas,None,142000,None,clean,automatic,None,1000
ford expedition,2004,None,None,None,None,gas,None,155000,None,clean,automatic,None,2300
explorer,2003,None,None,None,None,gas,None,145000,None,clean,automatic,None,950
ford taurus,2005,None,None,None,None,gas,None,118000,None,clean,automatic,None,1550
toyota camry,2003,None,None,None,None,gas,None,141000,None,clean,automatic,None,3000
ford expedition,2004,None,None,None,None,gas,None,155000,None,clean,automatic,None,2000
mercedes benz,1999,None,None,None,None,gas,None,120000,None,clean,automatic,None,1250
toyota camry,2003,None,None,None,None,gas,None,141000,None,clean,automatic,None,3000
chevrolet aveo,2005,None,None,None,None,gas,None,106000,None,clean,automatic,None,1250
grand marquis,1987,None,None,None,None,gas,None,106000,None,clean,automatic,None,1600
2004 mercury mountaineer,2004,None,None,None,None,gas,None,133000,None,clean,automatic,None,2250
gmc 1500 yukon,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2300
caddilac deville,1997,None,None,None,None,gas,None,136000,None,clean,automatic,None,1500
ford mustang,2005,None,None,None,None,gas,None,105000,None,clean,automatic,None,2200
saturn,2002,None,None,None,None,gas,None,110000,None,clean,automatic,None,1300
suzuki forenza,2008,None,None,None,None,gas,None,98000,None,clean,automatic,None,1350
grand marquis,1987,None,None,None,None,gas,None,106000,None,clean,automatic,None,1600
ford,2001,None,None,None,None,gas,None,145000,None,clean,automatic,None,2250
toyota camry,2003,None,excellent,None,None,gas,None,141000,None,clean,automatic,None,3000
nissan quest,2003,None,None,None,None,gas,None,145000,None,clean,automatic,None,1250
explorer,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
lincoln towncar,2003,None,None,None,None,gas,None,155000,None,clean,automatic,None,1850
