make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
buick lucerne,2006,None,good,None,None,gas,None,None,None,clean,automatic,None,2091
Ford Crown,2007,None,excellent,8 cylinders,None,gas,brown,105000,None,clean,automatic,None,2999
Honda Cr-v,2008,None,None,None,None,gas,None,66200,None,clean,automatic,None,1400
mazda miata mx-5,2013,None,excellent,4 cylinders,rwd,gas,black,18500,compact,clean,manual,convertible,17000
chrysler sebring convertible,2005,None,None,None,None,gas,None,100000,None,clean,automatic,None,2500
honda accord lx,2000,None,excellent,6 cylinders,fwd,gas,black,167287,mid-size,clean,automatic,coupe,2500
honda accord ex,2000,None,good,4 cylinders,fwd,gas,None,168398,None,clean,automatic,sedan,1700
ford explorer,2001,None,good,6 cylinders,4wd,gas,white,169000,mid-size,clean,automatic,SUV,1299
Chevy suburban,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
toyota sienna xle,2007,None,excellent,6 cylinders,fwd,gas,blue,89000,full-size,clean,automatic,van,4900
ford fusion,2006,None,fair,None,None,gas,blue,None,mid-size,clean,automatic,None,1900
Toyota y,2007,None,good,4 cylinders,fwd,gas,red,66000,compact,clean,automatic,sedan,5200
Hyundai Sonata,2005,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,2100
volkswagen jetta tdi,2002,None,good,None,None,diesel,None,212000,None,clean,automatic,None,1
chevrolet corvette,1969,None,good,8 cylinders,rwd,gas,white,17000,None,clean,manual,None,79990
chevrolet corvette,1966,None,good,8 cylinders,rwd,gas,blue,None,None,clean,manual,None,57990
kia sorento,2003,None,good,6 cylinders,rwd,gas,blue,142654,full-size,clean,automatic,SUV,2500
mercedes-benz r350,2006,None,like new,6 cylinders,rwd,gas,blue,93457,full-size,clean,automatic,SUV,7999
chrysler pacifica,2004,None,good,6 cylinders,rwd,gas,red,98347,full-size,clean,automatic,SUV,3999
jaguar s-type,2005,None,excellent,8 cylinders,rwd,gas,silver,79652,full-size,clean,automatic,sedan,5999
dodge grand caravan,2011,None,good,6 cylinders,fwd,gas,grey,156000,None,clean,automatic,mini-van,5250
scion,2006,None,fair,None,None,gas,None,100000,None,clean,automatic,coupe,1100
ford f350,2002,None,excellent,None,None,diesel,black,None,None,clean,automatic,None,7500
saab 9-3 2.0t,2002,None,None,None,None,gas,None,141000,None,clean,manual,None,2500
cadillac escalade,2002,None,fair,None,4wd,gas,white,154000,full-size,clean,automatic,SUV,3900
Hyundai Tiburon,2008,None,excellent,4 cylinders,fwd,gas,silver,108300,None,clean,automatic,None,3600
dodge ram 1500,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,7900
ford mustang,1967,None,salvage,None,None,gas,None,None,None,clean,other,coupe,600
mazda protege,2001,None,good,None,None,gas,silver,142500,None,clean,automatic,sedan,1200
nissan maxima 3.5 se,2005,None,like new,6 cylinders,fwd,gas,silver,None,full-size,clean,automatic,sedan,1001
Toyota Corolla,2001,1NXBR12E21Z469724,excellent,4 cylinders,fwd,gas,blue,63000,compact,clean,automatic,sedan,4800
BMW 550i,2007,None,excellent,8 cylinders,rwd,gas,grey,135127,full-size,clean,automatic,sedan,8700
Chevrolet caprice,1995,None,good,8 cylinders,rwd,gas,None,143000,None,clean,automatic,None,2000
toyota celica,1994,None,good,4 cylinders,fwd,gas,black,None,compact,parts only,automatic,coupe,500
mercury cougar,1968,None,salvage,None,None,gas,None,None,None,clean,other,coupe,950
hyundai elantra,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
hyundai elantra,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
LINCOLN MKX AWD,2007,None,None,None,None,gas,None,108,None,clean,automatic,None,8300
