make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ML 320,1999,None,excellent,6 cylinders,rwd,gas,silver,None,None,clean,automatic,SUV,4500
Toyota Tacoma,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,23
ford crown victoria,2005,None,excellent,None,None,gas,grey,11000,full-size,clean,automatic,sedan,3300
Ford F-100,1964,None,like new,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,29900
Ford Mustang Convertible GT,2001,None,excellent,8 cylinders,None,gas,white,111087,compact,clean,automatic,convertible,10900
Ford Ranger,1986,None,excellent,6 cylinders,4wd,gas,blue,None,mid-size,clean,manual,pickup,3000
nissan,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,600
kelmark,1979,None,None,None,None,gas,None,None,None,clean,manual,None,5000
dodge ram 1500,2007,None,None,None,None,gas,None,300000,None,clean,automatic,pickup,3500
Chevrolet Silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
acura tl,2012,None,excellent,None,None,gas,white,None,None,clean,automatic,truck,5500
hyundai sonata,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,300
cadillac cts,2004,None,None,None,None,gas,silver,138000,None,clean,automatic,None,6000
subaru impreza,2002,Jf1g067512g507917,good,5 cylinders,4wd,gas,black,194000,mid-size,clean,manual,sedan,3500
honda accord ex-l,2006,None,excellent,4 cylinders,fwd,gas,black,200000,compact,clean,automatic,sedan,3500
Ford 350,1984,None,None,None,None,gas,None,None,None,clean,manual,None,2500
Ford Explorer,1994,None,None,None,None,gas,green,None,None,parts only,manual,None,400
jeep wrangler unlimited,2009,None,excellent,6 cylinders,rwd,gas,black,105000,None,clean,automatic,offroad,15500
jeep lifted wrangler unlimited,2009,None,excellent,6 cylinders,rwd,gas,black,105000,None,clean,automatic,offroad,15500
ML 320,1999,None,excellent,6 cylinders,rwd,gas,silver,None,None,clean,automatic,SUV,4500
honda accord,2007,None,like new,None,None,gas,None,None,None,clean,automatic,None,4500
honda accord 4-door sedan,2007,None,like new,None,None,gas,None,None,None,clean,automatic,None,4800
honda accord 2-door coupe,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,3900
Honda Accord es,2003,None,like new,None,None,gas,None,None,None,clean,automatic,None,4200
honda accord,2007,None,like new,None,None,gas,None,None,None,clean,automatic,None,4900
honda accord,2007,None,like new,None,None,gas,None,None,None,clean,automatic,None,4500
1991 Ford Tempo,1991,Xxxx,excellent,4 cylinders,fwd,gas,silver,119000,compact,clean,automatic,other,1100
chevrolet corvette,1988,None,fair,8 cylinders,None,gas,None,None,None,salvage,automatic,None,3000
gmc 1500 sierra,1994,None,good,8 cylinders,rwd,gas,black,182000,full-size,clean,automatic,pickup,3000
buick lacrosse,2009,None,fair,6 cylinders,fwd,gas,silver,187400,mid-size,clean,automatic,sedan,1100
Ford 2002,2002,None,good,None,None,gas,green,None,None,clean,automatic,None,7500
Mitsibushi montero,2003,None,fair,None,4wd,gas,None,199206,None,clean,automatic,SUV,4400
chrysler pt cruiser,2003,None,fair,None,None,gas,blue,132500,None,clean,automatic,other,3300
Jeep Cherokee Sport,1999,None,good,6 cylinders,rwd,gas,black,239035,full-size,clean,automatic,SUV,3500
volkswagen cabrio,1999,None,good,4 cylinders,fwd,gas,black,142000,compact,clean,automatic,convertible,2500
oldsmobile intrigue,1999,None,good,6 cylinders,fwd,gas,white,97000,mid-size,clean,automatic,sedan,1300
FORD EXPLORER XLT,2013,None,like new,6 cylinders,4wd,gas,white,51651,None,clean,automatic,None,7500
Chevrolet Silverado 2500hd LT,2004,None,None,8 cylinders,None,gas,None,206000,None,lien,automatic,None,7000
Dodge B150,1986,None,fair,8 cylinders,rwd,gas,green,200000,full-size,clean,automatic,van,1200
honda accord ex-l,2004,None,excellent,6 cylinders,fwd,gas,grey,170000,compact,clean,automatic,sedan,3500
Subaru Forester,2008,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,1800
cj5 jeep,1974,None,None,None,None,gas,None,None,None,missing,manual,None,1500
Porsche,1996,zxxxxxxxxxxxxxxxx,excellent,None,None,gas,red,None,full-size,clean,manual,None,19000
