make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f150 fx4,2002,None,fair,8 cylinders,4wd,gas,red,150000,full-size,clean,automatic,pickup,800
Lexus ES 300,2001,None,None,None,None,gas,None,None,None,salvage,automatic,None,2300
jeep wrangler,1988,None,good,6 cylinders,4wd,gas,green,154000,None,clean,manual,None,4000
Ford f-350,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,19000
Toyota Camry,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,350
chevrolet blazer,1995,1gncs13w7s2162302,good,6 cylinders,rwd,gas,red,1780775,full-size,clean,automatic,SUV,1300
chevrolet monte carlo,1979,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
Toyota Camry,1995,None,good,None,None,gas,white,226000,None,clean,automatic,sedan,899
kia optima hybrid ex,2013,None,excellent,None,None,hybrid,black,55000,full-size,clean,automatic,sedan,12600
VOLVO S60,2002,None,excellent,5 cylinders,fwd,gas,blue,104,mid-size,clean,automatic,sedan,1700
toyota tacoma,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,10950
Mach1,1971,None,None,None,None,gas,None,None,None,parts only,other,None,10000
Dodge Grand Caravan,2005,None,good,6 cylinders,None,gas,blue,160009,full-size,clean,automatic,mini-van,3400
JEEP Grand Cherokee,2005,None,excellent,8 cylinders,4wd,gas,None,97300,mid-size,clean,automatic,SUV,8300
nissan altima v6 3.5l 260 hp,2005,None,excellent,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1025
chevrolet impala ss,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Toyota Corolla,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,8249
Acura TSX,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,8395
acura tl safjkds,2005,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,None,1003
honda del sol,1995,None,None,None,None,gas,None,None,None,clean,manual,None,3000
dodge ram 1500,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,975
F-250,1994,None,excellent,None,4wd,gas,red,None,None,clean,automatic,None,1503
toyota celica,2001,None,fair,4 cylinders,fwd,gas,blue,160000,compact,rebuilt,automatic,coupe,500
toyota corolla,2003,None,good,None,None,gas,None,206000,None,clean,automatic,None,2300
Toyota 4x4,1994,None,None,None,None,gas,None,None,None,clean,manual,None,6750
Ford Dump Truck,1998,None,None,None,None,diesel,None,None,None,clean,manual,None,10500
Corvette,1974,None,good,8 cylinders,rwd,gas,grey,None,full-size,clean,automatic,coupe,11900
Pacifica,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
Ford F-150,1986,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Chevy II / Nova,1966,None,None,None,None,gas,None,None,None,clean,automatic,None,49900
toyota hilux,1986,None,good,4 cylinders,4wd,gas,None,None,None,clean,manual,pickup,6250
mini cooper s,2004,None,fair,4 cylinders,None,gas,silver,110000,sub-compact,clean,manual,None,2000
kia spectra,2005,None,excellent,None,None,gas,None,146000,None,clean,automatic,None,3500
carweih,2005,None,excellent,None,None,gas,None,None,None,clean,automatic,van,1565
toyota camry,2010,None,None,None,None,gas,None,169785,None,clean,automatic,None,5500
come drive it and,2004,None,excellent,6 cylinders,None,gas,None,None,full-size,clean,automatic,None,1000
mitsubishi 3000gt,1996,None,good,6 cylinders,fwd,gas,white,180000,None,clean,manual,coupe,3200
vw jetta 2.5,2005,None,None,None,None,gas,None,None,None,clean,manual,None,1700
Honda Accord,2005,None,None,None,fwd,gas,None,285,None,clean,automatic,sedan,2500
Jeep Wrangler,1995,None,None,None,None,gas,None,None,None,clean,manual,None,5200
volvo 940 turbo,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,800
Jeep Grand Cherokee,1993,None,excellent,6 cylinders,4wd,gas,black,256000,full-size,clean,automatic,SUV,6500
mazda cx-9 touring,2012,Jm3tb2ca2c0342164,good,6 cylinders,fwd,gas,black,112280,full-size,clean,automatic,SUV,12000
jeep grand cherokee laredo,2002,None,good,6 cylinders,4wd,gas,grey,None,full-size,clean,automatic,SUV,2200
volkswagen beetle,1999,None,None,None,None,gas,None,None,None,clean,manual,None,500
hyundai sonata gls,2012,None,None,None,None,gas,None,115800,None,clean,automatic,None,6700
Mazda DX Protege,1998,jm1bc141bw0225977,good,4 cylinders,fwd,gas,white,135000,mid-size,clean,automatic,sedan,1350
infiniti g35 coupe,2004,None,fair,6 cylinders,rwd,gas,white,253000,compact,clean,automatic,coupe,5100
Ford,2010,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,20
toyota 4 runner,1994,None,excellent,6 cylinders,rwd,gas,custom,225000,full-size,clean,automatic,None,3850
ACURA TL SAFJ,2005,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,None,1030
hyundai sonata,2012,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,None,6800
ACURA TL LKJSASADA,2005,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,None,1001
mercury comet,1965,0000000,fair,6 cylinders,rwd,gas,white,0000000,mid-size,missing,automatic,coupe,1500
ford falcon,1960,00000000,fair,6 cylinders,rwd,gas,white,0000000000,mid-size,missing,manual,coupe,1500
Honda Prelude,1999,None,like new,4 cylinders,fwd,gas,white,265000,None,clean,automatic,coupe,2500
honda accord,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
honda civic ex,1995,None,good,4 cylinders,rwd,gas,None,117000,None,clean,automatic,coupe,1700
mitsubishi galant,2005,4A3AA46G73E079782,good,None,None,gas,blue,None,full-size,clean,automatic,None,1550
Chevrolet,1996,None,fair,8 cylinders,4wd,gas,black,245,None,clean,automatic,pickup,1
Ford F150,2001,None,good,8 cylinders,rwd,gas,red,189000,full-size,clean,automatic,truck,5400
ford fusion,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,9800
buick regal,1981,None,fair,None,None,gas,None,None,None,clean,other,None,500
Cadillac Escalade ESV,2007,None,excellent,8 cylinders,4wd,gas,black,62000,full-size,clean,automatic,SUV,4100
chevrolet 1500 silverado,2007,2GCEC13V471138858,excellent,8 cylinders,rwd,gas,black,208000,full-size,clean,automatic,truck,8000
toyota tacoma,2004,: 5TEGN92N94Z4461,excellent,6 cylinders,rwd,gas,brown,209000,mid-size,clean,automatic,pickup,7952
mitsubishi eclipse gs,2008,4A3AK24F68E004641,excellent,4 cylinders,fwd,gas,blue,132382,compact,clean,manual,hatchback,5334
nissan altima,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
chevy cobalt,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
chevrolet malibu,2013,1G11D5SR0DF267667,excellent,4 cylinders,fwd,gas,black,167821,full-size,clean,automatic,sedan,8569
Peterbilt 379,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,14000
ram 1500,2011,1D7RB1GK3BS584051,good,8 cylinders,rwd,gas,brown,196484,full-size,clean,automatic,truck,11596
toyota 4runner,1997,None,good,6 cylinders,rwd,gas,grey,181000,None,rebuilt,automatic,SUV,2500
BMW 745LI,2003,None,None,None,None,gas,None,None,None,salvage,automatic,None,1900
HONDA CIVIC LX,2004,None,excellent,4 cylinders,None,gas,brown,None,None,clean,automatic,sedan,2500
pontiac g6 gt,2006,None,good,None,None,gas,grey,148400,None,clean,automatic,coupe,3000
ford taurus se,2001,None,fair,6 cylinders,fwd,gas,red,200000,full-size,clean,automatic,sedan,400
Honda CRV,2008,None,None,None,4wd,gas,None,None,None,clean,automatic,None,1750
dodge dakota,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
Lincoln MKZ,2008,None,None,None,None,gas,None,158000,None,clean,automatic,None,3000
vw beetle,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
mercedes-benz,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
vw beetle,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
HONDA ELEMENT SC,2008,5J6YH18978L005852,good,4 cylinders,fwd,gas,grey,179000,None,clean,automatic,SUV,6500
CADILLAC DTS,2010,1G6KDEY3AU105590,excellent,8 cylinders,fwd,gas,None,130000,full-size,clean,automatic,sedan,9500
V.W. JETTA,2007,3VWEF71K17M185502,excellent,5 cylinders,fwd,gas,silver,90109,None,clean,automatic,sedan,5895
ACURA RL,2008,JH4KB16628C003298,good,6 cylinders,4wd,gas,silver,189202,mid-size,clean,automatic,sedan,5895
chevrolet s10,1996,None,None,6 cylinders,None,gas,None,1900000,None,clean,automatic,None,15
toyota 4runner,2007,None,good,8 cylinders,4wd,gas,brown,220000,mid-size,clean,automatic,SUV,9200
hinda civic,1997,None,None,None,None,gas,None,None,None,clean,manual,None,890
ford fairlane 500,1966,None,None,None,None,gas,None,None,None,clean,automatic,None,25000
honda accord,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,600
Chevy van,1994,None,None,None,None,gas,None,98000,None,clean,automatic,None,2800
dodge challenger rt,2011,None,None,None,None,gas,None,30000,None,clean,manual,None,18500
Ford Mustang,2011,None,excellent,6 cylinders,None,gas,None,114000,mid-size,clean,automatic,coupe,9900
Cadillac CTS,2004,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,2200
honda accord ex,2001,1hgcg56611a037847,good,4 cylinders,None,gas,green,172000,full-size,clean,automatic,sedan,2400
toyota tacoma,2005,None,None,6 cylinders,4wd,gas,None,None,mid-size,clean,automatic,None,2300
Ford black,1937,None,None,None,None,gas,None,None,None,clean,manual,None,19000
Super Coupe,1990,None,excellent,6 cylinders,rwd,gas,white,161000,mid-size,clean,automatic,coupe,1
bmw 3-series 335i,2013,WBA3A9C50DF477078,excellent,6 cylinders,rwd,gas,black,72500,mid-size,lien,automatic,sedan,23499
FORD DELUXE,1939,990649152956151,good,8 cylinders,rwd,gas,None,75575,full-size,clean,manual,sedan,17500
Dodge Charger,1971,None,None,None,None,gas,None,None,None,missing,other,None,2500
1999 honda accord,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,500
