make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
smart convertible,2014,None,None,None,None,electric,None,6000,None,clean,manual,None,8800
mercedes-benz 190d,1965,None,None,None,None,diesel,None,None,None,clean,automatic,None,5000
Chevy Impala,2007,None,good,None,None,gas,white,None,None,clean,automatic,sedan,2800
nissan 300zx 2+2,1991,None,good,6 cylinders,rwd,gas,None,None,None,clean,manual,None,3500
honda civic dx,1997,None,fair,4 cylinders,None,gas,None,None,None,clean,manual,None,2150
lexus ls 460 luxury sedan,2007,None,like new,8 cylinders,None,gas,grey,None,full-size,clean,automatic,sedan,12800
Ford Ranger,2000,None,good,6 cylinders,rwd,gas,None,None,None,clean,automatic,None,3599
Nissan Rogue sl,2010,None,good,4 cylinders,None,gas,red,81000,None,clean,automatic,SUV,5800
chevyChevy,1963,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,coupe,300
ford mustang convertible,2006,None,good,6 cylinders,None,gas,black,200000,None,clean,automatic,None,4500
Saturn,1996,None,None,None,None,gas,None,137000,None,missing,automatic,None,1000
Chevy S 10,1986,None,good,6 cylinders,rwd,gas,black,291676,None,clean,manual,pickup,2000
Honda Accord EX-L,2008,None,excellent,4 cylinders,fwd,gas,black,None,full-size,clean,automatic,sedan,2300
ford f150 xlt,2002,None,None,None,None,gas,None,None,None,clean,manual,None,3695
cadillac escalade,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3995
chevy tahoe lt,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,4195
Ford Focus,2001,None,None,4 cylinders,None,gas,None,191550,None,clean,automatic,None,1000
Chevrolet,1975,None,excellent,None,None,gas,None,None,None,clean,automatic,None,25000
mercedes-benz e320,2003,None,excellent,6 cylinders,None,gas,black,127000,None,clean,automatic,coupe,3800
honda accord,2003,None,good,6 cylinders,fwd,gas,black,172000,mid-size,clean,automatic,coupe,2700
ford E-450,1999,1FDXE40F4XHB63754,good,8 cylinders,rwd,diesel,white,153600,full-size,clean,automatic,bus,5300
Ford Taurus,2006,None,None,6 cylinders,None,gas,None,133550,None,clean,automatic,None,1600
dodge intrepid,2004,None,fair,6 cylinders,fwd,gas,white,140301,compact,clean,automatic,sedan,1500
jeep liberty,2004,None,good,6 cylinders,4wd,gas,white,None,compact,clean,automatic,SUV,2850
buick century,2004,None,good,6 cylinders,fwd,gas,grey,143301,mid-size,clean,automatic,sedan,2200
ford f150,2004,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,pickup,3800
ford f150,2004,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,pickup,3800
chrysler pt cruiser,2006,None,good,4 cylinders,fwd,gas,yellow,184701,compact,clean,automatic,sedan,2350
ford focus SE ZX4,2006,None,good,4 cylinders,fwd,gas,green,124105,compact,clean,automatic,sedan,3450
alero oldsmobile,2004,None,good,6 cylinders,rwd,gas,white,None,compact,clean,automatic,coupe,1500
Chevy Venture,2001,None,good,6 cylinders,fwd,gas,red,168291,full-size,clean,automatic,van,1850
