make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
honda crv,2007,None,excellent,4 cylinders,4wd,gas,black,100000,compact,clean,automatic,SUV,2100
chrysler town and country,2007,None,good,12 cylinders,None,gas,blue,187400,None,clean,automatic,mini-van,3900
ford mustang,2004,None,good,None,None,gas,black,194000,None,clean,automatic,convertible,4500
toyota tacoma 4x4,2001,None,good,None,None,gas,None,202000,None,clean,manual,None,6950
toyota tacoma 4x4,2001,None,good,None,None,gas,None,202000,None,clean,manual,None,6950
honda accord lx,2009,None,good,4 cylinders,fwd,gas,custom,142000,mid-size,clean,automatic,sedan,6800
honda accord,1998,None,None,4 cylinders,None,gas,None,None,None,clean,automatic,None,2500
saab 9-7x,2008,None,excellent,6 cylinders,4wd,gas,grey,142225,full-size,clean,automatic,SUV,9450
Chevy Malibu LS,2014,1G11A5SL0EF290307,like new,4 cylinders,fwd,gas,blue,42200,mid-size,clean,automatic,sedan,13500
toyota truck,1984,None,None,None,None,gas,None,None,None,clean,manual,None,3500
hyundai accent,2001,None,good,None,None,gas,black,152000,None,clean,automatic,None,1500
Chevolet,1974,XXXXXXXXX,fair,8 cylinders,4wd,gas,green,100000,full-size,clean,automatic,pickup,3100
Chevrolet,1977,XXXXXXXXX,good,8 cylinders,rwd,gas,black,1000000,full-size,clean,automatic,pickup,3300
Chevy S10,1994,None,good,4 cylinders,rwd,gas,black,None,None,clean,manual,None,2000
ford f-250,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,18750
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1588
toyota camry,2011,None,excellent,None,None,gas,None,None,None,clean,automatic,sedan,3999
honda,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Toyota Yaris,2007,None,excellent,None,None,gas,grey,114000,None,clean,automatic,None,3950
Toyota Corolla,2010,None,excellent,None,None,gas,None,112000,None,clean,automatic,None,6950
Ford F-250,1996,None,None,None,None,diesel,None,None,None,clean,manual,None,1500
saturn sl,1997,None,good,4 cylinders,fwd,gas,custom,225000,mid-size,clean,manual,coupe,1300
jeep grand cherokee laredo,1993,None,excellent,6 cylinders,4wd,gas,black,256000,full-size,clean,automatic,SUV,6500
ford mustang,2016,None,excellent,4 cylinders,None,gas,None,None,None,lien,automatic,coupe,22000
Honda Civic,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
Sierra,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2021
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1552
toyota tacoma sr5,1996,4TAWM72N8TZ121273,good,4 cylinders,4wd,gas,green,211690,mid-size,clean,manual,truck,6800
ford f150,2003,None,like new,8 cylinders,None,gas,None,None,None,clean,automatic,truck,2000
infiniti g35 coupe,2004,None,fair,6 cylinders,None,gas,red,138000,None,clean,automatic,coupe,6000
Subaru Forester,2008,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,1800
bmw 740i,2001,WBAGG83481DN82590,excellent,8 cylinders,rwd,gas,blue,108000,full-size,clean,automatic,sedan,6900
Honda Accord,1999,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,513
chrysler pt cruiser,2003,None,good,4 cylinders,None,gas,None,200000,None,clean,automatic,None,1100
Toyota Tacoma,2005,None,excellent,6 cylinders,4wd,gas,blue,None,full-size,clean,automatic,pickup,200
honda accord ex-l,2006,None,excellent,4 cylinders,fwd,gas,black,220000,compact,clean,automatic,sedan,3500
Ford F150,2008,None,like new,8 cylinders,None,gas,None,None,None,clean,automatic,truck,2500
nissan pathfinder,2006,None,like new,None,None,gas,None,None,None,clean,automatic,None,1573
1999 Honda Accord EX-L,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,500
chevrolet 1500 silverado,1998,None,None,None,None,gas,None,None,None,lien,automatic,None,5000
Lexus RX350,2010,None,like new,6 cylinders,4wd,gas,white,52000,full-size,clean,automatic,SUV,3200
Volkswagen Jetta GLS,2002,None,excellent,None,None,gas,None,60150,None,clean,automatic,None,3195
Ford Edge SEL,2013,None,excellent,6 cylinders,fwd,gas,black,96000,full-size,clean,automatic,SUV,4000
