make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
buick roadmaster,1994,None,good,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,sedan,650
Honda Accor,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Chevrolet Cavalier,2004,None,fair,4 cylinders,fwd,gas,brown,None,compact,clean,automatic,sedan,1000
Lincoln LS,2000,None,excellent,8 cylinders,rwd,gas,custom,136000,full-size,clean,automatic,sedan,2200
Ford a,1930,None,None,None,None,gas,None,None,None,missing,manual,None,5
honda accord touring,2015,1HGCR6F77FA014623,excellent,4 cylinders,fwd,hybrid,blue,17780,full-size,clean,automatic,sedan,21000
ford ranger,2000,None,None,4 cylinders,rwd,gas,black,None,None,clean,manual,pickup,1200
jeep grand cherokee laredo,2014,1C4RJFAG9EC372168,excellent,6 cylinders,4wd,gas,white,47600,full-size,clean,automatic,SUV,21000
ford f-150,2000,None,excellent,8 cylinders,rwd,gas,red,181467,None,clean,automatic,pickup,4900
chevrolet camaro,2014,None,good,6 cylinders,rwd,gas,white,98750,None,clean,automatic,coupe,15000
Ford taurus,2006,None,None,None,fwd,gas,silver,119000,None,clean,automatic,None,1800
Ford Escape,2007,None,None,4 cylinders,fwd,hybrid,blue,None,None,clean,automatic,None,2500
Ford Escape,2007,None,None,4 cylinders,fwd,hybrid,blue,None,None,clean,automatic,None,2500
ford escape hybrid,2007,None,None,4 cylinders,fwd,gas,blue,None,None,clean,automatic,None,2500
Ram 2500 6.7l,2014,None,like new,6 cylinders,4wd,diesel,white,199000,full-size,lien,automatic,truck,35000
Chevy corvette Z06,2009,None,excellent,8 cylinders,rwd,gas,grey,68650,None,lien,manual,None,32500
ram 2500,2014,None,None,None,None,diesel,None,None,None,clean,automatic,None,39500
Ford Fiesta,2013,None,like new,4 cylinders,fwd,gas,white,70000,None,clean,automatic,None,6300
500,2000,None,good,None,None,gas,None,222000,None,clean,automatic,None,4100
Lexus IS 250,2013,None,excellent,6 cylinders,4wd,gas,black,78000,None,clean,automatic,sedan,15000
Lexus IS 250,2010,None,excellent,6 cylinders,rwd,gas,grey,66000,None,clean,automatic,sedan,12000
Lexus GS 350 F Sport,2014,None,excellent,6 cylinders,rwd,gas,silver,46000,None,clean,automatic,sedan,27800
Lexus GX 460,2015,None,excellent,8 cylinders,4wd,gas,black,46000,None,clean,automatic,SUV,38000
Ford Mustang,2007,None,excellent,6 cylinders,None,gas,None,149500,None,clean,manual,convertible,5600
Chevrolet SSR,2004,None,excellent,8 cylinders,None,gas,None,117000,None,clean,automatic,None,15500
dodge ram 1500,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,15000
nissan xterra,2002,None,good,6 cylinders,rwd,gas,white,None,None,clean,automatic,SUV,1400
nissan xterra,2002,None,good,6 cylinders,rwd,gas,white,None,None,clean,automatic,SUV,1400
honda accord ex,2000,None,fair,6 cylinders,rwd,gas,red,None,None,clean,automatic,None,800
