make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f-150 lariat,2005,1FTPW14535KE84640,excellent,8 cylinders,4wd,gas,None,105000,full-size,salvage,automatic,truck,11000
Saturn sl,1997,None,None,None,None,gas,None,None,None,clean,manual,None,10000
chevrolet impala lt 4dr sedan,2013,None,good,6 cylinders,fwd,gas,grey,80728,full-size,clean,automatic,sedan,7000
Chevrolet Colorado,2016,1GCHTCE30G1374451,like new,6 cylinders,4wd,gas,blue,7380,mid-size,clean,automatic,pickup,28900
chevy tahoe,1995,None,excellent,8 cylinders,4wd,gas,None,159000,full-size,clean,manual,SUV,5800
Nissan Murano S AWD,2007,JN8AZ08W47W662792,excellent,6 cylinders,4wd,gas,white,1740000,full-size,clean,automatic,SUV,5400
chevrolet trailblazer ext,2007,None,good,6 cylinders,4wd,gas,grey,135100,mid-size,clean,automatic,SUV,4500
honda,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Ford F-350,1988,None,good,8 cylinders,4wd,gas,red,99000,full-size,clean,automatic,None,4000
1982,1982,None,None,6 cylinders,fwd,gas,blue,None,full-size,clean,manual,pickup,3200
jeep grand cherokee laredo,2007,None,excellent,6 cylinders,4wd,gas,red,119500,mid-size,clean,automatic,SUV,7900
chevy cavalier,2002,None,good,4 cylinders,fwd,gas,brown,153000,mid-size,clean,automatic,sedan,2000
Dodge,1982,None,None,None,None,gas,None,None,None,clean,manual,None,3000
hyundai sonata,2016,None,None,4 cylinders,None,gas,None,28000,None,clean,automatic,None,14000
Dodge 2500,2002,None,good,6 cylinders,None,diesel,None,None,None,clean,manual,None,7999
altima,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Turbo,2004,None,excellent,4 cylinders,4wd,gas,None,203000,None,clean,automatic,None,2100
volkswagen gti,2004,None,good,4 cylinders,fwd,gas,red,144,sub-compact,clean,manual,hatchback,2800
chevrolet blazer,1990,None,good,8 cylinders,4wd,gas,grey,None,full-size,clean,automatic,SUV,2650
Chrysler PT Cruiser,2003,None,None,None,None,gas,None,160000,None,clean,automatic,None,1600
Dodge Durango,2006,None,None,None,None,gas,None,201000,None,clean,automatic,None,2900
Subaru Outback,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
jeep wrangler,1995,None,None,None,None,gas,None,174000,None,clean,manual,None,5500
Nissan Titan,2007,None,good,8 cylinders,None,gas,None,176426,None,clean,automatic,None,9499
ford f-150,2013,None,excellent,8 cylinders,4wd,gas,None,89026,None,clean,automatic,None,24985
ford f-150,2013,None,excellent,8 cylinders,4wd,gas,None,89026,None,clean,automatic,None,24985
Toyota RAV4,2011,None,excellent,4 cylinders,4wd,gas,None,132862,None,clean,automatic,None,10750
hyundai santa fe,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,17800
Subaru Forester,2014,JF2SJAEC7EH403403,good,4 cylinders,4wd,gas,white,29000,None,clean,automatic,None,20900
Honda Accord,2007,1HGCM56847A194419,excellent,4 cylinders,fwd,gas,white,133000,None,clean,automatic,sedan,8900
Ford F-250,2015,1FT7W2BT3FEA51357,excellent,8 cylinders,4wd,diesel,blue,49000,None,clean,automatic,truck,52500
ford f-250 super duty,2004,None,good,8 cylinders,4wd,diesel,white,206727,None,clean,automatic,None,6000
jeep wrangler sahara,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,200
Lexus GX 470,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,9900
jeep grand cherokee 4x4,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
