make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Audi TT Awd,2000,None,None,None,None,gas,None,247,None,rebuilt,manual,None,11111
VW Passat Wagon GLX,2004,None,excellent,None,None,gas,silver,None,None,clean,automatic,wagon,3000
cadillac deville,1987,None,good,None,None,gas,blue,126000,None,clean,automatic,sedan,2000
Ford F100,1976,None,None,None,None,gas,None,125000,None,clean,manual,None,11500
Ford F100,1976,None,None,None,None,gas,None,125000,None,clean,manual,None,11500
Jeep Wrangler,1997,None,excellent,4 cylinders,4wd,gas,None,1106400,None,clean,manual,None,7700
dodge ram 2500,2015,None,excellent,8 cylinders,4wd,gas,silver,26000,full-size,lien,automatic,pickup,34000
1995 chevrolet  silverado  z71,1995,None,excellent,8 cylinders,4wd,gas,blue,166000,full-size,clean,automatic,pickup,6500
chevy school bus,1991,None,good,8 cylinders,rwd,diesel,yellow,205000,full-size,clean,automatic,bus,2550
ford f-150,2007,None,like new,8 cylinders,rwd,gas,white,230000,full-size,clean,automatic,pickup,7500
Gmc 2500,2005,None,excellent,8 cylinders,4wd,diesel,black,None,full-size,clean,automatic,pickup,20000
Lexus IS250,2006,None,None,None,None,gas,None,None,None,salvage,automatic,None,5900
acura ilx 2.0l,2013,None,like new,4 cylinders,fwd,gas,white,36500,None,salvage,automatic,None,9000
Chevy Malibu,2006,None,None,None,None,gas,None,172000,None,clean,automatic,None,3000
izusu,2000,None,None,None,None,gas,None,227000,None,clean,automatic,None,1200
honda accord,1999,None,good,4 cylinders,fwd,gas,green,168000,full-size,clean,automatic,None,2000
Chevrolet,1939,None,None,None,None,gas,None,None,None,clean,automatic,None,18000
mazda 626,2000,None,excellent,4 cylinders,None,gas,brown,None,mid-size,clean,automatic,None,2000
chevrolet 2500 silverado,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,10500
Any,1988,None,None,None,None,gas,None,None,None,clean,manual,None,1000
hyundai sonata gls auto,2006,None,excellent,6 cylinders,rwd,gas,white,171876,full-size,clean,automatic,sedan,3900
ACURA ILX,2016,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,14500
Mercedes-Benz E350,2010,None,like new,6 cylinders,None,gas,silver,105000,None,clean,automatic,None,16500
