make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
mercury grand marquis,1997,None,excellent,8 cylinders,rwd,gas,red,200000,full-size,clean,automatic,sedan,3500
Dodge Charger,2011,None,excellent,8 cylinders,rwd,gas,black,110000,None,clean,automatic,None,10500
Dodge Charger,2008,None,None,None,None,gas,None,148000,None,clean,automatic,None,5500
Dodge Charger,2008,None,None,None,None,gas,None,148000,None,clean,automatic,None,5500
HYUNDAI SONATA GLS,2006,None,like new,6 cylinders,fwd,gas,grey,197000,mid-size,clean,automatic,sedan,3600
Nissan Skyline,1991,None,excellent,None,None,gas,red,50000,None,clean,manual,None,16000
volkswagen,1982,None,None,None,None,gas,None,None,None,clean,manual,None,750
Toyota truck SR5,1987,None,fair,4 cylinders,4wd,gas,black,None,compact,clean,automatic,pickup,2500
Subaru Forester,2008,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,1800
mercedes-benz s550,2007,None,excellent,8 cylinders,rwd,gas,custom,150000,full-size,clean,automatic,sedan,9000
dodge charger,1973,None,None,8 cylinders,rwd,gas,black,None,None,missing,automatic,None,1500
Acura 2.2,1997,None,good,4 cylinders,None,gas,white,224000,None,clean,automatic,coupe,1600
gmc yukon,2006,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,SUV,6000
nissan frontier,2001,None,None,6 cylinders,rwd,gas,green,268000,None,clean,automatic,None,2500
mitsubishi galant,2000,None,None,None,None,gas,None,195000,None,clean,automatic,None,1500
EZGO,2011,None,like new,None,None,gas,None,None,None,clean,automatic,None,4200
ford f-150,1994,None,excellent,8 cylinders,rwd,gas,white,None,None,clean,automatic,None,6000
chrysler pt cruiser,2008,None,good,4 cylinders,fwd,gas,silver,None,sub-compact,clean,automatic,wagon,3500
Dodge ram 2500,1997,None,good,8 cylinders,rwd,gas,red,146000,full-size,clean,automatic,truck,4500
Chevrolet Silverado 3500,2008,None,good,8 cylinders,rwd,gas,white,197000,full-size,clean,automatic,truck,16500
Toyota Tercel,1997,None,good,None,None,gas,white,None,None,clean,automatic,None,800
freightliner,1999,None,None,None,None,diesel,None,None,None,clean,manual,None,5500
dodge ram 1500,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
ford focus se 4dr sedan,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
mercury grand marquis,2001,None,None,None,None,gas,None,158000,None,clean,automatic,None,2750
Toyota,1993,None,None,None,None,gas,None,None,None,clean,manual,None,3000
C,2002,None,like new,6 cylinders,None,gas,grey,None,compact,clean,automatic,sedan,1050
Toyota Corolla s,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,4999
toyota tacoma prerunner double c,2011,None,excellent,6 cylinders,rwd,gas,white,148493,mid-size,clean,automatic,pickup,16900
Toyota Camry LE,2003,None,good,4 cylinders,None,gas,grey,200000,None,clean,automatic,None,3500
4wdr toyota truck,1987,None,good,4 cylinders,4wd,gas,white,None,None,clean,manual,None,6000
