make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevy malibu ls,2005,None,good,6 cylinders,fwd,gas,blue,183000,full-size,clean,automatic,sedan,2300
Chevy Malibu,2008,None,None,4 cylinders,fwd,gas,black,None,None,clean,automatic,None,1500
Toyota Camry LE,2004,None,fair,4 cylinders,fwd,gas,red,298000,mid-size,clean,automatic,sedan,2100
cougar xr7,1970,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Geo Storm,1993,None,good,4 cylinders,fwd,gas,red,125000,compact,clean,manual,coupe,1500
Nissan Titan,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,14500
ford mustang gt,1998,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,3500
nissan d21 hardbody,1993,None,fair,4 cylinders,rwd,gas,None,397000,compact,clean,manual,pickup,1375
F150,2004,Ask,None,None,None,gas,None,169000,None,clean,automatic,None,5900
Dodge Rampage,1984,None,good,4 cylinders,fwd,gas,red,86187,mid-size,clean,other,pickup,6500
toyota tacoma 4x4,2016,5TFCZ5ANXGX044504,excellent,6 cylinders,4wd,gas,grey,31281,full-size,clean,automatic,truck,31300
HYUNDAI SONATA,2013,5NPEB4AC6DH777694,good,4 cylinders,fwd,gas,silver,40918,mid-size,clean,automatic,sedan,11850
CHEVY MALIBU,2012,1G1ZA5EU8CF389039,good,4 cylinders,fwd,gas,white,36154,mid-size,clean,automatic,sedan,11500
chevy spark,2017,KL8CD6SA2HC771735,like new,4 cylinders,fwd,gas,white,5374,compact,clean,automatic,sedan,12200
FORD F150,2010,1FTMF1EW4AKE38917,good,8 cylinders,4wd,gas,white,74840,full-size,clean,automatic,truck,12500
jeep cherokee,2014,1C4PJLDSXEW299011,good,6 cylinders,4wd,gas,silver,47534,mid-size,clean,automatic,SUV,18200
CHRYSLER 300,2012,2C3CCAAG4CH263716,good,6 cylinders,fwd,gas,blue,107596,full-size,clean,automatic,sedan,9100
dodge neon,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,350
FORD FOCUS,2012,1FAHP3F29CL456466,good,4 cylinders,fwd,gas,silver,37784,mid-size,clean,automatic,sedan,8000
Chevrolet Silverado 1500,2011,None,excellent,None,rwd,gas,None,10550,None,clean,automatic,truck,11250
CHRYSLER 200,2016,1C3CCCAB4GN176752,good,4 cylinders,fwd,gas,silver,40213,mid-size,clean,automatic,sedan,13000
saturn sky,2008,None,excellent,4 cylinders,rwd,gas,blue,None,None,clean,manual,None,10970
DODGE DAKOTA,2010,1D7RW3BP3AS244626,excellent,8 cylinders,4wd,gas,white,40093,mid-size,clean,automatic,truck,16500
toyota corolla,1999,None,None,4 cylinders,None,gas,green,176653,mid-size,clean,automatic,None,600
CHEVROLET TRAILBLAZER,2009,1GNDT33S592133630,good,6 cylinders,4wd,gas,white,54546,mid-size,clean,automatic,SUV,12800
chevrolet camaro,2010,None,None,None,None,gas,None,None,None,clean,manual,None,9500
HONDA ACCORD,2015,1HGCR3F83FA007045,good,4 cylinders,fwd,gas,grey,39779,mid-size,clean,automatic,sedan,20550
FORD FIESTA,2017,3FADP4BJ7HM125117,like new,4 cylinders,None,gas,grey,8276,compact,clean,automatic,sedan,11650
