make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet camaro,1996,None,None,6 cylinders,rwd,gas,None,158000,None,clean,automatic,None,2500
dodge dakota,2004,1D7HG12K84S748885,good,6 cylinders,4wd,gas,white,157113,mid-size,clean,automatic,truck,4300
nissan altima,2008,1N4AL21E18N406925,good,4 cylinders,fwd,gas,silver,197888,mid-size,clean,automatic,sedan,3250
Jeep Wrangler,2012,None,excellent,6 cylinders,4wd,gas,None,40500,None,clean,automatic,None,36900
hummer h2,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,9500
chevrolet malibu,2008,None,None,4 cylinders,None,gas,None,183500,None,rebuilt,automatic,None,3700
Chevy GMC,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
pontiac grand prix,2005,None,excellent,6 cylinders,None,gas,None,152500,None,rebuilt,automatic,None,3700
Wild country,2017,None,None,None,None,gas,None,None,None,clean,manual,None,300
chevy tahoe,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Hyundai Tiburon,2006,None,excellent,4 cylinders,fwd,gas,red,176000,compact,rebuilt,automatic,None,3500
ford mustang convertible,2003,None,good,8 cylinders,None,gas,blue,136787,None,clean,automatic,convertible,4500
Chev C10,1986,None,good,8 cylinders,rwd,gas,None,None,None,clean,automatic,pickup,1500
Pontiac Firebird trans am,1992,None,excellent,None,rwd,gas,yellow,1886106,None,clean,automatic,None,3500
nissan versa,2010,None,good,4 cylinders,fwd,gas,silver,109000,None,clean,automatic,None,5000
lincoln mkx,2013,None,good,6 cylinders,fwd,gas,white,96500,mid-size,clean,automatic,SUV,13900
TOYOTACAMRY,2003,None,good,4 cylinders,fwd,gas,white,122000,None,rebuilt,automatic,None,3900
chevrolet 1500 silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3700
Vantage green van,2010,None,None,None,None,electric,None,None,None,missing,automatic,mini-van,10000
Vantage green van,2010,None,None,None,None,electric,white,None,sub-compact,missing,automatic,None,10000
toyota corolla s,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,4999
chevy s10 pickup,1998,1gccs14w1wk159893,good,6 cylinders,rwd,gas,white,143000,None,clean,automatic,pickup,2000
Toyota Tacoma 4x4,1997,**************,None,6 cylinders,4wd,gas,black,262000,None,clean,manual,pickup,6200
Honda Odyssey,2016,5FNRL5H99GB105291,excellent,None,None,gas,white,36825,None,clean,automatic,mini-van,33500
Jeep Wrangler Unlimited 4wd 4dr,2015,1C4BJWDG6FL618950,like new,6 cylinders,4wd,gas,black,29500,full-size,clean,manual,offroad,30999
mercedes-benz s500,2001,WDBNG75J91A186093,good,None,None,gas,white,141888,None,clean,automatic,sedan,3900
Dodge durango GT,2017,1C4RDHDG6HC719748,excellent,6 cylinders,rwd,gas,custom,24000,None,clean,automatic,SUV,36000
Dodge Ram 1500 4x4 Laramie,2011,None,like new,8 cylinders,4wd,gas,white,140000,full-size,clean,automatic,pickup,17995
Audi,2003,None,good,None,None,gas,black,120000,full-size,clean,automatic,sedan,5000
ford mustang gt,2007,1ZVFT82H075233177,good,8 cylinders,rwd,gas,None,152000,None,clean,automatic,None,8000
buick enclave,2009,None,excellent,6 cylinders,None,gas,white,148500,None,clean,automatic,SUV,10200
F150,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,3400
chevy s10 pickup,1996,1gccs14x1tk240249,good,6 cylinders,rwd,gas,white,151394,None,clean,automatic,pickup,1500
chevrolet 1500 silverado,2003,None,excellent,8 cylinders,4wd,gas,grey,141470,full-size,clean,automatic,truck,9800
nissan rogue sv,2015,None,excellent,None,None,gas,green,43000,None,clean,automatic,SUV,17500
Chevrolet Sonic LT,2012,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,4900
chevrolet 1500 silverado,2004,None,good,8 cylinders,4wd,gas,silver,220000,full-size,clean,automatic,truck,7200
chevrolet suburban,2005,None,good,8 cylinders,4wd,gas,None,None,full-size,lien,automatic,SUV,7500
Honda,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
gmc 1500 yukon xl,2002,None,excellent,8 cylinders,fwd,gas,brown,140000,compact,clean,automatic,SUV,5000
honda civic,2000,None,excellent,4 cylinders,fwd,gas,brown,None,compact,clean,automatic,sedan,1500
bmw 530i,2007,None,good,6 cylinders,rwd,gas,green,109000,None,clean,manual,sedan,4500
Ford Expedition  Limited,2007,None,good,None,None,gas,None,183000,None,clean,automatic,None,6800
Check c2500,2010,None,fair,8 cylinders,4wd,gas,white,270000,full-size,clean,automatic,pickup,8500
jeep grand cherokee laredo,1997,1j4fx58s5vc535575,fair,6 cylinders,rwd,gas,black,264000,mid-size,clean,automatic,SUV,500
HYUNDAI SONATA,2013,None,good,4 cylinders,fwd,gas,silver,31000,None,rebuilt,automatic,None,6500
HONDA ACCORD,2008,None,good,4 cylinders,fwd,gas,grey,109000,None,rebuilt,automatic,None,5500
NISSAN ALTIMA,2008,None,good,4 cylinders,fwd,gas,red,217000,None,clean,automatic,None,3700
HONDA CIVIC,2007,None,good,4 cylinders,fwd,gas,silver,171000,None,clean,other,None,3800
BUICK LESABRE LTD,1994,None,good,6 cylinders,fwd,gas,red,58000,None,rebuilt,automatic,None,2700
NISSAN ALTIMA,2009,None,good,4 cylinders,fwd,gas,white,172000,None,clean,automatic,None,3900
NISSAN MURANO,2006,None,good,None,fwd,gas,white,160000,None,clean,automatic,None,5500
dodge ram 1500 slt,2007,1D7HA18297J640228,good,8 cylinders,rwd,gas,silver,110052,full-size,lien,automatic,pickup,9800
Jeep Patriot limited 4x4,2007,None,excellent,4 cylinders,4wd,gas,black,149291,compact,lien,automatic,SUV,5600
honda fit sport,2011,None,like new,4 cylinders,fwd,gas,silver,85000,compact,clean,automatic,hatchback,9900
nissan xterra se,2001,None,None,None,None,gas,None,244000,None,clean,automatic,None,2200
FREIGHTLINER FL112,2003,1FUBBFA8X3HK84665,None,None,None,diesel,white,727944,None,clean,manual,None,9800
Chevrolet Z71 Tahoe,2005,1GNEK13T45R15R150,None,None,4wd,gas,blue,175000,None,clean,automatic,None,9000
lincoln town car,1995,None,fair,8 cylinders,rwd,gas,white,200000,full-size,clean,automatic,sedan,1900
