make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Ford Mustang Gt,2010,None,None,8 cylinders,None,gas,None,None,None,clean,manual,None,14
Volkswagen Super Beetle,1974,None,good,4 cylinders,rwd,gas,blue,74000,compact,clean,manual,coupe,1200
chevy tahoe,2008,None,like new,8 cylinders,4wd,gas,grey,69104,mid-size,clean,automatic,SUV,18800
chevrolet camaro,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,8000
Jeep Grand Cherokee,2011,None,excellent,6 cylinders,rwd,gas,silver,91460,None,clean,automatic,SUV,14500
2010 BMW 328i,2010,None,None,None,None,gas,None,79000,None,clean,automatic,None,8900
chevrolet 1500 avalanche,2002,None,good,8 cylinders,4wd,gas,white,204000,full-size,clean,automatic,truck,6000
Ford F250,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
chevrolet avalanche lt 4wd,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
dodge ram 3500 mega cab,2006,None,None,None,None,diesel,None,239000,None,clean,manual,None,26000
bmw 750i,2008,None,excellent,None,None,gas,None,145000,None,clean,automatic,None,9900
toyota corolla,2006,None,None,None,None,gas,None,138000,None,clean,automatic,None,6200
FORD EXPLORER XLT SPORT,2000,1FMYU60E31UA59796,good,4 cylinders,rwd,gas,blue,None,mid-size,clean,automatic,SUV,1650
Nissan Altima 2.5 4dr sedan,2004,None,good,4 cylinders,fwd,gas,custom,205416,full-size,clean,automatic,sedan,1995
MERCEDES BENZ 300 SD,1983,None,fair,5 cylinders,rwd,diesel,blue,None,full-size,clean,automatic,sedan,550
FIAT 500 POP SPORT,2013,3C3CFFAR1DT611387,excellent,4 cylinders,fwd,gas,red,None,compact,clean,manual,hatchback,5995
VW JETTA SE TSI,2015,3VWD07AJXFM270678,like new,4 cylinders,fwd,gas,white,9108,compact,clean,automatic,sedan,13995
hummer h2,2004,None,None,8 cylinders,4wd,gas,white,218180,None,rebuilt,automatic,None,8500
plymouth barracuda,1969,None,fair,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,4800
toyota pick up,1989,None,good,None,None,gas,None,280000,None,rebuilt,manual,pickup,4500
Honda Accord EX-L V6 Sedan,2011,None,good,6 cylinders,fwd,gas,white,124172,mid-size,clean,automatic,sedan,10535
Chevy,2002,None,None,None,None,gas,None,110,None,clean,automatic,None,1
Chevrolet K10,1982,None,good,8 cylinders,4wd,gas,blue,180000,full-size,clean,automatic,pickup,6000
ford edge sel plus,2007,None,like new,6 cylinders,None,gas,white,176000,full-size,clean,automatic,None,5500
infiniti qx4,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,4800
ford mustang gt,1998,None,None,None,None,gas,None,None,None,parts only,automatic,None,1800
harley davidson,2005,None,excellent,None,None,gas,blue,10000,None,clean,other,None,9500
04 Volkswagen Jetta,2005,None,None,None,None,gas,None,142000,None,clean,automatic,None,1900
nissan altima,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,600
Acura,2003,None,None,None,None,gas,None,190000,None,clean,automatic,None,1800
jeep grand cherokee,2004,None,good,6 cylinders,4wd,gas,white,147000,None,rebuilt,automatic,SUV,3500
chevrolet corvette,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
nissan maxima sv,2012,None,None,None,None,gas,None,114000,None,lien,automatic,None,10500
chevrolet camaro,2010,None,None,8 cylinders,None,gas,black,None,None,clean,automatic,None,14500
honda accord lx,2005,1HGCM56455A121330,good,4 cylinders,None,gas,None,1890000,None,rebuilt,automatic,sedan,2800
Chevorlet Corvette,1995,None,None,None,None,gas,None,58000,None,clean,automatic,None,10000
jeep wrangler sahara,2012,None,excellent,6 cylinders,4wd,gas,black,84800,None,clean,manual,SUV,23500
Ford Taurus,2006,None,good,6 cylinders,None,gas,None,200000,None,clean,automatic,None,2300
Hyundai Electra,2002,None,good,None,None,gas,blue,139000,None,clean,automatic,None,1499
Jeep Wrangler JK,2012,None,excellent,6 cylinders,4wd,gas,white,48000,None,clean,automatic,SUV,27500
chrysler town & country,2007,1A4GJ45R27B242131,fair,6 cylinders,fwd,gas,black,93000,None,clean,automatic,van,3589
ford,2005,None,None,None,None,diesel,None,None,None,clean,manual,None,50000
ford f150 lariat,1988,None,fair,8 cylinders,rwd,gas,blue,None,full-size,clean,automatic,pickup,575
Chevy Silverado Z71,2007,None,good,8 cylinders,4wd,gas,white,217000,full-size,clean,automatic,truck,13500
GMC Acadia SLT,2008,None,like new,6 cylinders,fwd,gas,silver,130000,full-size,clean,automatic,SUV,9850
CHEVROLET CORVETTE,1986,None,excellent,8 cylinders,rwd,gas,red,16000,full-size,clean,automatic,coupe,5500
TOYOTA HIGHLANDER,2008,None,good,6 cylinders,None,gas,red,120000,full-size,clean,automatic,SUV,10400
toyota 4runner,2007,None,excellent,8 cylinders,rwd,gas,None,300000,full-size,clean,automatic,None,7500
GMC VAN,1993,None,fair,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,van,975
Honda Civic Sedan,2012,None,excellent,4 cylinders,fwd,gas,white,117000,None,rebuilt,automatic,None,6900
International 1000,1961,23456789,good,4 cylinders,rwd,gas,green,2000,full-size,clean,automatic,pickup,3200
chevy impala,1966,00000000,None,None,rwd,gas,grey,None,full-size,clean,automatic,coupe,9500
Chevy,1955,0000000,good,8 cylinders,None,gas,red,None,full-size,clean,automatic,coupe,18900
Ford T Bird,1956,00000000,good,8 cylinders,rwd,gas,yellow,None,full-size,clean,automatic,coupe,18900
Ford wagon,1959,00000000,good,8 cylinders,rwd,gas,None,None,mid-size,clean,automatic,coupe,15900
Ford Ranger,1994,None,None,None,None,gas,None,None,None,clean,manual,None,2800
plymouth barracuda,1967,00000000,good,6 cylinders,rwd,gas,red,None,mid-size,clean,manual,sedan,8900
Chevy Truck,1953,00000000,good,6 cylinders,rwd,gas,black,None,full-size,clean,manual,pickup,1275
Ford Fairlane,1968,00000000,good,other,rwd,gas,grey,None,full-size,clean,other,sedan,1575
Chevy ton truck,1969,00000000,good,None,rwd,gas,blue,None,full-size,clean,automatic,truck,6900
Ford T Bird,1956,00000000,good,8 cylinders,rwd,gas,yellow,None,full-size,clean,automatic,coupe,18900
Ford truck,1951,00000000,good,6 cylinders,rwd,gas,custom,None,full-size,clean,automatic,pickup,5900
Mini Cooper S,2004,None,good,4 cylinders,fwd,gas,grey,138000,compact,clean,manual,hatchback,4800
Ford Mustang,1968,None,None,None,None,gas,None,None,None,clean,manual,None,32000
ford mustang gt,1999,None,salvage,8 cylinders,None,gas,black,None,None,missing,manual,None,150
Ford,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Honda Ridgeline RTL 4x4,2007,None,good,6 cylinders,4wd,gas,None,207,None,clean,automatic,None,10499
dune buggy,1973,None,like new,4 cylinders,rwd,gas,green,None,compact,clean,manual,offroad,6000
dune buggy,1973,None,like new,4 cylinders,rwd,gas,green,None,compact,clean,manual,offroad,6000
gmc vandura,1986,None,fair,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,van,575
Nissan Versa S,2016,None,good,4 cylinders,None,gas,None,29,None,clean,manual,None,8499
BMW,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,22500
ford explorer,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,5900
2008 dodge avenger,2008,None,excellent,6 cylinders,rwd,gas,red,95353,mid-size,lien,automatic,sedan,4500
chrysler sebring,2001,None,good,4 cylinders,fwd,gas,green,143230,None,clean,automatic,sedan,950
bmw 750i,2008,None,excellent,None,None,gas,None,145000,None,clean,automatic,None,9900
