make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
oldsmobile aurora,1996,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1900
nissan maxima 3.5 s,2004,None,None,None,None,gas,None,168000,None,clean,automatic,None,2700
bmw x5 3.0i,2001,None,excellent,None,None,gas,None,144000,None,clean,automatic,None,3800
Range Rover,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,14500
volkswagon jetta,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
F150,2015,None,None,None,None,gas,None,29000,None,clean,automatic,None,40000
ford mustang,1999,None,good,6 cylinders,rwd,gas,red,158000,None,clean,manual,coupe,3000
acura cl,1998,None,fair,6 cylinders,fwd,gas,red,190000,compact,clean,automatic,coupe,1000
Ford f250 king ranch,2006,None,excellent,8 cylinders,4wd,diesel,white,96500,full-size,clean,automatic,truck,20500
gmc sierra 1500 crew cab,2008,None,None,None,None,gas,None,176000,None,clean,automatic,None,10000
Ram 1500 SLT 4x4,2012,None,excellent,8 cylinders,4wd,gas,white,155431,full-size,clean,automatic,truck,14500
chevy camaro,2011,None,like new,6 cylinders,rwd,gas,silver,50531,None,clean,automatic,coupe,14850
chevy s10,1983,None,None,None,None,gas,None,None,None,missing,automatic,None,1
toyota celica gts,2003,None,None,4 cylinders,None,gas,None,153000,None,clean,manual,None,4500
Ford f100,1954,None,None,None,None,gas,None,None,None,clean,manual,None,8000
Camaro,1987,None,fair,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,3000
mitsubishi eclipse gt,2000,None,fair,6 cylinders,fwd,gas,None,None,mid-size,clean,automatic,coupe,1
GMC k10,1982,None,None,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,5000
acura rsx type-s,2005,None,excellent,4 cylinders,fwd,gas,blue,133000,compact,rebuilt,manual,None,7000
VW Beetle,2008,3VWPW31C58M513936,excellent,5 cylinders,None,gas,black,98000,None,clean,manual,None,4995
honda accord exl v6,2004,None,good,6 cylinders,fwd,gas,red,156000,mid-size,clean,automatic,sedan,2600
Dodge ram 1500,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
lexus ls 400,1995,None,excellent,8 cylinders,rwd,gas,white,160000,full-size,clean,automatic,sedan,3700
Ford Focus,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
mitsubishi galant,2012,None,good,4 cylinders,fwd,gas,silver,None,mid-size,clean,automatic,sedan,4250
acura cl,1997,None,good,4 cylinders,None,gas,white,None,None,clean,automatic,coupe,1600
Dodge cummins,1991,None,good,6 cylinders,rwd,diesel,white,206000,None,clean,manual,None,1
ford f-150,2006,None,good,8 cylinders,rwd,gas,grey,180000,full-size,clean,automatic,pickup,7250
hyundai tucson gls,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,11800
ford taurus sel,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
volkswagen passat,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,7950
Chevey c10,1968,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
nissan sentra sv,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,9200
nissan altima 2.5 s,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,11950
dodge charger se,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,13500
mercury cougar,2000,1ZWFT61L7Y563373,excellent,6 cylinders,fwd,gas,silver,80536,mid-size,clean,automatic,coupe,5000
Ford/Explorer/XLT,2000,None,like new,8 cylinders,rwd,gas,blue,136209,mid-size,clean,automatic,SUV,1700
dodge avenger,2010,None,excellent,6 cylinders,None,gas,blue,70000,mid-size,clean,automatic,sedan,6000
chevy silverado 1500,2015,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,28500
ford f-150,2013,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,None,19750
Volkswagen Eurovan,1999,None,None,None,None,gas,None,125000,None,clean,automatic,None,4500
Jeep Wrangler,1997,1J4FY29P5VP509704,good,4 cylinders,4wd,gas,red,134675,None,clean,manual,other,7000
toyota corola,2003,None,good,4 cylinders,fwd,gas,white,None,mid-size,clean,automatic,sedan,1950
pontiac g6,2009,None,like new,6 cylinders,fwd,gas,grey,171240,mid-size,clean,automatic,sedan,4000
2002 Ford Explorer,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
Toyota Camry LE,2003,None,good,4 cylinders,None,gas,grey,200000,None,clean,automatic,None,3500
2003 Lexus ES300,2003,None,None,None,None,gas,None,215000,None,clean,automatic,None,2900
4wdr toyota truck,1987,None,good,4 cylinders,4wd,gas,white,None,None,clean,manual,None,6000
2wd toyota truck,1986,None,fair,4 cylinders,rwd,gas,blue,None,None,clean,manual,None,1600
chevrolet 1500 silverado,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
General M998,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,18000
toyota tacoma prerunner v6,2011,None,excellent,6 cylinders,rwd,gas,white,148493,mid-size,clean,automatic,pickup,16900
gmc yukon denali,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3045
Chevrolet Corvette,1990,1G1YY2387L5105479,excellent,8 cylinders,None,gas,white,77265,None,clean,automatic,coupe,7995
Jeep Wrangler Willis,2014,None,like new,6 cylinders,4wd,gas,silver,39400,None,clean,automatic,None,28500
camry,2009,None,like new,None,None,gas,black,None,None,clean,automatic,None,1500
mercury sable,2008,None,None,None,None,gas,silver,77538,None,clean,automatic,None,8000
acura tl,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Nissan Quest,2006,None,None,6 cylinders,fwd,gas,grey,None,None,clean,automatic,mini-van,900
Oldsmobile Delta 88,1974,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Steel utility trailer,2005,None,None,None,None,other,None,None,None,rebuilt,other,None,550
Chevrolet Silverado,2012,1GCRKSE70CZ252446,excellent,8 cylinders,4wd,gas,None,131153,full-size,clean,automatic,pickup,19900
Chevrolet Tahoe LT,2006,1GNEC13Z26J155169,excellent,8 cylinders,rwd,gas,blue,213213,mid-size,clean,automatic,SUV,6200
