make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
volkswagen passat,2002,None,good,4 cylinders,fwd,gas,blue,182000,None,clean,manual,None,1200
Mitsubishi outlander sport,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
honda civic,2001,None,None,4 cylinders,None,gas,silver,None,None,clean,automatic,None,2900
honda civic ex,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,3600
acura 3.2 tl,2000,None,None,6 cylinders,None,gas,black,None,mid-size,clean,automatic,sedan,2350
volkswagen jetta,1982,None,good,None,None,gas,None,None,None,clean,manual,None,750
chevy malibu,2008,None,good,4 cylinders,None,gas,None,183500,None,rebuilt,automatic,None,3700
pontiac grand prix,2005,None,None,6 cylinders,None,gas,None,None,None,rebuilt,automatic,None,3700
GMT400,1993,None,good,6 cylinders,rwd,gas,red,155482,full-size,clean,automatic,pickup,2800
Jeep Grand Cherokee,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2073
Dodge Charger,1973,None,None,8 cylinders,rwd,gas,black,None,None,missing,automatic,None,1500
Nissan Altima,2007,None,None,4 cylinders,None,gas,None,175,None,clean,automatic,None,4300
Ford f150,2002,None,excellent,None,None,gas,black,None,None,clean,automatic,None,9500
ford f-250,2008,None,excellent,10 cylinders,4wd,diesel,grey,138000,full-size,clean,automatic,truck,26995
Ford Ranger XLT,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
chevy trailblazer LS,2006,None,good,6 cylinders,rwd,gas,brown,185200,full-size,clean,automatic,SUV,3300
Chevy duramax,2004,None,fair,8 cylinders,None,diesel,None,145000,None,clean,automatic,other,10000
Jeep Cherokee SUV,2002,None,good,8 cylinders,4wd,gas,white,138200,full-size,clean,automatic,SUV,3400
Honda Accord,2001,None,good,4 cylinders,fwd,gas,green,275111,mid-size,clean,automatic,sedan,1975
CHEVY IMPALA,2003,None,good,6 cylinders,fwd,gas,silver,None,mid-size,clean,automatic,sedan,2400
toyota,2012,None,excellent,None,None,gas,None,None,full-size,clean,automatic,None,1700
Chevy Cavalier,2001,None,like new,4 cylinders,None,gas,white,None,None,clean,automatic,sedan,3200
honda civic,2000,None,None,4 cylinders,None,gas,None,None,None,clean,automatic,None,3200
acura,2000,None,excellent,4 cylinders,None,gas,white,None,None,clean,automatic,None,2950
Chevrolet Equinox,2010,None,excellent,4 cylinders,4wd,gas,black,None,None,clean,automatic,SUV,2200
excellent condition,2004,None,like new,8 cylinders,None,gas,black,None,mid-size,clean,automatic,None,3300
Ford Mustang Gt Roush,2012,None,excellent,8 cylinders,rwd,gas,grey,12000,compact,clean,manual,coupe,29000
Freightliner,2005,None,None,None,None,diesel,None,None,None,clean,manual,None,45000
Honda CR-V EX-L,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2200
jeep cherokee,1997,None,fair,6 cylinders,4wd,gas,green,233000,None,missing,automatic,other,2500
toyota tacoma prerunner double c,2011,None,good,6 cylinders,rwd,gas,white,148493,mid-size,clean,automatic,pickup,16900
gmc acadia,2007,None,None,None,None,gas,None,130000,None,clean,automatic,None,5300
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1536
Toyota Sienna XLE,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,25500
nissan maxima gle,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
chevy impala lt,2007,None,None,None,None,gas,None,190000,None,clean,automatic,None,3800
Heated Seats,2004,None,excellent,6 cylinders,None,gas,None,None,full-size,clean,automatic,None,1000
jeep wrangler jku,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,18500
Chevy 2500,2015,None,excellent,8 cylinders,rwd,gas,white,128000,full-size,clean,automatic,truck,23500
cadillac escalade,2002,None,good,None,None,gas,None,230000,full-size,clean,automatic,SUV,4300
Garage Kept,2004,None,excellent,6 cylinders,None,gas,None,None,full-size,clean,automatic,None,1000
toyota 4runner,1986,None,good,6 cylinders,4wd,gas,custom,None,mid-size,missing,automatic,offroad,4500
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1526
Ford Victoria,2001,2FAFP71W41X172347,good,8 cylinders,rwd,gas,red,200000,full-size,clean,automatic,sedan,1399
ford crown victoria,2000,None,excellent,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,sedan,750
dodge stratus sxt,2005,1B3EL46X35N670940,excellent,4 cylinders,fwd,gas,silver,203000,mid-size,clean,automatic,sedan,1995
Ford Crown Victoria,2009,2FAHP72V69X148397,good,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,sedan,1995
nissan altima v6 3.5l 260 hp,2005,None,excellent,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1002
ford,2000,None,good,8 cylinders,None,diesel,None,None,None,clean,automatic,pickup,1900
Ford f250,2000,None,excellent,8 cylinders,None,diesel,None,None,None,clean,automatic,pickup,1900
nissan altima v6 3.5l 260 hp,2005,None,excellent,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1025
chevrolet suburban,1994,None,good,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,SUV,1200
FORD F700,1999,3FEWF801XXMA16897,None,None,None,diesel,None,173309,None,clean,manual,None,19900
Ford F450 SD,2004,1FDXF46S84ED08986,None,None,None,gas,white,182945,None,clean,automatic,None,15000
International 3000 School Bus,1992,1HVBBPLP4NH440438,None,None,None,diesel,yellow,None,None,clean,automatic,None,3750
INTERNATIONAL 4700,2000,1HTSCABM7YH256397,None,None,None,diesel,None,221728,None,clean,manual,None,14900
FREIGHTLINER CENTURY 120 DAYCAB,2000,1FUYSDZB3YPB36744,None,None,None,diesel,red,1553646,None,clean,manual,None,17500
VOLVO WT42,1999,4VGJDCRF5XN865102,None,None,None,diesel,white,None,None,clean,manual,None,10500
Jeep Wrangler Sahara,2000,None,excellent,6 cylinders,4wd,gas,custom,212005,None,clean,manual,None,7400
nissan altima,2009,None,like new,4 cylinders,fwd,gas,None,None,full-size,clean,automatic,sedan,2063
toyota 4runner,2001,None,excellent,None,None,gas,None,None,None,clean,automatic,SUV,2019
nissan altima,2009,None,like new,4 cylinders,fwd,gas,None,None,full-size,clean,automatic,sedan,2054
nissan altima,2009,None,like new,4 cylinders,fwd,gas,None,67000,None,clean,automatic,None,2000
chevrolet 1500 silverado,2014,None,None,None,None,gas,None,60000,None,clean,automatic,None,25800
Honda Accord,1999,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,500
chevy corvette,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,16000
Ford explorer,2004,None,good,6 cylinders,rwd,gas,None,123,None,clean,automatic,None,3900
Wolkswagen jetta,2006,None,good,None,None,gas,None,170,None,clean,automatic,None,3400
gmc c1500,1981,None,good,8 cylinders,rwd,gas,black,None,full-size,clean,other,other,2500
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1596
accord,2004,None,None,None,fwd,gas,None,None,None,clean,automatic,None,1045
ford expedition,2004,None,good,8 cylinders,4wd,gas,white,220000,full-size,clean,automatic,SUV,4500
Honda Odyssey Elite,2016,None,like new,6 cylinders,fwd,gas,white,19700,full-size,lien,manual,mini-van,35000
Jaguar S Type R,2003,SAJEA03V831M65278,None,8 cylinders,rwd,gas,black,99000,None,clean,automatic,None,4300
Toyota Prius,2006,None,None,None,None,hybrid,None,None,None,clean,automatic,None,4700
ford mustang,2003,None,None,None,None,gas,None,130000,None,clean,automatic,None,1300
Kia soul,2013,None,None,None,None,gas,None,88000,None,clean,automatic,None,5500
Chevy Cruze,2012,None,None,4 cylinders,None,gas,None,114000,None,clean,automatic,None,5500
Toyota Tundra,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1592
ford mustang,2003,None,fair,None,None,gas,None,130000,None,clean,automatic,None,1300
toyota tundra sr5,2007,None,None,None,None,gas,None,177000,None,clean,automatic,None,13000
chevrolet 1500 silverado,2005,None,None,None,None,gas,None,217000,None,clean,automatic,None,8000
chevrolet,1998,None,excellent,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,truck,1000
Hino,2011,None,excellent,other,rwd,diesel,white,190000,full-size,clean,manual,truck,25900
bmw 325i,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1588
Chrome Front Bumper,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,23512
nissan altima,2014,None,good,None,None,gas,white,71000,None,lien,automatic,sedan,13500
Chevrolet Express,2014,1GCSGAF41E1196875,excellent,8 cylinders,rwd,gas,white,105300,full-size,clean,automatic,van,15900
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1534
Land Rover,2013,None,excellent,None,None,gas,black,None,None,clean,automatic,None,7900
Land Rover,2013,None,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,None,7900
Dodge Ram,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
Cadillac Ctsv,2004,None,None,None,None,gas,None,79350,None,clean,manual,None,13500
Nissan Titan,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
