make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
2000 GMC Sonoma,2000,None,None,4 cylinders,rwd,gas,red,None,compact,clean,automatic,pickup,1800
dodge ram 1500,2014,None,excellent,6 cylinders,rwd,gas,black,None,full-size,clean,manual,pickup,2550
Cadillac,1985,None,good,8 cylinders,fwd,gas,blue,None,None,clean,automatic,None,2500
ram 1500 big horn QUAD CAB 4X4,2017,1C6RR7GT3HS521324,excellent,8 cylinders,4wd,gas,white,27259,full-size,clean,automatic,pickup,28500
dodge grand caravan GT,2017,2C4RDGEG2HR580413,excellent,6 cylinders,fwd,gas,black,33056,mid-size,clean,automatic,van,20500
TOYOTA CAMRY XLE hybrid,2015,4T1BD1FK6FU153541,excellent,4 cylinders,fwd,hybrid,grey,70342,mid-size,clean,automatic,sedan,16500
Dodge Caravan SXT,2007,None,excellent,6 cylinders,fwd,gas,green,170000,mid-size,clean,automatic,mini-van,2500
Toyota 4Runner,2002,None,fair,6 cylinders,rwd,gas,silver,245000,mid-size,clean,automatic,SUV,4700
buick lesabre,2001,None,excellent,6 cylinders,None,gas,None,233000,None,clean,automatic,None,1600
Ford Focus SE,2007,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,1900
hyundai elantra,2008,None,None,4 cylinders,None,gas,None,121,None,rebuilt,automatic,None,2900
toyota camry,2012,None,None,4 cylinders,None,gas,None,79,None,rebuilt,automatic,None,9000
nissan altima 2.5,2007,None,excellent,4 cylinders,fwd,gas,white,None,None,clean,automatic,sedan,4800
Mazda Tribute,2004,None,good,6 cylinders,fwd,gas,grey,240000,None,clean,automatic,SUV,5000
Mazda Tirbute,2004,None,good,6 cylinders,fwd,gas,grey,240000,None,clean,automatic,SUV,5000
Chevy El Camino,1971,None,excellent,8 cylinders,rwd,gas,red,42000,None,clean,automatic,None,20000
bmw m3,2002,None,None,None,None,gas,None,140000,None,clean,other,None,10500
Chevrolet Impala LS,2003,None,excellent,6 cylinders,fwd,gas,brown,None,full-size,clean,automatic,sedan,1900
Honda Element,2004,516YH28364L020340,good,4 cylinders,4wd,gas,black,187000,mid-size,clean,automatic,SUV,4500
Ford f350,2008,None,None,None,None,diesel,None,None,None,clean,automatic,None,23900
mercury mariner awd,2006,None,None,6 cylinders,4wd,gas,None,123000,None,clean,automatic,None,4500
Mustang GT Roush Stage 2,2000,1FAFP42X6YF307386,excellent,8 cylinders,rwd,gas,red,15500,compact,lien,manual,coupe,15000
Peterbilt 389,2010,None,good,None,None,diesel,None,None,None,clean,manual,None,59990
Bentley Continental Flying Spur,2008,None,None,None,None,gas,None,56900,None,clean,automatic,None,50000
