make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Golf,2000,None,good,None,None,gas,None,1600000,None,clean,automatic,None,800
ford bronco 2,1988,None,excellent,6 cylinders,4wd,gas,black,None,mid-size,clean,automatic,SUV,7500
Buick rendezvous,2003,None,None,None,None,gas,None,180000,None,clean,automatic,None,1800
Ford ranger,2000,None,None,None,None,gas,None,160000,None,clean,automatic,None,2900
Ford ranger,2000,None,None,None,None,gas,None,160000,None,clean,automatic,None,2900
Toyota Camry,2004,None,fair,4 cylinders,fwd,gas,red,298000,mid-size,clean,automatic,sedan,2100
toyota avalon xls,2001,None,fair,None,None,gas,silver,280000,None,parts only,automatic,None,1000
Ford,2004,None,excellent,8 cylinders,fwd,gas,white,253037,full-size,clean,automatic,van,3500
toyota tundra,2012,None,excellent,8 cylinders,rwd,gas,grey,153000,full-size,clean,automatic,truck,17299
Chevrolet Fleetline 4dr,1948,None,good,6 cylinders,rwd,gas,black,None,full-size,missing,manual,coupe,9000
toyota 4runner,2004,None,None,6 cylinders,None,gas,None,180000,None,clean,automatic,None,12500
honda civic ex,2002,None,None,4 cylinders,None,gas,None,178000,None,clean,automatic,None,2200
chevrolet tahoe,1997,None,None,None,None,gas,None,126000,None,clean,automatic,None,4450
honda,1972,None,None,None,None,gas,None,None,None,clean,manual,None,2900
Nissan Pickup,1986,jn6nd16s3gw001785,excellent,4 cylinders,rwd,gas,white,106000,mid-size,clean,manual,truck,3500
ford E-450,2005,Call,excellent,8 cylinders,rwd,diesel,white,145000,full-size,clean,automatic,van,25000
cadillac srx performance collect,2012,None,like new,6 cylinders,fwd,gas,white,101604,full-size,clean,automatic,None,15600
Chevrolet Bel Air,1957,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,41960
Izusu npr,1997,None,good,4 cylinders,rwd,diesel,white,146850,full-size,clean,automatic,other,5500
mitsubishi eclipse,2006,None,excellent,4 cylinders,None,gas,red,None,None,clean,automatic,None,3800
Chevrolet c5500 kodiak,2008,None,good,8 cylinders,4wd,diesel,white,175000,full-size,clean,automatic,truck,32000
chevy,1956,None,like new,None,None,other,None,None,None,parts only,other,None,600
honda cr-v,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,1
jeep cherokee,2008,None,None,6 cylinders,4wd,gas,None,200,None,clean,automatic,None,4950
hyundai accent,2009,None,None,4 cylinders,None,gas,None,106,None,clean,automatic,None,2950
chevy,1966,00001,like new,None,None,other,None,None,None,parts only,other,None,500
Hyundai,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Chrysler Van,2002,None,None,None,None,gas,None,169000,None,clean,automatic,None,2000
Honda Accord,2004,None,None,None,None,gas,None,172000,None,clean,manual,None,4000
bmw 330xi,2005,WBAEW53445PN36882,like new,6 cylinders,rwd,gas,black,106000,None,clean,automatic,sedan,5800
Z71,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,15000
kia soul,2015,None,excellent,4 cylinders,fwd,gas,silver,59500,compact,clean,automatic,None,11000
Chrysler,2002,None,None,None,None,gas,None,169000,None,clean,automatic,None,2000
Chevrolet,2012,None,None,6 cylinders,None,gas,None,182000,None,clean,automatic,None,4500
BMW Z4,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,8000
Buick,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,22000
Chevy,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
jeep grand cherokee limited,1997,None,fair,6 cylinders,4wd,gas,purple,None,None,clean,automatic,None,600
Bmw 525i,2001,WBADT434X1GX20636,like new,6 cylinders,rwd,gas,silver,109000,None,clean,automatic,sedan,4800
ford f-150,1999,None,None,6 cylinders,rwd,gas,green,220000,full-size,clean,manual,pickup,2800
nissan,1997,None,good,4 cylinders,None,gas,white,None,None,clean,manual,pickup,2900
Chevrolet cobalt ss,2006,1g1ap11p267658719,good,4 cylinders,fwd,gas,red,182000,compact,clean,manual,coupe,2500
dodge ram 1500 slt,1996,None,None,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,1800
Ford f150,2000,None,good,8 cylinders,4wd,gas,red,176000,None,clean,automatic,pickup,12500
hyundai elantra,2017,None,new,4 cylinders,fwd,gas,None,8500,None,clean,automatic,None,18000
chevrolet 1500 avalanche,2002,None,good,8 cylinders,4wd,gas,green,None,full-size,clean,automatic,pickup,5500
BMW Z3 M,1998,None,None,None,None,gas,None,134500,None,clean,manual,None,6500
infiniti q45,1997,JNRAR05YXVW01957,excellent,6 cylinders,4wd,gas,brown,169000,mid-size,rebuilt,automatic,SUV,3500
DODGE,2005,None,excellent,8 cylinders,4wd,gas,None,137,None,clean,automatic,None,9850
INFINITI,1999,None,None,4 cylinders,None,gas,None,153,None,clean,automatic,None,1850
FORD,2008,None,None,6 cylinders,None,gas,None,180,None,clean,automatic,None,2800
FORD,2004,None,excellent,None,None,gas,None,150,None,clean,automatic,None,4950
ford ranger,2002,None,None,6 cylinders,4wd,gas,None,208,None,clean,automatic,None,4950
nissan xterra se,2001,None,None,6 cylinders,rwd,gas,None,None,None,clean,automatic,None,3400
Ford F-250,2004,None,good,8 cylinders,4wd,diesel,None,272000,None,clean,automatic,None,10900
kia forte,2010,None,None,None,None,gas,None,None,None,clean,automatic,sedan,4000
Ford Focus,2012,1FAHP3K2XCL478210,None,None,None,gas,None,170000,None,clean,automatic,None,3600
volvo s80,2008,None,excellent,6 cylinders,rwd,gas,white,76216,mid-size,clean,automatic,sedan,7900
Chevrolet El Camino SS,1965,Xxxxxxxx,fair,8 cylinders,rwd,gas,black,133000,full-size,missing,automatic,pickup,3800
ford f150,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1400
vw dune buggy,1972,None,None,None,None,gas,None,None,None,missing,other,None,1200
saturn outlook awd,2007,None,excellent,6 cylinders,4wd,gas,blue,120000,None,clean,automatic,SUV,6700
ford f350,2013,None,None,None,None,diesel,None,None,None,clean,automatic,None,26000
Chevrolet C10,1971,None,fair,8 cylinders,fwd,gas,grey,18000,None,missing,automatic,truck,2800
volkswagen jetta gls,2001,None,good,4 cylinders,fwd,gas,green,None,compact,clean,manual,sedan,2100
jeep wrangler unlimited sahara,2010,None,None,None,None,gas,None,68000,None,clean,automatic,None,22000
dodge neon,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1250
Chevrolet C-10,1971,None,fair,8 cylinders,rwd,gas,grey,18000,None,missing,automatic,truck,2800
chevy nova,1973,None,None,None,None,gas,None,None,None,missing,manual,None,7500
Ford Taurus SEL,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Dodge RAM 1500,1996,None,excellent,8 cylinders,4wd,gas,red,241,None,clean,automatic,truck,6700
chevrolet impala,2003,2G1WF55KX39320607,good,6 cylinders,fwd,gas,white,151445,None,clean,automatic,sedan,1000
Ford E 350 Cutaway Box Truck,1998,None,good,8 cylinders,rwd,gas,yellow,207009,full-size,clean,automatic,None,3450
nissan sentra 2.0 s,2007,None,excellent,4 cylinders,None,gas,None,130000,None,clean,automatic,None,3600
dodge caravan,2004,None,good,None,None,gas,None,None,None,rebuilt,automatic,None,2500
chevy cobalt,2007,None,good,4 cylinders,fwd,gas,white,135000,compact,clean,automatic,sedan,2500
chevy cobalt,2007,None,good,4 cylinders,fwd,gas,black,116000,compact,clean,automatic,coupe,2600
Ford f-100,1965,None,None,None,None,gas,None,None,None,clean,manual,None,7500
ford f-250,1977,None,good,None,None,gas,black,None,None,clean,manual,truck,15000
international,2005,None,good,None,None,diesel,None,None,None,clean,manual,None,65000
ford f350,1986,None,None,None,None,gas,None,None,None,missing,automatic,None,15000
GMC,1993,4V2SDBCG8PR512254,None,None,None,diesel,None,None,None,clean,manual,None,25000
chevy 150,1957,None,fair,8 cylinders,rwd,gas,None,None,full-size,missing,manual,sedan,2800
