make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
trasm automatic,2004,None,good,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,truck,2055
caddilac cts,2004,None,fair,6 cylinders,rwd,gas,silver,None,mid-size,missing,automatic,sedan,1000
Chevrolet Trailblazer,2004,None,None,None,rwd,gas,None,127000,None,clean,automatic,None,2500
nissan maxima gle,2000,None,fair,None,None,gas,None,115000,mid-size,clean,automatic,None,2200
Jeep GC,2000,None,None,None,None,gas,None,None,None,salvage,automatic,None,1300
ford f150,2003,None,None,None,None,gas,None,189000,None,clean,automatic,None,3800
Dodge Ram 3500,2007,None,good,None,4wd,diesel,silver,None,full-size,clean,manual,truck,22500
ford explorer,1994,None,good,6 cylinders,4wd,gas,None,155000,mid-size,clean,automatic,None,2100
Gmc,1993,None,None,8 cylinders,4wd,gas,None,128000,None,clean,automatic,truck,3200
tacoma prerunner,2004,None,like new,None,None,gas,None,None,None,clean,automatic,None,1400
jeep cherokee xj,1998,None,good,6 cylinders,4wd,gas,black,197000,mid-size,clean,automatic,SUV,2500
chevy silverado k1500,1993,None,None,8 cylinders,rwd,gas,grey,None,None,clean,automatic,None,3750
acura rl,1999,None,good,6 cylinders,fwd,gas,custom,207000,full-size,clean,automatic,sedan,2100
smart fortwo pure cpe,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,6999
hyundai sonata,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Bluebird,2002,None,good,None,None,diesel,red,None,None,clean,automatic,bus,2800
Ford Windstar,2001,None,None,None,None,gas,None,203000,None,clean,automatic,None,1000
mazda miata mx-5,2007,None,like new,None,None,gas,red,69812,None,clean,automatic,convertible,10500
toyota corolla le,2000,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,sedan,1250
Lexus sc400,1992,None,excellent,8 cylinders,rwd,gas,None,70129,None,clean,automatic,None,3200
chevy malibu lt,2010,None,None,4 cylinders,None,gas,None,139000,None,clean,automatic,None,4500
saturn,1996,None,fair,4 cylinders,rwd,gas,red,318000,compact,clean,manual,coupe,600
nissan xterra,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
For Taurus,2006,None,fair,None,None,gas,None,None,None,clean,automatic,None,500
Chevrolet Corvette,1979,1Z8789S431918,good,8 cylinders,rwd,gas,red,76533,full-size,clean,automatic,coupe,14000
land rover range rover evoque,2012,None,excellent,4 cylinders,4wd,gas,silver,87000,None,clean,automatic,SUV,22750
jeep wrangler,1997,None,excellent,4 cylinders,4wd,gas,white,None,full-size,clean,manual,offroad,1455
Chevy Corvette,1999,None,excellent,8 cylinders,rwd,gas,red,94000,None,clean,automatic,None,11400
honda odyssey 5dr ex-l,2010,None,like new,6 cylinders,None,gas,white,None,full-size,clean,automatic,van,15750
mini cooper,2004,None,excellent,4 cylinders,fwd,gas,green,150000,compact,clean,manual,hatchback,3600
Piloti,2017,None,None,None,None,other,None,None,None,clean,other,other,20
toyota celica gts,2002,None,None,4 cylinders,fwd,gas,silver,179000,compact,clean,automatic,None,2500
ford f-150,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
mini cooper hardtop s,2007,None,excellent,4 cylinders,fwd,gas,grey,113800,compact,clean,automatic,hatchback,1500
drive great,1992,None,excellent,12 cylinders,None,diesel,None,None,None,clean,automatic,truck,1509
Pontiac AZTEK A.W.D,2002,See photos,excellent,6 cylinders,4wd,gas,white,168000,mid-size,clean,automatic,SUV,3500
ford ranger,1983,1FTBR10A4DUA71715,fair,4 cylinders,rwd,gas,blue,270,compact,clean,automatic,pickup,1000
Subaru Forester,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,22000
cadillac escalade,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
Chevrolet C3500-HD,2000,1GBKC34J5YF486001,good,8 cylinders,rwd,gas,white,158979,full-size,clean,automatic,truck,3500
Toyota MR2 Sport Roof,1992,X8308618189,good,4 cylinders,rwd,gas,yellow,172000,compact,clean,manual,coupe,4000
jeep lifted wrangler unlimited,2008,None,None,None,4wd,gas,silver,92741,None,lien,manual,None,16500
honda accord,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,600
chevrolet traverse,2016,None,None,None,None,gas,None,None,None,lien,automatic,None,26000
gmc 1500 sierra,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6800
Internation 410,1952,None,None,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,truck,19000
ford mustang gt,2009,None,like new,8 cylinders,rwd,gas,black,23000,full-size,clean,automatic,coupe,18500
chevrolet corvette,2003,None,excellent,8 cylinders,rwd,gas,red,81166,mid-size,clean,manual,convertible,14900
Chevy Fleetline,1951,None,good,8 cylinders,rwd,gas,purple,None,full-size,clean,automatic,coupe,13500
Chevrolet K10,1971,None,good,8 cylinders,4wd,gas,blue,None,None,clean,automatic,pickup,15000
Chevy elcamino,1981,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Nissan altima,2004,None,good,4 cylinders,None,gas,None,230000,None,clean,automatic,None,650
Jeep CJ,1948,None,None,None,None,gas,None,None,None,clean,manual,None,8500
lexus rx400h,2006,None,like new,6 cylinders,4wd,gas,None,121000,None,clean,automatic,None,7800
Chevy Impala,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
dodge magnum,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
chevrolet monte carlo ss,2001,None,fair,6 cylinders,fwd,gas,None,180000,None,clean,automatic,None,900
Gmc sonoma,1997,None,good,None,rwd,gas,green,None,None,clean,manual,pickup,450
chevrolet suburban,2007,None,None,8 cylinders,4wd,gas,None,113500,None,clean,automatic,None,9600
Ford f 350,2006,None,good,10 cylinders,4wd,diesel,silver,135000,full-size,lien,automatic,truck,15000
Chevrolet Tahoe Z71,2003,None,good,8 cylinders,4wd,gas,white,169500,None,clean,automatic,None,5500
honda oddysey,2006,None,excellent,None,None,gas,None,202000,None,clean,automatic,mini-van,5000
honda accord lx,2011,None,None,None,None,gas,silver,None,full-size,clean,automatic,None,10600
Chevy Prism,2001,None,good,4 cylinders,fwd,gas,green,98900,mid-size,clean,automatic,sedan,800
Mercedes Benz,2010,4JGBB2FB8AA603308,like new,6 cylinders,4wd,diesel,black,137280,sub-compact,clean,automatic,SUV,12300
ford f-250,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
honda crx,1985,xxxxxxxxxxxxx,good,4 cylinders,fwd,gas,blue,00000000000,sub-compact,clean,automatic,coupe,1100
pontiac g6,2010,None,None,None,None,gas,None,None,None,clean,automatic,sedan,3995
Ford Taurus SEL,2013,None,excellent,6 cylinders,fwd,gas,silver,52000,None,clean,automatic,sedan,13000
chevy silverado,2005,None,None,8 cylinders,4wd,gas,None,113000,None,clean,automatic,None,7400
Ford ranger edge,2001,None,good,None,None,gas,None,97000,None,clean,automatic,None,2200
ford explorer sport trac,2005,None,None,None,4wd,gas,None,110000,None,clean,automatic,None,5700
honda accord,2009,None,excellent,4 cylinders,fwd,gas,black,67500,full-size,clean,automatic,sedan,1943
chevy trailblazer,2005,None,None,6 cylinders,4wd,gas,None,156001,None,clean,automatic,None,4000
honda civic,1998,None,None,None,None,gas,None,171071,None,clean,automatic,None,1400
Chevrolet Equinox LT,2005,None,like new,6 cylinders,None,gas,None,142000,None,clean,automatic,None,3950
Mazda Mazda 6,2007,None,like new,6 cylinders,None,gas,None,129000,None,clean,automatic,None,3900
Nissan Altima 2.5S,2007,None,like new,4 cylinders,None,gas,None,99000,None,clean,automatic,None,5900
chevrolet 1500 silverado,1996,None,good,8 cylinders,rwd,gas,blue,138000,None,clean,automatic,None,4500
ford f-150,1978,None,good,8 cylinders,rwd,gas,blue,144000,full-size,clean,automatic,pickup,3550
chevrolet apache,1959,None,good,8 cylinders,4wd,gas,blue,None,full-size,clean,manual,pickup,8200
Cadillac Deville DHS,2003,None,excellent,None,None,gas,None,119000,None,clean,automatic,None,2800
audi a6 quattro,2000,None,fair,6 cylinders,4wd,gas,silver,128000,full-size,clean,automatic,sedan,1000
jeep cherokee,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
regular maintenance,2012,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,3054
Chevy Corvette,2014,None,like new,8 cylinders,rwd,gas,white,26,None,clean,automatic,coupe,43500
ford escape,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
chevrolet express 1500 van,2004,None,good,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,van,2900
Ford Escort,1998,None,good,4 cylinders,fwd,gas,black,200000,compact,clean,manual,coupe,1400
Nissan Xterra,2005,None,excellent,6 cylinders,4wd,gas,brown,119408,mid-size,clean,automatic,SUV,5500
ford explorer,2004,None,None,None,None,gas,None,153000,None,clean,automatic,None,2200
Any,1900,None,None,None,None,other,None,144000,None,clean,other,None,800
Lariat,2004,None,like new,8 cylinders,4wd,gas,blue,None,full-size,clean,automatic,truck,1999
Lincoln LS,2005,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,2500
Harley Davidson Street Bob FXDBI,2006,None,excellent,other,None,gas,black,7000,None,clean,manual,None,7500
bmw 325,1987,None,fair,6 cylinders,rwd,gas,blue,134000,mid-size,clean,manual,sedan,1500
mercedes-benz r350,2006,None,good,6 cylinders,None,gas,silver,137000,None,clean,automatic,None,6800
Ford Excursion,2000,None,good,10 cylinders,4wd,gas,brown,166165,full-size,clean,automatic,SUV,4200
rav4 toyota,2004,None,None,None,None,gas,None,204000,None,clean,automatic,None,3750
