make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
buick lucerne,2017,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1200
Chevy 454SS,1990,None,None,None,None,gas,None,169000,None,clean,automatic,None,4500
buick century,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,900
Chevrolet Avalanche,2008,None,good,8 cylinders,4wd,gas,black,205697,full-size,clean,automatic,truck,10000
2005 Dodge Ram,2005,None,good,8 cylinders,rwd,gas,None,153300,compact,clean,automatic,truck,4800
chrysler 300c,2006,None,excellent,8 cylinders,rwd,gas,blue,146000,compact,clean,automatic,sedan,6300
Welder,1990,None,good,None,None,other,None,None,None,clean,other,None,250
ford f250,2008,None,excellent,10 cylinders,4wd,gas,red,107000,full-size,clean,automatic,truck,20000
Mazda B3000 TL,1999,None,good,6 cylinders,rwd,gas,black,None,mid-size,clean,automatic,None,3000
toyota 4runner,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1550
Pontiac Grand Prix,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
nissan quest 3.5 s,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
ford f-250 super duty,2000,None,excellent,8 cylinders,4wd,gas,None,223000,full-size,clean,automatic,truck,5500
pontiac g6 gt,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
ford transit connect van,2012,xxxxxxxxxxxxx,good,4 cylinders,fwd,gas,red,99321,compact,lien,automatic,None,8995
1500 ram,2013,None,good,None,None,gas,None,None,None,lien,automatic,None,30000
Ford Expedition Limited,2014,None,excellent,8 cylinders,4wd,gas,white,66000,full-size,clean,automatic,None,29900
jeep wrangler,1997,None,excellent,4 cylinders,4wd,gas,None,None,None,clean,automatic,None,6800
jeep cj7,1983,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
ford focus se 4dr sedan,2009,1FAHP35N29W212144,excellent,4 cylinders,fwd,gas,white,88700,None,clean,automatic,None,3780
ford f-150,2008,None,excellent,8 cylinders,4wd,gas,black,103000,full-size,clean,automatic,pickup,13500
Ford vic,1997,None,fair,None,None,gas,None,None,None,clean,automatic,None,1000
Chevrolet Malibu LT,2007,None,None,4 cylinders,fwd,gas,None,89674,mid-size,rebuilt,automatic,sedan,4800
Ford Focus SE sedan,2010,None,None,4 cylinders,fwd,gas,silver,97629,compact,rebuilt,automatic,sedan,4650
toyota corolla base,1996,None,None,4 cylinders,fwd,gas,blue,220000,None,clean,automatic,sedan,1300
dodge dakota,2000,None,good,None,None,gas,None,102188,None,clean,automatic,None,3750
Ford Explorer XLT,2003,None,good,8 cylinders,4wd,gas,red,133500,mid-size,clean,automatic,SUV,3000
Chevrolet Camaro Z28,1994,2G1FP22P7R2103478,good,8 cylinders,rwd,gas,green,164759,None,clean,automatic,coupe,1500
bmw 528i,2008,None,None,None,None,gas,None,136000,None,clean,automatic,None,6000
Chevy astro,2000,None,good,6 cylinders,rwd,gas,white,235000,mid-size,clean,automatic,van,900
Dodge Ram SS/T,1997,None,fair,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,truck,2500
chevy silverado 1500,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,800
chevy silverado 1500 4x4,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
butler mfg tilt trailer,1997,None,None,None,None,other,None,None,None,clean,other,None,1600
toyota camry LE,2005,None,excellent,None,None,gas,None,None,None,clean,automatic,None,4500
chevrolet silverado,2000,None,excellent,8 cylinders,rwd,gas,custom,200000,full-size,clean,automatic,truck,12500
cadillac cts,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2100
jeep wrangler,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,5250
Ford Thunderbird,1970,None,None,None,None,gas,None,63000,None,clean,automatic,None,5500
honda civic coupe,2006,None,good,4 cylinders,None,gas,silver,170000,compact,clean,automatic,coupe,2000
Buick,1989,Unknown,fair,6 cylinders,fwd,gas,white,None,compact,salvage,automatic,None,300
dodge van  2500,2001,None,fair,8 cylinders,None,gas,white,131885,full-size,clean,automatic,van,3000
