make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
great acadia 4x4,2008,None,good,6 cylinders,None,gas,silver,None,full-size,clean,automatic,None,25
GMC Sanoma,2001,None,excellent,6 cylinders,4wd,gas,red,189943,full-size,clean,automatic,pickup,2900
Honda Odyssey EXL,2007,None,excellent,6 cylinders,fwd,gas,blue,127140,full-size,clean,automatic,mini-van,5995
Ford Fusion SE,2008,None,excellent,6 cylinders,fwd,gas,red,148942,compact,clean,automatic,sedan,3400
Toyota Sienna XLE,2009,None,excellent,6 cylinders,fwd,gas,white,161162,full-size,clean,automatic,mini-van,6900
Ford F-150 XLT,2004,None,excellent,8 cylinders,4wd,gas,blue,162992,full-size,clean,automatic,pickup,6995
Jeep Liberty 4X4,2006,None,good,6 cylinders,4wd,gas,blue,172963,full-size,clean,automatic,SUV,2995
dodge caravan,2000,None,good,6 cylinders,fwd,gas,silver,None,mid-size,clean,automatic,None,1500
Nissan Sentra SR,2013,None,like new,4 cylinders,fwd,gas,white,46700,mid-size,clean,automatic,None,8995
pontiac g6 gt,2006,None,excellent,6 cylinders,fwd,gas,white,None,compact,clean,automatic,None,2699
lincoln navigator,2003,None,fair,None,None,gas,black,151000,None,clean,automatic,SUV,2000
cadillac deville,2002,None,None,None,None,gas,None,90000,None,clean,automatic,None,800
cadillac eldorado,1993,None,None,None,None,gas,None,90000,None,clean,automatic,None,500
toyota tundra,2005,None,like new,8 cylinders,rwd,gas,red,171000,full-size,clean,automatic,truck,9650
Chevy broham,1989,None,excellent,None,None,gas,None,None,None,clean,automatic,None,6500
chevrolet trailblazer,2004,None,None,6 cylinders,None,gas,None,130000,None,clean,automatic,None,2900
dodge durango,2000,None,fair,8 cylinders,4wd,gas,black,220000,compact,clean,automatic,truck,350
dodge ram 1500 van,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,4200
Dodge/  uscargo,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Chevy dually,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Ford Focus,2004,None,good,4 cylinders,fwd,gas,yellow,165,compact,clean,manual,coupe,1800
Ford Ranger XLT,1988,None,salvage,8 cylinders,rwd,gas,blue,199,mid-size,parts only,automatic,truck,1000
