make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
buick,2006,None,good,None,None,gas,None,None,None,clean,automatic,sedan,2000
chevy,1971,None,good,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,pickup,1234567
buick lesabre custom,2004,None,good,6 cylinders,fwd,gas,custom,190000,full-size,clean,automatic,sedan,2000
Oldsmobile Delta 2 Door Hard Top,1973,None,good,8 cylinders,rwd,gas,silver,93000,full-size,clean,automatic,coupe,6500
chevrolet 1500 silverado,2006,None,good,None,4wd,gas,None,206000,None,clean,automatic,None,5900
Camaro,2011,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,15500
chevrolet 2500,1999,None,good,None,None,gas,white,159800,compact,clean,automatic,pickup,2100
Gmc,2003,None,excellent,8 cylinders,None,gas,None,170000,None,clean,automatic,None,6999
RAM 1500,2004,None,None,8 cylinders,rwd,gas,None,127000,None,clean,automatic,None,5200
Chevy,1985,None,None,None,None,gas,None,None,None,clean,manual,None,4500
Ford,1997,None,None,None,4wd,diesel,None,180000,None,clean,manual,None,9500
Pontiac,1955,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
International,1996,None,None,None,None,diesel,None,None,None,clean,manual,None,4750
Ford mustang Mach 1,2003,None,good,8 cylinders,rwd,gas,red,96000,None,clean,manual,None,11000
ford f-150,2011,None,good,6 cylinders,4wd,gas,None,86660,None,clean,automatic,None,22900
pontiac g6,2008,None,None,None,None,gas,None,148500,None,clean,automatic,None,3500
Chevrolet,2014,None,like new,8 cylinders,None,gas,None,130000,None,clean,automatic,None,21900
Chevrolet,1994,None,good,8 cylinders,fwd,diesel,black,190000,full-size,clean,manual,pickup,5500
ACURA TL,2004,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1000
kia forte,2010,None,excellent,4 cylinders,fwd,gas,grey,66000,mid-size,clean,automatic,sedan,7500
kia sedona,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
dodge ram 1500,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Geo Prizm,1996,None,None,None,None,gas,None,None,None,missing,automatic,None,400
Chevrolet Equinox,2013,None,excellent,None,None,gas,silver,56000,None,clean,automatic,None,11000
chevrolet silverado 1500 lt 4x4,2013,None,excellent,None,4wd,gas,blue,71900,None,clean,automatic,None,23900
nissan versa sl,2012,None,excellent,None,None,gas,black,40000,None,clean,automatic,None,7900
gmc 1500 sierra,2005,None,good,8 cylinders,4wd,gas,black,163000,full-size,clean,automatic,pickup,6000
ford f-250,1994,None,good,8 cylinders,4wd,gas,red,187200,full-size,clean,manual,truck,5500
Ford f-150,2004,None,good,8 cylinders,rwd,gas,black,104000,full-size,rebuilt,automatic,None,4500
mazda tribute,2003,None,excellent,6 cylinders,4wd,gas,red,219000,compact,clean,automatic,SUV,1999
ford f-150,2002,None,good,8 cylinders,4wd,gas,red,None,full-size,clean,automatic,truck,2500
Toyota pickup,1995,4tavn13dxsz325938,good,6 cylinders,4wd,gas,green,116,mid-size,clean,automatic,pickup,5200
chevy caprice classic,1988,None,None,None,None,gas,None,None,None,clean,automatic,None,4200
Chevrolet,1970,None,fair,8 cylinders,rwd,gas,blue,None,full-size,clean,manual,truck,1000
Ford Coupe,1932,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,22500
honda civic,2002,None,good,4 cylinders,fwd,gas,black,1780000,None,clean,automatic,coupe,2000
ford f150 lariat,2010,None,excellent,8 cylinders,4wd,gas,black,68000,None,clean,automatic,None,19900
Mazda 626,2001,None,None,6 cylinders,fwd,gas,None,151000,None,clean,automatic,None,2150
Chrysler town &amp; country,2001,None,good,None,None,gas,None,168000,None,clean,automatic,None,1000
ford taurus,1999,None,good,6 cylinders,fwd,gas,blue,160000,full-size,missing,automatic,sedan,800
chevrolet equinox,2010,None,good,6 cylinders,4wd,gas,red,None,None,clean,automatic,None,10900
