make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
maxima,2004,None,excellent,6 cylinders,fwd,gas,blue,None,None,clean,automatic,None,1400
Fiat 500L,2014,None,excellent,None,None,gas,white,47230,None,clean,automatic,hatchback,10000
chevrolet malibu,2005,None,None,4 cylinders,fwd,gas,None,176000,None,salvage,automatic,sedan,800
chrysler sebring convertible,1997,None,None,6 cylinders,fwd,gas,None,128435,None,clean,automatic,convertible,500
camry,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1050
Dodge Ram,2001,None,None,None,None,diesel,None,223000,None,clean,manual,None,10000
Doge 2500,1998,None,fair,6 cylinders,4wd,diesel,None,None,None,clean,automatic,None,9250
acura integra gs,1998,None,good,4 cylinders,fwd,gas,black,166000,compact,clean,manual,None,2000
pontiac parisienne,1984,None,excellent,None,None,gas,None,120933,full-size,clean,automatic,None,4000
jeep grand cherokee,1994,None,fair,6 cylinders,4wd,gas,grey,165000,None,clean,automatic,None,1500
mini cooper convertible,2005,None,excellent,4 cylinders,fwd,gas,red,89000,compact,clean,manual,convertible,7999
ford edge sel,2007,None,excellent,6 cylinders,fwd,gas,orange,113000,mid-size,clean,automatic,SUV,8300
chevrolet equinox lt awd,2012,None,excellent,6 cylinders,None,gas,white,120000,mid-size,clean,automatic,SUV,11800
dodge dakota sport,1998,None,good,8 cylinders,4wd,gas,red,89750,None,clean,automatic,pickup,3750
Toyota Prius II,2010,JTDKN3DU7A0190986,good,4 cylinders,fwd,hybrid,red,134500,compact,clean,automatic,None,7500
Ford Collins School Bus,1997,1FDLE47F7VHA66775,good,8 cylinders,rwd,diesel,blue,108464,None,clean,automatic,bus,12000
Chevrolet Malibu Limited LT,2016,None,like new,4 cylinders,fwd,gas,white,14000,full-size,clean,automatic,sedan,18500
Dodge Stratus,2005,None,good,4 cylinders,fwd,gas,grey,135000,compact,rebuilt,automatic,sedan,1500
silverado,1998,None,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,None,1011
toyota  tacoma trd sport,2017,3tmdz5bnohmo14468,excellent,None,4wd,gas,white,6200,None,clean,automatic,pickup,35500
smart fortwo pure cpe,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,6999
ford transit connect van,2016,1FTYE1YM11GKA9738,excellent,6 cylinders,fwd,gas,white,2000,mid-size,salvage,automatic,van,8950
chrysler aspen,2008,None,good,8 cylinders,4wd,gas,white,132000,full-size,clean,automatic,SUV,8000
chevy s10 pickup,2002,None,None,4 cylinders,rwd,gas,None,None,None,clean,manual,None,1000
Honda rav4,2009,None,None,None,None,gas,None,96500,None,clean,automatic,None,9500
GMC Yukon SLT,2007,None,excellent,8 cylinders,4wd,gas,brown,211000,full-size,clean,automatic,SUV,10900
honda accord ex,2009,None,excellent,4 cylinders,fwd,gas,blue,69000,None,clean,automatic,None,9300
chevy s-10 blazer,1997,None,good,6 cylinders,4wd,gas,green,None,None,clean,automatic,SUV,2000
chevy blazer,1998,None,good,None,None,gas,None,155000,None,salvage,automatic,None,1600
Honda accord,1992,None,None,None,None,gas,None,None,None,clean,manual,None,700
ford f-250,2002,None,fair,8 cylinders,4wd,gas,green,138000,full-size,clean,manual,truck,650
Ford F150 king ranch,2007,None,excellent,8 cylinders,4wd,gas,brown,32000,None,clean,automatic,truck,20000
2013 kia forte,2013,KNAFU4A26D5730197,excellent,4 cylinders,fwd,gas,silver,67500,compact,salvage,automatic,None,5500
Ford Galaxy 500,1973,None,excellent,8 cylinders,rwd,gas,red,96000,full-size,clean,automatic,coupe,6000
Hyundai SantaFe,2009,None,excellent,4 cylinders,None,gas,blue,153000,None,clean,automatic,None,4100
chrysler 300M,1999,None,fair,6 cylinders,fwd,gas,silver,219000,full-size,clean,automatic,sedan,600
chevrolet equinox,2011,None,excellent,6 cylinders,4wd,gas,black,84000,mid-size,clean,automatic,None,10500
chevrolet monte carlo,1982,None,None,None,None,gas,None,None,None,clean,automatic,None,850
chevy,1970,None,None,None,None,electric,None,None,None,clean,automatic,None,100
ford f-150,1996,None,excellent,8 cylinders,4wd,gas,blue,160000,full-size,clean,automatic,pickup,4500
pontiac bonneville sle,2000,None,good,6 cylinders,fwd,gas,silver,244000,None,clean,automatic,sedan,1100
chrysler,1991,None,excellent,6 cylinders,fwd,gas,red,None,mid-size,clean,automatic,None,2500
Chevrolet corvette,1988,None,None,None,None,gas,None,98000,None,clean,automatic,None,8000
