make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Chev camaro rs,1996,None,good,None,None,gas,None,None,None,clean,automatic,None,3950
Jeep Wrangler YJ,1991,None,None,None,None,gas,None,None,None,clean,manual,None,4500
chevrolet monte carlo ss,2003,None,good,None,None,gas,None,116000,None,clean,automatic,None,3500
chevrolet s10,1995,None,good,4 cylinders,rwd,gas,None,None,None,clean,manual,None,2980
Ford F-150,2005,None,good,8 cylinders,4wd,gas,red,178000,None,clean,automatic,None,9500
buick century,2003,None,None,None,None,gas,None,138000,None,clean,automatic,None,2300
Toyota Sienna le,2006,None,good,None,None,gas,None,199700,None,clean,automatic,None,4800
Dodge truck,1982,None,fair,8 cylinders,rwd,gas,red,68000,full-size,clean,automatic,pickup,1600
chevy tahoe,2005,None,excellent,8 cylinders,4wd,gas,black,146000,full-size,clean,automatic,None,9000
Chevy blazer,1992,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
Chevy short bed,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
chevrolet corvette,1974,None,None,None,None,gas,None,None,None,clean,automatic,None,24000
Ford F-150 4x4,2002,None,None,None,None,gas,None,None,None,salvage,automatic,None,7200
mazda tribute,2004,None,None,None,None,gas,None,179000,None,clean,manual,None,4500
cadillac CTS,2007,None,excellent,None,None,gas,blue,114000,full-size,clean,automatic,sedan,4800
ford mustang,2004,None,excellent,8 cylinders,None,gas,red,116000,None,clean,manual,None,7500
pontiac grand prix,2007,None,excellent,None,None,gas,None,160000,None,clean,automatic,None,3450
jeep wrangler,1997,None,excellent,None,None,gas,None,147325,None,clean,automatic,None,6800
Chevy 1500,2000,None,excellent,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,1500
GMC Jimmy,1999,None,fair,6 cylinders,4wd,gas,green,174000,mid-size,missing,automatic,SUV,700
Jeep Wrangler Unlimited  Willys,2017,None,excellent,6 cylinders,4wd,gas,black,7500,None,clean,automatic,None,1
jeep grand cherokee 4x4,2014,None,excellent,None,4wd,diesel,silver,86000,None,clean,automatic,None,25000
Ford Excursion,2003,None,good,8 cylinders,4wd,diesel,red,200000,None,clean,automatic,SUV,14900
nissan titan,2005,None,None,None,None,gas,None,150000,None,clean,automatic,None,10000
ford f150,1994,None,fair,6 cylinders,rwd,gas,red,144000,full-size,clean,manual,None,1800
Plymouth Sundance,1994,None,fair,4 cylinders,fwd,gas,green,197000,compact,clean,manual,hatchback,1800
Chevy z28 camaro,1991,None,good,8 cylinders,rwd,gas,red,118000,compact,clean,automatic,convertible,5500
chevy 1500,1998,None,good,6 cylinders,None,gas,None,160000,None,clean,automatic,None,3500
Chrysler 300 Touring,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,6850
Ford F250,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,16000
Jeep Commando,1971,8705F17075053,good,6 cylinders,4wd,gas,green,None,mid-size,clean,automatic,SUV,3900
audi tt coupe quattro,2003,None,excellent,4 cylinders,4wd,gas,blue,None,None,clean,manual,None,5100
toyota tundra,2017,None,excellent,None,None,gas,grey,None,None,clean,automatic,None,42000
Ford F-250,2017,None,None,None,None,diesel,None,None,None,clean,automatic,None,75000
Dodge ram sport,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,600
chevrolet corvette,1982,None,excellent,8 cylinders,rwd,gas,None,37700,None,clean,automatic,None,12000
caddilac cts,2006,None,None,None,None,gas,None,218000,None,clean,automatic,None,2100
Chevy C10,1971,None,excellent,8 cylinders,rwd,gas,blue,None,None,clean,automatic,truck,19500
FORD FOCUS SES,2009,1FAHP36N19W215793,excellent,4 cylinders,fwd,gas,black,94900,None,rebuilt,automatic,None,3900
Wrangler,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,16755
chevrolet s-10,2002,None,good,6 cylinders,4wd,gas,black,210000,mid-size,clean,automatic,None,3200
Chevrolet Trailblazer,2004,None,good,6 cylinders,4wd,gas,black,243209,full-size,clean,automatic,SUV,3000
Toyota Camry SE,2011,4T1BF3EK0BU184110,good,4 cylinders,fwd,gas,black,143000,None,clean,automatic,sedan,6900
chevy silverado,2014,None,excellent,8 cylinders,rwd,gas,silver,10550,None,clean,automatic,truck,11000
Volkswagen Touareg,2010,WVGBF7A91AD00342,None,6 cylinders,4wd,gas,silver,105000,None,clean,automatic,None,11500
chevy trailblazer,2002,None,good,6 cylinders,4wd,gas,red,None,full-size,clean,automatic,SUV,3500
Toyota Tacoma SR5 TRD,2006,5TELU42N96Z266367,None,6 cylinders,rwd,gas,silver,177000,None,clean,automatic,pickup,13900
Ford Expedition Limited,2007,None,excellent,8 cylinders,4wd,gas,grey,262000,full-size,clean,automatic,SUV,8900
bmw 528i,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
Dodge 3500,1994,None,None,None,None,diesel,None,None,None,clean,automatic,None,9000
toyota camry,1998,None,fair,4 cylinders,fwd,gas,blue,None,sub-compact,clean,automatic,sedan,475
ford mustang gt,2005,None,good,8 cylinders,rwd,gas,silver,39000,full-size,lien,manual,coupe,10500
dodge durango,2000,None,excellent,None,None,gas,None,193000,None,clean,automatic,None,2200
Dodge Ram 2500,2008,None,good,None,rwd,gas,yellow,None,full-size,clean,automatic,None,2500
nissan altima,2003,1n4bi11d13c169248,fair,6 cylinders,fwd,gas,blue,230285,mid-size,clean,automatic,sedan,1250
Jeep wrangler,2010,None,None,None,None,gas,black,167000,None,clean,automatic,None,15000
ford escape,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
Chevy Caprice PPV,2012,None,like new,8 cylinders,rwd,gas,white,73000,full-size,lien,automatic,sedan,14000
toyota avalon,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,15959
GMC,2012,None,None,None,None,gas,None,18700,None,clean,automatic,None,15000
Chevy C10,1972,None,excellent,8 cylinders,rwd,gas,orange,None,compact,clean,automatic,pickup,32500
chevrolet silverado 1500 lt 4x4,2001,None,excellent,8 cylinders,4wd,gas,None,137220,full-size,clean,automatic,pickup,9800
Chevrolet Tahoe LT 2wd,1999,None,excellent,None,rwd,gas,None,None,None,clean,automatic,None,2700
toyota camry se 4dr sedan,2013,None,excellent,4 cylinders,fwd,gas,black,70000,None,clean,automatic,sedan,13000
cadillac srx,2011,None,excellent,6 cylinders,fwd,gas,white,120000,mid-size,clean,automatic,SUV,11000
Chevy Camaro,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,20000
pontiac bonnevile,1970,None,good,8 cylinders,rwd,gas,black,50600,None,clean,automatic,None,9500
chevy metro,1999,None,good,3 cylinders,fwd,gas,purple,None,compact,clean,manual,coupe,1700
plymouth belvedere 2 dr post,1962,None,fair,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,7800
mercury villager,2000,None,good,6 cylinders,fwd,gas,white,None,compact,clean,automatic,van,2775
Acura Legend,1992,None,like new,6 cylinders,fwd,gas,red,109000,mid-size,clean,automatic,sedan,3475
Chevrolet Corvette Z06,2012,None,None,None,None,gas,None,None,None,clean,manual,None,46850
ford coupe,1947,None,None,None,None,gas,None,None,None,clean,manual,None,13500
Chevy,1957,None,None,None,None,gas,None,None,None,clean,automatic,None,13800
Chevy,1962,None,None,None,None,gas,None,None,None,missing,automatic,None,2850
ford coupe,1947,None,None,None,None,gas,None,None,None,clean,manual,None,13500
ford coupe,1947,None,None,None,None,gas,None,None,None,clean,manual,None,13500
chevrolet impala,2011,None,excellent,6 cylinders,fwd,gas,white,147651,None,clean,automatic,None,7000
Heated Seats,2006,None,like new,None,fwd,gas,None,None,full-size,clean,automatic,sedan,1500
ford f150,2001,None,None,8 cylinders,4wd,gas,None,160000,None,clean,manual,None,6500
Gmc Arcadia,2007,None,excellent,None,None,gas,white,107000,None,clean,automatic,None,11000
Hyundai Tiburon,2005,None,good,None,None,gas,None,None,compact,clean,automatic,coupe,3500
AMC /AMX,1970,None,None,8 cylinders,rwd,gas,silver,None,None,clean,automatic,None,45000
Chevy C/30,1969,None,good,6 cylinders,rwd,gas,orange,None,full-size,clean,manual,pickup,2000
Toyota Corolla,2009,None,good,4 cylinders,fwd,gas,red,108000,compact,clean,automatic,sedan,6600
ford f-150,1994,None,None,6 cylinders,None,gas,None,140000,None,clean,automatic,None,800
nissan versa 1.8 s,2010,None,excellent,4 cylinders,fwd,gas,silver,64000,compact,clean,automatic,hatchback,5895
H3 Hummer,2006,None,good,5 cylinders,4wd,gas,yellow,140600,None,clean,automatic,None,8500
1996 Dodge Ram 1500,1996,None,excellent,8 cylinders,rwd,gas,red,156000,None,clean,automatic,pickup,4450
cadillac dts,2002,None,None,None,None,gas,None,117000,None,clean,automatic,None,2700
Toyota 4Runner,1997,None,fair,6 cylinders,4wd,gas,None,354000,mid-size,clean,automatic,SUV,2400
Chevy Impala,1964,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,coupe,24000
Ford Mustang GT,2003,None,good,8 cylinders,rwd,gas,black,158437,None,clean,automatic,coupe,3500
Chevy express 2500,2010,None,None,8 cylinders,None,gas,None,186000,None,clean,automatic,None,7950
Chevy silverado,2005,None,None,None,None,gas,None,164000,None,rebuilt,automatic,None,6900
ford taurus se,1998,1FAFP52U9WA212360,fair,6 cylinders,fwd,gas,white,160666,mid-size,clean,automatic,sedan,950
Mercury Capri,1991,None,fair,4 cylinders,None,gas,grey,64630,compact,clean,manual,None,3200
Toyota Sienna,2005,None,good,6 cylinders,fwd,gas,None,150000,None,clean,automatic,None,4600
audi a6 quattro,2000,None,None,None,None,gas,None,None,None,salvage,automatic,None,2200
bmw x5 xdrive35i,2013,None,None,None,None,gas,None,None,None,lien,automatic,None,26900
Ford Freestar,2007,None,good,6 cylinders,fwd,gas,None,210034,mid-size,clean,automatic,None,2700
Toyota 4runner,1997,None,excellent,6 cylinders,4wd,gas,None,215000,None,clean,automatic,None,6500
mazda miata mx-5,2011,None,excellent,None,None,gas,blue,43300,None,clean,automatic,convertible,14000
dodge ram 2500,2003,None,None,None,None,diesel,None,230000,None,clean,manual,None,5000
chrysler pt cruiser,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,750
Ford Edge,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,25000
GMC SIERRA,1985,None,good,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,truck,1600
ford escape,2009,None,excellent,4 cylinders,fwd,gas,black,None,mid-size,clean,automatic,SUV,7000
nissan maxima,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
Chevy,1957,None,fair,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,coupe,6999
Chevy Impala,1964,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,coupe,24000
Ford f150,1995,1277759,good,8 cylinders,4wd,gas,green,150000,full-size,clean,automatic,pickup,2300
Sierra 2500 Z71,2016,None,excellent,None,None,diesel,None,None,None,clean,automatic,None,20811
vw passat wagon,2003,None,good,6 cylinders,None,gas,green,157000,full-size,clean,automatic,None,2700
mazda mazdaspeed 3,2013,JM1BL1L34D1756121,excellent,4 cylinders,fwd,gas,black,60000,compact,lien,manual,hatchback,15000
GMC Envoy,2003,None,excellent,None,4wd,gas,blue,177000,None,clean,automatic,SUV,3000
chevrolet suburban,1989,None,None,None,None,gas,None,145000,None,clean,automatic,None,1700
