make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f-150,2013,None,like new,8 cylinders,4wd,gas,green,17000,full-size,rebuilt,automatic,pickup,29500
GMC 1500 Sierra Crew Cab,2010,AS543176578BX2987,like new,8 cylinders,4wd,gas,white,158000,full-size,clean,automatic,pickup,1
nissan maxima,2005,None,good,6 cylinders,None,gas,white,1350000,mid-size,clean,automatic,sedan,3700
cadillac escalade esv,2012,None,excellent,8 cylinders,4wd,gas,silver,90000,None,clean,automatic,None,24900
Honda Accord EX-L,2010,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,3000
Nissan,2004,None,None,None,None,gas,None,None,None,clean,manual,None,7
Chevrolet k1500,1998,None,good,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,pickup,3500
chevy silverado 2500hd,2013,None,None,None,None,diesel,None,None,None,clean,automatic,None,35000
mercury mountaineer,2002,None,excellent,8 cylinders,4wd,gas,black,None,mid-size,clean,automatic,SUV,4500
bmw x3 3.0i,2007,WBXPC93467WF08219,good,6 cylinders,4wd,gas,black,103300,None,clean,automatic,SUV,8000
gmc acadia awd slt-2,2008,1GKEV337X8J112719,excellent,6 cylinders,4wd,gas,white,87720,full-size,clean,automatic,SUV,12570
FORD ESCAPE TITANIUM,2014,1FMCU0J94EUA40334,excellent,4 cylinders,fwd,gas,black,87851,mid-size,clean,automatic,SUV,15995
GMC YUKON SLT 3RD ROW,2005,1GKEK13T85J124065,good,8 cylinders,4wd,gas,brown,125036,full-size,clean,automatic,SUV,9995
MERCEDES BENZ GLK350 4MATIC,2010,WDCGG8HB4AF386834,excellent,6 cylinders,4wd,gas,green,118444,mid-size,clean,automatic,SUV,12995
NISSAN QUEST 3.5 SL,2013,JN8AE2KP9D9060070,excellent,6 cylinders,fwd,gas,white,79823,full-size,clean,automatic,van,16995
ACURA TL GW,2005,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,None,1003
CHEVY EQUINOX LTZ,2011,2GNALFEC0B1161402,excellent,4 cylinders,fwd,gas,silver,80539,mid-size,clean,automatic,SUV,12495
CHEVY TRAVERSE 2LT AWD,2013,1GNKVJKD8DJ100273,excellent,6 cylinders,4wd,gas,brown,87177,full-size,clean,automatic,SUV,17495
mazda cx-9 grand touring,2007,JM3TB28Y270108764,excellent,6 cylinders,fwd,gas,grey,85037,full-size,clean,automatic,SUV,11495
Lexus RX 350AWD,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
honda civic lx sedan 4d,2011,None,good,4 cylinders,None,gas,blue,63600,mid-size,rebuilt,automatic,sedan,6750
Ford,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
chevy equinox,2011,None,excellent,4 cylinders,fwd,gas,brown,76500,None,clean,automatic,SUV,11750
buick century,2003,None,None,None,None,gas,None,138000,None,clean,automatic,None,2300
ford f-150 4wd,2001,None,fair,8 cylinders,4wd,gas,red,164732,full-size,clean,automatic,truck,4400
chevy tahoe,2001,None,None,None,None,gas,None,None,None,clean,automatic,SUV,3200
nissan altima,2002,None,fair,None,None,gas,None,156000,None,clean,automatic,None,650
xterra,2000,None,None,None,None,gas,None,None,None,clean,manual,None,1900
mitsubishi outlander awd,2003,None,excellent,4 cylinders,4wd,gas,None,141000,None,clean,automatic,None,2800
toyota camry,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,16500
Subaru Legacy,2009,4S3BL616097223746,good,4 cylinders,4wd,gas,brown,95500,mid-size,clean,automatic,sedan,6500
honda odyssey ex-l w/ dvd,2002,None,good,6 cylinders,fwd,gas,None,215000,full-size,clean,automatic,mini-van,2300
ford focus,2008,None,good,4 cylinders,fwd,gas,blue,180000,mid-size,clean,manual,coupe,2800
bentley continental gt,2005,None,salvage,12 cylinders,rwd,gas,black,187000,full-size,salvage,automatic,coupe,10000
suzuki forenza,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,600
mitsubishi lancer,2012,None,None,None,None,gas,None,None,None,rebuilt,manual,None,6500
Chevy Malibu,2012,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,5600
Chevy blazer,1997,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,7000
pontiac grand am,2001,1G2NW52E61C195987,fair,6 cylinders,fwd,gas,white,197071,mid-size,clean,manual,sedan,800
Porsche 944,1985,None,fair,4 cylinders,rwd,gas,None,160000,None,clean,manual,coupe,2000
dodge nitro,2011,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,8900
camry,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Impala,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
dodge magnum,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
chevrolet camaro,1979,None,fair,8 cylinders,rwd,gas,brown,86000,full-size,clean,automatic,None,2375
infiniti qx4,1999,None,excellent,6 cylinders,4wd,gas,None,139000,None,clean,automatic,None,2800
Super clean,2010,None,like new,4 cylinders,fwd,gas,silver,130000,compact,clean,automatic,sedan,3500
chevy malibu,2013,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,10000
Super clean,2006,None,like new,4 cylinders,fwd,gas,brown,160000,compact,clean,automatic,sedan,2600
Ford Explorer,2007,None,None,6 cylinders,4wd,gas,None,175000,None,clean,automatic,None,4450
grand am gt,2001,None,fair,4 cylinders,None,gas,red,None,None,clean,automatic,None,650
Jeep Cherokee,2001,None,excellent,None,None,gas,None,None,None,clean,automatic,None,5500
ford mustang 5.0,1992,None,None,None,None,gas,None,None,None,clean,manual,None,6000
hyundai elantra gt,2002,None,excellent,4 cylinders,fwd,gas,None,170000,None,clean,manual,None,1100
Honda Accord,1999,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,552
chevrolet corvette,1974,None,None,None,None,gas,None,None,None,clean,automatic,None,24000
chevy cavalier,2000,None,None,None,None,gas,None,272000,None,clean,automatic,None,1000
mitsubishi outlander,2008,JA4MS41X58Z013956,like new,6 cylinders,fwd,gas,white,122000,full-size,clean,automatic,SUV,5000
Chevy Malibu LTZ,2008,None,good,6 cylinders,None,gas,black,144000,full-size,clean,automatic,None,4200
honda fit sport,2011,None,good,4 cylinders,fwd,gas,red,84000,None,rebuilt,manual,hatchback,6500
chevrolet 2500 silverado,2002,None,excellent,None,None,diesel,None,237000,None,clean,automatic,None,9200
Pontiac Grand Prix,2006,None,like new,6 cylinders,fwd,gas,None,51500,full-size,clean,automatic,sedan,6000
Pontiac grand am,2004,None,good,6 cylinders,fwd,gas,silver,154000,mid-size,clean,automatic,sedan,850
Mercedes S500 AMG,2000,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,sedan,4900
ford edge limited,2010,2FMDK3KC6ABA55584,like new,6 cylinders,fwd,gas,white,180000,full-size,clean,automatic,SUV,5500
mazda tribute,2004,None,None,None,None,gas,None,179000,None,clean,manual,None,4500
Toyota Tacoma,2004,None,good,4 cylinders,rwd,gas,white,284500,None,clean,manual,None,4500
Jeep Wrangler sport JK,2012,None,excellent,6 cylinders,4wd,gas,white,48000,None,clean,automatic,SUV,27500
chevy silverado 2500,2005,None,None,None,None,diesel,None,185000,None,clean,automatic,None,17500
lincoln town car,2003,1LNHM82W73Y641199,like new,8 cylinders,rwd,gas,custom,166000,full-size,clean,automatic,sedan,2900
pontiac vibe,2005,None,good,None,None,gas,None,None,None,clean,automatic,None,1000
dodge ram 2500,2005,None,good,8 cylinders,4wd,gas,grey,None,full-size,clean,automatic,pickup,2500
chevrolet suburban,1995,None,excellent,8 cylinders,4wd,gas,green,None,full-size,clean,automatic,SUV,3500
Ford Explorer,2005,1FMZU73K35UB96660,good,6 cylinders,4wd,gas,white,183000,mid-size,clean,automatic,SUV,3300
Chevy Silverado,1999,None,excellent,8 cylinders,4wd,gas,silver,182000,full-size,clean,automatic,truck,7800
Ford 150xl,2009,None,fair,8 cylinders,rwd,gas,white,91000,full-size,clean,automatic,truck,8000
cadillac sts,2005,None,None,None,None,gas,None,126000,None,clean,automatic,None,4990
Ford,2013,None,None,None,None,gas,None,145,None,clean,automatic,None,123456
