make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Ford Edge,2008,None,good,6 cylinders,4wd,gas,black,92000,mid-size,salvage,automatic,None,7000
Ford Taurus,1997,None,fair,6 cylinders,fwd,gas,red,203000,mid-size,salvage,automatic,None,500
Dodge Ram 3500 mega cab,2012,None,good,None,4wd,diesel,white,124000,full-size,rebuilt,automatic,pickup,32500
acadia gmc,2011,None,excellent,6 cylinders,fwd,gas,None,65000,None,clean,automatic,None,13900
chevrolet corvette,1980,1Z878AS407091,excellent,8 cylinders,rwd,gas,red,68977,compact,clean,automatic,coupe,15500
Make a deal,2018,None,None,None,None,gas,None,None,None,clean,manual,None,1
chevrolet 1500 silverado,2000,None,excellent,8 cylinders,4wd,gas,blue,None,None,clean,automatic,None,1500
Dodge Ram mega cab 1500 slt,2006,None,good,8 cylinders,4wd,gas,black,139400,full-size,clean,automatic,pickup,10000
Chevy Lumina,2000,2G1WL52J5Y1189631,good,6 cylinders,fwd,gas,None,83435,None,clean,automatic,sedan,2800
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1530
runs strong,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1554
Ford F-450 Lariat,2012,None,excellent,8 cylinders,4wd,diesel,white,None,full-size,clean,automatic,None,3
chevy silverado 1500,2000,None,good,None,None,gas,None,None,None,clean,automatic,None,3250
gmc 1500 sierra,2003,None,good,8 cylinders,4wd,gas,None,170,None,clean,automatic,None,6999
Ford Ranger,1994,None,fair,None,4wd,gas,None,150000,None,clean,manual,None,1300
chevy suburban 1500,2002,None,good,None,None,gas,None,160000,None,clean,automatic,None,1400
dodge durango slt,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2300
gmc 1500 sierra,2005,None,good,8 cylinders,4wd,gas,black,163000,full-size,clean,automatic,pickup,6000
bmw x5 3.0si,2008,None,like new,6 cylinders,4wd,gas,grey,94000,None,clean,automatic,None,15000
Ford Mustang Gt,2001,None,None,None,None,gas,None,None,None,clean,manual,None,10000
toyota camry,2007,None,like new,None,None,gas,black,53348,None,salvage,automatic,None,6900
Ford F150,2010,None,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,None,15
jeep liberty limited 4wd,2007,None,None,None,None,gas,None,134000,None,clean,automatic,None,4425
Chevrolet,2011,None,like new,None,fwd,gas,None,None,None,clean,automatic,None,2126
HONDA CR-V,1997,JHLRD1850VC802171,None,None,None,gas,black,None,None,clean,automatic,None,850
mercedes-benz,1991,None,None,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,coupe,3500
chevrolet silverado,2004,Wffcccccccc,good,8 cylinders,4wd,gas,silver,240120,full-size,clean,automatic,truck,3850
Ford Mustang GT Convertible,1998,None,excellent,8 cylinders,rwd,gas,green,34000,None,clean,automatic,convertible,8750
lincoln ls,2002,None,good,8 cylinders,rwd,gas,black,243000,mid-size,clean,automatic,None,1700
ford f150 lariat,2001,None,good,8 cylinders,4wd,gas,blue,None,None,clean,automatic,None,7500
volvo 670,2004,None,like new,None,None,diesel,None,None,None,clean,other,None,900
ford ranger,2009,None,like new,4 cylinders,rwd,gas,None,None,None,clean,manual,pickup,10000
08 Malibu,2008,None,fair,None,fwd,gas,white,None,None,clean,automatic,None,3000
Chevy Cummins,1997,None,good,None,4wd,diesel,white,165000,None,clean,automatic,pickup,7600
porcha 914,1975,None,None,4 cylinders,None,gas,None,None,None,clean,manual,None,4500
pontiac grand prix,2005,None,fair,6 cylinders,fwd,gas,None,204500,mid-size,clean,automatic,sedan,3000
peterbilt 386,2009,1XPHD49X09D786868,None,None,None,diesel,None,912270,None,clean,manual,None,35000
Dodge Dakota,2002,None,good,8 cylinders,4wd,gas,None,230000,mid-size,clean,automatic,pickup,2800
chevrolet 1500 avalanche,2008,3GNFK12338G130614,like new,8 cylinders,4wd,gas,black,135593,full-size,clean,automatic,truck,15988
chevrolet 1500 silverado,2010,1GCSKSE35AZ147168,like new,8 cylinders,4wd,gas,silver,117425,full-size,clean,automatic,truck,17488
chevrolet 1500 silverado,2013,3GCPKSE79DG285762,like new,8 cylinders,4wd,gas,brown,None,full-size,clean,automatic,truck,18688
NISSAN ARMADA,2010,5N1AA0NE4AN603314,like new,8 cylinders,4wd,gas,red,96813,full-size,clean,automatic,SUV,16888
ford f 150,1997,1FTDF07W2VKD57881,good,8 cylinders,rwd,gas,black,174000,full-size,clean,automatic,truck,3988
Chevy  Bruin,1980,C49CTAV132862,good,6 cylinders,rwd,diesel,white,36564,full-size,clean,manual,truck,19500
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1509
ford edge sport,2009,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,12500
ford fusion sport,2010,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,7650
honda civic si,2012,None,None,None,fwd,gas,None,89000,None,clean,manual,None,9500
Dodge Daokta,2001,None,good,6 cylinders,rwd,gas,white,200111,None,clean,automatic,pickup,1400
Ford f250 diesal,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,12000
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1592
Ford F150,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1589
Dodge Grand Caravan,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,15000
Ford Tudor Mild Custom,1950,None,None,None,None,gas,None,None,None,clean,manual,None,8500
Toyota Tacoma,2015,None,excellent,6 cylinders,4wd,gas,blue,None,None,clean,automatic,truck,28500
Ford F150,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1549
Volvo,2012,None,None,None,None,diesel,None,None,None,clean,manual,None,37900
nissan pathfinder,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,15000
dodge ram 1500,2007,None,good,None,None,gas,None,None,None,rebuilt,automatic,None,7500
chevy impala lt,2007,None,None,None,None,gas,red,None,None,lien,automatic,None,4250
Chevy 30 Flatbed Truck,1982,None,fair,8 cylinders,rwd,gas,None,69629,None,clean,automatic,truck,1850
Norstar,2017,None,None,None,None,other,None,None,None,clean,other,None,1950
Chevrolet 2500hd Duramax,2006,None,good,8 cylinders,4wd,diesel,None,227000,full-size,lien,automatic,pickup,14200
Toyota 4Runner SR5,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Chevrolet 1500 Silverado,2012,1GCNCPEX6CZ204605,like new,6 cylinders,fwd,gas,silver,40370,full-size,clean,automatic,pickup,18250
chevy k10,1984,None,fair,8 cylinders,4wd,gas,None,None,None,clean,automatic,truck,2500
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2098
ford f-250,2000,None,None,None,None,diesel,None,162000,None,clean,automatic,None,10000
dodge durango slt,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2500
chevrolet k1500 silverado,1995,None,good,8 cylinders,4wd,gas,red,192000,full-size,clean,automatic,pickup,1850
Peterbilt 386,2008,None,good,None,None,diesel,blue,None,None,clean,manual,truck,60000
Farm truck,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,16000
peterbilt 379exhd,1996,None,excellent,None,None,diesel,brown,None,full-size,clean,automatic,None,3260
chevrolet impala ss,1965,166375J275881,excellent,8 cylinders,rwd,gas,grey,None,full-size,clean,automatic,coupe,14999
dodge ram 1500 4x4,2014,None,excellent,None,4wd,gas,black,49075,None,lien,automatic,truck,25000
Chevrolet Express 2500,2002,None,fair,None,None,gas,green,None,None,clean,automatic,van,2200
dodge d100,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
toyota 4 runner,2001,None,fair,None,4wd,gas,silver,230000,None,clean,automatic,None,3750
