make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford explorer,2001,None,None,None,None,gas,None,215000,None,clean,automatic,None,1500
Buick Regal,1985,None,good,8 cylinders,rwd,gas,grey,None,mid-size,clean,automatic,coupe,12
honda odyssey,2002,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,2250
Chevy 1500,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1
buick lesabre,1998,None,good,6 cylinders,fwd,gas,None,184000,None,clean,automatic,None,1650
Chevy,1998,None,None,None,None,gas,None,None,None,parts only,automatic,None,600
hummer h3,2006,None,good,None,4wd,gas,black,122000,full-size,clean,automatic,truck,11000
buick skylark,1972,None,good,8 cylinders,rwd,gas,yellow,95000,mid-size,clean,automatic,coupe,1550
buick skylark,1972,None,good,8 cylinders,rwd,gas,yellow,95000,mid-size,clean,automatic,coupe,1550
cadillac sedan,1956,None,good,8 cylinders,rwd,gas,white,85555,full-size,missing,automatic,sedan,1650
cadillac sedan,1956,None,good,8 cylinders,rwd,gas,white,85555,full-size,missing,automatic,sedan,1650
chevrolet 1500 silverado,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,3850
chevy business coupe,1942,None,good,8 cylinders,rwd,gas,brown,89523,full-size,clean,automatic,coupe,2950
cadillac sedan,1956,None,good,8 cylinders,rwd,gas,white,85555,full-size,missing,automatic,sedan,1650
chevy pickup,1975,None,good,8 cylinders,rwd,gas,black,85555,full-size,clean,automatic,pickup,1550
toyota 4runner,2000,None,good,6 cylinders,4wd,gas,black,283101,mid-size,clean,automatic,SUV,4000
Chevy silverado z71,2005,None,fair,8 cylinders,rwd,gas,blue,285784,full-size,clean,automatic,truck,3000
Ford F150,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
Ford F150,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
F 250 Superduty XLT,2001,DRXMVB000247696MO,excellent,8 cylinders,4wd,diesel,blue,274500,full-size,clean,automatic,truck,8500
Hyundai,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2600
chevrolet 1500 silverado,1991,None,good,8 cylinders,None,gas,blue,190450,None,clean,automatic,pickup,1000
Ford,2003,None,good,8 cylinders,rwd,gas,grey,156,None,clean,automatic,pickup,4899
Ford F-150 XLT 4X4,2013,None,excellent,6 cylinders,4wd,gas,blue,62000,full-size,rebuilt,automatic,truck,16000
chevrolet 1500 silverado,1997,None,good,8 cylinders,4wd,gas,None,235000,full-size,clean,automatic,pickup,5000
lexus sc300,1992,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
jeep cherokee,1986,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
Ford King Ranch XLT Loaded,2018,None,new,6 cylinders,4wd,gas,white,3400,full-size,clean,automatic,truck,54008
ford ranger,1972,None,good,None,4wd,gas,None,None,None,clean,manual,None,2500
Eagle Summit,1992,None,fair,4 cylinders,4wd,gas,blue,155500,mid-size,salvage,automatic,mini-van,800
ford explorer,2005,None,None,None,None,gas,None,158000,None,clean,automatic,None,3700
Ford F150 XLT.,1997,1FTDF176XVKB25034,None,None,None,gas,None,223000,None,clean,automatic,None,1500
Ford E-350,2001,None,None,8 cylinders,rwd,gas,blue,288500,None,clean,automatic,None,3200
chevrolet corvette,1969,194379S702928,fair,8 cylinders,rwd,gas,green,None,mid-size,clean,manual,coupe,13000
lexus rx 330,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,8995
buick lacrosse,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
ford taurus,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
chrysler town &country,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,25900
nissan rogue,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Durant,1928,None,excellent,4 cylinders,rwd,gas,red,None,full-size,clean,manual,convertible,6500
Chevrolet c10,1969,None,None,8 cylinders,rwd,gas,orange,None,full-size,clean,automatic,truck,1500
chevolet,1996,1GCEK14R7TZ183749,good,8 cylinders,4wd,gas,red,198071,full-size,clean,automatic,pickup,3500
chevy car hauler,1975,None,good,8 cylinders,rwd,gas,custom,None,full-size,clean,automatic,truck,2600
chevrolet 1500 silverado,2016,1GCVKREC3GZ224490,like new,8 cylinders,4wd,gas,black,12000,full-size,lien,automatic,pickup,37500
chevy el camino,1965,None,fair,6 cylinders,rwd,gas,red,85000,mid-size,clean,manual,pickup,1450
toyota corolla,2004,None,None,4 cylinders,None,gas,None,237166,None,clean,automatic,None,2850
ford f150 4wd,2007,None,excellent,8 cylinders,4wd,gas,None,190000,None,clean,automatic,SUV,7995
Chevy Lumina,2000,2G1WL52J5Y1189631,None,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,2800
Mustang Shelby Super Snake,2011,None,like new,8 cylinders,rwd,gas,grey,01605,mid-size,clean,manual,None,119000
Dodge Ram 2500 SLT,2006,None,excellent,8 cylinders,4wd,diesel,white,207000,full-size,clean,automatic,truck,18500
Cadillac Deville,1996,None,excellent,None,None,gas,red,113000,None,clean,automatic,sedan,3700
CHEVY/GMC,1984,None,None,8 cylinders,None,gas,None,None,full-size,clean,other,None,1111
nissan altima 2.5 s,2015,None,None,None,None,gas,None,None,None,lien,automatic,None,13500
Cadillac Escalade,2011,None,excellent,None,None,gas,None,None,None,clean,automatic,None,7000
Cadillac CTS,2010,None,None,6 cylinders,None,gas,None,None,full-size,clean,automatic,None,3500
Jeep LJ Wrangler Unlimited,2004,None,None,6 cylinders,4wd,gas,blue,151000,full-size,clean,automatic,convertible,10950
Ford Ranger 4x4,1997,None,excellent,6 cylinders,4wd,gas,purple,185000,mid-size,clean,manual,pickup,3500
Ford Ranger 4x4 edge,2005,None,excellent,6 cylinders,4wd,gas,silver,182000,mid-size,clean,manual,pickup,5500
Dodge Ram 1500 SLt 4x4,2009,None,excellent,8 cylinders,4wd,gas,black,165000,full-size,clean,automatic,pickup,10900
Chevy Tahoe LT 4x4,2007,None,excellent,8 cylinders,4wd,gas,grey,165000,full-size,clean,automatic,SUV,9950
porsche boxster,2000,None,excellent,6 cylinders,rwd,gas,None,48600,None,clean,manual,convertible,12900
F100,1974,None,excellent,8 cylinders,rwd,gas,None,130000,full-size,clean,automatic,pickup,8500
dodge caravan,2000,None,None,6 cylinders,rwd,gas,None,16975,None,clean,automatic,None,1750
chrysler 200,2012,None,excellent,6 cylinders,fwd,gas,black,91000,None,clean,automatic,sedan,9000
dodge ram 1500,2001,None,good,8 cylinders,rwd,gas,silver,134000,full-size,clean,automatic,pickup,4250
Ford torino,1970,None,None,None,None,gas,None,None,None,clean,manual,None,4000
