make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
dodge neon ext,2004,None,fair,4 cylinders,fwd,gas,blue,236741,compact,clean,automatic,other,250
buick century,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,550
Dodge Ram 1500,2002,None,good,8 cylinders,4wd,gas,red,150000,full-size,clean,automatic,pickup,6500
chevrolet cobalt,2006,None,good,4 cylinders,fwd,gas,black,143500,compact,clean,automatic,sedan,3600
chevy silverado 2500hd,2006,None,None,None,None,diesel,None,None,None,lien,automatic,None,15000
chrysler 200,2012,None,excellent,6 cylinders,fwd,gas,grey,118000,full-size,clean,automatic,sedan,6800
Chevy Malibu Classic,1979,None,fair,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,4800
chrysler town and country,1999,None,good,6 cylinders,fwd,gas,None,106000,None,clean,automatic,van,10000
Dodge Ram,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
pontiac vibe,2007,None,good,None,None,gas,None,234000,None,clean,automatic,None,2800
Mazda Miata,1991,None,good,None,None,gas,blue,155000,None,clean,manual,None,3500
dodge ram 2500,2003,None,None,None,None,diesel,None,None,None,clean,manual,None,5000
bmw 330xi,2004,None,good,None,None,gas,None,162000,None,clean,automatic,None,3100
cadillac escalade,2007,None,None,None,4wd,gas,None,None,None,clean,automatic,None,4000
Land Rover,2013,None,excellent,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,None,7
Pt cruiser,2005,None,None,None,None,gas,None,89000,None,clean,automatic,None,2900
ford mustang convertible,2006,xxxxx,excellent,6 cylinders,rwd,gas,blue,72500,mid-size,clean,automatic,None,8900
tahoe,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
buick lesabre limited,2002,None,good,None,None,gas,None,None,None,clean,automatic,None,2700
dodge neon,1996,None,good,None,fwd,gas,None,98000,None,clean,automatic,sedan,1600
dodge ram 2500 cummins,2008,None,good,6 cylinders,4wd,diesel,yellow,150000,full-size,lien,automatic,pickup,23000
Gmc 2500  4x4,1993,None,None,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,3200
Chevy caviler,1997,None,good,4 cylinders,fwd,gas,blue,130000,compact,clean,automatic,coupe,1250
LIFTED / MODIFIED / DIESEL 4 x 4,2000,None,excellent,8 cylinders,4wd,diesel,silver,193727,full-size,clean,manual,truck,12950
mini cooper,2004,None,excellent,4 cylinders,fwd,gas,green,150000,compact,clean,manual,hatchback,3600
Ford f 350,2006,None,None,10 cylinders,4wd,diesel,silver,135000,full-size,lien,automatic,truck,15000
gmc k2500,1991,None,good,8 cylinders,4wd,gas,None,168000,None,clean,automatic,None,2500
Chevy,2002,None,excellent,8 cylinders,4wd,gas,black,152000,full-size,clean,automatic,pickup,1
audi a4 1.8t quattro,2003,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,280
chevy colorado,2004,None,fair,4 cylinders,rwd,gas,white,204000,None,clean,automatic,truck,1800
3000gt,1997,JA3AM44HXVY005746,good,6 cylinders,fwd,gas,red,133,sub-compact,clean,automatic,coupe,3800
ford explorer eddie bauer,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
GMC Suburban,1998,None,None,8 cylinders,4wd,gas,white,227000,None,clean,automatic,None,1600
chevrolet trailblazer,2002,None,None,6 cylinders,4wd,gas,None,181000,None,clean,automatic,SUV,4000
chevrolet  cavalier,1998,None,fair,4 cylinders,fwd,gas,blue,166000,mid-size,clean,automatic,other,1200
nissan altima,2011,None,good,6 cylinders,fwd,gas,white,192000,full-size,clean,automatic,sedan,3500
Dodge Dakota,1998,None,fair,6 cylinders,rwd,gas,custom,170000,None,clean,automatic,truck,600
buick century,2002,None,excellent,6 cylinders,fwd,gas,brown,210000,mid-size,clean,automatic,sedan,1900
hyundai santa fe,2007,5NMSH13E77H029374,excellent,6 cylinders,fwd,gas,white,118000,None,clean,automatic,SUV,6500
International,1996,None,good,8 cylinders,rwd,diesel,blue,81000,full-size,clean,automatic,other,15900
chevrolet 1500 silverado,1997,None,excellent,8 cylinders,rwd,gas,brown,157000,None,clean,automatic,pickup,5000
FORD RANGER,2000,1FTYR14V1YTA39551,None,None,None,gas,None,None,None,clean,automatic,None,875
Cadilac deville dts,2001,None,excellent,8 cylinders,fwd,gas,silver,168000,None,clean,automatic,None,2500
Jeep CJ7,1985,None,good,8 cylinders,4wd,gas,black,None,None,clean,manual,SUV,6800
chevrolet camaro,1995,None,None,8 cylinders,None,gas,white,61000,None,clean,automatic,None,4700
Ford Mustang Shelby GT500,2010,None,like new,None,None,gas,None,5600,None,clean,manual,None,38000
ford escape,2013,xxxxxx,like new,4 cylinders,fwd,gas,white,56000,None,clean,automatic,SUV,16000
plymouth duster,1973,None,excellent,8 cylinders,rwd,other,custom,23259,mid-size,clean,automatic,None,38900
Chevrolet,1971,123456,good,8 cylinders,rwd,gas,blue,None,full-size,clean,automatic,coupe,4000
TAHOE,2011,None,excellent,8 cylinders,4wd,gas,black,72000,full-size,clean,automatic,SUV,4100
Honda Civic EX,2001,None,good,4 cylinders,fwd,gas,silver,212000,compact,clean,manual,coupe,1550
Chevy Avalanche,2002,None,good,8 cylinders,4wd,gas,white,185000,full-size,clean,automatic,pickup,5500
ford f-150,2008,None,None,None,4wd,gas,None,None,None,clean,automatic,None,15800
ford ranger,2000,None,fair,6 cylinders,rwd,gas,None,235000,None,clean,manual,truck,1500
kia forte,2011,None,excellent,4 cylinders,fwd,gas,grey,43000,compact,clean,automatic,hatchback,8700
Mitsubishi 3000GT,1994,JA3AM54J8RY034015,good,6 cylinders,fwd,gas,None,168900,None,clean,automatic,None,2300
pontiac g8 gt,2009,None,good,8 cylinders,rwd,gas,green,150000,full-size,clean,automatic,None,12500
Ford Galaxie 500,1966,None,None,8 cylinders,None,gas,None,124000,None,clean,automatic,convertible,9500
Ford F-150,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
