make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
caprice classic,1993,None,excellent,None,None,gas,None,108000,None,clean,automatic,None,700
mercury milan,2008,None,good,6 cylinders,fwd,gas,black,154000,mid-size,clean,automatic,sedan,3300
chevrolet,1936,None,None,None,None,gas,None,None,None,clean,manual,None,12000
Chrysler Pacifica touring,2008,None,excellent,None,4wd,gas,None,127000,None,clean,automatic,None,5300
ford taurus,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,300
GMC Sierra 1500,1992,None,good,8 cylinders,4wd,gas,red,129000,None,rebuilt,automatic,pickup,4800
chevrolet 1500,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,11000
Chevy astro conversion van,1995,Xxxxxxcccccccccc,excellent,6 cylinders,rwd,gas,white,1300000,mid-size,clean,automatic,van,1650
buick enclave,2011,None,excellent,6 cylinders,4wd,gas,black,84400,None,salvage,automatic,None,13200
Acura TL,2007,None,None,6 cylinders,fwd,gas,None,144000,None,clean,automatic,None,4800
Toyota Rav4,1998,None,good,4 cylinders,4wd,gas,white,197700,mid-size,clean,automatic,SUV,2850
Volkswagen,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,100
ford explorer,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,700
Chevy 2500HD,2003,None,excellent,None,None,gas,None,None,full-size,clean,automatic,other,9000
Ford F450,1989,None,None,None,None,gas,None,79000,None,clean,automatic,None,650
ford ranger xlt,1990,None,None,6 cylinders,4wd,gas,None,None,None,clean,manual,None,675
SCS stock car,2003,None,None,None,None,gas,None,None,None,clean,manual,None,5000
Chevrolet Colorado,2004,None,good,None,rwd,gas,black,96000,None,clean,automatic,pickup,5800
cobalt,2009,None,excellent,4 cylinders,fwd,gas,silver,None,None,clean,automatic,sedan,5000
lexus ls 430,2004,None,excellent,None,None,gas,None,134000,full-size,clean,automatic,sedan,7600
jaguar,1978,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Chevy 2500 HD,2004,None,excellent,8 cylinders,4wd,gas,silver,123300,full-size,clean,automatic,truck,9900
dodge dakota,1998,None,excellent,6 cylinders,rwd,gas,white,76195,mid-size,clean,automatic,pickup,1800
Figure 8 racecar,2015,None,excellent,None,None,other,None,None,None,clean,automatic,other,5000
Toyota 4Runner SR5,1995,None,good,6 cylinders,4wd,gas,grey,160000,mid-size,clean,automatic,SUV,1000
Chevrolet Impala LTZ,2016,None,None,None,fwd,gas,None,None,None,clean,automatic,None,12775
oldsmobile cutlass ciera Ls,1983,None,good,4 cylinders,fwd,gas,brown,70154,mid-size,clean,automatic,sedan,950
GMC,1986,None,fair,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,1500
Ford f150 custom,1981,None,good,6 cylinders,rwd,gas,red,112000,None,clean,automatic,pickup,2300
Jeep cj5,1978,None,None,None,None,gas,None,118000,None,clean,manual,None,1
Ford Ranger Edge,2002,None,fair,6 cylinders,4wd,gas,red,195000,mid-size,clean,automatic,pickup,2500
Toyota Matrix XR,2005,None,None,None,None,gas,None,79000,None,clean,manual,None,5295
Ford f150,1976,None,None,8 cylinders,4wd,gas,blue,None,None,clean,automatic,None,4500
chevrolet impala,2004,None,good,None,None,gas,grey,172000,mid-size,clean,automatic,None,2200
pontiac gran prix GP,2006,None,good,6 cylinders,fwd,gas,None,148000,None,salvage,automatic,None,2500
ford expedition,2007,None,None,None,None,gas,None,204000,None,salvage,automatic,None,4300
pontiac sunfire gt,2001,None,good,4 cylinders,fwd,gas,silver,99000,compact,clean,automatic,coupe,2500
Chevy 2500 Silverado,2005,None,None,None,None,diesel,None,None,None,rebuilt,automatic,None,1
chevrolet camaro,1984,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
volvo v70 xc,2002,None,None,None,None,gas,None,94554,None,clean,automatic,None,500
Toyota Highlander,2015,None,excellent,6 cylinders,4wd,gas,white,53500,None,lien,automatic,None,31900
Toyota Highlander,2015,None,excellent,6 cylinders,4wd,gas,white,53500,None,lien,automatic,None,31900
Ford F-150 XLT,2013,None,good,8 cylinders,4wd,gas,black,43,None,salvage,automatic,truck,19500
Ford crown Victoria,2010,None,good,8 cylinders,rwd,gas,None,95000,None,clean,automatic,None,3500
Chevy 3500,2006,None,excellent,8 cylinders,4wd,diesel,silver,38000,None,clean,automatic,None,35000
chevy,1982,None,good,8 cylinders,None,gas,None,100000,None,clean,automatic,None,2100
rambler american,1960,None,None,None,None,gas,None,67000,None,clean,manual,None,4550
chevrolet impala ls,2005,None,good,6 cylinders,fwd,gas,grey,192000,full-size,rebuilt,automatic,None,1550
Ford,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
chevrolet 1500 avalanche,2007,None,good,8 cylinders,4wd,other,black,16000,full-size,clean,automatic,offroad,14900
honda civic ex,2003,None,good,4 cylinders,fwd,gas,black,163700,None,clean,manual,None,3500
ford f-150,2000,None,good,6 cylinders,rwd,gas,brown,210000,full-size,clean,automatic,pickup,2900
Buick park ave,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
chevrolet tahoe,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
ford ranger xlt,2006,None,None,6 cylinders,rwd,gas,None,None,None,clean,automatic,None,5500
gmc 1500 sierra,2005,None,good,8 cylinders,4wd,gas,black,163000,full-size,clean,automatic,None,6000
Ford Fusion,2009,None,good,6 cylinders,None,gas,None,178000,None,clean,automatic,None,3750
jaguar xk8 convertible,2000,None,excellent,8 cylinders,rwd,gas,None,71524,mid-size,clean,automatic,convertible,9400
chevrolet silverado,1991,None,good,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,None,2950
cadillac cts,2005,None,None,None,None,gas,None,103573,None,clean,automatic,None,1750
Ford Collins School Bus,1997,1FDLE47F7VHA66775,good,8 cylinders,rwd,diesel,blue,108464,None,clean,automatic,bus,12000
gmc savana 3500,2000,None,good,8 cylinders,rwd,gas,white,180000,None,clean,automatic,van,2600
ford f-250 super duty,2005,None,None,8 cylinders,None,diesel,None,None,None,lien,automatic,None,16500
chrysler concorde,2001,None,good,6 cylinders,fwd,gas,brown,73000,full-size,salvage,automatic,sedan,2400
Toyota Tundra crew max,2010,None,good,8 cylinders,4wd,gas,white,132000,full-size,clean,automatic,truck,20000
ford f150 fx4,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
gmc k2500,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
volkswagen passat sedan,2004,None,good,None,fwd,gas,grey,None,mid-size,clean,automatic,sedan,1700
Chevy 2500hd,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,16500
dodge journey,2013,None,None,None,None,gas,None,15000,None,clean,automatic,None,18000
Saturn SL1,1997,None,salvage,4 cylinders,fwd,gas,red,None,None,clean,manual,None,200
pontiac g3,2009,None,good,4 cylinders,fwd,gas,grey,124166,None,clean,automatic,None,3200
2003 ram,2003,None,None,None,None,diesel,None,None,None,clean,automatic,None,10500
chevy c20 pickup,1964,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,manual,pickup,4200
