make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Ford F-150 4x4,2002,None,None,None,None,gas,None,None,None,salvage,automatic,None,7200
cadillac coupe de ville,1982,None,excellent,8 cylinders,rwd,gas,silver,84000,full-size,clean,automatic,coupe,4500
chevrolet corvette 2dr cpe,1975,None,good,8 cylinders,rwd,gas,None,None,None,clean,manual,coupe,4200
GMC 2500,1979,TKL249S524388,fair,8 cylinders,4wd,gas,custom,None,full-size,clean,automatic,truck,550
jeep wrangler x,2003,None,good,6 cylinders,4wd,gas,None,93000,None,clean,automatic,offroad,13000
gmc canyon,2012,1GTG6LF98C8126150,excellent,4 cylinders,4wd,gas,white,259000,mid-size,clean,automatic,truck,5900
Ford F150,1997,None,good,6 cylinders,rwd,gas,brown,None,None,clean,automatic,pickup,2500
Ford Taurus,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,16877
chrysler,2007,2A8GP64L57R314835,good,6 cylinders,fwd,gas,red,142225,mid-size,clean,automatic,mini-van,119000
ford f150 fx4,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
gmc yukon slt,2008,None,good,8 cylinders,fwd,hybrid,silver,175000,full-size,clean,automatic,SUV,11500
Chevy Silverado,1998,None,good,8 cylinders,4wd,gas,blue,139000,full-size,clean,automatic,pickup,3500
acura legend,1992,None,like new,6 cylinders,fwd,gas,red,109000,mid-size,clean,automatic,sedan,3475
chevrolet impala,2011,None,excellent,None,None,gas,None,None,None,clean,automatic,None,7000
Pontiac firebird Trans Am gta,1988,None,good,8 cylinders,rwd,gas,red,148000,mid-size,clean,automatic,None,4000
Mercury Capri,1991,None,good,4 cylinders,None,gas,silver,64630,compact,clean,manual,convertible,3200
one owner,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,28553
Toyota Sienna,2003,None,good,6 cylinders,fwd,gas,None,254500,mid-size,clean,automatic,van,2400
cadillac escalade,2007,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,4000
chevrolet 1500 suburban,1999,None,good,8 cylinders,rwd,gas,blue,156000,None,clean,automatic,SUV,3500
Cadillac Escalade,2009,None,None,8 cylinders,None,gas,blue,None,None,clean,automatic,None,7000
Nissan Titan,2011,None,excellent,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,pickup,55
Jeep CJ5,1978,None,good,6 cylinders,4wd,gas,None,70103,None,clean,manual,None,3650
chevrolet 1500 silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5400
Dodge Ram,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,16800
chevy tahoe,2016,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,26900
CHRYSLER PACIFICA,2005,2C8GF68455R398910,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,750
Ford F-150 FX4 Crew Cab 4x4,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,27850
Silverado LS,1999,None,good,8 cylinders,rwd,gas,white,60000,full-size,clean,automatic,pickup,7500
chevrolet malibu,1981,1AT27K6BD489412,excellent,8 cylinders,rwd,gas,blue,None,mid-size,clean,automatic,coupe,10000
Toyota   Matrix,2009,XXXXXXXXXXXXXXXXX,excellent,4 cylinders,fwd,gas,grey,97000,sub-compact,clean,automatic,None,4950
bmw x5 xdrive35i,2011,None,excellent,6 cylinders,4wd,gas,black,81000,None,clean,automatic,SUV,19800
chrysler town and country,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1
ford f150 fx4,1992,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Mazda,2003,None,None,None,None,gas,None,187000,None,clean,manual,None,3500
Buick Rendezvous CXL FWD,2004,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,5995
nissan 240sx,1989,None,None,None,None,gas,None,None,None,missing,manual,None,1500
Henry J,1951,None,like new,4 cylinders,rwd,gas,blue,None,None,clean,manual,coupe,15000
mazda mazda6 s,2003,None,good,6 cylinders,None,gas,black,183000,compact,clean,automatic,None,2500
caddilac deville,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Corvette 2lt,2010,None,like new,8 cylinders,rwd,gas,red,37000,None,clean,automatic,None,28500
