make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Dodge Neon,2003,None,good,None,fwd,gas,None,000000,None,clean,automatic,None,5000
Chevy Lumina APV,1994,None,good,6 cylinders,fwd,gas,white,82000,mid-size,clean,automatic,mini-van,2500
ford mustang,2000,None,None,6 cylinders,rwd,gas,None,None,None,clean,automatic,None,3750
Mitshubishi 3000gt,1991,None,None,6 cylinders,None,gas,black,168000,compact,clean,manual,coupe,1000
chevy 1500,2002,None,good,6 cylinders,rwd,gas,white,200000,full-size,clean,automatic,truck,1400
honda ridgeline,2007,None,excellent,6 cylinders,4wd,gas,custom,99900,None,clean,automatic,None,11900
honda Odyssey,1998,None,excellent,None,None,gas,blue,None,None,clean,manual,None,3500
bmw x3,2010,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,9800
cadillac seville sls,2001,None,good,8 cylinders,fwd,gas,None,138000,None,salvage,automatic,None,2100
Chevy silverado,1988,None,None,None,None,gas,None,None,None,clean,automatic,None,900
Chevrolet blazer,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
pontiac firebird,1968,None,None,None,None,gas,None,None,None,clean,other,None,4500
ford f350,2011,None,good,8 cylinders,4wd,diesel,black,450000,full-size,clean,automatic,truck,16900
chevrolet camaro,1967,None,None,None,None,gas,None,None,None,clean,manual,None,17000
ford focus se 4dr sedan,2010,None,good,4 cylinders,fwd,gas,black,98000,mid-size,rebuilt,automatic,sedan,5199
ford f-150,2004,None,fair,8 cylinders,4wd,gas,grey,None,full-size,clean,automatic,None,5250
toyota camry xle,2000,None,good,6 cylinders,fwd,gas,silver,180000,None,clean,automatic,None,3500
honda civic lx,2000,None,excellent,4 cylinders,fwd,gas,None,238000,compact,clean,manual,coupe,2500
Kia Optima,2016,None,like new,None,None,gas,white,49000,None,clean,other,sedan,15000
oldsmobile 88 ls,1997,None,good,6 cylinders,fwd,gas,red,238000,mid-size,clean,automatic,sedan,1200
ford transit connect van,2016,1FTYE1YM11GKA9738,good,6 cylinders,fwd,gas,white,2000,mid-size,salvage,automatic,van,8950
subaru impreza wrx wagon,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
chevrolet silverado,2008,None,excellent,8 cylinders,4wd,diesel,black,119000,full-size,clean,automatic,truck,31000
Chevy Silverado,2002,None,excellent,8 cylinders,rwd,gas,custom,186000,full-size,clean,automatic,truck,4300
Audi A8,2013,None,like new,6 cylinders,4wd,gas,black,22000,full-size,clean,automatic,sedan,35000
Chevrolet,1949,None,None,None,None,gas,blue,None,None,clean,automatic,None,20000
cars and suvssuv acadia gmc,2011,None,excellent,None,fwd,gas,None,64850,None,clean,automatic,None,13900
vw karmann ghia,1971,None,good,4 cylinders,rwd,gas,yellow,None,compact,clean,manual,coupe,3000
chrysler 300,2009,None,like new,6 cylinders,rwd,gas,brown,86000,full-size,clean,automatic,sedan,9000
Ford Mustang,1990,None,None,None,None,gas,None,None,None,clean,other,None,9700
Jeep Grand Cherokee Laredo,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,3600
pontiac trans am,1995,2g2fv22p8s2233339,good,8 cylinders,rwd,gas,green,151000,full-size,clean,manual,coupe,3000
Ford F250 King Ranch Diesel,2005,None,excellent,None,None,diesel,white,170000,full-size,clean,automatic,truck,15000
buick rivera,1983,None,None,None,None,gas,None,94000,None,clean,automatic,None,2100
chrysler town and country,2008,None,None,None,None,gas,None,None,None,clean,automatic,mini-van,1300
Nissan Pathfinder LE,2007,None,excellent,6 cylinders,4wd,gas,black,None,None,clean,automatic,None,7500
jeep liberty sport 4x4,2003,None,good,6 cylinders,4wd,gas,white,146794,mid-size,clean,automatic,SUV,2500
Ford escape xlt 4wd,2009,None,excellent,6 cylinders,4wd,gas,red,170681,mid-size,clean,automatic,SUV,4900
chevy venture,2000,None,fair,6 cylinders,fwd,gas,blue,146880,mid-size,clean,automatic,van,400
Dodge coronet,1965,None,good,None,None,gas,black,None,None,clean,manual,coupe,7500
chevrolet express 3500,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
Chevrolet 1500 Silverado,1994,None,good,6 cylinders,rwd,gas,red,143000,full-size,clean,automatic,pickup,4400
ford ranger,1999,None,good,6 cylinders,rwd,gas,black,165000,None,clean,manual,truck,1200
gmc sierra 1500 crew cab,2007,1GTHK23D97F115016,good,8 cylinders,4wd,diesel,black,136000,full-size,salvage,automatic,pickup,18500
X3,2005,None,like new,None,None,gas,None,None,None,clean,automatic,None,1500
Ford Edge Limited,2010,None,good,6 cylinders,fwd,gas,red,None,mid-size,clean,automatic,SUV,9500
Harley FLHX,2010,None,like new,None,rwd,gas,black,4500,None,clean,manual,None,14495
ford explorer sport trac,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6300
Dodge Ram 1500,2002,1D7HU18Z92S593628,fair,8 cylinders,4wd,gas,red,137486,full-size,clean,automatic,pickup,4350
chevrolet monte carlo,2005,None,good,6 cylinders,fwd,gas,black,138000,full-size,clean,automatic,coupe,2300
chevrolet equinox,2005,None,good,6 cylinders,4wd,gas,blue,141000,mid-size,clean,automatic,SUV,3500
chevrolet corvette,1974,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
ford f-150,2013,None,None,None,4wd,gas,None,42000,None,clean,automatic,None,19500
toyota 4runner,1998,None,None,None,None,gas,None,154000,None,clean,automatic,None,3000
Town country,2006,None,excellent,6 cylinders,None,gas,silver,99481,full-size,salvage,automatic,van,2800
Biuck,2000,1g4hp54k9y4285689,fair,6 cylinders,fwd,gas,brown,155000,full-size,clean,automatic,sedan,1500
Chevrolet Tahoe,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1500
ford f-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
nissan maxima,1998,None,good,6 cylinders,fwd,gas,white,125000,None,rebuilt,automatic,sedan,1600
dodge intrepid,2002,None,None,6 cylinders,fwd,gas,red,95000,full-size,clean,automatic,None,400
gmc 1500 sierra,2001,None,None,None,None,gas,None,91000,None,clean,automatic,None,12000
chevy colorado,2005,None,good,4 cylinders,rwd,gas,white,258000,mid-size,clean,automatic,pickup,1700
buick century,1955,None,good,other,None,gas,blue,None,full-size,missing,other,None,3000
audi a6 quattro,1999,None,excellent,6 cylinders,4wd,gas,silver,115423,full-size,clean,automatic,None,2900
volkswagen new beetle,2002,None,good,4 cylinders,fwd,diesel,black,161800,compact,clean,manual,coupe,2700
buick century,1998,2G4WS52M3W1501720,good,6 cylinders,fwd,gas,brown,88000,mid-size,clean,automatic,sedan,3500
pontiac g6,2006,None,good,6 cylinders,fwd,gas,grey,132021,full-size,clean,automatic,sedan,3500
ford expedition eddie bauer,2005,None,None,None,None,gas,None,180000,None,clean,automatic,None,2900
jeep grand cherokee limited 4dr,1996,None,fair,8 cylinders,4wd,gas,None,245000,full-size,clean,automatic,SUV,500
Honda Civic del Sol Si,1997,None,good,None,None,gas,black,141000,None,clean,manual,convertible,3995
Chevy uplander,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2600
