make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford explorer,2005,1FMZU74K75UA77296,good,6 cylinders,4wd,gas,black,177500,mid-size,clean,automatic,SUV,3500
pontiac g6 gt,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
chevrolet 1500 silverado,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,11000
chevy colorado,2004,None,good,5 cylinders,4wd,gas,silver,165000,None,clean,automatic,None,2500
Studebaker land cruiser,1949,None,good,6 cylinders,rwd,gas,blue,76883,full-size,clean,manual,sedan,10000
Camaro,2000,None,good,6 cylinders,None,gas,black,175000,None,clean,manual,None,3200
Camaro,2000,None,good,6 cylinders,None,gas,black,175000,None,clean,manual,None,3200
dodge ram 3500 mega cab,2015,3C63RRKL4FG666613,like new,6 cylinders,4wd,diesel,black,119000,None,lien,automatic,truck,39995
dodge ram 3500 mega cab,2015,3C63RRKL4FG666613,like new,6 cylinders,4wd,diesel,black,119000,None,lien,automatic,truck,39995
dodge grand caravan,2009,None,excellent,6 cylinders,None,gas,white,91000,None,clean,manual,None,7000
Universal,2018,None,None,None,None,other,None,None,None,parts only,other,None,1234
Ford,2018,None,None,None,None,other,None,None,None,parts only,other,None,1234
Cj5,1978,None,None,None,None,gas,None,None,None,clean,manual,None,1
1978 jeep cj5 1961 f100,1954,None,None,None,None,gas,None,None,None,clean,manual,None,1
cj5 jeep,1978,None,None,None,None,gas,None,None,None,clean,manual,None,1
Chevy,1994,None,None,None,None,gas,None,None,None,parts only,other,None,12345
GMC Sierra,1991,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
chevrolet silverado 3500,2011,None,excellent,8 cylinders,4wd,diesel,white,216000,full-size,lien,automatic,pickup,20000
dodge ram 3500 mega cab,2015,3C63RRKL4FG666613,like new,6 cylinders,4wd,diesel,black,119000,None,lien,automatic,truck,39995
dodge ram 3500 mega cab,2015,3C63RRKL4FG666613,like new,6 cylinders,4wd,diesel,black,119000,None,lien,automatic,truck,39995
dodge ram 3500 mega cab,2015,3C63RRKL4FG666613,like new,6 cylinders,4wd,diesel,black,119000,None,lien,automatic,truck,39995
dodge ram 3500 mega cab,2015,3C63RRKL4FG666613,like new,6 cylinders,4wd,diesel,black,119000,None,lien,automatic,truck,39995
dodge ram 3500 mega cab,2015,3C63RRKL4FG666613,like new,6 cylinders,4wd,diesel,black,119000,None,lien,automatic,truck,39995
chevrolet lumina,2000,2G1WL52J5Y1189631,good,6 cylinders,fwd,gas,None,83435,None,clean,automatic,sedan,2800
cadillac deville,1995,None,excellent,8 cylinders,rwd,gas,white,75468,full-size,clean,automatic,sedan,6000
dodge ram 2500 cummins,2003,None,excellent,None,None,diesel,None,None,None,clean,automatic,None,15000
mercury cougar,1995,None,excellent,6 cylinders,rwd,gas,None,45910,mid-size,clean,automatic,sedan,5300
TRD grill.,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,16870
Tahoe LT,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,18622
Ford F-450 Lariat,2012,None,excellent,8 cylinders,4wd,diesel,white,None,full-size,clean,automatic,truck,55
chevy tahoe,2007,None,None,None,None,gas,black,None,None,clean,automatic,None,9000
Chevrolet Tahoe,1995,None,fair,8 cylinders,4wd,gas,blue,75920,full-size,clean,automatic,SUV,2800
Chevrolet Corvair,1967,xxxxxxxxxxxx,good,6 cylinders,rwd,gas,None,56000,None,clean,automatic,None,1500
ford ranger xlt,2006,None,good,None,None,gas,None,None,None,clean,automatic,None,5500
VW GHIA,1970,None,None,None,None,gas,None,None,None,clean,manual,None,6995
toyota sequoia limited,2001,None,good,8 cylinders,4wd,gas,silver,245000,None,clean,automatic,SUV,4500
Toyota pickup,1995,4tavn13dxsz325938,good,6 cylinders,4wd,gas,green,116,mid-size,clean,automatic,pickup,5200
ford f-150,1992,None,good,6 cylinders,4wd,gas,custom,178,full-size,clean,automatic,truck,2000
Pontiac,2008,None,excellent,6 cylinders,fwd,gas,blue,109,full-size,clean,automatic,sedan,6000
Ford F 150,2006,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2506
Chevy Bonanza,1978,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Ford f150,1988,None,None,None,rwd,gas,None,None,None,clean,automatic,None,1000
Chevy Malibu,2013,None,None,None,None,gas,None,52000,None,lien,automatic,None,14000
toyota camry le,1995,4T1SK12E9SU619253,good,4 cylinders,fwd,gas,brown,205635,mid-size,clean,automatic,sedan,1000
Toyota Camry,2000,None,good,4 cylinders,None,gas,white,243990,None,clean,automatic,None,2200
ford f-250,2015,None,like new,8 cylinders,4wd,diesel,white,64400,full-size,clean,automatic,pickup,50000
Ford Festiva,1991,None,fair,4 cylinders,fwd,gas,blue,None,compact,clean,manual,hatchback,600
chevrolet duramax,2001,None,None,8 cylinders,4wd,diesel,white,None,full-size,clean,automatic,truck,10000
toyota 4runner,2004,None,good,6 cylinders,rwd,gas,grey,300000,full-size,clean,automatic,SUV,1500
gmc jimmy,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1400
mercedes benz e320,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
jeep grand cherokee laredo,2007,None,excellent,8 cylinders,4wd,gas,black,58000,mid-size,clean,automatic,SUV,10500
dodge ram 2500 laramie,2003,None,good,6 cylinders,4wd,diesel,None,249000,None,clean,manual,None,15000
Chevrolet Cavalier,2002,None,None,4 cylinders,fwd,gas,black,194500,None,clean,manual,None,400
Toyota Pickup,1985,None,None,None,None,gas,None,None,None,clean,manual,None,1
ford f-150,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Toyota sienna xle awd,2006,None,good,6 cylinders,4wd,gas,white,218,None,clean,automatic,None,3300
Pontiac Grand Prix GXP,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Ford F-150,2003,None,excellent,8 cylinders,rwd,gas,None,176500,None,clean,automatic,None,3500
Mazda Mazda 6,2007,None,like new,6 cylinders,None,gas,None,129000,None,clean,automatic,None,3900
Nissan Altima 2.5S,2007,None,like new,None,None,gas,None,99000,None,clean,automatic,None,5900
chevy express 1500,1998,None,good,8 cylinders,rwd,gas,white,233500,None,clean,automatic,van,3500
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1594
dodge durango slt,2001,None,None,8 cylinders,4wd,gas,black,183500,None,clean,automatic,SUV,3200
ford f-150,2001,None,good,8 cylinders,rwd,gas,blue,129000,full-size,clean,automatic,pickup,4250
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1507
dodge ram 1500 4x4,2004,None,None,8 cylinders,4wd,gas,black,135000,None,clean,automatic,pickup,9500
Porsche 944,1984,None,None,None,None,gas,None,None,None,clean,manual,None,3500
2007 HONDA ACCORD EX,2007,1HGCM56707A075841,excellent,4 cylinders,fwd,gas,None,119567,None,clean,automatic,None,5500
jeep wrangler 4wd 2dr x,2008,1J4FA24178L600072,excellent,6 cylinders,4wd,gas,custom,127552,None,clean,manual,None,12500
Kia spectra,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
chrysler pacifica touring,2007,None,excellent,6 cylinders,4wd,gas,blue,150000,mid-size,clean,automatic,None,3800
Chevy cavalier,2002,None,None,None,None,gas,None,190000,None,clean,automatic,None,1200
Mercedes Benz C230,2007,None,None,None,None,gas,None,118,None,clean,automatic,None,5900
Toyota Camry,2006,None,None,None,None,gas,None,118,None,clean,automatic,None,3400
dodge ram 2500 cummins,1999,None,good,6 cylinders,4wd,diesel,blue,310000,None,clean,automatic,pickup,4500
dodge ram 2500,2001,None,excellent,6 cylinders,4wd,diesel,green,98000,full-size,clean,automatic,truck,13000
ford f350,1999,None,good,8 cylinders,4wd,diesel,black,138000,full-size,clean,manual,None,11000
ford mustang gt,1999,None,fair,8 cylinders,rwd,gas,black,143000,mid-size,clean,manual,coupe,3000
Ford Expedition Eddie Bauer,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
ford explorer,2012,None,like new,None,None,gas,None,None,None,clean,automatic,None,3000
Ford f350,1986,None,None,None,None,diesel,None,None,None,clean,manual,None,4000
Dodge,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
ford five hundred,2006,None,None,6 cylinders,4wd,gas,black,106000,None,clean,automatic,sedan,5000
pontiac g8 gt,2008,None,excellent,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,sedan,17500
Volkswagen Jetta TDI,2006,None,good,4 cylinders,fwd,diesel,blue,195300,compact,clean,automatic,sedan,3800
chevrolet 1500 silverado,1998,2GCEC19MW1267659,like new,8 cylinders,rwd,gas,silver,155000,full-size,clean,automatic,None,7000
2dr Plymouth sedan,1947,None,None,None,None,gas,None,None,None,missing,manual,None,2000
Ford Bronco,1985,None,new,8 cylinders,4wd,gas,blue,70000,None,clean,automatic,None,5400
chevy 1500,1988,None,None,None,None,gas,None,None,None,clean,automatic,None,650
gmc envoy xl,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,4250
honda accord lx,2001,None,fair,4 cylinders,fwd,gas,silver,149969,None,clean,automatic,None,700
chevy 3500,2000,None,None,8 cylinders,4wd,gas,grey,None,None,clean,automatic,None,3500
kia optima ex 4dr sedan,2009,KNAGE228995358435,like new,4 cylinders,fwd,gas,silver,75424,mid-size,clean,manual,sedan,6550
chevy silverado 1500,2016,None,like new,8 cylinders,4wd,gas,black,14500,full-size,clean,automatic,truck,39000
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1575
dodge ram 1500,2000,None,None,8 cylinders,4wd,gas,brown,None,full-size,rebuilt,automatic,pickup,6500
Chevrolet K2500,1989,None,excellent,8 cylinders,4wd,gas,None,187000,full-size,clean,automatic,pickup,4700
pontiac grand prix,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
ford ranger xlt,1999,None,None,4 cylinders,rwd,gas,red,None,None,clean,manual,truck,2995
toyota tacoma,1997,None,None,None,None,gas,None,None,None,clean,manual,None,2000
chevy c1500,1996,None,good,6 cylinders,rwd,gas,None,64000,None,clean,automatic,pickup,4800
Ford galaxie xl fastback,1968,None,None,None,None,gas,None,None,None,clean,automatic,None,13500
dodge durango slt,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Toyota Prius 2 Hybrid,2017,None,like new,4 cylinders,fwd,gas,grey,8000,None,clean,automatic,None,21700
Chevrolet,2000,None,None,None,None,gas,None,290000,None,clean,automatic,None,2950
Mazda 626,2002,None,good,4 cylinders,fwd,gas,blue,181000,mid-size,clean,automatic,sedan,1250
buick century custom 4dr sedan,2004,2G4WS52J341190969,salvage,6 cylinders,fwd,gas,None,216606,full-size,salvage,automatic,sedan,700
Suzuki,1988,None,good,4 cylinders,4wd,gas,black,None,compact,clean,manual,offroad,4000
Chevrolet dump,1990,None,excellent,8 cylinders,rwd,gas,white,900000,full-size,clean,manual,other,6000
Chevrolet 3500 4x4,2009,None,good,8 cylinders,4wd,diesel,white,283000,full-size,clean,automatic,pickup,15000
hyundai sonata,2006,5NPEU46F86H015869,good,6 cylinders,fwd,gas,black,169290,full-size,clean,automatic,sedan,2200
mitsubishi eclipse gs,1996,None,good,4 cylinders,fwd,gas,grey,180000,None,clean,manual,hatchback,1500
gmc denali,2011,None,excellent,None,4wd,diesel,black,223000,full-size,clean,automatic,None,27500
ford f250,2001,Xxxxxxx,fair,8 cylinders,4wd,gas,red,90000,full-size,clean,automatic,truck,5800
balck f250 superduty,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,1999
suzuki sidekick 4door,1996,None,fair,4 cylinders,4wd,gas,None,180000,None,clean,manual,offroad,800
chevy tahoe,1999,None,salvage,6 cylinders,4wd,gas,custom,None,full-size,missing,automatic,SUV,100
chevrolet 1500 silverado,2004,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,6500
mercedes-benz,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,11500
Volvo v70 awd,1998,None,good,5 cylinders,4wd,gas,blue,159000,full-size,clean,automatic,wagon,2000
ford mustang,2008,None,excellent,None,None,gas,red,None,None,clean,manual,None,1750
chevy Lumina,1995,None,good,6 cylinders,fwd,gas,white,None,mid-size,clean,automatic,None,2000
chevy Lumina,1995,None,good,6 cylinders,fwd,gas,white,None,mid-size,clean,automatic,None,2000
hyundai elantra,2017,None,like new,None,None,gas,None,None,None,clean,automatic,None,16500
ford escape,2011,None,excellent,6 cylinders,4wd,hybrid,silver,102000,full-size,lien,automatic,SUV,10099
chevy suburban,2002,None,None,None,None,gas,None,None,None,clean,manual,None,3500
Chevy 3500,1999,None,good,None,None,diesel,red,140000,None,clean,automatic,None,7000
Chevrolet,2001,None,None,6 cylinders,rwd,gas,None,None,None,clean,automatic,pickup,1500
_Chevrolet Silverado_,2003,None,None,None,None,diesel,None,None,None,clean,automatic,None,2000
Ford,2000,None,good,6 cylinders,rwd,gas,white,180000,full-size,clean,automatic,van,2900
toyota avalon,1996,None,fair,None,None,gas,black,272759,None,clean,automatic,sedan,900
Ford Mustang GT Premium,2006,1ZVHT82H265135243,good,8 cylinders,rwd,gas,red,48500,None,clean,automatic,coupe,11500
cadillac allante,1987,None,good,8 cylinders,fwd,gas,white,None,mid-size,clean,automatic,convertible,4500
Ford F600,1973,None,good,8 cylinders,rwd,gas,None,44400,None,clean,manual,None,2200
Jeep Grand Cherokee,1999,None,excellent,8 cylinders,4wd,gas,None,175000,None,rebuilt,automatic,None,2600
gmc acadia,2008,None,good,6 cylinders,fwd,gas,None,187986,full-size,clean,automatic,SUV,5200
land rover,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,13500
gmc savana2500,2000,1GTFG25M0Y1902196,good,None,None,gas,white,190000,None,clean,automatic,van,1800
ford ranger xlt,1999,None,salvage,4 cylinders,rwd,gas,white,192000,mid-size,parts only,manual,pickup,1234
saturn sl2,2002,22104577,None,4 cylinders,None,gas,blue,117085,None,clean,automatic,sedan,500
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1503
CHEVROLET C-60,1975,None,None,None,None,gas,None,69382,None,clean,manual,None,4500
Dodge Ram w150,1989,None,fair,8 cylinders,4wd,gas,brown,125000,full-size,clean,manual,truck,1500
ford bronco,1977,None,None,None,None,gas,None,None,None,missing,other,None,1
Cadillac Escalade ESV Premium,2007,1GYFK668X7R267392,good,8 cylinders,4wd,gas,brown,None,full-size,clean,automatic,None,23900
Ford F-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1586
toyota avalon,2006,None,good,6 cylinders,fwd,gas,black,191,full-size,clean,automatic,sedan,4299
chevy trailblazer,2005,None,excellent,6 cylinders,4wd,gas,None,152,None,clean,automatic,SUV,2999
gmc 2500,2007,None,None,None,None,gas,None,147000,None,clean,automatic,None,16500
gmc terrain,2012,None,like new,4 cylinders,fwd,gas,silver,58000,None,clean,automatic,SUV,14500
Dodge Ram 2500,2005,None,good,6 cylinders,4wd,diesel,black,122500,None,rebuilt,automatic,pickup,18000
chevrolet corvette,2010,None,like new,None,None,gas,grey,15000,None,clean,automatic,coupe,37500
ford e450 shuttle bus,2008,None,excellent,8 cylinders,rwd,diesel,white,219000,None,clean,automatic,bus,7500
chevy c10,1970,None,None,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,7200
ford f150 xlt,2011,None,good,6 cylinders,4wd,gas,black,152000,None,clean,automatic,truck,1
Buick Regal,1998,None,fair,6 cylinders,fwd,gas,blue,120000,mid-size,clean,automatic,sedan,1200
nissan 350z,2004,None,None,None,None,gas,None,88000,None,clean,manual,None,5500
Dodge Journey,2010,None,excellent,4 cylinders,fwd,gas,red,124000,mid-size,clean,automatic,SUV,5500
Volkswagen,1970,None,None,None,None,gas,None,None,None,missing,manual,None,4500
dodge charger,2006,None,fair,6 cylinders,rwd,gas,red,198000,full-size,clean,automatic,sedan,3500
chysler town and country,2006,None,good,6 cylinders,fwd,gas,white,159000,mid-size,clean,automatic,van,2200
cadillac deville,2002,None,good,None,fwd,gas,silver,151000,full-size,clean,automatic,sedan,2250
GMC 7000,1983,None,good,8 cylinders,rwd,gas,red,None,None,clean,manual,truck,2500
gmc sierra 1500 crew cab,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Ford L8000,1996,None,fair,6 cylinders,rwd,diesel,yellow,153000,full-size,clean,manual,None,6900
ford focus,2012,None,None,4 cylinders,fwd,gas,blue,74000,full-size,clean,automatic,coupe,5800
Ford Mustang Cobra,1996,None,good,8 cylinders,rwd,gas,white,100000,None,clean,manual,convertible,6000
cadillac dts,2008,None,excellent,None,fwd,gas,black,33642,None,clean,automatic,None,13500
Peterbilt 379,2000,1XP5D49X2X0498559,excellent,5 cylinders,rwd,diesel,blue,1006629,None,clean,manual,None,36500
chevy impala,2006,None,fair,6 cylinders,fwd,gas,silver,206000,mid-size,clean,automatic,sedan,1000
gmc 1500 sierra,1979,None,None,None,None,gas,None,120000,None,clean,automatic,None,3000
Four Winds,1996,None,None,None,None,other,None,None,None,clean,other,None,50
cadillac dts luxury ii,2008,None,like new,8 cylinders,fwd,gas,custom,57000,full-size,clean,automatic,sedan,9200
audi a4 quattro,2003,None,None,6 cylinders,4wd,gas,blue,134000,None,clean,automatic,None,4000
Jaguar XF,2009,None,excellent,8 cylinders,None,gas,white,108000,None,clean,automatic,sedan,10000
gmc 1500 sierra,1988,None,fair,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,pickup,1100
chrysler crossfire coupe,2004,1C3AN69L44X002681,excellent,6 cylinders,rwd,gas,black,25650,sub-compact,clean,manual,coupe,8900
chrysler crossfire coupe,2004,1C3AN69L44X002681,excellent,6 cylinders,rwd,gas,black,25650,sub-compact,clean,manual,coupe,8900
chrysler pt cruiser,2010,3A4GYSF92AT205778,good,4 cylinders,fwd,gas,black,68600,None,clean,automatic,hatchback,5500
toyota corolla wagon,1993,None,None,None,None,gas,None,None,None,clean,manual,None,795
Toyota Camry,2000,None,None,None,None,gas,None,None,None,clean,manual,None,2495
